ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.123963,,,,,,,,,,,,,,0f673c0e-c341-4300-ba83-1e9fca6ff38e,49,,"[60.5, 18.6]",22961,1,,,,,-2.232738,,Right Foot,,,"[54.5, 10.9]",,High Pass,,9.76166,,,,Aya Sameshima,25636.0,,,,,,Recovery,1,Regular Play,Hina Sugita,25635.0,Left Defensive Midfield,4,Scotland Women's,866,['4073589c-a65a-4b95-b29d-17900e69a25a'],0,,,,,,,,,,,,,,,,,Japan Women's,1210,00:01:00.685,Pass,
,,,,,,,,,,,,,,,,2.9565,,,,,,,,,,,,,,49319323-ac45-4aef-b424-081f6b2d9222,52,,"[51.9, 10.9]",22961,1,,,,,0.15302315,,Right Foot,,,"[92.1, 17.1]",,High Pass,,40.6753,,Incomplete,,,,,,,,,,1,Regular Play,Aya Sameshima,25636.0,Left Back,4,Scotland Women's,866,['11b1446d-be0a-4386-80b9-a7b2fd2292cd'],2,,,,,,,,,,,,,,,,,Japan Women's,1210,00:01:02.862,Pass,
,,,,,,,,,,,,,,,,2.0624,,,,,,,,,,,,,,11b1446d-be0a-4386-80b9-a7b2fd2292cd,53,,"[28.0, 63.0]",22961,1,,,,,-0.28805545,,Head,,,"[38.8, 59.8]",,High Pass,,11.264102,,,,Caroline Weir,10188.0,,,,,,Recovery,1,Regular Play,Rachel Corsie,4984.0,Right Center Back,4,Scotland Women's,866,"['178af151-1890-477b-89d0-c5addd828cd4', '49319323-ac45-4aef-b424-081f6b2d9222']",5,,,,,,,,,,,,,,,,,Scotland Women's,866,00:01:05.819,Pass,
,,,,,,,,,,,,,,,,1.0979,,,,,,,,,,,,,,1cb5b65d-d803-4dec-9df5-7ba9cef988f6,56,,"[38.2, 56.7]",22961,1,,,,,-1.3557814,,Left Foot,,,"[42.0, 39.3]",,Ground Pass,,17.81011,,Incomplete,,Elizabeth Arnott,25568.0,,,,,,,1,Regular Play,Caroline Weir,10188.0,Left Defensive Midfield,4,Scotland Women's,866,"['461ff041-1117-4ab9-88b6-2d67cd8076d2', '91f24d87-9632-4b9a-9a0b-7dfcdfcf0dea']",9,,,,,,,,,,,,,,,,,Scotland Women's,866,00:01:09.489,Pass,
,,,,,,,,,,,True,,,,,0.711429,,,,,,,,,,,,,,461ff041-1117-4ab9-88b6-2d67cd8076d2,58,,"[78.1, 40.8]",22961,1,,,,,-1.815775,,Left Foot,,,"[76.4, 34.0]",,Ground Pass,,7.0092797,,,,Narumi Miura,25613.0,,,,,,Interception,1,Regular Play,Emi Nakajima,25621.0,Right Midfield,5,Japan Women's,1210,"['1cb5b65d-d803-4dec-9df5-7ba9cef988f6', '7f0e5215-a375-4014-b96a-d74389951191']",10,,,,,,,,,,,,,,,,,Japan Women's,1210,00:01:10.587,Pass,
,,,,,,,,,,,,,,,,0.8715,,,,,,,,,,,,,,b9bc2b71-a8c3-4419-834f-eed94d72e698,61,,"[76.4, 34.0]",22961,1,,,,,-0.42400834,,Right Foot,,,"[90.8, 27.5]",,Ground Pass,,15.79905,,,,Mana Iwabuchi,25610.0,,,,,,,1,Regular Play,Narumi Miura,25613.0,Right Defensive Midfield,5,Japan Women's,1210,['6cbac16a-1266-4313-8a3e-d90e9001c5bd'],11,,,,,,,,,,,,,,,,,Japan Women's,1210,00:01:11.932,Pass,
,,,,,,,,,,,,,,,,0.6286,,,,,,,,,,,,,,a4a201a2-ff0c-4b58-ad56-c9b4971d3055,63,,"[90.8, 27.5]",22961,1,,,,,1.2994617,,Right Foot,,,"[94.5, 40.8]",,Ground Pass,,13.805072,,Incomplete,,Yuika Sugasawa,25637.0,,,,,,,1,Regular Play,Mana Iwabuchi,25610.0,Left Center Forward,5,Japan Women's,1210,"['1966dbe3-6199-46e0-8116-1f45d690b092', '24783e50-116d-467b-9421-6ef15f9d0f9a']",12,,,,,,,,,,,,,,,,,Japan Women's,1210,00:01:12.804,Pass,
,,,,,,,,,,,,,,,,0.912999,,,,,,,,,,,,,,588c4eb4-5edd-4f44-bafa-fcbe3712d4b9,67,,"[27.8, 40.1]",22961,1,,,,,1.0288776,,Right Foot,,,"[33.7, 49.9]",,Ground Pass,,11.438969,,,,Kim Little,15616.0,,,,,,,1,Regular Play,Jennifer Patricia Beattie,17524.0,Left Center Back,6,Scotland Women's,866,['66fe9e9b-790d-4269-833f-e5f638a854d0'],14,,,,,,,,,,,,,,,,,Scotland Women's,866,00:01:14.462,Pass,
,,,,,,,,,,,,,,,,1.741272,,,,,,,,,,,,,,df72968f-bc40-417d-9e5f-f1f0590d7bfb,70,,"[33.7, 50.1]",22961,1,,,,,1.5189561,,Right Foot,,,"[34.8, 71.3]",,Ground Pass,,21.22852,,,,Kirsty Smith,10196.0,,,,,,,1,Regular Play,Kim Little,15616.0,Right Defensive Midfield,6,Scotland Women's,866,['113e5677-5faa-4b1d-9052-1263b3cae70b'],16,,,,,,,,,,,,,,,,,Scotland Women's,866,00:01:16.946,Pass,
,,,,,,,,,,,,,,,,1.134097,,,,,,,,,,,,,,acbe0f14-ac29-44b0-a5c4-53edcfcac15b,74,,"[35.6, 72.3]",22961,1,,,,,0.41241044,,Right Foot,,,"[46.8, 77.2]",,Ground Pass,,12.224975,,,,Lisa Evans,10179.0,,,,,,,1,Regular Play,Kirsty Smith,10196.0,Right Back,6,Scotland Women's,866,"['3de759e7-9cdc-46d6-a636-65ac3b2be96b', 'c8a53383-6ce3-4e1d-8fbd-d967b8c468b6']",19,,,,,,,,,,,,,,,,,Scotland Women's,866,00:01:19.594,Pass,True
