ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.381695,,,,,,,,,,,,,,,f635de45-65fb-4658-ad34-3e40ceb15af5,1004,,,"[53.4, 17.9]",22948,32,,,,,-1.1493771,,Right Foot,,,"[54.7, 15.0]",,Ground Pass,,3.1780498,Incomplete,,Eugénie Le Sommer,10121.0,,,,,,Recovery,1,From Throw In,Elise Bussaglia,10114.0,Right Defensive Midfield,72,Norway Women's,852,"['19d86377-b410-4d21-b560-357495cf1774', '1de78087-6911-4ae2-baae-d9859d61303e', '330570bb-1165-4fdc-ac0f-a228fe491041', '60d381fd-b842-4267-ae4a-772313b3a716']",39,,,,,,,,,,,,,,,,,France Women's,861,00:32:39.626,Pass,True
,,,,,,,,,,,,,1.735398,,,,,,,,,,,,,,,206bea6e-3d4f-4562-95eb-2db97db167d1,1007,,,"[50.5, 30.2]",22948,32,,,,,0.4149497,,Right Foot,,,"[73.2, 40.2]",,Low Pass,,24.80504,Incomplete,,Valérie Gauvin,25442.0,,,,,,Recovery,1,From Throw In,Amandine Henry,10123.0,Left Defensive Midfield,72,Norway Women's,852,"['61b0f6c3-7f0d-4b5e-bff0-7cf148becb8e', '7fa1633e-27a1-468a-b462-354e80234a47']",40,,,,,,,,,,,,,,,,,France Women's,861,00:32:40.938,Pass,
,,,,,,,,,,,,,1.116444,,,,,,,,,,,,,,,82840abb-5e59-4ced-8fc6-fc7b80bd535c,1011,,,"[50.6, 38.1]",22948,32,,,,,0.33613804,,Left Foot,,,"[58.9, 41.0]",,Ground Pass,,8.792042,,,Ingrid Syrstad Engen,24374.0,,,,,,,1,From Throw In,Maria Thorisdottir,4636.0,Left Center Back,72,Norway Women's,852,['af7b8ae8-0b70-4783-b077-219822209c81'],44,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:44.858,Pass,
,,,,,,,,,,,,,0.985519,,,,,,,,,,,,,,,5797d3ba-1845-4acf-886b-4f383de96b7d,1014,,,"[58.9, 41.0]",22948,32,,,,,-0.9188003,,Right Foot,,,"[68.9, 27.9]",,Ground Pass,,16.480595,,,Caroline Graham Hansen,10386.0,,,,,,,1,From Throw In,Ingrid Syrstad Engen,24374.0,Left Center Midfield,72,Norway Women's,852,['c80895b8-ba70-4c7b-a298-a43c864d66e4'],46,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:46.459,Pass,
,,,,,,,,,,,,,1.138945,,,,,,,,,,,,,,,b6648940-54d6-4180-91b2-a4270ddfa041,1017,,,"[68.9, 27.9]",22948,32,,,,,-1.5707964,,Left Foot,,,"[68.9, 14.8]",,Ground Pass,,13.1,,,Kristine Minde,10393.0,,,,,,,1,From Throw In,Caroline Graham Hansen,10386.0,Right Center Forward,72,Norway Women's,852,['573ca641-24e0-4cc1-8de7-e262dc67184c'],47,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:47.603,Pass,
,,,,,,,,,,,,,1.129478,,,,,,,,,,,,,,,cf13bbce-5c68-4079-a821-b2357efed34a,1020,,,"[78.2, 8.3]",22948,32,,,,,2.512275,,Right Foot,,,"[66.8, 16.6]",,Ground Pass,,14.1014185,,,Ingrid Syrstad Engen,24374.0,,,,,,,1,From Throw In,Kristine Minde,10393.0,Left Back,72,Norway Women's,852,['c06e9967-814f-4c3c-bf63-4f8493a281b8'],51,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:51.684,Pass,
,,,,,,,,,,,,,1.48972,,,,,,,,,,,,,,,bb9f8ec9-3ce5-4506-a44e-ed010aa1d06f,1024,,,"[80.7, 20.4]",22948,32,,,,,-0.79585075,,Right Foot,,,"[94.9, 5.9]",,Ground Pass,,20.295073,,,Kristine Minde,10393.0,,,,,,,1,From Throw In,Ingrid Syrstad Engen,24374.0,Left Center Midfield,72,Norway Women's,852,['1f3174a8-180e-4473-af6c-886561c6df26'],55,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:55.106,Pass,
,,,,,,,,,,,,,2.920639,,,,,,,,,,,,,,,a1c5dd9a-52d7-4870-be68-2d966306c95d,1027,,,"[96.8, 5.2]",22948,32,,,,,0.66377914,,Left Foot,,,"[117.0, 21.0]",,Ground Pass,,25.645273,,,Guro Reiten,10514.0,,,,,,,1,From Throw In,Kristine Minde,10393.0,Left Back,72,Norway Women's,852,['76786c3c-d9de-4c0a-8db7-e3eac54ac349'],57,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:57.061,Pass,
,,,,,,,,,,,,,2.031121,,,,,,,,,,,,,,,3ab87261-821b-4d54-9262-937c0719c13f,1030,,,"[117.0, 21.0]",22948,33,,,,,2.3391314,24eaa499-c4b1-481f-801d-3c7f35474577,Left Foot,True,True,"[102.6, 35.9]",,Ground Pass,,20.721245,,,Karina Sævik,25728.0,True,,,,,,1,From Throw In,Guro Reiten,10514.0,Left Midfield,72,Norway Women's,852,['799695f1-6818-4671-9b05-047a1db7564e'],0,,,,,,,,,,,,,,,,,Norway Women's,852,00:33:00.433,Pass,
,,,,,,,,,,,,,1.185145,,,,,,,,,,,,,,,998287a3-05e3-4ad0-8f79-2146a43a297b,1034,,,"[6.0, 36.0]",22948,33,,,,,-1.221081,,Right Foot,,,"[12.2, 19.0]",,Ground Pass,,18.095303,,,Wendie Renard,10125.0,,,,,,Goal Kick,1,From Goal Kick,Sarah Bouhaddi,10129.0,Goalkeeper,73,France Women's,861,['e3ae7896-f2ff-4413-ada1-df9420ecc238'],35,,,,,,,,,,,,,,,,,France Women's,861,00:33:35.096,Pass,
,,,,,,,,,,,,,1.678778,,,,,,,,,,,,,,,f1292918-31c8-4427-92ca-e963f3bea9b2,1037,,,"[12.2, 19.0]",22948,33,,,,,1.9503853,,Right Foot,,,"[4.7, 37.8]",,Ground Pass,,20.2408,,,Sarah Bouhaddi,10129.0,,,,,,,1,From Goal Kick,Wendie Renard,10125.0,Left Center Back,73,France Women's,861,['cbb6efd0-50a5-4f55-9a67-0dcd5d0370a1'],37,,,,,,,,,,,,,,,,,France Women's,861,00:33:37.227,Pass,
