50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.6627,,,,,,,,,,,,,,ea360e41-5b4d-43e1-bd1f-d51110b8ccfe,55,,"[44.1, 74.1]",68312,0,,,,,-0.5523035,,Right Foot,,,"[52.7, 68.8]",Ground Pass,,10.10198,,,Incomplete,,Cristiana Girelli,10203.0,,,,,,1,Regular Play,Sara Gama,10366.0,Right Center Back,4,Italy Women's,855,"['3078d703-1e53-4057-a332-6ac26fcb76a0', 'df738db3-105e-4c1a-81c8-6c5afdf20b4e']",49,,,,,,,,,,,,,,,,Italy Women's,855,00:00:49.308,Pass,
,,,,,,,,,,,,,,,1.251674,,,,,,,,,,,,,,0a564735-4623-4e8f-940e-7c31bfc2e95f,63,,"[47.5, 75.3]",68312,1,,,,,-2.1956825,,Right Foot,,,"[43.1, 69.2]",Ground Pass,,7.521303,,,,,Sara Gama,10366.0,,,,,Free Kick,1,From Free Kick,Alia Guagni,10213.0,Right Back,5,Italy Women's,855,['26d31560-71ea-443d-9163-8c85bf959cec'],8,,,,,,,,,,,,,,,,Italy Women's,855,00:01:08.837,Pass,
,,,,,,,,,,,,,,,1.992108,,,,,,,,,,,,,,35b14872-ad07-4cf7-bbab-b64f9a024377,66,,"[43.1, 69.2]",68312,1,,,,,0.67973256,,Left Foot,,,"[50.4, 75.1]",Ground Pass,,9.38616,,,,,Alia Guagni,10213.0,,,,,,1,From Free Kick,Sara Gama,10366.0,Right Center Back,5,Italy Women's,855,['970a97a5-0c84-44b7-8b30-a881bf3a3af4'],13,,,,,,,,,,,,,,,,Italy Women's,855,00:01:13.437,Pass,
,,,,,,,,,,,,,,,1.2239,,,,,,,,,,,,,,cf478476-54b5-4692-b6ce-dcdbe6eda4e1,69,,"[55.9, 76.8]",68312,1,,,,,-0.40997306,,Right Foot,,,"[79.6, 66.5]",Low Pass,,25.84144,,,,,Cristiana Girelli,10203.0,,,,,,1,From Free Kick,Alia Guagni,10213.0,Right Back,5,Italy Women's,855,['3244762c-13d3-460b-b18d-262c6dacb10d'],15,,,,,,,,,,,,,,,,Italy Women's,855,00:01:15.704,Pass,
,,,,,,,,,,,,,,,1.4305,,,,,,,,,,,,,,53c971d8-aa7a-47bb-b718-eb4b4cdcebf2,72,,"[80.3, 66.7]",68312,1,,,,,1.0701286,,Right Foot,,,"[83.2, 72.0]",High Pass,,6.041523,,,Incomplete,,,,,,,,,1,From Free Kick,Cristiana Girelli,10203.0,Center Attacking Midfield,5,Italy Women's,855,['e9f94e1e-2e3e-4d4d-a0ec-d874dbc3615d'],16,,,,,,,,,,,,,,,,Italy Women's,855,00:01:16.968,Pass,
,,,,,,,,,,,,,,,0.6693,,,,,,,,,,,,,,e9f94e1e-2e3e-4d4d-a0ec-d874dbc3615d,73,,"[36.9, 8.1]",68312,1,,,,,0.25682646,,Right Foot,,,"[46.8, 10.7]",Low Pass,,10.235722,,,,,Thaysa de Moraes Rosa Moreno,4980.0,,,,,Recovery,1,Regular Play,Tamires Cássia Dias de Britto,25559.0,Left Back,6,Brazil Women's,1203,"['53c971d8-aa7a-47bb-b718-eb4b4cdcebf2', 'dd2fde90-949b-44f0-9ef2-e73c50c58d2a']",18,,,,,,,,,,,,,,,,Brazil Women's,1203,00:01:18.399,Pass,
,,,,,,,,,,,,,,,1.067756,,,,,,,,,,,,,,1b35f691-3e53-4427-be97-679afd6cd3bd,80,,"[43.4, 12.5]",68312,1,,,,,-3.0258334,,Right Foot,,,"[34.8, 11.5]",Ground Pass,,8.657945,,,,,Tamires Cássia Dias de Britto,25559.0,,,,,,1,Regular Play,Thaysa de Moraes Rosa Moreno,4980.0,Right Defensive Midfield,6,Brazil Women's,1203,['f3802cde-98b8-49d5-af2e-8f5c0e4bd80b'],21,,,,,,,,,,,,,,,,Brazil Women's,1203,00:01:21.955,Pass,
,,,,,,,,,,,,,,,0.760374,,,,,,,,,,,,,,c0acea9d-44f0-4ba6-9766-cbff2c2e3b86,83,,"[34.6, 11.7]",68312,1,,,,,2.0709574,,Right Foot,,,"[29.9, 20.3]",Ground Pass,,9.80051,,,,,Monica Hickmann Alves,5071.0,,,,,,1,Regular Play,Tamires Cássia Dias de Britto,25559.0,Left Back,6,Brazil Women's,1203,['75f53423-7873-46e8-88b8-6d3b2fba6946'],23,,,,,,,,,,,,,,,,Brazil Women's,1203,00:01:23.477,Pass,
,,,,,,,,,,,,,,,1.022209,,,,,,,,,,,,,,0e1de9f7-2fc7-4068-b80d-7e49addf4e37,86,,"[30.8, 17.4]",68312,1,,,,,-1.300226,,Right Foot,,,"[34.6, 3.7]",Ground Pass,,14.217243,,,,,Tamires Cássia Dias de Britto,25559.0,,,,,,1,Regular Play,Monica Hickmann Alves,5071.0,Left Center Back,6,Brazil Women's,1203,['ce28206e-40e9-4d6c-917f-69976bf1e677'],26,,,,,,,,,,,,,,,,Brazil Women's,1203,00:01:26.077,Pass,
,,,,,,,,,,,,,,,2.814629,,,,,,,,,,,,,,1bd90f38-ad41-4538-898f-398c6d9d2904,89,,"[34.6, 3.7]",68312,1,,,,,0.38530692,,Left Foot,,,"[81.2, 22.6]",High Pass,,50.286877,,,Incomplete,,Cristiane Rozeira de Souza Silva,15293.0,,,,,,1,Regular Play,Tamires Cássia Dias de Britto,25559.0,Left Back,6,Brazil Women's,1203,"['5bbfa058-bcee-46c9-8412-b051cb397112', 'e2418538-ce2d-4d38-92f1-1013aea21a95']",29,,,,,,,,,,,,,,,,Brazil Women's,1203,00:01:29.379,Pass,
