50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.364438,,,,,,,,,,,,,,,,9a217c12-3690-44d8-b048-1d17be2202c3,3092,,,"[98.3, 75.6]",3900564,87,,,,,-2.673019,,Right Foot,,,,"[90.2, 71.5]",Ground Pass,,9.078547,,,Fábio Henrique Tavares,3247.0,,,,,,2,From Goal Kick,Nabil Dirar,5727.0,Right Midfield,188,AS Monaco,129,['b1a57d68-65cb-45c0-ab2e-635427e4060f'],49,,,,,,,,,,,,,,,,,,AS Monaco,129,00:42:49.782,Pass,
,,,,,,,,,,,,,,,,,,1.052528,,,,,,,,,,,,,,,,243cfae4-3cbc-4819-b6bb-931567d1b160,3095,,,"[90.2, 71.5]",3900564,87,,,,,0.5226508,,Left Foot,,,,"[99.4, 76.8]",Ground Pass,,10.617438,,,Nabil Dirar,5727.0,,,,,,2,From Goal Kick,Fábio Henrique Tavares,3247.0,Right Back,188,AS Monaco,129,['c7d6122b-4cb1-479d-83c9-2389a954b0ee'],52,,,,,,,,,,,,,,,,,,AS Monaco,129,00:42:52.227,Pass,
,,,,,,,,,,,,,,,,,,1.474088,,,,,,,,,,,,,,,,e9750efb-f8a3-4178-8f3a-9544b6de62cf,3098,,,"[98.6, 72.2]",3900564,87,,,,,-1.1597961,,Left Foot,True,,,"[113.2, 38.7]",High Pass,,36.543262,Incomplete,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,2,From Goal Kick,Nabil Dirar,5727.0,Right Midfield,188,AS Monaco,129,"['c86a610d-cd83-43ed-8133-3f16df42a5fa', 'e79adcd9-6e77-4124-907e-d0ec6de6f81e']",56,,,,,,,,,,,,,,,,,,AS Monaco,129,00:42:56.915,Pass,
,,,,,,,,,,,,,,,,,,1.355514,,,,,,,,,,,,,,,,dc30ea71-51b3-4354-bf82-fb3dc868210b,3102,,,"[102.5, 30.2]",3900564,88,,,,True,1.199905,,,,,,"[105.3, 37.4]",Low Pass,,7.725283,Incomplete,,Wallace Fortuna dos Santos,8277.0,,,,,Recovery,2,From Goal Kick,Elderson Uwa Echiejile,27558.0,Left Back,188,AS Monaco,129,"['9726a7f5-a4ba-4e12-b30c-06c69a694e58', 'cfba5d8e-0109-4ed6-968d-639b6b954f7f', 'e0b8b4cf-0b71-402d-ac85-3d60ca4f66d9']",0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:00.706,Pass,True
,,,,,,,,,,,,,,,,,,1.251598,,,,,,,,,,,,,,,,19db51cd-d03d-4f46-89ba-18b03934b810,3106,,,"[70.4, 29.7]",3900564,88,,,,,-0.489393,,Head,,,,"[79.6, 24.8]",High Pass,,10.423532,Incomplete,,Thomas Lemar,3245.0,,,,,Recovery,2,From Goal Kick,Jérémy Toulalan,3406.0,Left Center Back,188,AS Monaco,129,"['cb062d3b-e6c2-4d48-8a7f-b2aac481c687', 'e86f0927-cef1-482e-8516-122dd3a2574d']",4,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:04.493,Pass,
,,,,,,,,,,,,,,,,,,1.262487,,,,,,,,,,,,,,,,591f3163-39b0-4f06-9c98-d4e297b0e6e2,3110,,,"[71.5, 75.3]",3900564,88,,,,,-1.3844135,,Right Foot,,,,"[74.8, 57.8]",Ground Pass,,17.808426,,,Jimmy Cabot,7336.0,,,,,,2,From Goal Kick,Yoann Court,7376.0,Right Midfield,188,AS Monaco,129,['a3abd5ca-888e-48e9-8fe5-006712bc286b'],9,,,,,,,,,,,,,,,,,,Troyes,133,00:43:09.659,Pass,
,,,,,,,,,,,,,,,,,,0.758246,,,,,,,,,,,,,,,,8e818349-789b-4f42-a349-9b4db5a0c666,3113,,,"[74.3, 69.1]",3900564,88,,,,,0.29684466,,Right Foot,,,,"[82.8, 71.7]",Ground Pass,,8.888757,Pass Offside,,Yoann Court,7376.0,,,,,,2,From Goal Kick,Jimmy Cabot,7336.0,Center Forward,188,AS Monaco,129,['63e9d609-c7d8-4cae-a8cb-68a927ac2b65'],13,,,,,,,,,,,,,,,,,,Troyes,133,00:43:13.507,Pass,
,,,,,,,,,,,,,,,,,,1.088833,,,,,,,,,,,,,,,,fcf2c005-85bc-4952-a3f6-0ccf6827ff7b,3115,,,"[34.1, 13.3]",3900564,88,,,,,-0.32175055,,Right Foot,,,,"[48.8, 8.4]",Ground Pass,,15.49516,,,Elderson Uwa Echiejile,27558.0,,,,,Free Kick,2,From Free Kick,Jérémy Toulalan,3406.0,Left Center Back,189,AS Monaco,129,['cd9b7203-bb75-4a46-a576-b52f474efe76'],27,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:27.205,Pass,
,,,,,,,,,,,,,,,,,,0.057388,,,,,,,,,,,,,,,,97e1d8de-c104-444a-a2ca-2fb0b8a2bdca,3119,,,"[49.6, 7.7]",3900564,88,,,,,0.7086263,,Left Foot,,,,"[51.7, 9.5]",Ground Pass,,2.7658634,Incomplete,,Thomas Lemar,3245.0,,,,,,2,From Free Kick,Elderson Uwa Echiejile,27558.0,Left Back,189,AS Monaco,129,"['18014c3a-aea6-4a48-b469-df1b16553b2c', '4a00dbad-34b0-4c0f-87f6-cd62bd1f4ee8', '4bad5d0c-1de0-41c0-b1f1-99c6535ecef3']",28,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:28.817,Pass,True
,,,,,,,,,,,,,,,,,,2.851888,,,,,,,,,,,,,,,,75c049fb-635e-40b2-b801-73ab106f037d,3124,,,"[52.7, 13.3]",3900564,88,,,,,0.49675345,,Right Foot,,,,"[101.4, 39.7]",High Pass,,55.395397,,,Nabil Dirar,5727.0,,,,,Free Kick,2,From Free Kick,Jérémy Toulalan,3406.0,Left Center Back,190,AS Monaco,129,['7015e62b-3124-4032-924c-2c6df61fab34'],45,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:45.723,Pass,
