50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.374035,,,,,,,,,,,af8ec49f-8121-4965-b723-26b2cd340c53,50,,"[34.3, 17.7]",3901209,1,,,,,1.5147055,,Left Foot,,,"[36.4, 55.1]",Ground Pass,,37.45891,,,,Roderic Filippi,7808.0,,,,,,1,From Free Kick,Jérémie Bréchet,7603.0,Left Center Back,6,Gazélec Ajaccio,160,['cb3ee562-668d-4e01-a5d3-2128ad906249'],3,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:03.583,Pass,
,,,,,,,,,,,,,,,,0.729327,,,,,,,,,,,290caf48-0c02-47ea-af5c-bc461d5250a8,53,,"[36.4, 54.3]",3901209,1,,,,,-0.17021193,,Right Foot,,,"[49.2, 52.1]",Ground Pass,,12.987686,,,,Jérôme Le Moigne,401507.0,,,,,,1,From Free Kick,Roderic Filippi,7808.0,Right Center Back,6,Gazélec Ajaccio,160,['ed38d831-bde3-4e77-9d1e-f74fe3e1f4e1'],6,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:06.794,Pass,
,,,,,,,,,,,,,,,,1.057672,,,,,,,,,,,02f23199-3cc4-468e-a62e-dd15d72da2cc,56,,"[49.4, 52.1]",3901209,1,,,,,2.7895484,,Right Foot,,,"[39.6, 55.7]",Ground Pass,,10.440307,,,,Roderic Filippi,7808.0,,,,,,1,From Free Kick,Jérôme Le Moigne,401507.0,Right Defensive Midfield,6,Gazélec Ajaccio,160,['5f348fb1-c591-4a3e-957c-1face831567b'],7,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:07.614,Pass,
,,,,,,,,,,,,,,,,1.702413,,,,,,,,,,,9a13a44c-6ad2-4fc5-9cb6-e82b7d72d11f,59,,"[39.6, 55.7]",3901209,1,,,,,-1.8273712,,Right Foot,,,"[32.7, 29.4]",High Pass,,27.190071,,,,Jérémie Bréchet,7603.0,,,,,,1,From Free Kick,Roderic Filippi,7808.0,Right Center Back,6,Gazélec Ajaccio,160,['41f8687e-b367-40fe-b962-0ccda8affffa'],10,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:10.804,Pass,
,,,,,,,,,,,,,,,,1.845624,,,,,,,,,,,9ac5c83d-593d-43c2-8d98-d84d8e4eca5e,62,,"[33.7, 29.0]",3901209,1,,,,,1.5319809,,Left Foot,,,"[34.5, 49.6]",Ground Pass,,20.615528,,,,Roderic Filippi,7808.0,,,,,,1,From Free Kick,Jérémie Bréchet,7603.0,Left Center Back,6,Gazélec Ajaccio,160,['a43575ef-2b1b-4727-a44d-4447af995f11'],14,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:14.214,Pass,
,,,,,,,,,,,,,,,,2.603748,,,,,,,,,,,9b9df86f-183d-473a-a584-4e064a5506c5,65,,"[39.2, 51.3]",3901209,1,,,,,-0.46207774,,Right Foot,,,"[90.2, 25.9]",High Pass,,56.975082,,,,Grégory Pujol,401506.0,,,,,,1,From Free Kick,Roderic Filippi,7808.0,Right Center Back,6,Gazélec Ajaccio,160,['96ba8994-6c03-4c35-99f9-08f5cddb38df'],19,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:19.515,Pass,
,,,,,,,,,,,,,,,,1.669036,,,,,,,,,,,47cecc3d-bafe-4ee2-b38a-806ec019ffd3,67,,"[90.2, 25.9]",3901209,1,,,,,1.3433939,,Head,,,"[93.0, 38.0]",Low Pass,,12.419743,,,,Khalid Boutaïb,5726.0,,,,,,1,From Free Kick,Grégory Pujol,401506.0,Left Center Forward,6,Gazélec Ajaccio,160,['d257b691-cc19-43c1-bcaa-84996f1504fb'],22,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:22.159,Pass,
,,,,,,,,,,,,,,,,2.675862,,,,,,,,,,,69e45eeb-7788-411c-8bca-e9409ff8d2a1,70,,"[96.0, 37.4]",3901209,1,,,,,0.8591279,,Right Foot,,,"[112.3, 56.3]",Low Pass,,24.957964,,Incomplete,,Mohamed Larbi,10616.0,,,,,,1,From Free Kick,Khalid Boutaïb,5726.0,Right Center Forward,6,Gazélec Ajaccio,160,"['24987457-276f-48dd-aee6-da19bbb2d442', '2797a1a9-5e62-41b9-88a7-afa139330c5f']",24,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:24.061,Pass,
,,,,,,,,,,,,,,,,4.847456,,,,,,,,,,,b0d84d12-6c5e-4afc-a068-a9f8b1e59f4a,74,,"[12.4, 22.0]",3901209,1,,,,,0.494856,,Right Foot,,,"[90.6, 64.2]",High Pass,,88.859886,,Incomplete,,Cheikh N''Doye,5676.0,,True,,,,1,From Free Kick,Alexandre Letellier,3432.0,Goalkeeper,6,Gazélec Ajaccio,160,"['0785140b-7dbf-456e-b1ee-1e6d86ba8ee5', '7b45506d-6305-4c1b-aa61-a4c35e0e6245']",41,,,,,,,,,,,,,,,,Angers,145,00:01:41.972,Pass,
,,,,,,,,,,,,,,,,1.107677,,,,,,,,,,,0785140b-7dbf-456e-b1ee-1e6d86ba8ee5,77,,"[29.5, 15.9]",3901209,1,,,,True,-0.27829966,,,,,"[33.7, 14.7]",High Pass,,4.368066,,,,Amos Youga,7389.0,,,,,Recovery,1,From Free Kick,Pablo Jean Antoine Martínez,3207.0,Left Back,6,Gazélec Ajaccio,160,"['5a32dcdf-e6cc-4305-9688-7f12293c46b2', '69c9e751-d5f4-47a7-b656-eb9486eb5816', 'b0d84d12-6c5e-4afc-a068-a9f8b1e59f4a']",46,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:46.820,Pass,True
,,,,,,,,,,,,,,,,2.513894,,,,,,,,,,,aa957905-9264-4d80-af06-9cd6b857abc3,80,,"[35.1, 12.9]",3901209,1,,,,,-0.4208167,,Right Foot,,,"[63.7, 0.1]",High Pass,,31.333689,,Out,,Mohamed Larbi,10616.0,,,,,,1,From Free Kick,Amos Youga,7389.0,Left Defensive Midfield,6,Gazélec Ajaccio,160,['4cd63b92-6f82-45e5-88f1-93ad71dd911d'],48,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:48.003,Pass,
,,,,,,,,,,,,,,,,1.929973,,,,,,,,,,,e8485119-bf81-4a46-a74b-e522e6d3334e,82,,"[60.2, 80.0]",3901209,2,,,,,-0.41157746,,,,,"[85.4, 69.0]",High Pass,,27.496181,,Incomplete,,Gilles Sunu,3111.0,,,,,Throw-in,1,From Throw In,Yoann Andreu,3203.0,Right Back,7,Angers,145,"['322ce923-dc5e-4119-a0e6-de72af519cc8', '43e04f59-4b3f-478e-b11a-ef94f726029a']",1,,,,,,,,,,,,,,,,Angers,145,00:02:01.279,Pass,
,,,,,,,,,,,,,,,,1.167727,,,,,,,,,,,43e04f59-4b3f-478e-b11a-ef94f726029a,85,,"[34.7, 11.1]",3901209,2,,,,True,-0.11796822,,,,,"[48.2, 9.5]",High Pass,,13.594484,,,,Mohamed Larbi,10616.0,,,,,Recovery,1,From Throw In,Amos Youga,7389.0,Left Defensive Midfield,7,Angers,145,"['4f484426-8b08-43e5-9161-cc8515ef1d82', 'e5c4c0f0-1788-4cdb-9d36-ff2e9f947fa6', 'e8485119-bf81-4a46-a74b-e522e6d3334e']",3,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:02:03.209,Pass,True
,,,,,,,,,,,,,,,,2.881151,,,,,,,,,,,8b6a3e43-f23b-4eb3-8761-0774de7393f9,91,,"[62.7, 70.0]",3901209,2,,,,,-1.7575963,,Right Foot,,,"[57.2, 40.9]",Ground Pass,,29.615198,,,,Romain Thomas,3549.0,,,,,,1,From Throw In,Yoann Andreu,3203.0,Right Back,7,Angers,145,['4939756d-3591-4d2a-93de-8e4ecba5ae8d'],6,,,,,,,,,,,,,,,,Angers,145,00:02:06.122,Pass,
,,,,,,,,,,,,,,,,4.23635,,,,,,,,,,,0e100205-95e1-4a83-a844-f11d0d741d76,94,,"[57.2, 40.9]",3901209,2,,,,,0.46939102,,Left Foot,,,"[119.7, 72.6]",High Pass,,70.07953,,Out,,Billy Ketkeophomphone,4441.0,,,,,,1,From Throw In,Romain Thomas,3549.0,Left Center Back,7,Angers,145,['356937e1-26cb-4e1f-ad43-7c11a662ae2b'],9,,,,,,,,,,,,,,,,Angers,145,00:02:09.090,Pass,
,,,,,,,,,,,,,,,,2.459678,,,,,,,,,,,61d3c229-f0e8-4066-aada-328f52e12028,96,,"[7.0, 36.1]",3901209,2,,True,,,1.1002164,,Right Foot,,,"[18.7, 59.1]",Ground Pass,,25.804844,,,,Roderic Filippi,7808.0,,,,,Goal Kick,1,From Goal Kick,Clément Maury,401508.0,Goalkeeper,8,Gazélec Ajaccio,160,['b3324d92-e60b-40cd-a90a-62050afd96d7'],23,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:02:23.542,Pass,
,,,,,,,,,,,,,,,,1.7655,,,,,,,,,,,13557abc-0b30-4e27-b9c5-817cfbf3e474,98,,"[21.9, 60.1]",3901209,2,,,,,-2.2040462,,Right Foot,,,"[9.2, 42.8]",Ground Pass,,21.461128,,,,Clément Maury,401508.0,,,,,,1,From Goal Kick,Roderic Filippi,7808.0,Right Center Back,8,Gazélec Ajaccio,160,['e2727a6d-9641-489e-9692-74081234b94f'],26,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:02:26.268,Pass,
,,,,,,,,,,,,,,,,3.172187,,,,,,,,,,,99a51ae6-1374-4e3d-b7a7-ad5efcc35da9,101,,"[9.4, 42.8]",3901209,2,,,,,-0.15288089,,Left Foot,,,"[74.3, 32.8]",High Pass,,65.66589,,Incomplete,,Grégory Pujol,401506.0,,,,,,1,From Goal Kick,Clément Maury,401508.0,Goalkeeper,8,Gazélec Ajaccio,160,"['59a85818-54c4-4ad0-8cce-5c64e46f1f13', '82853030-a649-4f46-8b96-707240dff4f2']",29,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:02:29.790,Pass,
,,,,,,,,,,,,,,,,0.722526,,,,,,,,,,,82853030-a649-4f46-8b96-707240dff4f2,104,,"[45.8, 47.3]",3901209,2,,,,True,0.42927718,,,,,"[60.0, 53.8]",High Pass,,15.616978,,,,Cheikh N''Doye,5676.0,,,,,Recovery,1,Regular Play,Ismaël Traoré,3045.0,Right Center Back,9,Angers,145,"['61195a64-c3e6-47e3-aa42-e65e75c4cc96', '99a51ae6-1374-4e3d-b7a7-ad5efcc35da9', 'b887c335-0d14-4a58-bbb9-2175fa6b9423']",32,,,,,,,,,,,,,,,,Angers,145,00:02:32.962,Pass,True
,,,,,,,,,,,,,,,,1.326925,,,,,,,,,,,7a7eca04-b3df-4939-bd82-2826db334499,106,,"[60.0, 53.8]",3901209,2,,,,,-2.4468544,,Head,,,"[52.2, 47.3]",Low Pass,,10.153324,,,,Romain Saïss,5219.0,,,,,,1,Regular Play,Cheikh N''Doye,5676.0,Right Center Midfield,9,Angers,145,['0343f37f-5a63-47f5-b0e6-6ce933d48b23'],33,,,,,,,,,,,,,,,,Angers,145,00:02:33.685,Pass,
,,,,,,,,,,,,,,,,1.95343,,,,,,,,,,,4c14247c-4edb-4ba1-9414-6be39c24bd68,109,,"[51.4, 46.9]",3901209,2,,,,,-0.80331737,,Right Foot,,,"[65.1, 32.7]",Ground Pass,,19.731447,,,,Pierrick Capelle,3071.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Center Defensive Midfield,9,Angers,145,['0fc9db5b-fd1a-45c3-a4f3-4507878e6240'],35,,,,,,,,,,,,,,,,Angers,145,00:02:35.751,Pass,
