50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.537479,,,,,,,,,,,,,09d5dd98-9dd5-4540-9e6a-805b91e2bc05,3090,,"[97.2, 73.4]",3900618,65,,,,-1.1189437,,Right Foot,True,,"[112.1, 42.7]",,High Pass,,34.12477,,,Incomplete,,Abdul Majeed Waris,7615.0,,,,,,2,From Free Kick,Walid Mesloub,7766.0,Center Attacking Midfield,122,Lorient,165,"['732a80a1-b470-49d9-bb50-5343af2702ff', 'd254dc58-97bc-436f-8b14-ed6a4beb5855']",28,,,,,,,,,,,,,,,,,Lorient,165,00:20:28.219,Pass,
,,,,,,,,,,,,,,,,,0.934185,,,,,,,,,,,,,fcaf8c85-1787-4a0d-8286-8a49cf59f1c2,3101,,"[85.7, 52.8]",3900618,65,,,,-2.1536531,,Right Foot,,,"[76.8, 39.3]",,Low Pass,,16.169725,,,,,Rafidine Abdullah,24646.0,,,,,,2,From Free Kick,Walid Mesloub,7766.0,Center Attacking Midfield,122,Lorient,165,"['3e5d39e6-512d-4d68-bbde-29a5b12ecc96', '3fa438ca-11bd-4897-908d-3abd1eb94eb1']",37,,,,,,,,,,,,,,,,,Lorient,165,00:20:37.858,Pass,True
,,,,,,,,,,,,,,,,,2.775612,,,,,,,,,,,,,e55273b1-4a43-46cd-b53e-57c330d100f0,3105,,"[75.8, 41.5]",3900618,65,,,,-1.4170381,,Right Foot,,,"[80.0, 14.4]",,High Pass,,27.42353,,,,,Raphaël Adelino José Guerreiro,5209.0,,,,,,2,From Free Kick,Rafidine Abdullah,24646.0,Left Defensive Midfield,122,Lorient,165,"['3590afb7-e008-48aa-9bb4-dcbc1bb901b6', '72a52b4c-5545-4365-b21f-cecba643fac5']",39,,,,,,,,,,,,,,,,,Lorient,165,00:20:39.566,Pass,True
,,,,,,,,,,,,,,,,,0.947297,,,,,,,,,,,,,18ee3daf-0aea-45a9-beb1-7bde326234a2,3108,,"[84.9, 18.1]",3900618,65,,,,0.49329993,,Left Foot,,,"[94.2, 23.1]",,Ground Pass,,10.558883,,,,,Walid Mesloub,7766.0,,,,,,2,From Free Kick,Raphaël Adelino José Guerreiro,5209.0,Left Back,122,Lorient,165,['d0b895b5-8e67-473d-8eb1-fe5bcf7164d8'],43,,,,,,,,,,,,,,,,,Lorient,165,00:20:43.208,Pass,
,,,,,,,,,,,,,,,,,1.669054,,,,,,,,,,,,,81f5e952-3c98-4cee-8a5d-741d1bf7fdaf,3111,,"[94.2, 23.1]",3900618,65,,,,-0.9473148,,Right Foot,,,"[104.7, 8.5]",,Ground Pass,,17.983604,,,,,Jimmy Cabot,7336.0,,,,,,2,From Free Kick,Walid Mesloub,7766.0,Center Attacking Midfield,122,Lorient,165,['9f0d6c38-84e5-49aa-bbfd-741611969945'],44,,,,,,,,,,,,,,,,,Lorient,165,00:20:44.695,Pass,
,,,,,,,,,,,,,,,,,0.866184,,,,,,,,,,,,,7be36279-4767-4b58-8def-7529e9e9ab71,3114,,"[104.8, 11.2]",3900618,65,,,,1.4625257,,Right Foot,,,"[106.8, 29.6]",,Ground Pass,,18.508377,,,,,Raphaël Adelino José Guerreiro,5209.0,,,,,,2,From Free Kick,Jimmy Cabot,7336.0,Left Midfield,122,Lorient,165,['a255e7a5-45cc-45a7-bb74-2e1a09456f3a'],48,,,,,,,,,,,,,,,,,Lorient,165,00:20:48.210,Pass,
,,,,,,,,,,,,,,,,,0.503466,,,,,,,,,,,,,459f1f76-de1f-4072-b04b-f88443fa1aae,3119,,"[110.3, 26.1]",3900618,65,,,,0.3296244,,Left Foot,,,"[114.1, 27.4]",,Ground Pass,,4.016217,,,Pass Offside,,Jimmy Cabot,7336.0,,,,,,2,From Free Kick,Raphaël Adelino José Guerreiro,5209.0,Left Back,122,Lorient,165,"['1770a631-b258-4978-96ad-4154d8019396', 'a9143cf7-35a6-488f-8d81-10b9fa473e9a']",50,,,,,,,,,,,,,,,,,Lorient,165,00:20:50.194,Pass,True
,,,,,,,,,,,,,,,,,1.972635,,,,,,,,,,,,,2fc99d15-111a-44dc-87a2-fe1bffcc9631,3121,,"[13.8, 49.9]",3900618,66,True,,,-1.3362843,,Right Foot,,,"[20.8, 20.6]",,Ground Pass,,30.124575,,,,,Thiago Emiliano da Silva,3295.0,,,,,Free Kick,2,From Free Kick,Kevin Trapp,4440.0,Goalkeeper,123,Paris Saint-Germain,131,['d9b9b516-6626-4843-8eb1-a346ef3e9469'],21,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:21:21.989,Pass,
,,,,,,,,,,,,,,,,,1.095874,,,,,,,,,,,,,83543305-33d0-4a05-8268-8b5721952be4,3123,,"[21.5, 21.0]",3900618,66,,,,0.104876935,,Left Foot,,,"[34.8, 22.4]",,Ground Pass,,13.373481,,,,,Blaise Matuidi,4375.0,,,,,,2,From Free Kick,Thiago Emiliano da Silva,3295.0,Left Center Back,123,Paris Saint-Germain,131,['7a3d6661-806b-45c4-8213-d2e0a6491aa7'],25,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:21:25.761,Pass,
,,,,,,,,,,,,,,,,,0.930875,,,,,,,,,,,,,1b6d2b70-a764-4c85-8939-2b8e6bf3f515,3126,,"[37.0, 22.6]",3900618,66,,,,1.120135,,Left Foot,,,"[41.5, 31.9]",,Ground Pass,,10.331505,,,,,Zlatan Ibrahimović,3672.0,,,,,,2,From Free Kick,Blaise Matuidi,4375.0,Center Defensive Midfield,123,Paris Saint-Germain,131,['8e1b7ca0-ce90-4235-911d-6246fc2a71ae'],28,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:21:28.211,Pass,
,,,,,,,,,,,,,,,,,1.261647,,,,,,,,,,,,,0cee597e-0800-4921-b86a-7e67373e8033,3129,,"[41.5, 31.9]",3900618,66,,,,-1.1730503,,Right Foot,,,"[53.6, 3.1]",,Ground Pass,,31.238598,,,,,Layvin Kurzawa,4326.0,,,,,,2,From Free Kick,Zlatan Ibrahimović,3672.0,Center Forward,123,Paris Saint-Germain,131,['77a04264-030f-42d6-9d34-c073fbc9d6d9'],29,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:21:29.773,Pass,
,,,,,,,,,,,,,,,,,1.297813,,,,,,,,,,,,,44c84b3d-7419-4ec9-95ef-f6e6d869926d,3132,,"[53.4, 3.4]",3900618,66,,,,2.002197,,Left Foot,,,"[47.6, 16.0]",,Ground Pass,,13.870832,,,,,Zlatan Ibrahimović,3672.0,,,,,,2,From Free Kick,Layvin Kurzawa,4326.0,Left Back,123,Paris Saint-Germain,131,['9733a4dd-aaa3-489a-9192-b12f36c3b6c3'],31,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:21:31.847,Pass,
,,,,,,,,,,,,,,,,,0.982173,,,,,,,,,,,,,42089777-0a4d-4987-b35a-1749f665399a,3135,,"[49.4, 16.6]",3900618,66,,,,-1.4141945,,Right Foot,,,"[50.3, 10.9]",,Ground Pass,,5.770615,,,,,Blaise Matuidi,4375.0,,,,,,2,From Free Kick,Zlatan Ibrahimović,3672.0,Center Forward,123,Paris Saint-Germain,131,['09451254-ff41-4de1-aeda-e8898c7e79a9'],33,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:21:33.366,Pass,
