50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.243769,,,,,,,,,,,,,2690ded7-8be7-4074-a6d2-249929935294,67,,,"[100.8, 5.9]",3900631,1,,,,,1.1633189,,Left Foot,True,,,"[116.9, 43.2]",,High Pass,,40.626347,,,Incomplete,,,,,,,,,,1,From Free Kick,Adrien Regattin,16418.0,Left Wing,4,Toulouse,130,['35e0d486-724a-4a08-850b-8f63744bf82e'],9,,,,,,,,,,,,,,,,Toulouse,130,00:01:09.281,Pass,
,,,,,,,,,,,,,,,,1.081893,,,,,,,,,,,,,f723c904-b92f-43a6-9d3c-3b23de068969,69,,,"[13.6, 34.5]",3900631,1,,True,,,0.1113028,,Keeper Arm,,,,"[47.6, 38.3]",,Ground Pass,,34.211693,,,,,Souleymane Camara,3679.0,,,,,,,1,From Keeper,Laurent Pionnier,40645.0,Goalkeeper,5,Montpellier,139,['57b5f172-6504-4a77-9d63-ab660645ba9c'],26,,,,,,,,,,,,,,,,Montpellier,139,00:01:26.156,Pass,
,,,,,,,,,,,,,,,,1.210039,,,,,,,,,,,,,2541c481-602e-4e7b-8602-7ce59279b83e,71,,,"[78.3, 43.1]",3900631,1,,,,,-1.1796211,,Right Foot,,,,"[85.6, 25.4]",,Ground Pass,,19.146278,,,,,Jonas Martin,2950.0,,,,,,,1,From Keeper,Souleymane Camara,3679.0,Right Center Forward,5,Montpellier,139,['03569772-f16d-4e17-8a62-09453786975e'],28,,,,,,,,,,,,,,,,Montpellier,139,00:01:28.098,Pass,
,,,,,,,,,,,,,,,,1.409136,,,,,,,,,,,,,98801d91-fff3-40bc-9c67-aa21fb1ead56,75,,,"[97.2, 18.4]",3900631,1,,,,,-0.87872237,,Right Foot,,,,"[106.4, 7.3]",,Ground Pass,,14.417004,,,,,Jérôme Roussillon,3676.0,,,,,,,1,From Keeper,Jonas Martin,2950.0,Left Center Midfield,5,Montpellier,139,"['4ca622ee-d368-490b-b200-3183106d69ca', '55444c21-1e8b-4a66-9b92-16c538980b38']",31,,,,,,,,,,,,,,,,Montpellier,139,00:01:31.785,Pass,True
,,,,,,,,,,,,,,,,0.173896,,,,,,,,,,,,,dfd87184-4943-41ef-aad0-5bb98c981c72,78,,,"[107.4, 5.9]",3900631,1,,,,,1.5243182,,Left Foot,,,,"[107.6, 10.2]",,Low Pass,,4.304649,,,Incomplete,,,,,,,,,,1,From Keeper,Jérôme Roussillon,3676.0,Left Back,5,Montpellier,139,['f571c710-e173-4e93-90e7-1f6e24ce9c3c'],33,,,,,,,,,,,,,,,,Montpellier,139,00:01:33.194,Pass,
,,,,,,,,,,,,,,,,1.177569,,,,,,,,,,,,,3de1a81f-4eff-4e26-942d-cf83e5a2a263,80,,,"[120.0, 0.1]",3900631,2,,,,,1.6823531,,Left Foot,,,,"[115.9, 36.7]",,High Pass,,36.82893,,,Incomplete,True,,,,,,Outswinging,,Corner,1,From Corner,Ryad Boudebouz,6661.0,Center Attacking Midfield,6,Montpellier,139,['7c9cbbb0-ef1c-4759-8906-b718271d87a2'],3,,,,,,,,,,,,,,,,Montpellier,139,00:02:03.312,Pass,
,,,,,,,,,,,,,,,,1.283041,,,,,,,,,,,,,91d3d6cf-c54b-4cf2-b607-bb6240e06b7c,88,,,"[20.9, 74.2]",3900631,2,,,,,0.1191928,,Right Foot,,,,"[37.6, 76.2]",,Ground Pass,,16.819334,,,,,Wissam Ben Yedder,6723.0,,,,,,,1,From Corner,Óscar Guido Trejo,11540.0,Right Center Midfield,6,Montpellier,139,['2b04b61e-0888-4497-90d3-9c3766bd5597'],14,,,,,,,,,,,,,,,,Toulouse,130,00:02:14.424,Pass,
,,,,,,,,,,,,,,,,1.704925,,,,,,,,,,,,,24236097-933b-48ea-99ce-a36adddb7aa9,91,,,"[49.0, 75.6]",3900631,2,,,,,-0.3067302,,Right Foot,,,,"[77.1, 66.7]",,Ground Pass,,29.475752,,,Incomplete,,Adrien Regattin,16418.0,,,,,,,1,From Corner,Wissam Ben Yedder,6723.0,Center Forward,6,Montpellier,139,"['11974a8e-5383-4767-810a-bbb15868438c', '7852e430-e0ac-46d3-a3bb-69df5d449544']",16,,,,,,,,,,,,,,,,Toulouse,130,00:02:16.994,Pass,
,,,,,,,,,,,,,,,,2.345615,,,,,,,,,,,,,80ab5e06-53af-4d9c-a4cd-016bd32216a4,95,,,"[30.5, 6.7]",3900631,2,,,,,2.0293355,,Left Foot,,,,"[15.0, 38.1]",,Ground Pass,,35.01728,,,,,Laurent Pionnier,40645.0,,,,,,,1,From Corner,Jérôme Roussillon,3676.0,Left Back,6,Montpellier,139,['952753e2-f5ea-49c0-ae6b-e3e2d745fdb6'],20,,,,,,,,,,,,,,,,Montpellier,139,00:02:20.776,Pass,
,,,,,,,,,,,,,,,,1.024288,,,,,,,,,,,,,4a3337be-68eb-4a92-8880-f7b97e5c2966,98,,,"[17.7, 39.9]",3900631,2,,,,,0.32175055,,Right Foot,,,,"[29.7, 43.9]",,Ground Pass,,12.649111,,,,,Vitorino Hilton da Silva,3674.0,,,,,,,1,From Corner,Laurent Pionnier,40645.0,Goalkeeper,6,Montpellier,139,['fb0eebd2-9b5c-4003-a1da-5480994360f6'],25,,,,,,,,,,,,,,,,Montpellier,139,00:02:25.116,Pass,
