50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.089251,,,,,,,,,,,,,ed93cc70-711f-48e9-a26d-78a41d82d64b,79,,,"[62.7, 25.6]",3829475,1,,,,3.0791738,,Right Foot,,,,"[53.1, 26.2]",,Ground Pass,,9.6187315,,,,,Clément Chantôme,7552.0,,,,,,,1,From Free Kick,Henri Saivet,5110.0,Left Center Midfield,7,Bordeaux,146,['1c97ea9d-0f80-428a-9edd-5396ec618aa6'],30,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:30.623,Pass,
,,,,,,,,,,,,,,,,0.976751,,,,,,,,,,,,,d8d38cf3-26cb-411f-9b02-357efb1350ba,82,,,"[52.8, 24.7]",3829475,1,,,,-1.9608444,,Right Foot,,,,"[49.1, 15.7]",,Ground Pass,,9.730879,,,,,Nicolas Pallois,3256.0,,,,,,,1,From Free Kick,Clément Chantôme,7552.0,Center Defensive Midfield,7,Bordeaux,146,['770501e5-121a-4311-8070-70bc547d0b3d'],32,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:32.020,Pass,
,,,,,,,,,,,,,,,,2.755765,,,,,,,,,,,,,93144b2c-e939-42af-8ab9-a0b7ef300740,85,,,"[53.9, 15.7]",3829475,1,,,,-0.38862526,,Left Foot,,,,"[92.0, 0.1]",,Ground Pass,,41.170013,,,Out,,,,,,,,,,1,From Free Kick,Nicolas Pallois,3256.0,Left Center Back,7,Bordeaux,146,,34,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:34.321,Pass,
,,,,,,,,,,,,,,,,1.182681,,,,,,,,,,,,,3d116026-8d69-4cf4-adfe-17be7e9a02eb,86,,,"[36.9, 80.0]",3829475,1,,,,-0.2727879,,,,,,"[53.7, 75.3]",,High Pass,,17.445057,,,Incomplete,,Mickaël Le Bihan,4723.0,,,,,,Throw-in,1,From Throw In,Jérémy Pied,4270.0,Right Back,8,OGC Nice,136,"['047e6bd9-7559-4bf4-b1f1-74a9b900d12a', '845919ac-1486-44da-9e5b-58e894944f68']",46,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:46.468,Pass,
,,,,,,,,,,,,,,,,0.97178,,,,,,,,,,,,,047e6bd9-7559-4bf4-b1f1-74a9b900d12a,88,,,"[66.4, 4.8]",3829475,1,,,,0.055498507,,Left Foot,,,,"[82.6, 5.7]",,High Pass,,16.224981,,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Nicolas Pallois,3256.0,Left Center Back,8,OGC Nice,136,"['3d116026-8d69-4cf4-adfe-17be7e9a02eb', 'f0288d3a-3a85-486e-93e5-9d0451b10f05']",47,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:47.651,Pass,
,,,,,,,,,,,,,,,,3.508462,,,,,,,,,,,,,cd45062e-7ca8-48b4-b423-7a0af2706499,91,,,"[39.2, 69.6]",3829475,1,,,,-0.21452451,,Right Foot,,,,"[92.9, 57.9]",,High Pass,,54.959805,,,,,Valère Germain,3210.0,,,,,,,1,From Throw In,Jérémy Pied,4270.0,Right Back,8,OGC Nice,136,['9cd3b261-1903-445e-9754-97a5f0781619'],50,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:50.289,Pass,
,,,,,,,,,,,,,,,,0.987491,,,,,,,,,,,,,f2957622-ab8b-4fe9-b3e7-834776a05196,95,,,"[94.6, 57.1]",3829475,1,,,,-2.9982526,,Right Foot,,,,"[84.9, 55.7]",,Ground Pass,,9.80051,,,,,Hatem Ben Arfa,16462.0,,,,,,,1,From Throw In,Valère Germain,3210.0,Right Center Forward,8,OGC Nice,136,['27788933-7e09-4a75-b987-5206de09f549'],56,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:56.622,Pass,
,,,,,,,,,,,,,,,,0.996578,,,,,,,,,,,,,a4ada4b2-5ac4-4840-aa01-3df299276f27,99,,,"[82.4, 61.3]",3829475,2,,,,-1.9141484,,Left Foot,,,,"[75.5, 42.0]",,Ground Pass,,20.496342,,,,,Nampalys Mendy,4506.0,,,,,,,1,From Throw In,Hatem Ben Arfa,16462.0,Center Attacking Midfield,8,OGC Nice,136,"['5b411ffc-e525-4db3-b284-77286aae7e1e', '67a506e5-95a0-4486-a3ec-9d84b0c49244']",0,,,,,,,,,,,,,,,,,,OGC Nice,136,00:02:00.589,Pass,True
,,,,,,,,,,,,,,,,2.059804,,,,,,,,,,,,,ba6f9583-6eee-460b-871f-438581580629,102,,,"[81.2, 42.3]",3829475,2,,,,-1.3136232,,Right Foot,,,,"[89.8, 9.6]",,Ground Pass,,33.81198,,,,,Ricardo Domingos Barbosa Pereira,6352.0,,,,,,,1,From Throw In,Nampalys Mendy,4506.0,Center Defensive Midfield,8,OGC Nice,136,['25b5f3d1-5942-42d1-8e6a-5fcd3272eb6e'],3,,,,,,,,,,,,,,,,,,OGC Nice,136,00:02:03.320,Pass,
,,,,,,,,,,,,,,,,1.008094,,,,,,,,,,,,,3fb2d130-4fd5-46eb-9cdf-66bdd629b2ae,112,,,"[59.9, 9.6]",3829475,2,,,,1.4994888,,Right Foot,,,,"[61.0, 25.0]",,Ground Pass,,15.439236,,,,,Nampalys Mendy,4506.0,,,,,,,1,From Throw In,Jean Michaël Seri,3359.0,Left Center Midfield,8,OGC Nice,136,['0c490fd2-8d19-4239-9b17-9a6ff08851d4'],14,,,,,,,,,,,,,,,,,,OGC Nice,136,00:02:14.705,Pass,
,,,,,,,,,,,,,,,,0.593603,,,,,,,,,,,,,f3a62b23-40b7-40ff-bd6e-85564dac437b,116,,,"[62.2, 25.3]",3829475,2,,,,-1.9617872,,Right Foot,,,,"[56.8, 12.2]",,Ground Pass,,14.169333,,,,,Jean Michaël Seri,3359.0,,,,,,,1,From Throw In,Nampalys Mendy,4506.0,Center Defensive Midfield,8,OGC Nice,136,['f0321f23-eb43-4c81-af3c-d8ea3f0dc11c'],15,,,,,,,,,,,,,,,,,,OGC Nice,136,00:02:15.753,Pass,
,,,,,,,,,,,,,,,,0.878252,,,,,,,,,,,,,276a2316-b2e0-4d42-a98a-56ece0bea429,119,,,"[57.9, 14.5]",3829475,2,,,,-0.051678084,,Right Foot,,,,"[75.3, 13.6]",,Ground Pass,,17.42326,,,,,Valère Germain,3210.0,,,,,,,1,From Throw In,Jean Michaël Seri,3359.0,Left Center Midfield,8,OGC Nice,136,['b29f1e2e-2fa6-42a9-b875-c148ab817ace'],18,,,,,,,,,,,,,,,,,,OGC Nice,136,00:02:18.761,Pass,
,,,,,,,,,,,,,,,,1.255764,,,,,,,,,,,,,0a3b891e-348d-4ce4-bd44-e03c3a3241e0,127,,,"[33.8, 56.2]",3829475,2,,,,-1.5262914,,Right Foot,,,,"[34.9, 31.5]",,Ground Pass,,24.724482,,,,,Enzo Crivelli,3184.0,,,,,,,1,Regular Play,Pablo Nascimento Castro,4542.0,Right Center Back,9,Bordeaux,146,['d7f88ab6-a3ba-45be-985f-7fb0dd098bf9'],26,,,,,,,,,,,,,,,,,,Bordeaux,146,00:02:26.818,Pass,
