50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.386558,,,,,,,,,,,,,483644c5-c73e-485c-bf99-91d66967b141,3122,,,"[73.6, 21.9]",3829439,88,,,,1.3896362,,Right Foot,,"[77.3, 42.1]",,Ground Pass,,20.536066,,,,,Thomas Lemar,3245.0,,,,,,2,From Throw In,Tiemoué Bakayoko,3955.0,Right Defensive Midfield,191,AS Monaco,129,['59f06d7b-311f-47c8-89c7-8b8dd50afbfe'],44,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:44.340,Pass,
,,,,,,,,,,,,,,,,2.281128,,,,,,,,,,,,,4de5690d-68d1-4391-ac59-722ad892cb95,3125,,,"[77.3, 42.1]",3829439,88,,,,0.7284976,,Left Foot,,"[110.7, 71.9]",,High Pass,,44.76159,,,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,2,From Throw In,Thomas Lemar,3245.0,Center Attacking Midfield,191,AS Monaco,129,['b0c23792-0ae2-4434-9973-d0deebad1c75'],47,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:47.802,Pass,
,,,,,,,,,,,,,,,,1.183806,,,,,,,,,,,,,d5cfb58e-db23-41cc-b31a-d9478b5ba3cd,3128,,,"[107.5, 69.9]",3829439,88,,,,-1.9200629,,Left Foot,,"[101.6, 53.7]",,Low Pass,,17.24094,,,,,Thomas Lemar,3245.0,,,,,,2,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,191,AS Monaco,129,['7084a1f3-155f-480a-902e-6345a7f4e015'],52,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:52.221,Pass,
,,,,,,,,,,,,,,,,2.460368,,,,,,,,,,,,,00651ef6-ba83-4745-a4e5-d168590f2fb3,3130,,,"[101.6, 53.7]",3829439,88,,,,-0.17404523,,Right Foot,,"[110.7, 52.1]",,Low Pass,,9.239589,,,Incomplete,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,2,From Throw In,Thomas Lemar,3245.0,Center Attacking Midfield,191,AS Monaco,129,"['3ca0804e-a888-4fbc-999f-3c92fa7cabe4', 'e2e3c08b-81e2-41f2-9171-c495d8516f48']",53,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:53.405,Pass,
,,,,,,,,,,,,,,,,1.140388,,,,,,,,,,,,,ac2da99b-879f-4740-87a3-85dc0f2488eb,3133,,,"[110.7, 80.0]",3829439,89,,,,-1.8033533,,,,"[107.1, 64.8]",,Low Pass,,15.6205,,,,,Thomas Lemar,3245.0,,,,,Throw-in,2,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,192,AS Monaco,129,['11dbd907-4368-4094-bc09-1b3520accbe5'],1,,,,,,,,,,,,,,,,,,AS Monaco,129,00:44:01.601,Pass,
,,,,,,,,,,,,,,,,0.06799,,,,,,,,,,,,,2c9b6060-bb79-4b98-b7fc-3339dec493ca,3138,,,"[118.3, 69.0]",3829439,89,,,,-1.9841267,,Right Foot,,"[115.8, 63.3]",,Low Pass,,6.2241464,,,Incomplete,,,,,,,,,2,From Throw In,Thomas Lemar,3245.0,Center Attacking Midfield,192,AS Monaco,129,['0e638d8c-447d-46b8-9fb5-cd8bd5f69f5e'],6,,,,,,,,,,,,,,,,,,AS Monaco,129,00:44:06.915,Pass,
,,,,,,,,,,,,,,,,2.66109,,,,,,,,,,,,,bd13d6e3-beeb-4077-ae52-92f771e4eda3,3141,,,"[66.3, 70.7]",3829439,89,,,,-0.9961263,,Right Foot,,"[81.0, 48.0]",,High Pass,,27.044039,,,Incomplete,,,,,,,,Recovery,2,From Throw In,Jérémy Toulalan,3406.0,Right Center Back,192,AS Monaco,129,['326ad94f-097c-4533-b848-ed5a599a764b'],10,,,,,,,,,,,,,,,,,,AS Monaco,129,00:44:10.947,Pass,
,,,,,,,,,,,,,,,,0.70688,,,,,,,,,,,,,ce8d3e0a-7b06-4bce-a182-a79c6acb2d89,3144,,,"[39.1, 32.1]",3829439,89,,,,-0.8131688,,Left Foot,,"[46.1, 24.7]",,Ground Pass,,10.186265,,,Incomplete,,Pavle Ninkov,40641.0,,,,,,2,From Throw In,Yann Bodiger,2961.0,Right Defensive Midfield,192,AS Monaco,129,"['133bd821-2a85-4f65-aa92-cb25bbac02a9', '2510628f-1b9a-48bd-84c6-de17a6402704']",14,,,,,,,,,,,,,,,,,,Toulouse,130,00:44:14.103,Pass,
,,,,,,,,,,,,,,,,1.015733,,,,,,,,,,,,,afb17248-0f1c-479a-86bd-972a68fc56c0,3148,,,"[72.0, 57.0]",3829439,89,,,,-1.8277029,,Left Foot,,"[68.9, 45.2]",,Ground Pass,,12.20041,,,,,Adama Traoré,4464.0,,,,,,2,From Throw In,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Right Wing,192,AS Monaco,129,['2e9521d9-9fb1-407d-9d8d-8bb48d6b0baf'],15,,,,,,,,,,,,,,,,,,AS Monaco,129,00:44:15.980,Pass,
,,,,,,,,,,,,,,,,3.419416,,,,,,,,,,,,,503e4156-6121-459e-ba84-30627f86aa61,3151,,,"[70.3, 43.7]",3829439,89,,,,-0.823475,,Left Foot,,"[110.7, 0.1]",,High Pass,,59.440052,,,Out,,Layvin Kurzawa,4326.0,,,True,,,2,From Throw In,Adama Traoré,4464.0,Left Defensive Midfield,192,AS Monaco,129,['d84d31d6-de65-4981-93a3-2d8d3db9224d'],18,,,,,,,,,,,,,,,,,,AS Monaco,129,00:44:18.550,Pass,
