50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,7bf75b53-a389-43ce-bd9d-ae884cea2730,48,,,"[74.1, 55.1]",3829473,0,,,,,1.2196425,,Left Foot,,,,"[77.8, 65.2]",,Ground Pass,,10.756393,,,,Javier Matías Pastore,4370.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['d8db1cc9-15b7-4af7-8cf6-295012256f31'],43,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:43.994,Pass,
,,,,,,,,,,,,,,,,,,,0.625785,,,,,,,,,,,,,,e778662a-58c2-4a2d-abae-e7a48ce6268b,52,,,"[76.6, 63.9]",3829473,0,,,,,-1.2958865,,Left Foot,,,,"[79.9, 52.2]",,Ground Pass,,12.15648,,,,Thiago Motta,4325.0,,,,,,1,From Kick Off,Javier Matías Pastore,4370.0,Right Center Midfield,2,Paris Saint-Germain,131,"['8d5b27e8-94c1-4c5f-bfd4-3c5fd390eedb', 'ff2ac157-8b93-49eb-8c9f-3b193fbff68f']",45,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:45.801,Pass,True
,,,,,,,,,,,,,,,,,,,1.214851,,,,,,,,,,,,,,3d8f915f-52fa-4429-8262-b67a245f82eb,58,,,"[84.8, 53.4]",3829473,1,,,,,-0.47257593,,Right Foot,,,,"[107.1, 42.0]",,High Pass,,25.04496,,Incomplete,,David Luiz Moreira Marinho,3956.0,,,,,Free Kick,1,From Free Kick,Gregory van der Wiel,20048.0,Right Back,3,Paris Saint-Germain,131,"['84a4be47-460c-47a9-a4b0-bda07bce913f', 'c863caad-509d-47f3-8e00-dc03771aa2f6']",16,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:16.911,Pass,
,,,,,,,,,,,,,,,,,,,3.506877,,,,,,,,,,,,,,e939da65-f6fa-4d00-8ca8-23f859f0c738,63,,,"[7.0, 44.1]",3829473,1,,True,,,0.12361794,,Left Foot,,,,"[73.8, 52.4]",,High Pass,,67.31367,,Incomplete,,Younousse Sankharé,3348.0,,,,,Goal Kick,1,From Goal Kick,Jonas Lössl,3322.0,Goalkeeper,4,Guingamp,142,"['3331867b-d3a8-40fa-a14b-c6e49222d577', 'f1c04891-4007-4ba8-beb8-b2241cfa5715']",44,,,,,,,,,,,,,,,,,,,Guingamp,142,00:01:44.242,Pass,
,,,,,,,,,,,,,,,,,,,1.905163,,,,,,,,,,,,,,796c9bd4-8a73-4b54-8e31-f4a2971a7e13,69,,,"[54.7, 30.5]",3829473,1,,,,,-2.0656838,,Right Foot,,,,"[47.9, 17.9]",,Ground Pass,,14.3178215,,Incomplete,,Blaise Matuidi,4375.0,,,,,Recovery,1,From Goal Kick,Javier Matías Pastore,4370.0,Right Center Midfield,4,Guingamp,142,"['5fb803dc-3c5a-4a3e-8d6c-e17fcdd9b463', '778ed62d-2285-4500-a58d-78745ee688c7', 'ec329855-1c23-492a-ac5d-08a2634e77f8']",49,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:49.196,Pass,True
,,,,,,,,,,,,,,,,,,,2.182971,,,,,,,,,,,,,,ee97c8f6-73a6-4e73-974e-dae38846f9d5,73,,,"[89.9, 66.9]",3829473,1,,,,,-1.0672637,,Right Foot,True,,,"[108.3, 33.5]",,High Pass,,38.132927,,Incomplete,,Marcus Coco,3363.0,,,,,,1,From Goal Kick,Nill De Pauw,23784.0,Right Midfield,4,Guingamp,142,"['231ce802-3b59-48ce-b79c-8ac817625810', 'e5fee61d-1039-45d2-9b42-2e48ffc04fd3']",55,,,,,,,,,,,,,,,,,,,Guingamp,142,00:01:55.074,Pass,
,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,e5fee61d-1039-45d2-9b42-2e48ffc04fd3,75,,,"[11.8, 46.6]",3829473,1,,,,,-2.2565258,,Other,,,,"[5.5, 38.9]",,Low Pass,,9.94887,,,,Kevin Trapp,4440.0,,,,,Recovery,1,Regular Play,Gregory van der Wiel,20048.0,Right Back,5,Paris Saint-Germain,131,"['8d6a1f8a-2ba6-42e2-931d-a81746568afa', 'ee97c8f6-73a6-4e73-974e-dae38846f9d5']",57,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:57.257,Pass,
,,,,,,,,,,,,,,,,,,,1.417856,,,,,,,,,,,,,,514dd888-6451-4f08-a7d1-fb32afe38dff,78,,,"[11.8, 40.1]",3829473,1,,,,,-0.27269435,,Keeper Arm,,,,"[23.6, 36.8]",,Ground Pass,,12.252755,,,,Thiago Motta,4325.0,,,,,,1,Regular Play,Kevin Trapp,4440.0,Goalkeeper,5,Paris Saint-Germain,131,['275eaa61-01cb-4fb4-b5db-a442a7e66c54'],59,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:59.343,Pass,
,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,a5194dc5-f4e3-44b7-a0d9-8de9441b6af0,82,,,"[29.0, 35.1]",3829473,2,,,,,0.56149364,,Left Foot,,,,"[35.2, 39.0]",,Ground Pass,,7.324616,,,,Javier Matías Pastore,4370.0,,,,,,1,Regular Play,Thiago Motta,4325.0,Center Defensive Midfield,5,Paris Saint-Germain,131,['d303f973-9d04-4fc0-a1d9-9b601ae6ecfa'],1,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:02:01.973,Pass,
,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,eb2e6177-00d4-403b-bd29-3cdaf83b5184,85,,,"[43.5, 45.8]",3829473,2,,,,,1.4987563,,Right Foot,,,,"[44.9, 65.2]",,Ground Pass,,19.450449,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,Regular Play,Javier Matías Pastore,4370.0,Right Center Midfield,5,Paris Saint-Germain,131,['ecaf0664-87d2-4d8e-9535-3edc68b5bf90'],5,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:02:05.120,Pass,
