50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,"[56.2, 73.8]",,,,,,,,,,,,4.858357,,,,,,,,,,,,505d7c5d-0fca-4f3a-a3e3-6c12d301aa24,3860,,"[34.1, 68.8]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sébastien Corchia,6716.0,Right Back,186,Lille,143,"['0a389cde-8663-4774-a856-917eaab4d649', '0f259113-9c34-43ff-bd10-9a65ab0c5c32', '5610f737-5279-4c1d-9d4e-05c92a652d2c']",56,,,,,,,,,,,,,,,,,,Lille,143,00:44:56.372,Carry,True
,,,,,,,"[29.2, 41.0]",,,,,,,,,,,,1.248544,,,,,,,,,,,,58c3ccab-e73f-41d0-98c1-88a41b786897,3867,,"[30.2, 37.0]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Romain Saïss,5219.0,Right Center Back,187,Angers,145,"['9a7b474c-c276-488d-bf06-876738547e89', '9fa08ca4-578a-49fe-92b2-977aa2efe44a']",4,,,,,,,,,,,,,,,,,,Angers,145,00:45:04.293,Carry,
,,,,,,,"[36.3, 57.6]",,,,,,,,,,,,0.126668,,,,,,,,,,,,0e66b163-1da7-4b2d-82c3-8054971f368a,3870,,"[35.8, 57.3]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Yoann Andreu,3203.0,Right Back,187,Angers,145,"['7c1a30d4-617f-4af3-a7f0-efb59313c293', 'ffd1fd36-9a55-4d76-b23d-8534c3c0e0ba']",6,,,,,,,,,,,,,,,,,,Angers,145,00:45:06.927,Carry,
,,,,,,,"[36.2, 43.6]",,,,,,,,,,,,0.08,,,,,,,,,,,,44815612-04bb-444f-8c58-52cc14baf441,3873,,"[34.8, 45.1]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Romain Saïss,5219.0,Right Center Back,187,Angers,145,"['08a06c34-b28b-4266-9152-a67500d4586c', '1a3861c5-9db5-456e-93ec-56f2ba3a4f57']",7,,,,,,,,,,,,,,,,,,Angers,145,00:45:07.950,Carry,
,,,,,,,"[41.6, 41.3]",,,,,,,,,,,,1.408847,,,,,,,,,,,,3220f0c3-2a55-4dee-b09d-028e91e61dee,3876,,"[41.6, 41.5]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Olivier Auriac,401483.0,Center Defensive Midfield,187,Angers,145,"['365f4cb3-2415-4811-9670-7174ab7087d7', 'fd2eff77-f6cd-4ba4-8785-c66ef929a98b']",9,,,,,,,,,,,,,,,,,,Angers,145,00:45:09.291,Carry,
,,,,,,,"[40.7, 58.0]",,,,,,,,,,,,0.550349,,,,,,,,,,,,5426ba5c-d0ce-45c7-a6f7-c867f5810cfa,3879,,"[38.4, 60.4]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Yoann Andreu,3203.0,Right Back,187,Angers,145,"['4a9289af-f8d3-4a22-9e3c-df345ded7030', '58cfb7fd-a638-4d76-9ead-a07c889ce2a6']",11,,,,,,,,,,,,,,,,,,Angers,145,00:45:11.933,Carry,
,,,,,,,"[29.0, 36.6]",,,,,,,,,,,,2.406043,,,,,,,,,,,,14bee527-9340-431d-9190-1cdcd91cbf8e,3882,,"[29.4, 39.8]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Romain Saïss,5219.0,Right Center Back,187,Angers,145,"['3b76178f-baf3-49a9-890d-cc236c42dd9b', 'f672cc50-27ab-4fbe-8f22-4a911a26041e']",12,,,,,,,,,,,,,,,,,,Angers,145,00:45:12.997,Carry,
,,,,,,,"[50.2, 46.6]",,,,,,,,,,,,0.833824,,,,,,,,,,,,365d6b9c-f79f-4021-a9e9-fdb088cac5c7,3887,,"[49.7, 43.8]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Olivier Auriac,401483.0,Center Defensive Midfield,187,Angers,145,"['377900a3-ab77-4218-8db9-dd70165a2cc4', 'd89644ab-e797-4484-af00-5b138ac3321c']",18,,,,,,,,,,,,,,,,,,Angers,145,00:45:18.179,Carry,
,,,,,,,"[65.2, 41.8]",,,,,,,,,,,,1.365896,,,,,,,,,,,,ea22c2ce-51a5-4e66-8403-fa3ca4d7201a,3891,,"[62.0, 41.0]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Stopilla Sunzu,23203.0,Right Center Back,188,Lille,143,"['4af579f4-23fb-4ce2-8b1d-84e9c792d3cb', '9b70ff74-4d3d-4b7f-94ed-8e08fd6cb0dd', 'de2f1179-6dc5-456d-aaf5-d284d5427e68']",19,,,,,,,,,,,,,,,,,,Lille,143,00:45:19.946,Carry,True
,,,,,,,"[69.5, 28.7]",,,,,,,,,,,,4.946543,,,,,,,,,,,,ee066506-5e0e-4cf1-9bdf-3e236807b89b,3895,,"[69.1, 31.3]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mounir Obbadi,40697.0,Left Center Midfield,188,Lille,143,"['68bf7dc0-d0e2-409c-ae6c-3ec3b5898a5c', 'cbe986e9-823a-40b0-97d8-215921aa939b']",21,,,,,,,,,,,,,,,,,,Lille,143,00:45:21.986,Carry,
,,,,,,,"[83.4, 15.3]",,,,,,,,,,,,1.582952,,,,,,,,,,,,4079e69b-8f6f-4d4a-8ad3-3d046f0fd4b1,3898,,"[76.6, 17.4]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sofiane Boufal,3625.0,Left Wing,188,Lille,143,"['0cb31fe3-e201-4722-8eb2-ae286c09bdbc', '2d827346-0d88-4b67-bdde-62b3dce38c8e', '4c10b5d8-9d17-481f-acec-54771bdffe5f']",28,,,,,,,,,,,,,,,,,,Lille,143,00:45:28.696,Carry,True
,,,,,,,"[49.5, 73.6]",,,,,,,,,,,,2.535707,,,,,,,,,,,,53a743d1-acb8-451e-b7a4-e9bd633786e7,3907,,"[43.7, 71.7]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mohamed Saïd Benrahma,7212.0,Right Wing,189,Angers,145,"['6be7c6e1-9f44-42c0-aa39-25732cd8fa9b', 'b92529cd-43c0-469a-842c-2dc02823d3e7']",33,,,,,,,,,,,,,,,,,,Angers,145,00:45:33.788,Carry,
,,,,,,,"[101.0, 73.2]",,,,,,,,,,,,3.961856,,,,,,,,,,,,91c0a311-cf54-4e24-a99c-622ecbdeea57,3910,,"[76.3, 66.3]",3901232,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Cheikh N''Doye,5676.0,Right Center Midfield,189,Angers,145,"['29d0d08e-3a4b-4561-9a08-2ff893f25861', '42154598-d7f1-41d6-bf63-12ba74bfda91', '65d52181-12fc-4d34-b10d-4b2ecf6dcd2f']",38,,,,,,,,,,,,,,,,,,Angers,145,00:45:38.527,Carry,True
,,,,,,,"[8.4, 6.3]",,,,,,,,,,,,0.730655,,,,,,,,,,,,a5500da0-fb65-4d69-87a1-c9a46022a3c1,3921,,"[8.4, 7.3]",3901232,91,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marcos Paulo Mesquita Lopes,3218.0,Right Wing,191,Lille,143,"['0aa842ad-6c52-4f34-a4fb-d12c7cbe5472', '47a2f3b4-bf89-4e94-bbda-455d51a49e37', 'd9a01795-a656-4a65-81aa-faac76382223', 'ed6cf522-d85e-4d3a-8f89-b2b13ed76834']",17,,,,,,,,,,,,,,,,,,Lille,143,00:46:17.366,Carry,True
