50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,bcc49191-be6d-4f65-9ad1-3d0ba2a1527c,9,,,"[41.3, 38.5]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Benjamin Stambouli,8515.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['2f15f4a3-a36b-4d30-b62a-aa2e2990be28'],2,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.164,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,dfc248cf-30f2-48f8-816a-77a4f36c4cf3,12,,,"[43.3, 56.0]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Right Center Midfield,2,Paris Saint-Germain,131,['7abe5be8-529a-458c-9264-b873473d8522'],4,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.519,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3047eca3-98f1-4ac5-bcd8-ff7bc3e152d5,16,,,"[46.3, 29.5]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Blaise Matuidi,4375.0,Left Center Midfield,2,Paris Saint-Germain,131,['4b27308d-6bb9-4aef-8718-100992a47822'],8,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:08.615,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,352d145a-52fc-4cb7-a777-1f664bdff84f,19,,,"[56.7, 25.9]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Edinson Roberto Cavani Gómez,4319.0,Left Wing,2,Paris Saint-Germain,131,['abebf8a3-70ee-4eb0-afc0-40e9624898b3'],10,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:10.126,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3b4b8244-27c6-415f-8212-232169f7c56d,21,,,"[26.0, 23.9]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,Paris Saint-Germain,131,['3b3747ff-48ab-4166-a88e-ce62deff9537'],13,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:13.560,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,e551376d-4ede-4035-a0ca-ae8625c9a4fd,23,,,"[28.4, 55.2]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['92d25130-ac1c-490d-bc46-1141e7fac536'],15,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:15.361,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,c0ee88cf-0bb3-4bfa-8f6d-7a706e9dff5a,26,,,"[46.3, 74.8]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Gregory van der Wiel,20048.0,Right Back,2,Paris Saint-Germain,131,['29440138-5349-4145-ba43-5455cf540e77'],20,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:20.055,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,272b4f7d-a099-4cc8-b085-a634a6c51959,29,,,"[31.8, 60.0]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['5b4e9447-ce63-4b12-b1ed-c32720a09e8b'],22,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:22.121,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0aeb3b07-4b43-42e8-a3ff-ea2a46ab7412,32,,,"[31.5, 25.9]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,Paris Saint-Germain,131,['86ebce30-3333-4cf8-a594-d4c8b919a368'],25,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:25.972,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,57365cd8-8dfc-475c-a302-f80a816148be,35,,,"[29.2, 54.4]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['5a0c62c0-c818-49a2-8c7b-8f4d0b54d4e9'],28,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:28.942,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12a07dba-aaf3-4956-a803-3eb581fe10c3,38,,,"[9.3, 41.2]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Salvatore Sirigu,7469.0,Goalkeeper,2,Paris Saint-Germain,131,['91898a47-ec33-45ec-8ac3-a2f8b32bb437'],31,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:31.314,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,a411b163-4bd6-45c6-a681-43b545b86ef3,41,,,"[10.1, 20.1]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Presnel Kimpembe,2999.0,Left Center Back,2,Paris Saint-Germain,131,['e42ec7a7-7994-4195-8bd6-7395ee602dfb'],35,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:35.083,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,78edf304-ff57-4bc3-85b0-ffa9707f36e2,44,,,"[5.7, 34.5]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Salvatore Sirigu,7469.0,Goalkeeper,2,Paris Saint-Germain,131,['de82de4f-4cd7-4310-8e79-9af5804c37c3'],38,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:38.358,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,a37029c0-d294-4686-8532-a158642c7ab7,47,,,"[10.9, 59.0]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['75389bc4-2250-4445-8cac-bc5562e24842'],41,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:41.819,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ec3744e6-acda-4ae3-aafc-34ea531357e6,51,,,"[49.9, 73.8]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Lucas Rodrigues Moura da Silva,3745.0,Right Wing,2,Paris Saint-Germain,131,['fe32db50-23f6-4b1b-99b3-56642302760f'],45,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:45.672,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,30a5276d-8af3-4cf2-96fa-2ce6a54eb0b3,64,,,"[46.0, 20.1]",3901216,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Edinson Roberto Cavani Gómez,4319.0,Left Wing,2,Paris Saint-Germain,131,['cb37aadd-d8aa-4374-b513-b35f745aa795'],56,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:56.577,Ball Receipt*,
