ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.790491,,,,,,,,,,,,,9dc72856-d2b9-4f1a-bb0a-98c498c1898f,49,,,"[51.0, 8.7]",3829448,1,,,,,2.462179,,Left Foot,,,"[38.0, 19.2]",,Ground Pass,,16.710775,,,,,Anthony Weber,7435.0,,,,,,1,From Throw In,Franck Signorino,40521.0,Left Back,7,Stade de Reims,156,['f0fadf6d-686b-4c69-b38f-dd3bc3631653'],8,,,,,,,,,,,,,,,,,Stade de Reims,156,00:01:08.410,Pass,
,,,,,,,,,,,,,,,,1.53185,,,,,,,,,,,,,32388717-0c51-4ac0-a747-acf0c8e07b33,52,,,"[45.3, 40.6]",3829448,1,,,,,0.76750743,,Right Foot,,,"[70.9, 65.3]",,Ground Pass,,35.573166,,,,,Gaëtan Charbonnier,7635.0,,,,,,1,From Throw In,Anthony Weber,7435.0,Left Center Back,7,Stade de Reims,156,['71cc1d22-6f08-44b1-acec-905c6229798e'],14,,,,,,,,,,,,,,,,,Stade de Reims,156,00:01:14.629,Pass,
,,,,,,,,,,,,,,,,1.027226,,,,,,,,,,,,,4480bdfa-3c61-4eb3-91b6-ecd145138393,56,,,"[80.5, 72.1]",3829448,1,,,,,0.042830933,,Right Foot,,,"[101.5, 73.0]",,Ground Pass,,21.019278,,,,,Nicolas de Roussel de Préville,4383.0,,,,,,1,From Throw In,Gaëtan Charbonnier,7635.0,Center Attacking Midfield,7,Stade de Reims,156,['659d4378-54af-435d-b8e6-b41592257185'],19,,,,,,,,,,,,,,,,,Stade de Reims,156,00:01:19.111,Pass,
,,,,,,,,,,,,,,,,1.284099,,,,,,,,,,,,,02a1cfd4-609e-4d63-ad6c-89b5f7096b35,62,,,"[120.0, 80.0]",3829448,1,,,,,-1.6927054,,Left Foot,,,"[116.3, 49.8]",,High Pass,True,30.425812,,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Atila Turan,30291.0,Left Center Midfield,8,Stade de Reims,156,['d108434b-b825-44d3-9be6-8789c6b9b2dd'],52,,,,,,,,,,,,,,,,,Stade de Reims,156,00:01:52.583,Pass,
,,,,,,,,,,,,,,,,2.730649,,,,,,,,,,,,,53cea76e-7baf-447d-87ad-0a0b124983e7,64,,,"[106.6, 80.0]",3829448,2,,,,,-2.878598,,,,,"[75.4, 71.6]",,Low Pass,,32.31099,,,,,Aïssa Mandi,6648.0,,,,,Throw-in,1,From Throw In,Antoine Conte,131849.0,Right Back,9,Stade de Reims,156,['de256620-7b27-40bc-b716-9c10165f60b1'],10,,,,,,,,,,,,,,,,,Stade de Reims,156,00:02:10.151,Pass,
,,,,,,,,,,,,,,,,1.972901,,,,,,,,,,,,,de12e396-e188-4051-8527-aaeaf6126acc,67,,,"[71.6, 67.6]",3829448,2,,,,,-2.0164511,,Right Foot,,,"[56.6, 36.2]",,Ground Pass,,34.79885,,,,,Anthony Weber,7435.0,,,,,,1,From Throw In,Aïssa Mandi,6648.0,Right Center Back,9,Stade de Reims,156,['e76619b9-2105-4c89-a111-f718fa37cb12'],13,,,,,,,,,,,,,,,,,Stade de Reims,156,00:02:13.886,Pass,
,,,,,,,,,,,,,,,,4.01044,,,,,,,,,,,,,0c3b09b7-0295-4b7b-8b8a-1af755f1d4b1,70,,,"[54.9, 36.6]",3829448,2,,,,,0.34642562,,Other,,,"[120.0, 60.1]",,Low Pass,,69.2117,,,Out,,Antoine Conte,131849.0,,,,,,1,From Throw In,Anthony Weber,7435.0,Left Center Back,9,Stade de Reims,156,['bae2d041-0fd4-4e7f-af54-5f6422cc6b96'],18,,,,,,,,,,,,,,,,,Stade de Reims,156,00:02:18.479,Pass,
,,,,,,,,,,,,,,,,3.551887,,,,,,,,,,,,,8f541589-009e-4e19-8f2a-0f29ed2d5e45,72,,,"[7.0, 44.1]",3829448,2,,,,,0.1711486,,Right Foot,,,"[79.9, 56.7]",,High Pass,,73.98087,,,Incomplete,,Walid Mesloub,7766.0,,,,,Goal Kick,1,From Goal Kick,Florent Chaigneau,401467.0,Goalkeeper,10,Lorient,165,"['15e8e91c-cb16-48b9-aed4-06b13c43fdec', '8ef09493-5071-420f-a834-3bbe8a7fed4f']",43,,,,,,,,,,,,,,,,,Lorient,165,00:02:43.499,Pass,
,,,,,,,,,,,,,,,,2.2764,,,,,,,,,,,,,8ef09493-5071-420f-a834-3bbe8a7fed4f,75,,,"[40.2, 23.4]",3829448,2,,,,True,-0.8229232,,,,,"[54.3, 8.2]",,High Pass,,20.732824,,,,,Atila Turan,30291.0,,,,,Recovery,1,Regular Play,Anthony Weber,7435.0,Left Center Back,11,Stade de Reims,156,"['8f541589-009e-4e19-8f2a-0f29ed2d5e45', 'e2efd555-f8cf-4916-981c-76bd442d9e51', 'e63de84f-2ff6-49f5-844d-6c4f57d8b3da']",47,,,,,,,,,,,,,,,,,Stade de Reims,156,00:02:47.051,Pass,True
,,,,,,,,,,,,,,,,1.330586,,,,,,,,,,,,,821b4e2b-fa32-4547-bd07-f4b4aae91d95,79,,,"[66.2, 6.6]",3829448,2,,,,,0.06465795,,Left Foot,,,"[80.1, 7.5]",,High Pass,,13.929106,,,,,Grejohn Kyei,7367.0,,,,,,1,Regular Play,Atila Turan,30291.0,Left Center Midfield,11,Stade de Reims,156,"['3a55aa1f-c2f5-494e-88f1-41e3abada24e', '4a29756e-2024-4442-9fdf-35beebfe67e2']",51,,,,,,,,,,,,,,,,,Stade de Reims,156,00:02:51.657,Pass,True
