50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.959196,,,,,,,,,,,,,,8ce0bbef-b57f-4d17-8950-cbed3206f7f0,1722,,"[66.2, 70.1]",3900522,38,,,,,0.033045817,,Right Foot,,,,"[78.3, 70.5]",,Ground Pass,,12.106609,,,Hatem Ben Arfa,16462.0,,,,,Recovery,1,Regular Play,Vincent Koziello,4264.0,Right Center Midfield,92,OGC Nice,136,['4b93cb59-c460-439f-a6cd-bf12b004bc93'],14,,,,,,,,,,,,,,,,,,OGC Nice,136,00:38:14.672,Pass,
,,,,,,,,,,,,,,,,1.310047,,,,,,,,,,,,,,2f2d2511-6dc5-49c2-a299-86f1bf98e420,1728,,"[79.0, 80.0]",3900522,38,,,,,-1.159185,,,,,,"[87.6, 60.3]",,High Pass,,21.495348,Incomplete,,Valère Germain,3210.0,,,,,Throw-in,1,From Throw In,Jérémy Pied,4270.0,Right Back,93,OGC Nice,136,"['6ae10ec3-f9fc-44a5-8333-1fe59f9f8169', 'd3949bcd-781e-4bbf-8fd6-2b405a7b2820']",28,,,,,,,,,,,,,,,,,,OGC Nice,136,00:38:28.254,Pass,
,,,,,,,,,,,,,,,,1.515113,,,,,,,,,,,,,,ed0006f6-35fa-41b5-8578-223de3b4f895,1734,,"[79.3, 70.8]",3900522,38,,,,,-2.199997,,Right Foot,,,,"[68.6, 56.1]",,Ground Pass,,18.18186,,,Jean Michaël Seri,3359.0,,,,,,1,From Throw In,Hatem Ben Arfa,16462.0,Right Center Forward,93,OGC Nice,136,"['4fa05d6e-7ce8-4395-b2aa-376598d4a76c', 'a060e785-7226-4d13-bcbd-3ab1b919c31a']",31,,,,,,,,,,,,,,,,,,OGC Nice,136,00:38:31.574,Pass,True
,,,,,,,,,,,,,,,,1.907982,,,,,,,,,,,,,,42522173-1e53-4f4e-9761-4673fe74a605,1736,,"[68.6, 56.1]",3900522,38,,,,,-2.884269,,Right Foot,,,,"[47.7, 50.6]",,Ground Pass,,21.61157,,,Mathieu Bodmer,4373.0,,,,,,1,From Throw In,Jean Michaël Seri,3359.0,Left Center Midfield,93,OGC Nice,136,['647033e0-c5a1-4c3d-b4c6-614ea0204e03'],33,,,,,,,,,,,,,,,,,,OGC Nice,136,00:38:33.089,Pass,
,,,,,,,,,,,,,,,,0.96757,,,,,,,,,,,,,,311b7060-263a-4dcb-8e07-b3ee47bb2159,1739,,"[46.7, 50.2]",3900522,38,,,,,0.50327444,,Right Foot,,,,"[55.6, 55.1]",,Ground Pass,,10.159724,,,Nampalys Mendy,4506.0,,,,,,1,From Throw In,Mathieu Bodmer,4373.0,Left Center Back,93,OGC Nice,136,['47398290-3e48-4e24-ad20-4348e020e7fe'],35,,,,,,,,,,,,,,,,,,OGC Nice,136,00:38:35.849,Pass,
,,,,,,,,,,,,,,,,1.067225,,,,,,,,,,,,,,2e6079f5-b479-421d-99bc-38d354d9e992,1741,,"[55.6, 55.1]",3900522,38,,,,,2.1421337,,Right Foot,,,,"[45.7, 70.5]",,Low Pass,,18.30765,,,Romain Genevois,2971.0,,,,,,1,From Throw In,Nampalys Mendy,4506.0,Center Defensive Midfield,93,OGC Nice,136,['62e70e58-6d24-453e-aa6d-cd003817e034'],36,,,,,,,,,,,,,,,,,,OGC Nice,136,00:38:36.817,Pass,
,,,,,,,,,,,,,,,,1.208965,,,,,,,,,,,,,,9cd7b2b7-cfe2-46de-80bf-736575fc008f,1745,,"[46.7, 70.0]",3900522,38,,,,,-0.055158716,,Right Foot,,,,"[63.0, 69.1]",,Ground Pass,,16.324827,Incomplete,,Vincent Koziello,4264.0,,,,,,1,From Throw In,Romain Genevois,2971.0,Right Center Back,93,OGC Nice,136,"['39552159-b597-4a31-bbf6-f4fbbaa6f3a3', 'f01a4f58-5b0a-4a80-8b41-dc19d19b47de', 'f9610ed3-a9fc-4cb3-af36-58d059fa9c02']",39,,,,,,,,,,,,,,,,,,OGC Nice,136,00:38:39.374,Pass,True
,,,,,,,,,,,,,,,,0.863849,,,,,,,,,,,,,,f9610ed3-a9fc-4cb3-af36-58d059fa9c02,1747,,"[57.1, 11.0]",3900522,38,,,,,-0.08599429,,Right Foot,,,,"[68.7, 10.0]",,Ground Pass,,11.6430235,Incomplete,,Martin Braithwaite Christensen,4447.0,,,,,Interception,1,From Throw In,Zinédine Machach,3032.0,Left Center Midfield,93,OGC Nice,136,"['45beed5a-cb0f-4b04-ac03-9ab1a74094a9', '50bf1a76-4ca9-4501-b59a-2c3675b3a0ad', '9cd7b2b7-cfe2-46de-80bf-736575fc008f']",40,,,,,,,,,,,,,,,,,,Toulouse,130,00:38:40.583,Pass,
,,,,,,,,,,,,,,,,1.75523,,,,,,,,,,,,,,92707a2e-8989-4977-b454-c82fd8a893f2,1750,,"[70.3, 0.1]",3900522,39,,,,,0.27829966,,,,,,"[87.1, 4.9]",,Low Pass,,17.472263,,,Zinédine Machach,3032.0,,,,,Throw-in,1,From Throw In,William Matheus da Silva,44065.0,Left Back,94,Toulouse,130,['b8aa16ab-0f35-44bf-bffb-3431e5405266'],1,,,,,,,,,,,,,,,,,,Toulouse,130,00:39:01.931,Pass,
,,,,,,,,,,,,,,,,0.977807,,,,,,,,,,,,,,bca21b40-c06d-434e-9512-29542f1f3d85,1760,,"[31.3, 80.0]",3900522,39,,,,,-0.4444192,,,,,,"[41.8, 75.0]",,Low Pass,,11.6297035,,,Valère Germain,3210.0,,,,,Throw-in,1,From Throw In,Jérémy Pied,4270.0,Right Back,95,OGC Nice,136,['de7396fb-2783-4e7f-8a4c-e8909b42cb31'],16,,,,,,,,,,,,,,,,,,OGC Nice,136,00:39:16.507,Pass,
