50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.092631,,,,,,,,,,,,,,,aaeb69be-e61e-41e6-b649-8c11449deaea,2784,,"[53.9, 34.7]",3901220,69,,,,,1.1105157,,Left Foot,,,"[59.8, 46.6]",,Ground Pass,13.282319,,,,Oussama Tannane,4265.0,,,,,,,2,Regular Play,Renaud Cohade,3200.0,Center Attacking Midfield,166,Saint-Étienne,135,"['52ad9e34-3ea0-4cda-a1bc-aadb7296a20a', '88af9b2c-15b6-4865-b405-c731001f5c1d']",16,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:24:16.203,Pass,True
,,,,,,,,,,,,,,,,,1.383513,,,,,,,,,,,,,,,5a7f69f2-b691-4679-a235-3e27de54d84b,2791,,"[58.7, 44.9]",3901220,70,,True,,,-1.6416832,,Right Foot,,,"[57.5, 28.0]",,Ground Pass,16.94255,,,,Loïc Perrin,4263.0,,,,,,Free Kick,2,From Free Kick,Moustapha Bayal Sall,401468.0,Right Center Back,167,Saint-Étienne,135,['dda8c741-8dae-47bf-960c-d11f91b132df'],15,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:15.879,Pass,
,,,,,,,,,,,,,,,,,0.978836,,,,,,,,,,,,,,,22ecbaa8-b611-465e-8c55-115d8d180e1a,2793,,"[58.0, 26.9]",3901220,70,,,,,0.28309578,,Left Foot,,,"[63.5, 28.5]",,Ground Pass,5.7280016,,,,Jérémy Clément,7442.0,,,,,,,2,From Free Kick,Loïc Perrin,4263.0,Left Center Back,167,Saint-Étienne,135,['de5e2d60-63e4-41af-a179-818f6c2c951e'],17,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:17.263,Pass,
,,,,,,,,,,,,,,,,,0.877775,,,,,,,,,,,,,,,469dbf65-cba0-4c37-8a6c-626269771a9f,2796,,"[66.7, 28.3]",3901220,70,,,,,-0.51532567,,Left Foot,,,"[78.0, 21.9]",,Ground Pass,12.986531,,,,Renaud Cohade,3200.0,,,,,,,2,From Free Kick,Jérémy Clément,7442.0,Left Defensive Midfield,167,Saint-Étienne,135,['0e51477a-d5e2-4e18-8dde-89ec497e451c'],18,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:18.602,Pass,
,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,25aee2ae-6188-4376-bd61-63ef7a666bc3,2800,,"[79.5, 19.8]",3901220,70,,,,,-1.4887028,,Left Foot,,,"[80.8, 4.0]",,Ground Pass,15.853391,,,,Kévin Monnet-Paquet,4431.0,,,,,,,2,From Free Kick,Renaud Cohade,3200.0,Center Attacking Midfield,167,Saint-Étienne,135,"['052177a8-4346-4097-b84a-b0affc16df23', '8a91941f-725b-47c7-ace1-8d96573c9ddd']",20,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:20.359,Pass,True
,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,3b20644b-b7a6-49ab-a5dd-9a1de575c843,2803,,"[80.8, 4.0]",3901220,70,,,,,1.4442042,,Right Foot,,,"[81.5, 9.5]",,Ground Pass,5.5443664,,,,Renaud Cohade,3200.0,,,,,,,2,From Free Kick,Kévin Monnet-Paquet,4431.0,Left Wing,167,Saint-Étienne,135,['b69a3566-4396-461b-93a6-cf50bfe8c810'],21,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:21.919,Pass,
,,,,,,,,,,,,,,,,,0.200373,,,,,,,,,,,,,,,3bf08064-d669-4979-820f-761531ce496a,2806,,"[81.5, 9.5]",3901220,70,,,,,0.14189705,,Right Foot,,,"[82.9, 9.7]",,Ground Pass,1.4142135,,Incomplete,,Kévin Monnet-Paquet,4431.0,,,,,,,2,From Free Kick,Renaud Cohade,3200.0,Center Attacking Midfield,167,Saint-Étienne,135,"['1dab9deb-fb09-49f6-a2c3-45de3cdba00f', 'c1040ab1-478c-4f1a-875f-d32f317e3e8d']",22,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:22.928,Pass,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,ffe473fe-68a3-4d17-977f-78766dd14d7e,2809,,"[79.5, 1.8]",3901220,70,,,,,2.7568624,,Right Foot,,,"[63.2, 8.4]",,Ground Pass,17.585505,,,,Benoît Assou-Ekotto,3047.0,,,,,,Recovery,2,From Free Kick,Kévin Monnet-Paquet,4431.0,Left Wing,167,Saint-Étienne,135,['e506bd19-f6e2-4057-a8c8-efc245951b49'],25,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:25.081,Pass,
,,,,,,,,,,,,,,,,,2.006866,,,,,,,,,,,,,,,f4d9cfbe-f036-4af1-9e3c-5310398bf115,2812,,"[63.2, 8.4]",3901220,70,,,,,1.6817253,,Left Foot,,,"[58.7, 48.8]",,Low Pass,40.649845,,,,Moustapha Bayal Sall,401468.0,,,True,,,,2,From Free Kick,Benoît Assou-Ekotto,3047.0,Left Back,167,Saint-Étienne,135,['bdac3b06-4e8d-4b8f-b07e-9c60679352dc'],28,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:28.281,Pass,
,,,,,,,,,,,,,,,,,1.292217,,,,,,,,,,,,,,,88773dcf-22aa-48d9-a3b3-f07d4fde667d,2815,,"[66.6, 59.1]",3901220,70,,,,,-0.38561708,,Right Foot,,,"[86.8, 50.9]",,Ground Pass,21.800917,,Incomplete,,Nolan Roux,3179.0,,,,Through Ball,True,,2,From Free Kick,Moustapha Bayal Sall,401468.0,Right Center Back,167,Saint-Étienne,135,"['937d773c-1065-4e93-91d8-5b9b19bb0667', 'e3cf5bff-cecf-47de-8876-be8f9a3f17d3']",32,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:32.126,Pass,
,,,,,,,,,,,,,,,,,1.25743,,,,,,,,,,,,,,,2c8f365b-5872-4e39-8844-9ea261ce871b,2819,,"[32.9, 15.5]",3901220,70,,,,,0.61790025,,Left Foot,,,"[45.0, 24.1]",,Low Pass,14.844865,,,,Seko Fofana,7791.0,,,,,,Recovery,2,Regular Play,Julian Palmieri,4508.0,Left Back,168,Bastia,2736,['7ff624dd-2928-4f58-813d-b0204be59cec'],35,,,,,,,,,,,,,,,,,Bastia,2736,00:25:35.938,Pass,
,,,,,,,,,,,,,,,,,0.11172,,,,,,,,,,,,,,,951663fb-ea60-4cd4-85a8-e8806b08fb99,2829,,"[65.3, 39.3]",3901220,70,,,,,1.5707964,,Right Foot,,,"[65.3, 41.5]",,Ground Pass,2.2,,Incomplete,,Oussama Tannane,4265.0,,,,,,Recovery,2,Regular Play,Renaud Cohade,3200.0,Center Attacking Midfield,168,Bastia,2736,"['24a9732f-f4a6-4e8e-a040-d0d49031bf95', '30a27e0b-07b4-4909-ac29-7db857bff32e', 'a39ae5a4-c2d2-4eb0-8649-ebab2c4ef64d']",41,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:41.470,Pass,True
