50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.306813,,,,,,,,,,,,,,,2665dce1-1a93-4e7a-85a5-c8395d691e05,1517,,"[27.1, 31.6]",3900521,34,,,,1.4879674,,Right Foot,,,"[29.3, 58.1]",,Ground Pass,,26.591164,,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,Regular Play,Benjamin Stambouli,8515.0,Right Defensive Midfield,87,Paris Saint-Germain,131,['5e479004-3997-4737-a03b-8d2e2ecd4155'],31,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:31.297,Pass,
,,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,,,,,,1ba6a3c0-02eb-4c94-a2f3-01257bd512ab,1520,,"[29.9, 55.8]",3900521,34,,,,-1.1722739,,Right Foot,,,"[41.9, 27.3]",,Ground Pass,,30.923292,,,,,Benjamin Stambouli,8515.0,,,,,,1,Regular Play,Thiago Emiliano da Silva,3295.0,Right Center Back,87,Paris Saint-Germain,131,['1734d6e0-69ab-42d4-b014-1adef27ca10b'],35,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:35.681,Pass,
,,,,,,,,,,,,,,,,,,2.143614,,,,,,,,,,,,,,,e1308f34-4bbd-4db7-98b6-c124b295728a,1523,,"[40.8, 28.0]",3900521,34,,,,-1.314927,,Right Foot,,,"[47.0, 4.3]",,Ground Pass,,24.497551,,,,,Layvin Kurzawa,4326.0,,,,,,1,Regular Play,Benjamin Stambouli,8515.0,Right Defensive Midfield,87,Paris Saint-Germain,131,['18b913b9-5adb-4b23-b78b-8dfe56038c65'],38,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:38.930,Pass,
,,,,,,,,,,,,,,,,,,0.859581,,,,,,,,,,,,,,,1fd9a88d-c9ea-4c84-8071-bd41e05636d4,1526,,"[55.3, 6.6]",3900521,34,,,,1.4077821,,Left Foot,,,"[57.8, 21.8]",,Ground Pass,,15.404221,,,,,Edinson Roberto Cavani Gómez,4319.0,,,,,,1,Regular Play,Layvin Kurzawa,4326.0,Left Back,87,Paris Saint-Germain,131,['ad805d51-1bde-479b-afec-166c6b4cdfa8'],45,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:45.843,Pass,
,,,,,,,,,,,,,,,,,,1.724968,,,,,,,,,,,,,,,c1f30205-3bc5-4cc5-844e-8af884f483e3,1529,,"[55.1, 19.9]",3900521,34,,,,3.0077817,,Right Foot,,,"[44.7, 21.3]",,Ground Pass,,10.493808,,,,,David Luiz Moreira Marinho,3956.0,,,,,,1,Regular Play,Edinson Roberto Cavani Gómez,4319.0,Left Center Forward,87,Paris Saint-Germain,131,['c8ae2ad0-726e-4508-9b08-b395afbe786e'],47,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:47.318,Pass,
,,,,,,,,,,,,,,,,,,2.101823,,,,,,,,,,,,,,,0d9cc8a6-89d7-4449-b0cf-ad2632d82ba8,1531,,"[44.7, 21.3]",3900521,34,,,,1.5905677,,Right Foot,,,"[44.0, 56.7]",,Ground Pass,,35.40692,,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,Regular Play,David Luiz Moreira Marinho,3956.0,Left Center Back,87,Paris Saint-Germain,131,['7995b709-826b-484e-ac95-e0edc6c1c864'],49,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:49.043,Pass,
,,,,,,,,,,,,,,,,,,1.353678,,,,,,,,,,,,,,,5ba9245d-8e0f-40b0-b843-e28afa62486e,1534,,"[46.8, 58.1]",3900521,34,,,,0.3663944,,Right Foot,,,"[64.0, 64.7]",,Ground Pass,,18.422812,,,,,Lucas Rodrigues Moura da Silva,3745.0,,,,,,1,Regular Play,Thiago Emiliano da Silva,3295.0,Right Center Back,87,Paris Saint-Germain,131,['7e016cad-37f4-4f43-8e70-e1a0ef2fab5c'],52,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:52.905,Pass,
,,,,,,,,,,,,,,,,,,0.704327,,,,,,,,,,,,,,,b19be598-0f7b-4dcf-bcba-6d0a79cdccb3,1537,,"[64.0, 64.7]",3900521,34,,,,2.6968107,,Right Foot,,,"[53.3, 69.8]",,Ground Pass,,11.85327,,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,Regular Play,Lucas Rodrigues Moura da Silva,3745.0,Right Midfield,87,Paris Saint-Germain,131,['d42aae7d-2dd5-4c6a-b580-6a6f35c49b3e'],55,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:34:55.375,Pass,
,,,,,,,,,,,,,,,,,,2.41377,,,,,,,,,,,,,,,c0bdf2f8-2c89-4401-b2ce-b2c13e8fe01e,1540,,"[44.7, 69.2]",3900521,35,,,,-1.7945436,,Right Foot,,,"[33.8, 21.3]",,Ground Pass,,49.124535,,,,,David Luiz Moreira Marinho,3956.0,,True,,,,1,Regular Play,Thiago Emiliano da Silva,3295.0,Right Center Back,87,Paris Saint-Germain,131,['3030c410-508d-40b2-aeff-515fc78e1854'],3,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:35:03.061,Pass,
,,,,,,,,,,,,,,,,,,2.18035,,,,,,,,,,,,,,,897513c0-5f16-4554-9fd0-e8b0223523e8,1543,,"[33.8, 21.3]",3900521,35,,,,1.2490457,,Right Foot,,,"[46.3, 58.8]",,Ground Pass,,39.52847,,,,,Thiago Emiliano da Silva,3295.0,,,,,,1,Regular Play,David Luiz Moreira Marinho,3956.0,Left Center Back,87,Paris Saint-Germain,131,['397f122f-db2f-4e49-8615-97c6e7d64184'],9,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:35:09.929,Pass,
,,,,,,,,,,,,,,,,,,0.748449,,,,,,,,,,,,,,,4c2e0619-cd41-4238-8f67-566cc0aab89b,1546,,"[47.4, 59.2]",3900521,35,,,,-0.78216195,,Right Foot,,,"[62.9, 43.8]",,Ground Pass,,21.849714,,,,,Benjamin Stambouli,8515.0,,,,,,1,Regular Play,Thiago Emiliano da Silva,3295.0,Right Center Back,87,Paris Saint-Germain,131,['0feee60c-55dc-4587-9158-f4f0a8e77615'],13,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:35:13.914,Pass,
