50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.997515,,,,,,,,,,,,,48be07bb-dc5f-4f3f-8b22-b57e1ca9840b,45,,"[47.6, 51.7]",3900592,0,,,,-0.5868733,,Right Foot,,,"[88.5, 24.5]",,High Pass,,49.118732,,,Incomplete,,Rodrigue Casimir Ninga,3020.0,,,,,,1,From Kick Off,Vitorino Hilton da Silva,3674.0,Right Center Back,2,Montpellier,139,"['3be58c88-8f5a-45fe-9605-045e779cbc28', '8e1c8cfa-bc46-4668-9b2d-40814ca62ada']",34,,,,,,,,,,,,,,,,,Montpellier,139,00:00:34.069,Pass,
,,,,,,,,,,,,,,,,,,0.719841,,,,,,,,,,,,,49f03728-1697-4c7b-ab19-db0be5cd02af,56,,"[94.5, 37.6]",3900592,0,,,,-1.1413559,,Right Foot,,,"[99.4, 26.9]",,Ground Pass,,11.768602,,,,,Jérôme Roussillon,3676.0,,,,,Recovery,1,From Kick Off,Jamel Saihi,40530.0,Right Defensive Midfield,2,Montpellier,139,"['228a6e55-94d0-45da-a506-505563f5e50b', 'd98247d4-44bc-4c3a-9628-7eece4e3017d']",41,,,,,,,,,,,,,,,,,Montpellier,139,00:00:41.768,Pass,True
,,,,,,,,,,,,,,,,,,0.810113,,,,,,,,,,,,,15de7fda-3b44-4781-9c29-6d4708cd26f4,59,,"[99.2, 26.8]",3900592,0,,,,2.2304251,,Left Foot,,,"[95.4, 31.7]",,Ground Pass,,6.2008066,,,,,Jamel Saihi,40530.0,,,,,,1,From Kick Off,Jérôme Roussillon,3676.0,Left Wing,2,Montpellier,139,['959751a7-2ed3-49f6-9765-5ab261548d65'],42,,,,,,,,,,,,,,,,,Montpellier,139,00:00:42.561,Pass,
,,,,,,,,,,,,,,,,,,0.486549,,,,,,,,,,,,,c5f82eb5-488d-4c03-a10e-0765d4db2537,63,,"[96.0, 26.3]",3900592,0,,,,2.13229,,Right Foot,,,"[92.1, 32.5]",,Ground Pass,,7.324616,,,,,Ryad Boudebouz,6661.0,,,,,,1,From Kick Off,Jamel Saihi,40530.0,Right Defensive Midfield,2,Montpellier,139,"['66a08ef2-c512-45ea-9f09-8eaecaf441e9', 'bead4877-a96f-430b-b8ae-c58979be11b3']",44,,,,,,,,,,,,,,,,,Montpellier,139,00:00:44.715,Pass,True
,,,,,,,,,,,,,,,,,,3.228802,,,,,,,,,,,,,14b37959-217c-4d2c-b117-afde20c0a1b4,67,,"[93.0, 33.0]",3900592,0,,,,1.4495041,,Left Foot,,,"[97.9, 73.2]",,Ground Pass,,40.49753,,,,,Bryan Dabo,3421.0,,True,,,,1,From Kick Off,Ryad Boudebouz,6661.0,Center Attacking Midfield,2,Montpellier,139,"['a0fc5e8c-bd76-4397-8436-7a5ba8c730b1', 'f14da198-3cda-4e10-a69e-4cb8e267aaa0']",46,,,,,,,,,,,,,,,,,Montpellier,139,00:00:46.057,Pass,True
,,,,,,,,,,,,,,,,,,0.616162,,,,,,,,,,,,,a0fc3952-2c2a-47a7-a2f3-53b64452248d,70,,"[91.8, 71.1]",3900592,0,,,,-1.4583693,,Right Foot,,,"[93.2, 58.7]",,Ground Pass,,12.478782,,,,,Ryad Boudebouz,6661.0,,,,,,1,From Kick Off,Bryan Dabo,3421.0,Right Back,2,Montpellier,139,['f82c8d7a-3b12-4c50-9990-d666bf33b2c3'],50,,,,,,,,,,,,,,,,,Montpellier,139,00:00:50.785,Pass,
,,,,,,,,,,,,,,,,,,2.595866,,,,,,,,,,,,,03f918af-4815-49dd-88a2-69ad55ae7c5d,73,,"[92.4, 59.4]",3900592,0,,,,0.609806,,Right Foot,,,"[114.3, 74.7]",,Ground Pass,,26.715164,,,,,Bryan Dabo,3421.0,,,,,,1,From Kick Off,Ryad Boudebouz,6661.0,Center Attacking Midfield,2,Montpellier,139,['38184316-64a2-4628-9042-e5c0806a0dee'],51,,,,,,,,,,,,,,,,,Montpellier,139,00:00:51.517,Pass,
,,,,,,,,,,,,,,,,,,1.216683,,,,,,,,,,,,,f6748029-c9cf-4b78-b6a2-65b390f8bd7b,77,,"[105.9, 75.1]",3900592,0,,,,-2.5245461,,Right Foot,,,"[91.1, 64.6]",,Ground Pass,,18.146349,,,,,Jamel Saihi,40530.0,,,,,,1,From Kick Off,Bryan Dabo,3421.0,Right Back,2,Montpellier,139,['09369a4a-a170-455d-a693-01a07a9d87ad'],57,,,,,,,,,,,,,,,,,Montpellier,139,00:00:57.961,Pass,
,,,,,,,,,,,,,,,,,,0.871369,,,,,,,,,,,,,1c9be36a-3d36-4ac5-9a36-657638bb941d,82,,"[94.8, 68.2]",3900592,1,,,,-0.58235294,,Right Foot,,,"[98.9, 65.5]",,Low Pass,,4.909175,,,,,Anthony Ribelin,34762.0,,,,,,1,From Kick Off,Jamel Saihi,40530.0,Right Defensive Midfield,2,Montpellier,139,"['3f998532-10f2-4865-a770-a7b30543786c', 'd2c8fd02-3c08-42d8-9f35-2f1a584d8d1b']",0,,,,,,,,,,,,,,,,,Montpellier,139,00:01:00.300,Pass,True
,,,,,,,,,,,,,,,,,,1.218211,,,,,,,,,,,,,f282b11c-2438-4582-b877-3d16ac89fb75,86,,"[97.6, 69.9]",3900592,1,,,,1.8865945,,Right Foot,,,"[94.3, 80.0]",,Ground Pass,,10.625442,,,Out,,Ryad Boudebouz,6661.0,,,,,,1,From Kick Off,Anthony Ribelin,34762.0,Right Wing,2,Montpellier,139,['4cd2139a-b15c-4e60-b08a-4b5a84391a43'],1,,,,,,,,,,,,,,,,,Montpellier,139,00:01:01.937,Pass,
,,,,,,,,,,,,,,,,,,1.724056,,,,,,,,,,,,,7d3b5093-1b8d-49a1-9190-1cca6bc46b5c,88,,"[22.8, 0.1]",3900592,1,,,,0.36276427,,,,,"[36.5, 5.3]",,Low Pass,,14.653668,,,,,Andy Delort,3038.0,,,,,Throw-in,1,From Throw In,Emmanuel Imorou,4474.0,Left Back,3,Caen,140,['258a85c1-eb2e-4dcd-b06e-f34d9ed07ec2'],14,,,,,,,,,,,,,,,,,Caen,140,00:01:14.304,Pass,
,,,,,,,,,,,,,,,,,,1.22996,,,,,,,,,,,,,f4c4a4b8-f9f2-43ed-b7a7-b7c477927696,92,,"[29.3, 4.0]",3900592,1,,,,3.1020093,,Right Foot,,,"[19.2, 4.4]",,Ground Pass,,10.107918,,,,,Emmanuel Imorou,4474.0,,,,,,1,From Throw In,Andy Delort,3038.0,Center Forward,3,Caen,140,['adebc072-0d8e-4e67-a74b-b21612e385ec'],18,,,,,,,,,,,,,,,,,Caen,140,00:01:18.216,Pass,
,,,,,,,,,,,,,,,,,,3.484107,,,,,,,,,,,,,abdf7037-e439-4e9f-b10a-d95f57ecb0db,96,,"[19.1, 4.8]",3900592,1,,,,0.4540993,,Left Foot,,,"[65.4, 27.4]",,High Pass,,51.521355,,,Incomplete,,,,,,,,,1,From Throw In,Emmanuel Imorou,4474.0,Left Back,3,Caen,140,"['6704d3ec-468e-47e0-8432-e5c874d6da0d', '83584f93-96fe-4e6a-bcff-bd798895d77e']",20,,,,,,,,,,,,,,,,,Caen,140,00:01:20.005,Pass,True
,,,,,,,,,,,,,,,,,,0.914018,,,,,,,,,,,,,1d167ef6-00f1-4f5c-a44b-2051bd2fa860,99,,"[55.4, 43.2]",3900592,1,,,,-0.55616623,,Right Foot,,,"[62.8, 38.6]",,Ground Pass,,8.713208,,,,,Jonas Martin,2950.0,,,,,,1,Regular Play,Vitorino Hilton da Silva,3674.0,Right Center Back,4,Montpellier,139,['e501fc9f-1449-42fc-b2d6-305155aa6eab'],25,,,,,,,,,,,,,,,,,Montpellier,139,00:01:25.078,Pass,
