50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.536638,,,,,,,,,,,,79658906-89ea-479b-b1d8-76e901b60a4a,1747,,"[30.6, 70.7]",3829455,46,,,,,-0.4988237,,Left Foot,,,,"[44.0, 63.4]",,Low Pass,,15.259423,,,Benjamin Nivet,3002.0,,,,,,2,Regular Play,Fabien Camus,401470.0,Right Midfield,103,Troyes,133,['73d9d033-f26d-479c-9475-73915113e9db'],23,,,,,,,,,,,,,,,,,Troyes,133,00:01:23.708,Pass,
,,,,,,,,,,,,,,,,,,2.204459,,,,,,,,,,,,b5e281cd-1091-46f6-aab4-c888ed94d4f1,1749,,"[44.0, 63.4]",3829455,46,,,,,-0.4636476,,Head,,,,"[51.6, 59.6]",,High Pass,,8.497058,,,Corentin Jean,3010.0,,,,,,2,Regular Play,Benjamin Nivet,3002.0,Right Center Midfield,103,Troyes,133,['2048e5b8-d90b-43c7-8e2d-3d54700b7297'],24,,,,,,,,,,,,,,,,,Troyes,133,00:01:24.246,Pass,
,,,,,,,,,,,,,,,,,,0.33917,,,,,,,,,,,,db77723b-2787-411b-96b4-a51c026102dd,1753,,"[50.8, 55.8]",3829455,46,,,,,-1.7126933,,Right Foot,,,,"[50.1, 50.9]",,Ground Pass,,4.9497476,,,Yoann Court,7376.0,,,,,,2,Regular Play,Corentin Jean,3010.0,Center Forward,103,Troyes,133,"['1c8d64b9-20eb-4ed7-a205-dcefc3f0963f', '7b14cd24-9ef9-4afb-9bad-689630acfb83']",27,,,,,,,,,,,,,,,,,Troyes,133,00:01:27.027,Pass,True
,,,,,,,,,,,,,,,,,,0.562989,,,,,,,,,,,,12290c11-ae06-4018-a2fa-241ef0551d52,1757,,"[46.0, 51.9]",3829455,46,,,,,-1.4288993,,Left Foot,,,,"[48.4, 35.1]",,Low Pass,,16.970562,Incomplete,,Quentin Othon,148132.0,,,,,,2,Regular Play,Yoann Court,7376.0,Left Center Midfield,103,Troyes,133,"['403134b7-8137-4b10-be26-32875c4896e1', 'cf4b4034-b72d-412e-8e5e-5b6dfeb97ade']",30,,,,,,,,,,,,,,,,,Troyes,133,00:01:30.124,Pass,
,,,,,,,,,,,,,,,,,,1.598302,,,,,,,,,,,,7bd96593-4e1c-4cbb-8b99-ec1fe82608a7,1761,,"[68.6, 52.0]",3829455,46,,,,,-0.6544446,,Right Foot,,,,"[91.8, 34.2]",,High Pass,,29.24175,Incomplete,,Andy Delort,3038.0,,,,,,2,Regular Play,Ronny Rodelin,2955.0,Right Midfield,103,Troyes,133,"['27958de4-52b2-40e2-9a9a-443638a12284', 'b2845312-9976-4ded-9e67-76e59c7347d8']",36,,,,,,,,,,,,,,,,,Caen,140,00:01:36.322,Pass,
,,,,,,,,,,,,,,,,,,0.898925,,,,,,,,,,,,b2845312-9976-4ded-9e67-76e59c7347d8,1763,,"[28.3, 45.9]",3829455,46,,,,,-1.4456674,,Right Foot,,,,"[30.3, 30.0]",,Ground Pass,,16.025293,,,Matthieu Saunier,13730.0,,,,,Recovery,2,Regular Play,Lossémy Karaboué,7301.0,Right Back,103,Troyes,133,"['7bd96593-4e1c-4cbb-8b99-ec1fe82608a7', 'daeef815-e8ea-4616-bb94-88cbd1258612']",37,,,,,,,,,,,,,,,,,Troyes,133,00:01:37.920,Pass,
,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,e0d4d709-d06f-4318-a66d-713dd5554317,1767,,"[28.5, 28.2]",3829455,46,,,,,-1.4814824,,Left Foot,,,,"[29.7, 14.8]",,Ground Pass,,13.453624,,,Quentin Othon,148132.0,,,,,,2,Regular Play,Matthieu Saunier,13730.0,Left Center Back,103,Troyes,133,"['6278fbdc-28eb-48c9-ae5c-5a81a581a30b', 'b1b2e251-8862-41f9-99c7-ec2f4ea691ad']",41,,,,,,,,,,,,,,,,,Troyes,133,00:01:41.520,Pass,True
,,,,,,,,,,,,,,,,,,1.232403,,,,,,,,,,,,ee324f7b-0093-4705-a968-574150ade48b,1770,,"[55.3, 3.1]",3829455,46,,,,,0.5620938,,Left Foot,,,,"[70.7, 12.8]",,Ground Pass,,18.200275,Incomplete,,Corentin Jean,3010.0,,,,,,2,Regular Play,Quentin Othon,148132.0,Left Back,103,Troyes,133,"['3cf8c867-70fc-4d6c-8456-de047b6cec85', 'ff662ec4-9f31-40a5-8b52-ef1697c42ccc']",47,,,,,,,,,,,,,,,,,Troyes,133,00:01:47.795,Pass,
,,,,,,,,,,,,,,,,,,1.426421,,,,,,,,,,,,ff662ec4-9f31-40a5-8b52-ef1697c42ccc,1772,,"[49.4, 67.3]",3829455,46,,,,,1.4940244,,Right Foot,,,,"[50.1, 76.4]",,Ground Pass,,9.1268835,,,Ronny Rodelin,2955.0,,,,,Interception,2,Regular Play,Nicolas Seube,40698.0,Right Defensive Midfield,104,Caen,140,"['d5071313-34e5-43c9-86e7-df946256e6db', 'ee324f7b-0093-4705-a968-574150ade48b']",49,,,,,,,,,,,,,,,,,Caen,140,00:01:49.028,Pass,
,,,,,,,,,,,,,,,,,,0.692648,,,,,,,,,,,,a76e0fa4-d83b-4a48-bf80-8ac7d9a6d55b,1775,,"[48.7, 75.6]",3829455,46,,,,,-3.0916343,,Right Foot,,,,"[40.7, 75.2]",,Ground Pass,,8.009994,,,Dennis Appiah,22111.0,,,,,,2,Regular Play,Ronny Rodelin,2955.0,Right Midfield,104,Caen,140,['e95f7c39-b6e0-4649-b927-488e6fa6411b'],50,,,,,,,,,,,,,,,,,Caen,140,00:01:50.518,Pass,
