50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.969463,,,,,,,,,,,,f00f72f3-f21d-495b-9dc7-9c637335c54f,63,,,"[47.0, 47.9]",3900589,1,,,,-0.8948491,,Right Foot,,,"[55.1, 37.8]",,Ground Pass,12.946815,,,,,Lassana Diarra,3181.0,,,,,,1,From Throw In,Mauricio Aníbal Isla Isla,18874.0,Right Defensive Midfield,5,Marseille,147,['2b9ea349-5202-4a71-a66d-ef526c744723'],0,,,,,,,,,,,,,,,,,Marseille,147,00:01:00.783,Pass,
,,,,,,,,,,,,,,,,,1.587821,,,,,,,,,,,,28fd8823-f5cf-4677-891f-d83b367d7bcd,66,,,"[51.6, 31.2]",3900589,1,,,,-1.7366068,,Right Foot,,,"[47.5, 6.7]",,Ground Pass,24.840693,,,,,Javier Manquillo Gaitán,3075.0,,,,,,1,From Throw In,Lassana Diarra,3181.0,Left Defensive Midfield,5,Marseille,147,['f130bf58-c813-476e-b8dd-92dc0dd8d5a2'],2,,,,,,,,,,,,,,,,,Marseille,147,00:01:02.859,Pass,
,,,,,,,,,,,,,,,,,1.298979,,,,,,,,,,,,183cb2f1-1b14-45d3-868a-36450c42665d,69,,,"[54.4, 9.6]",3900589,1,,,,-0.9986027,,Right Foot,,,"[58.2, 3.7]",,Ground Pass,7.017834,,,,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,,1,From Throw In,Javier Manquillo Gaitán,3075.0,Left Back,5,Marseille,147,['bad85fd7-5ed7-4452-8299-2b11987b5907'],5,,,,,,,,,,,,,,,,,Marseille,147,00:01:05.084,Pass,
,,,,,,,,,,,,,,,,,1.209619,,,,,,,,,,,,49398884-93a4-4ca0-a66f-1ac4a2f4f7e3,72,,,"[70.6, 3.2]",3900589,1,,,,2.7367008,,Right Foot,,,"[50.3, 11.9]",,Ground Pass,22.085743,,,,,Lassana Diarra,3181.0,,,,,,1,From Throw In,Georges-Kévin Nkoudou Mbida,3639.0,Left Wing,5,Marseille,147,['43b20cd8-9689-423c-bd00-2ca94634d441'],10,,,,,,,,,,,,,,,,,Marseille,147,00:01:10.271,Pass,
,,,,,,,,,,,,,,,,,2.719344,,,,,,,,,,,,df61d5c2-3047-49ab-81f9-5f3726ff61bd,76,,,"[52.0, 13.5]",3900589,1,,,,0.95628643,,Right Foot,,,"[88.2, 64.8]",,High Pass,62.786385,,,Incomplete,,Bouna Sarr,4351.0,,True,,,,1,From Throw In,Lassana Diarra,3181.0,Left Defensive Midfield,5,Marseille,147,"['254ffc84-a1ef-42df-81f7-09b674490424', 'cf4a4689-0bf7-4ae3-bfc3-581487fd0cae', 'f7e35d46-1764-4f7d-a054-0b55ff92b0db']",13,,,,,,,,,,,,,,,,,Marseille,147,00:01:13.505,Pass,True
,,,,,,,,,,,,,,,,,1.413341,,,,,,,,,,,,f7e35d46-1764-4f7d-a054-0b55ff92b0db,78,,,"[31.9, 15.3]",3900589,1,,,,-0.21667027,,Head,,,"[47.8, 11.8]",,Low Pass,16.280663,,,,,Hervé Bazile,2991.0,,,,,Recovery,1,Regular Play,Emmanuel Imorou,4474.0,Left Back,6,Caen,140,"['6f0507c8-1df5-4200-b697-a6ab2d702e5a', 'df61d5c2-3047-49ab-81f9-5f3726ff61bd']",16,,,,,,,,,,,,,,,,,Caen,140,00:01:16.224,Pass,
,,,,,,,,,,,,,,,,,1.033272,,,,,,,,,,,,4078c5c8-1519-4ec0-9391-caa7dd655f24,84,,,"[61.3, 0.1]",3900589,1,,,,1.3164283,,,,,"[65.2, 15.1]",,Low Pass,15.49871,,,,,Julien Féret,2959.0,,,,,Throw-in,1,From Throw In,Emmanuel Imorou,4474.0,Left Back,7,Caen,140,['1d297733-d3dc-4d8b-96d0-2e1180b9cc26'],27,,,,,,,,,,,,,,,,,Caen,140,00:01:27.827,Pass,
,,,,,,,,,,,,,,,,,0.811745,,,,,,,,,,,,a9f9fb2e-2804-443f-bd5a-eff89f220ee8,87,,,"[63.9, 14.5]",3900589,1,,,,-0.41658095,,Right Foot,,,"[75.2, 9.5]",,Ground Pass,12.356779,,,,,Andy Delort,3038.0,,,,,,1,From Throw In,Julien Féret,2959.0,Left Center Midfield,7,Caen,140,['de1c41d9-ce93-4967-bd1d-4bc76a79a6e1'],29,,,,,,,,,,,,,,,,,Caen,140,00:01:29.358,Pass,
,,,,,,,,,,,,,,,,,0.68122,,,,,,,,,,,,e7101e97-1733-400a-ac71-28db94e3fb0c,92,,,"[48.6, 66.8]",3900589,1,,,,-3.0986085,,Right Foot,,,"[39.3, 66.4]",,Ground Pass,9.3085985,,,,,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,,,,,Recovery,1,Regular Play,Mauricio Aníbal Isla Isla,18874.0,Right Defensive Midfield,8,Marseille,147,['75db4d85-0072-481d-9b63-caa3daf010dd'],31,,,,,,,,,,,,,,,,,Marseille,147,00:01:31.103,Pass,
,,,,,,,,,,,,,,,,,1.600703,,,,,,,,,,,,83d553a1-3951-422b-842e-cb8a8fea97bf,95,,,"[39.9, 66.4]",3900589,1,,,,0.16460988,,Right Foot,,,"[70.0, 71.4]",,Low Pass,30.512457,,,,,Michy Batshuayi Tunga,3457.0,,,,,,1,Regular Play,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,Right Center Back,8,Marseille,147,['3049bfde-f688-4ed3-9b3d-24527eb6e188'],32,,,,,,,,,,,,,,,,,Marseille,147,00:01:32.722,Pass,
