50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.602418,,,,,,,,,,,,,,,,4f3dce9f-af76-48d3-82fe-de21f16bd39a,2994,,"[37.7, 17.5]",3829490,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Pierre-Yves Polomat,7347.0,Left Back,151,OGC Nice,136,"['03f59398-492e-4a7f-8b97-039bf9e4ad35', '470b1d26-9211-4282-80a7-e713a515cbb9']",25,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:28:25.155,Pressure,
,,,,,,,,,,,,,True,,,,,,0.731282,,,,,,,,,,,,,,,,ba4e8faf-f319-4333-9f80-3a251ed4047d,3025,,"[95.5, 55.4]",3829490,73,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Jean-Christophe Bahebeck,8469.0,Right Midfield,153,OGC Nice,136,"['263e91f6-1ba6-424c-b697-6125ab067338', 'a637c528-29b6-400c-8982-5ec3a3d7fc80']",57,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:28:57.147,Pressure,
,,,,,,,,,,,,,,,,,,,3.762586,,,,,,,,,,,,,,,,45cfd073-6e92-4ff5-86c4-5fc52b531926,3042,,"[16.0, 6.9]",3829490,75,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Valentin Eysseric,4254.0,Left Midfield,155,OGC Nice,136,"['0ff71753-8dbd-4cdd-8881-32f70ec040e0', 'bb454a74-8535-4d9f-80c3-c14c74089e67']",23,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:30:23.809,Pressure,
,,,,,,,,,,,,,,,,,,,0.738326,,,,,,,,,,,,,,,,16fff635-2aa3-4d5d-b755-24629353f15c,3064,,"[28.2, 73.4]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Vincent Koziello,4264.0,Right Center Midfield,158,Saint-Étienne,135,['43bc4652-e0ef-4c7a-8994-5c8b9eb67f72'],1,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:31:01.849,Pressure,
,,,,,,,,,,,,,,,,,,,0.476627,,,,,,,,,,,,,,,,8c54a3bc-5bde-459c-896c-6f6e6e9d238b,3067,,"[82.3, 25.3]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Loïc Perrin,4263.0,Left Center Back,158,Saint-Étienne,135,['0cd29358-9f8e-4bbd-b6e8-7e8a63f3ee3d'],4,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:31:04.890,Pressure,
,,,,,,,,,,,,,True,,,,,,0.867548,,,,,,,,,,,,,,,,bccb689a-ce0a-4526-8422-0dcd1416f105,3073,,"[74.6, 48.6]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kévin Malcuit,4382.0,Right Back,159,OGC Nice,136,['d969214b-e6bd-49cb-a219-62035caf97e7'],8,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:31:08.746,Pressure,
,,,,,,,,,,,,,,,,,,,0.671328,,,,,,,,,,,,,,,,42dc8c67-8db2-4b4a-bbc7-363fea2b80a3,3075,,"[48.7, 35.5]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Valère Germain,3210.0,Right Center Forward,159,OGC Nice,136,['74421015-ef12-4a71-98ec-c1ea4bb75af3'],10,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:31:10.462,Pressure,
,,,,,,,,,,,,,True,,,,,,0.962945,,,,,,,,,,,,,,,,33c4cde0-f281-4cbd-861c-6f13e6dd837e,3077,,"[55.8, 36.8]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Valère Germain,3210.0,Right Center Forward,160,Saint-Étienne,135,"['47595a96-773e-4b47-8950-87f93e4c0810', 'a372662b-4738-49fd-b6d4-b5a7b12aba3f']",11,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:31:11.944,Pressure,
,,,,,,,,,,,,,True,,,,,,0.558557,,,,,,,,,,,,,,,,274803d8-42c5-461c-8d21-bc064c9e3772,3083,,"[35.3, 9.7]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ricardo Domingos Barbosa Pereira,6352.0,Left Back,160,Saint-Étienne,135,['155e3701-be32-403a-bd0b-b23e89e7c51e'],15,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:31:15.946,Pressure,
,,,,,,,,,,,,,True,,,,,,0.920486,,,,,,,,,,,,,,,,b120dc7f-415f-4c8f-9ffd-43b4e67b0aa9,3090,,"[91.1, 28.0]",3829490,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jean-Christophe Bahebeck,8469.0,Right Midfield,161,OGC Nice,136,"['05cb82c7-b881-4e6b-89cd-8c1757aca846', 'c7bf55a5-5092-4a7b-b048-ec73117883d8']",22,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:31:22.333,Pressure,
