50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.930776,,,,,,,,,,,,,3db97ff5-cb0c-4abe-894f-856a3f0976ed,17,,,"[30.4, 10.5]",3900542,0,,,,,-0.59405094,,Head,,,,"[41.8, 2.8]",,High Pass,,13.756817,,,,Éric Bauthéac,40486.0,,,,,Recovery,1,From Free Kick,Djibril Sidibé,3446.0,Left Back,3,Caen,140,"['6f0afe41-a65d-4a50-a2d0-a3e677775734', 'b95db1ba-84be-4eff-9954-b22106ce257d']",27,,,,,,,,,,,,,,,,Lille,143,00:00:27.651,Pass,
,,,,,,,,,,,,,,,,,,1.788565,,,,,,,,,,,,,9bb1ac73-f89b-43e9-88c0-fd1951d0bbf1,28,,,"[47.6, 0.1]",3900542,0,,,,,0.20604995,,,,,,"[72.0, 5.2]",,High Pass,,24.927294,,Incomplete,,Yassine Benzia,3673.0,,,,,Throw-in,1,From Throw In,Djibril Sidibé,3446.0,Left Back,4,Lille,143,"['3b1dc217-5156-40ed-92af-ab37b720dbdb', '9441725a-2a4f-4f49-a5ad-ac811854c7a6']",49,,,,,,,,,,,,,,,,Lille,143,00:00:49.862,Pass,
,,,,,,,,,,,,,,,,,,1.160355,,,,,,,,,,,,,9441725a-2a4f-4f49-a5ad-ac811854c7a6,31,,,"[48.1, 74.9]",3900542,0,,,,True,0.41106454,,,,,,"[59.8, 80.0]",,High Pass,,12.763228,,Out,,Ronny Rodelin,2955.0,,,,,Recovery,1,From Throw In,Alaeddine Yahia,7444.0,Right Center Back,4,Lille,143,"['9bb1ac73-f89b-43e9-88c0-fd1951d0bbf1', 'b3d6cabb-caa4-4885-9e6f-9b536e5e0a69', 'f94ee0c1-3315-4370-9578-23cce525544e']",51,,,,,,,,,,,,,,,,Caen,140,00:00:51.650,Pass,True
,,,,,,,,,,,,,,,,,,0.85182,,,,,,,,,,,,,6740d62e-d4ba-448f-ad52-f46019ec0d58,33,,,"[54.2, 0.1]",3900542,0,,True,,,1.6721429,,,,,,"[53.6, 6.0]",,Low Pass,,5.93043,,,,Rio Antonio Zoba Mavuba,40522.0,,,,,Throw-in,1,From Throw In,Djibril Sidibé,3446.0,Left Back,5,Lille,143,['d2da0535-c473-4ef4-a3cb-5d4188a07435'],57,,,,,,,,,,,,,,,,Lille,143,00:00:57.090,Pass,
,,,,,,,,,,,,,,,,,,0.670676,,,,,,,,,,,,,49250710-d21b-4a94-ab16-c1ff8b56d840,35,,,"[53.6, 6.0]",3900542,0,,True,,,-1.0062269,,Right Foot,,,,"[55.5, 3.0]",,Ground Pass,,3.5510561,,,,Djibril Sidibé,3446.0,,,,,,1,From Throw In,Rio Antonio Zoba Mavuba,40522.0,Center Defensive Midfield,5,Lille,143,['414889bf-0ef1-4e51-8f18-eb97241fa9cc'],58,,,,,,,,,,,,,,,,Lille,143,00:00:58.505,Pass,
,,,,,,,,,,,,,,,,,,0.675805,,,,,,,,,,,,,2d8f6c64-dc95-4ef8-a92b-2f5b49188c91,37,,,"[55.8, 3.0]",3900542,0,,,,,2.4642062,,Left Foot,,,,"[51.2, 6.7]",,Ground Pass,,5.903389,,,,Rio Antonio Zoba Mavuba,40522.0,,,,,,1,From Throw In,Djibril Sidibé,3446.0,Left Back,5,Lille,143,['61694e55-f83f-45d1-a8b2-5cfbdff6b666'],59,,,,,,,,,,,,,,,,Lille,143,00:00:59.634,Pass,
,,,,,,,,,,,,,,,,,,0.875978,,,,,,,,,,,,,69014557-90c5-4c12-99ab-4052ee0c8f90,42,,,"[51.5, 6.4]",3900542,1,,,,,-1.0014831,,Right Foot,,,,"[54.7, 1.4]",,Ground Pass,,5.936329,,,,Djibril Sidibé,3446.0,,,,,,1,From Throw In,Rio Antonio Zoba Mavuba,40522.0,Center Defensive Midfield,5,Lille,143,"['37121fdf-0af5-4eb8-83d7-4dde655c7004', '5e70f7d1-8a4c-4627-a9f2-16f278baa161', 'ac5d4b66-87b2-4d40-af4a-c833545f575e']",0,,,,,,,,,,,,,,,,Lille,143,00:01:00.659,Pass,True
,,,,,,,,,,,,,,,,,,1.641918,,,,,,,,,,,,,31d72481-4c18-427e-abaa-e87a3219e43f,45,,,"[54.7, 1.4]",3900542,1,,,,,2.898945,,Right Foot,,,,"[34.5, 6.4]",,Ground Pass,,20.809612,,,,Bakary Adama Soumaoro,3677.0,,,,,,1,From Throw In,Djibril Sidibé,3446.0,Left Back,5,Lille,143,['371c2f04-3590-4381-83af-1072684922b2'],1,,,,,,,,,,,,,,,,Lille,143,00:01:01.535,Pass,
,,,,,,,,,,,,,,,,,,2.533121,,,,,,,,,,,,,efa6daa7-6b4a-4b1b-9bb7-f7cc9b0cac78,48,,,"[32.8, 7.2]",3900542,1,,,,,0.05951993,,Right Foot,,,,"[86.5, 10.4]",,High Pass,,53.79526,,Incomplete,,Yassine Benzia,3673.0,,,,,,1,From Throw In,Bakary Adama Soumaoro,3677.0,Left Center Back,5,Lille,143,"['49b9c457-b721-482d-826b-1a67e0f66cb2', '85d2a5cb-3cbc-4790-b8ca-9785cec39962']",5,,,,,,,,,,,,,,,,Lille,143,00:01:05.860,Pass,
,,,,,,,,,,,,,,,,,,1.396754,,,,,,,,,,,,,49b9c457-b721-482d-826b-1a67e0f66cb2,51,,,"[33.6, 69.7]",3900542,1,,,,True,-0.19739556,,,,,,"[42.1, 68.0]",,High Pass,,8.668333,,,,Nicolas Seube,40698.0,,,,,Recovery,1,Regular Play,Alaeddine Yahia,7444.0,Right Center Back,6,Caen,140,"['c844016a-f04d-4a26-8ced-0011f2fdc64d', 'efa6daa7-6b4a-4b1b-9bb7-f7cc9b0cac78', 'f58873c5-8967-43b4-8cb5-274bfc8b7feb']",8,,,,,,,,,,,,,,,,Caen,140,00:01:08.393,Pass,True
,,,,,,,,,,,,,,,,,,1.94652,,,,,,,,,,,,,057c426a-0a38-40e1-b655-1b5b40f3cab3,54,,,"[42.1, 68.0]",3900542,1,,,,True,3.1223643,,,,,,"[31.7, 68.2]",,High Pass,,10.401923,,,,Dennis Appiah,22111.0,,,,,,1,Regular Play,Nicolas Seube,40698.0,Center Defensive Midfield,6,Caen,140,"['620affac-1e9a-42de-8ddf-13e91737a580', 'e0ecd4e5-3a15-4e92-86cf-e3b906dbc4b3']",9,,,,,,,,,,,,,,,,Caen,140,00:01:09.829,Pass,True
,,,,,,,,,,,,,,,,,,1.502392,,,,,,,,,,,,,abe4a21c-12e9-448d-95bb-fad5c3a38500,57,,,"[31.7, 68.2]",3900542,1,,,,,-0.041298818,,Left Foot,,,,"[43.8, 67.7]",,High Pass,,12.110326,,,,Julien Féret,2959.0,,,,,,1,Regular Play,Dennis Appiah,22111.0,Right Back,6,Caen,140,['e7250370-962d-415f-affd-1b8610f81ca3'],11,,,,,,,,,,,,,,,,Caen,140,00:01:11.828,Pass,
,,,,,,,,,,,,,,,,,,1.607753,,,,,,,,,,,,,78ca98d8-bd37-4da6-99ff-d99ddb511500,59,,,"[44.3, 59.5]",3900542,1,,,,,0.071671896,,Head,,,,"[63.8, 60.9]",,High Pass,,19.550192,,,,Andy Delort,3038.0,,,,,,1,Regular Play,Julien Féret,2959.0,Left Center Midfield,6,Caen,140,['c567d83e-06f3-45b5-a4f0-76e8183f1ea7'],13,,,,,,,,,,,,,,,,Caen,140,00:01:13.370,Pass,
,,,,,,,,,,,,,,,,,,0.663366,,,,,,,,,,,,,f8301a6f-60d6-44c8-bcd4-588fd1d20343,63,,,"[63.8, 60.9]",3900542,1,,,,,2.8879185,,Other,,,,"[50.3, 64.4]",,Low Pass,,13.946325,,,,Jonathan Delaplace,2979.0,,,,,,1,Regular Play,Andy Delort,3038.0,Center Forward,6,Caen,140,"['111cddfa-5e48-4acf-bfd1-049cf9260a4d', 'b7cdfb2c-bb20-4b86-ba68-d9b1439b29a2']",15,,,,,,,,,,,,,,,,Caen,140,00:01:15.018,Pass,True
,,,,,,,,,,,,,,,,,,1.223431,,,,,,,,,,,,,6d77201d-c02d-4bf1-ae57-b306bc1daf7c,67,,,"[59.3, 74.9]",3900542,1,,,,,0.08391463,,Right Foot,,,,"[80.7, 76.7]",,Ground Pass,,21.475567,,,,Ronny Rodelin,2955.0,,,,,,1,Regular Play,Jonathan Delaplace,2979.0,Right Center Midfield,6,Caen,140,"['6ffce0dc-13a7-435c-96ab-fd7ef96f6477', '92be5c2a-f331-4497-9833-dde60e2de3b1']",17,,,,,,,,,,,,,,,,Caen,140,00:01:17.958,Pass,True
,,,,,,,,,,,,,,,,,,2.089383,,,,,,,,,,,,,4020b89e-1c88-488b-8b64-276fa93e8383,71,,,"[27.6, 0.1]",3900542,1,,True,,,2.2229676,,,,,,"[19.2, 11.1]",,Low Pass,,13.84052,,,,Bakary Adama Soumaoro,3677.0,,,,,Throw-in,1,From Throw In,Djibril Sidibé,3446.0,Left Back,7,Lille,143,['95697f94-ab3c-49f8-a68e-ce11cd273947'],24,,,,,,,,,,,,,,,,Lille,143,00:01:24.323,Pass,
,,,,,,,,,,,,,,,,,,1.199828,,,,,,,,,,,,,15e6c74f-d317-43c9-8d02-bb0ec220cea0,73,,,"[19.4, 11.3]",3900542,1,,,,,0.9859187,,Right Foot,,,,"[24.3, 18.7]",,Ground Pass,,8.875246,,,,Florent Balmont,3211.0,,,,,,1,From Throw In,Bakary Adama Soumaoro,3677.0,Left Center Back,7,Lille,143,['6f570296-e45c-453c-aba6-f6758f69f22b'],27,,,,,,,,,,,,,,,,Lille,143,00:01:27.863,Pass,
,,,,,,,,,,,,,,,,,,0.597877,,,,,,,,,,,,,4ecda754-c721-456d-abc9-301f56a38700,76,,,"[24.8, 16.5]",3900542,1,,,,,-0.016127633,,Right Foot,,,,"[37.2, 16.3]",,Ground Pass,,12.401613,,,,Rio Antonio Zoba Mavuba,40522.0,,,,,,1,From Throw In,Florent Balmont,3211.0,Right Center Midfield,7,Lille,143,['7dddfc6c-e78e-40fe-b0a4-d3022749c6c0'],30,,,,,,,,,,,,,,,,Lille,143,00:01:30.377,Pass,
,,,,,,,,,,,,,,,,,,1.081329,,,,,,,,,,,,,c37232b2-2607-42f6-a61a-913986827c5c,78,,,"[38.3, 16.3]",3900542,1,,,,,-3.009041,,Right Foot,,,,"[32.3, 15.5]",,Ground Pass,,6.053098,,,,Florent Balmont,3211.0,,,,,,1,From Throw In,Rio Antonio Zoba Mavuba,40522.0,Center Defensive Midfield,7,Lille,143,['b547e50d-0540-4d0c-b863-fc350f6be0e4'],30,,,,,,,,,,,,,,,,Lille,143,00:01:30.975,Pass,
,,,,,,,,,,,,,,,,,,0.861995,,,,,,,,,,,,,3fbef54b-5ff8-4f3a-8107-ab7e5afab742,82,,,"[56.1, 14.6]",3900542,1,,,,,0.962107,,Right Foot,,,,"[63.0, 24.5]",,Ground Pass,,12.067311,,,,Sofiane Boufal,3625.0,,,,,,1,From Throw In,Florent Balmont,3211.0,Right Center Midfield,7,Lille,143,"['2748b09a-17fc-440e-abb5-509dfabf8f0b', 'a86e3402-da2c-4153-a350-80b0289e33d0']",36,,,,,,,,,,,,,,,,Lille,143,00:01:36.857,Pass,True
,,,,,,,,,,,,,,,,,,0.987973,,,,,,,,,,,,,f64e9d40-0570-4cd5-9510-f49c4c859d16,86,,,"[63.0, 24.3]",3900542,1,,,,,-3.0961695,,Right Foot,,,,"[54.2, 23.9]",,Ground Pass,,8.809086,,,,Florent Balmont,3211.0,,,,,,1,From Throw In,Sofiane Boufal,3625.0,Right Wing,7,Lille,143,"['83c59c4d-f87e-47d1-8e6a-699103fac714', '9d5c6c6f-f73f-466c-aa2b-a2868fbcb341']",38,,,,,,,,,,,,,,,,Lille,143,00:01:38.391,Pass,True
,,,,,,,,,,,,,,,,,,1.607923,,,,,,,,,,,,,5cc5c138-8b86-4da4-a850-07ff3f965aa4,89,,,"[54.2, 23.9]",3900542,1,,,,,1.8361284,,Right Foot,,,,"[49.2, 42.3]",,Ground Pass,,19.06725,,,,Rio Antonio Zoba Mavuba,40522.0,,,,,,1,From Throw In,Florent Balmont,3211.0,Right Center Midfield,7,Lille,143,['582cb006-0cf3-48de-a929-a8b96e436d7b'],40,,,,,,,,,,,,,,,,Lille,143,00:01:40.612,Pass,
,,,,,,,,,,,,,,,,,,2.503212,,,,,,,,,,,,,335995df-ea4e-4bad-96bb-21165b680dab,92,,,"[49.2, 42.8]",3900542,1,,,,,1.1639212,,Right Foot,,,,"[62.3, 73.2]",,Ground Pass,,33.102417,,,,Sébastien Corchia,6716.0,,,,,,1,From Throw In,Rio Antonio Zoba Mavuba,40522.0,Center Defensive Midfield,7,Lille,143,['62738820-63ff-4483-83d6-586e56034ec7'],42,,,,,,,,,,,,,,,,Lille,143,00:01:42.538,Pass,
,,,,,,,,,,,,,,,,,,4.85008,,,,,,,,,,,,,2eed2b72-a3e5-4333-96e4-720c7c35e10e,96,,,"[64.7, 71.0]",3900542,1,,,,,-0.3867602,,Left Foot,,,,"[92.2, 59.8]",,High Pass,,29.693266,,Incomplete,,Yassine Benzia,3673.0,,,,,,1,From Throw In,Sébastien Corchia,6716.0,Right Back,7,Lille,143,"['4202f332-540b-4634-b9ec-526378c69316', '98219593-1c59-43ad-a69c-c52a3827cabf']",45,,,,,,,,,,,,,,,,Lille,143,00:01:45.677,Pass,
,,,,,,,,,,,,,,,,,,0.60866,,,,,,,,,,,,,f3a312bb-dc72-409c-9450-4089098fc8ae,100,,,"[102.4, 72.9]",3900542,1,,,,,0.0,,Left Foot,,,,"[104.0, 72.9]",,Ground Pass,,1.6,,,,Sofiane Boufal,3625.0,,,,,Recovery,1,From Throw In,Yassine Benzia,3673.0,Center Forward,7,Lille,143,"['23187e76-faea-4056-bd0c-e557279f7b46', 'b1a0f9be-d6fd-4057-b046-9f9f87d5bafd']",51,,,,,,,,,,,,,,,,Lille,143,00:01:51.406,Pass,True
,,,,,,,,,,,,,,,,,,2.401321,,,,,,,,,,,,,54ff3f71-3687-4de7-ab4d-b4dd1c31d5a3,105,,,"[112.3, 80.0]",3900542,2,,,,,-1.6076648,,,,,,"[111.4, 55.6]",,High Pass,,24.416594,,Incomplete,,Yassine Benzia,3673.0,,,,,Throw-in,1,From Throw In,Sofiane Boufal,3625.0,Right Wing,8,Lille,143,"['9afd873f-8c45-47f6-8a73-c569cb375b93', 'da2ccab1-595c-4934-aeaf-b8c025d3aca4']",19,,,,,,,,,,,,,,,,Lille,143,00:02:19.156,Pass,
,,,,,,,,,,,,,,,,,,1.315986,,,,,,,,,,,,,2b5dec15-38b4-4bf9-b392-809309fca9e6,109,,,"[120.0, 80.0]",3900542,2,,,,,-1.7020596,,Left Foot,,,,"[115.3, 44.4]",,High Pass,True,35.908913,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Éric Bauthéac,40486.0,Left Wing,9,Lille,143,['2cb4ddef-9bff-4cf0-87a9-f75160a97dcd'],50,,,,,,,,,,,,,,,,Lille,143,00:02:50.010,Pass,
,,,,,,,,,,,,,,,,,,3.182453,,,,,,,,,,,,,2d1172ef-deb9-4a83-bab5-b1424803cc14,114,,,"[6.1, 36.1]",3900542,3,,,,,0.29386935,,Right Foot,,,,"[89.7, 61.4]",,High Pass,,87.34444,,,,Ronny Rodelin,2955.0,,,,,Free Kick,1,From Free Kick,Rémy Vercoutre,2963.0,Goalkeeper,10,Caen,140,['7380e510-5abd-481a-a8a8-9c3747e8a8dd'],16,,,,,,,,,,,,,,,,Caen,140,00:03:16.702,Pass,
,,,,,,,,,,,,,,,,,,1.385842,,,,,,,,,,,,,c0e4a7cc-7525-45f3-84f0-891a5b31d2c5,116,,,"[89.7, 61.7]",3900542,3,,,,True,-0.768593,,,,,,"[101.8, 50.0]",,High Pass,,16.831518,,Incomplete,,Andy Delort,3038.0,,,,,,1,From Free Kick,Ronny Rodelin,2955.0,Right Midfield,10,Caen,140,"['159b4f6c-45c6-4827-9865-9678a15a53b7', '67eaa9b8-c525-476f-b8f5-643f06b113b2', 'b86f2a15-fd81-4447-832d-1518bd5c268e']",19,,,,,,,,,,,,,,,,Caen,140,00:03:19.889,Pass,True
,,,,,,,,,,,,,,,,,,4.709473,,,,,,,,,,,,,9bbf5ed7-2bf3-45d6-b2f7-d801f3511dce,121,,,"[14.5, 38.5]",3900542,3,,,,,-0.49451366,,Left Foot,,,,"[77.0, 4.8]",,High Pass,,71.00662,,Incomplete,,Yassine Benzia,3673.0,,,,,Recovery,1,From Free Kick,Renato Civelli,29057.0,Right Center Back,10,Caen,140,"['a1a736e7-a764-4efa-a9e0-fc6c4cee67f4', 'f497e9fa-88ef-4835-b90f-0bd62bff841d']",22,,,,,,,,,,,,,,,,Lille,143,00:03:22.769,Pass,
,,,,,,,,,,,,,,,,,,3.096147,,,,,,,,,,,,,c8c699cf-8b6c-4c87-90ec-ff332d86b1cf,126,,,"[37.5, 74.5]",3900542,3,,,,,-2.449733,,Left Foot,,,,"[10.1, 51.8]",,Low Pass,,35.581596,,,,Rémy Vercoutre,2963.0,,,,,,1,From Free Kick,Alaeddine Yahia,7444.0,Right Center Back,10,Caen,140,['6b9ab5db-fdc2-444f-991c-12e17c30cafb'],28,,,,,,,,,,,,,,,,Caen,140,00:03:28.931,Pass,
,,,,,,,,,,,,,,,,,,2.602943,,,,,,,,,,,,,2819414b-9be1-4d86-9735-e0bfffe61734,129,,,"[9.5, 51.8]",3900542,3,,,,,-1.0308133,,Right Foot,,,,"[29.7, 18.1]",,Low Pass,,39.29033,,,,Damien Da Silva,4386.0,,,,,,1,From Free Kick,Rémy Vercoutre,2963.0,Goalkeeper,10,Caen,140,['9611cbda-cffa-420a-b7c7-8fd4eed7d21b'],34,,,,,,,,,,,,,,,,Caen,140,00:03:34.255,Pass,
