50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,8cba2dc5-71d3-49cc-b37d-6288afae5579,62,,"[40.6, 36.9]",3900531,0,,,,-2.4013898,,Right Foot,,,,"[30.2, 27.4]",Ground Pass,,14.085809,,,Zargo Touré,7211.0,,,,,Recovery,1,Regular Play,Rémi Mulumba,7365.0,Left Defensive Midfield,4,Lorient,165,"['1eeb6bf3-7c62-42a0-9b3f-b8f0364d630f', '50b59c27-6f59-4b2f-8bf8-66a792d695fc']",38,,,,,,,,,,,,,,,,,,Lorient,165,00:00:38.565,Pass,True
,,,,,,,,,,,,,,,,1.771586,,,,,,,,,,,,,,d1d608ba-e728-4cad-bd8c-b42ae156f0e4,65,,"[32.2, 27.7]",3900531,0,,,,-1.2045407,,Right Foot,,,,"[40.6, 5.8]",Ground Pass,,23.455704,,,Raphaël Adelino José Guerreiro,5209.0,,,,,,1,Regular Play,Zargo Touré,7211.0,Left Center Back,4,Lorient,165,['b9954a04-34b5-4299-a0cf-73d9538b758a'],40,,,,,,,,,,,,,,,,,,Lorient,165,00:00:40.132,Pass,
,,,,,,,,,,,,,,,,0.679711,,,,,,,,,,,,,,da142a23-21e7-403b-a907-0ff8350a12d5,68,,"[43.7, 3.8]",3900531,0,,,,3.1415927,,Left Foot,,,,"[30.2, 3.8]",Ground Pass,,13.5,,Incomplete,Vincent Le Goff,7199.0,,,,,,1,Regular Play,Raphaël Adelino José Guerreiro,5209.0,Left Midfield,4,Lorient,165,"['89b745d8-9cfc-47cf-8ee0-a804eaa345fa', 'ff4633fc-d3bb-4120-9a8a-d5d4c78f6a3c']",43,,,,,,,,,,,,,,,,,,Lorient,165,00:00:43.247,Pass,
,,,,,,,,,,,,,,,,1.051932,,,,,,,,,,,,,,db89884c-f2c3-40f2-b66e-ca6ba113b486,76,,"[85.1, 80.0]",3900531,0,,,,-2.2208762,,,,,,"[75.9, 67.9]",Low Pass,,15.200329,,,Wallyson Teixeira Mallmann,134561.0,,,,,Throw-in,1,From Throw In,Ricardo Domingos Barbosa Pereira,6352.0,Right Wing Back,6,OGC Nice,136,['3f5bf555-63f6-4ea9-9027-f899e78e3c76'],52,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:52.195,Pass,
,,,,,,,,,,,,,,,,1.906666,,,,,,,,,,,,,,c85f84a6-c0ba-439d-a4e0-477b02e7bd43,83,,"[75.6, 66.7]",3900531,0,,,,-2.2351398,,Left Foot,,,,"[54.3, 39.5]",Ground Pass,,34.547504,,,Maxime Le Marchand,3229.0,,,,,,1,From Throw In,Wallyson Teixeira Mallmann,134561.0,Center Attacking Midfield,6,OGC Nice,136,['9346452e-dd9b-45b1-b12f-ffb86d1b6246'],56,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:56.628,Pass,
,,,,,,,,,,,,,,,,0.97725,,,,,,,,,,,,,,2545c027-ffb5-4d02-8076-3e09d213ef8c,86,,"[53.1, 27.2]",3900531,0,,,,0.12659213,,Left Foot,,,,"[64.1, 28.6]",Ground Pass,,11.088733,,,Nampalys Mendy,4506.0,,,,,,1,From Throw In,Maxime Le Marchand,3229.0,Left Center Back,6,OGC Nice,136,['e406a893-3018-41b0-a942-96e5ae31a931'],59,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:59.989,Pass,
,,,,,,,,,,,,,,,,2.160941,,,,,,,,,,,,,,6c976f58-8251-4f01-b7a7-3685ce0ea065,90,,"[56.5, 38.1]",3900531,1,,,,1.8619636,,Right Foot,,,,"[47.0, 69.8]",Ground Pass,,33.0929,,,Romain Genevois,2971.0,,,,,,1,From Throw In,Nampalys Mendy,4506.0,Left Defensive Midfield,6,OGC Nice,136,"['b902ba23-c107-425a-b07b-db7f2e9af6ba', 'c2261c59-5ea8-423e-95f6-2daf78f76db7']",3,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:03.480,Pass,True
,,,,,,,,,,,,,,,,0.982998,,,,,,,,,,,,,,935eb9ba-865d-4aaf-8ff5-977d2204d3a4,93,,"[49.8, 69.0]",3900531,1,,,,-0.4791103,,Right Foot,,,,"[80.6, 53.0]",Ground Pass,,34.707924,,Incomplete,Paulin Puel,146696.0,,,,,,1,From Throw In,Romain Genevois,2971.0,Right Center Back,6,OGC Nice,136,"['00199ef4-02f2-40f9-97b1-26f877624846', '0cb912c4-b7c3-4863-a375-1c98d8f210b3']",7,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:07.514,Pass,
,,,,,,,,,,,,,,,,0.694349,,,,,,,,,,,,,,21fde217-abd4-44e6-b465-49667bf6e6fd,101,,"[36.3, 49.1]",3900531,1,,,,0.13381098,,Right Foot,,,,"[46.7, 50.5]",Ground Pass,,10.493808,,,Stéphan Raheriharimanana,403377.0,,,,,Recovery,1,From Throw In,Paul Baysse,4443.0,Center Back,6,OGC Nice,136,"['4fb7a91e-1e56-4bc4-ab65-12f7bf1687dc', '784b283c-402d-46aa-aee5-d1bae39f363b']",13,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:13.889,Pass,True
,,,,,,,,,,,,,,,,1.125606,,,,,,,,,,,,,,98dcf1cf-e427-41f3-89d2-cff4c505002f,104,,"[47.0, 50.7]",3900531,1,,,,1.290797,,Left Foot,,,,"[53.7, 74.0]",Ground Pass,,24.244175,,,Ricardo Domingos Barbosa Pereira,6352.0,,,,,,1,From Throw In,Stéphan Raheriharimanana,403377.0,Right Defensive Midfield,6,OGC Nice,136,['be955429-796a-4a33-923e-ca48de5d6fd3'],16,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:16.189,Pass,
