ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.086333,,,,,,,,,,,,,,,8a26219d-e248-4fc0-9600-710e9361006c,15,,,"[64.3, 36.6]",3900540,0,,,True,2.5352097,,,,,"[51.9, 45.2]",,High Pass,,15.090394,,,Benjamin Stambouli,8515.0,,,,,,1,From Throw In,Zlatan Ibrahimović,3672.0,Center Forward,3,Paris Saint-Germain,131,"['0041a044-479c-4d38-a2fd-0ef96aff267c', '652cb0d2-ba56-4a62-90f2-34b0310d0942']",17,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:17.412,Pass,True
,,,,,,,,,,,,,,,1.069381,,,,,,,,,,,,,,,5b3790fd-7d82-4859-ad2e-5acbf2c9f5cd,18,,,"[66.7, 54.1]",3900540,0,,,,2.1180053,,Right Foot,,,"[57.5, 69.2]",,Ground Pass,,17.681911,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Throw In,Benjamin Stambouli,8515.0,Right Center Midfield,3,Paris Saint-Germain,131,['aefe2080-a640-4e38-9419-a9bfd8ae155a'],20,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:20.800,Pass,
,,,,,,,,,,,,,,,2.95895,,,,,,,,,,,,,,,ae6de4ad-652d-40e9-8126-5f35a12b9efe,21,,,"[57.4, 69.0]",3900540,0,,,,-0.116468295,,Left Foot,,,"[102.7, 63.7]",,High Pass,,45.60899,,,Zlatan Ibrahimović,3672.0,,,,,,1,From Throw In,Ángel Fabián Di María Hernández,2995.0,Right Wing,3,Paris Saint-Germain,131,['d47a7148-a1fc-4064-856b-bfad6c50acf4'],22,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:22.679,Pass,
,,,,,,,,,,,,,,,1.291949,,,,,,,,,,,,,,,d7a9e6e8-62fb-49e5-b868-6de5383ce55e,30,,,"[20.6, 12.7]",3900540,0,,,,-0.28444484,,Left Foot,,,"[44.2, 5.8]",,Low Pass,,24.588005,,,Valère Germain,3210.0,,,,,,1,Regular Play,Niklas Hult,16056.0,Left Wing Back,4,OGC Nice,136,['ddcb283c-78ea-429d-a56d-735c7ba1719d'],31,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:31.888,Pass,
,,,,,,,,,,,,,,,0.844789,,,,,,,,,,,,,,,6bd3448b-f292-4f18-8c3a-8808cceb32c3,34,,,"[42.7, 5.8]",3900540,0,,,,2.7956254,,Right Foot,,,"[34.1, 8.9]",,Ground Pass,,9.141663,,,Nampalys Mendy,4506.0,,,,,,1,Regular Play,Valère Germain,3210.0,Left Center Forward,4,OGC Nice,136,"['57a39faa-f87f-43d8-bb97-415b33eecc9b', 'faae3f34-988a-4b38-9203-00b96e9d2a3e']",34,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:34.289,Pass,True
,,,,,,,,,,,,,,,1.095827,,,,,,,,,,,,,,,64c88f1c-8d22-42b8-806d-a63475eb7943,38,,,"[34.9, 11.1]",3900540,0,,,,2.7475996,,Right Foot,,,"[26.0, 14.8]",,Ground Pass,,9.638465,,,Mathieu Bodmer,4373.0,,,,,,1,Regular Play,Nampalys Mendy,4506.0,Left Defensive Midfield,4,OGC Nice,136,"['5039f2dc-cbb9-4024-ab3d-32fe5c51bc54', '6028a295-e4df-4665-9831-b047f1989621']",36,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:36.321,Pass,True
,,,,,,,,,,,,,,,2.518836,,,,,,,,,,,,,,,c38d7f56-4dd9-4a12-beab-495530c5d450,41,,,"[21.4, 26.5]",3900540,0,,,,2.2047157,,Right Foot,,,"[7.8, 45.0]",,Ground Pass,,22.961054,,,Yoan Cardinale,4257.0,,,,,,1,Regular Play,Mathieu Bodmer,4373.0,Center Back,4,OGC Nice,136,['606c4920-36ee-4f1e-bb38-94c72c6e38d8'],40,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:40.575,Pass,
,,,,,,,,,,,,,,,2.526116,,,,,,,,,,,,,,,f13e834a-6624-455f-9edb-f07d52ba74be,44,,,"[14.0, 53.8]",3900540,0,,,,0.365049,,Right Foot,,,"[64.5, 73.1]",,High Pass,,54.06237,Incomplete,,Romain Genevois,2971.0,,,,,,1,Regular Play,Yoan Cardinale,4257.0,Goalkeeper,4,OGC Nice,136,"['3692f2f7-c074-4e30-b51c-e875f9d80b11', 'f9a8a728-6f9a-40bf-b02b-dde5846f2f0c']",49,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:49.726,Pass,
,,,,,,,,,,,,,,,0.9739,,,,,,,,,,,,,,,76bd1371-62dd-40fa-b650-dc6b2dfcdacc,48,,,"[66.4, 80.0]",3900540,0,True,,,-0.89463896,,,,,"[73.3, 71.4]",,Low Pass,,11.025879,,,Valère Germain,3210.0,,,,,Throw-in,1,From Throw In,Romain Genevois,2971.0,Right Wing Back,5,OGC Nice,136,['5b6003b3-96f1-4ff7-9e77-1a4d6b572f4b'],56,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:56.494,Pass,
,,,,,,,,,,,,,,,1.04474,,,,,,,,,,,,,,,ee3cfbf0-fe88-4ec6-8e7c-5aafecaea667,51,,,"[73.3, 71.4]",3900540,0,,,,2.0156667,,Left Foot,,,"[69.2, 80.0]",,Low Pass,,9.527329,Out,,Romain Genevois,2971.0,,,,,,1,From Throw In,Valère Germain,3210.0,Left Center Forward,5,OGC Nice,136,"['521d9a6f-b132-4692-ba1f-e89e149969fd', 'a89c8d32-b45a-4d5d-b7a2-cb4c4518c98a']",57,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:57.468,Pass,True
,,,,,,,,,,,,,,,1.262441,,,,,,,,,,,,,,,1e5b1df6-cdbe-41be-bef3-5e2899c7b60a,53,,,"[50.1, 0.1]",3900540,1,,,,0.503329,,,,,"[65.9, 8.8]",,High Pass,,18.036907,,,Zlatan Ibrahimović,3672.0,,,,,Throw-in,1,From Throw In,Layvin Kurzawa,4326.0,Left Back,6,Paris Saint-Germain,131,['d9ea416e-90d8-429b-89c4-992713736bb8'],15,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:15.352,Pass,
,,,,,,,,,,,,,,,2.084734,,,,,,,,,,,,,,,cd6a804e-6e13-4002-ba4c-004b9f84faed,55,,,"[65.3, 8.7]",3900540,1,,,,2.6849055,,Right Foot,,,"[48.0, 17.2]",,High Pass,,19.275373,Incomplete,,Benjamin Stambouli,8515.0,,,,,,1,From Throw In,Zlatan Ibrahimović,3672.0,Center Forward,6,Paris Saint-Germain,131,"['b9835a15-1a48-4a43-83fd-e43c968059cf', 'ff6c4976-7d4c-4d30-943d-e2e8fbdb8d6a']",16,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:16.614,Pass,
,,,,,,,,,,,,,,,0.667851,,,,,,,,,,,,,,,b9835a15-1a48-4a43-83fd-e43c968059cf,58,,,"[72.1, 62.9]",3900540,1,,,,-3.1041102,,Head,,,"[64.1, 62.6]",,Low Pass,,8.005623,,,Jean Michaël Seri,3359.0,,,,,Recovery,1,Regular Play,Valère Germain,3210.0,Left Center Forward,7,OGC Nice,136,"['17180326-64c5-4327-a613-b1dd8befe919', 'cd6a804e-6e13-4002-ba4c-004b9f84faed', 'e2c08d3a-1c0d-4671-99c0-13aac5dd2461']",18,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:18.699,Pass,True
,,,,,,,,,,,,,,,1.354763,,,,,,,,,,,,,,,c9992d54-96de-4bd0-a47e-5af848bd7faa,62,,,"[65.0, 59.8]",3900540,1,,,,-1.7265024,,Right Foot,,,"[62.3, 42.6]",,Ground Pass,,17.41063,,,Nampalys Mendy,4506.0,,,,,,1,Regular Play,Jean Michaël Seri,3359.0,Center Attacking Midfield,7,OGC Nice,136,"['0dd98f87-73d9-413a-a050-948279b0210b', 'be707308-87b3-4b5d-9801-366596f1288c']",19,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:19.498,Pass,True
,,,,,,,,,,,,,,,1.6998,,,,,,,,,,,,,,,e648300c-9b4c-4ff8-a692-799c2b1be62d,65,,,"[59.0, 33.4]",3900540,1,,,,-0.76101273,,Left Foot,,,"[77.9, 15.4]",,Ground Pass,,26.1,Incomplete,,Niklas Hult,16056.0,,,,,,1,Regular Play,Nampalys Mendy,4506.0,Left Defensive Midfield,7,OGC Nice,136,"['5b12bd1c-0295-4e57-8e3c-4959befd65f2', 'ce49dcc2-aeb5-41b6-92fd-77e0e2328e35']",22,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:01:22.174,Pass,
,,,,,,,,,,,,,,,0.785506,,,,,,,,,,,,,,,fbf83982-cb79-4513-a5b7-2b802fcc75fe,70,,,"[71.9, 74.7]",3900540,1,,,,0.59506965,,Right Foot,,,"[78.4, 79.1]",,Ground Pass,,7.8492036,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,Regular Play,Serge Aurier,3481.0,Right Back,8,Paris Saint-Germain,131,"['4a01afd0-103a-4dc4-8475-35f813ebf2ae', '6364a120-cd68-4703-b8bd-0d9c5b249481']",29,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:29.307,Pass,True
,,,,,,,,,,,,,,,0.960067,,,,,,,,,,,,,,,979f3d89-eca7-468c-ad16-c8f1d1bc3730,74,,,"[74.2, 77.3]",3900540,1,,,,-1.474084,,Left Foot,,,"[75.5, 63.9]",,Ground Pass,,13.462912,,,Benjamin Stambouli,8515.0,,,,,,1,Regular Play,Ángel Fabián Di María Hernández,2995.0,Right Wing,8,Paris Saint-Germain,131,"['3b940b02-a872-435f-a11d-1259cfffab2b', 'e0f73f24-a1ed-4c06-8f1b-f7a04e0ef378']",31,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:31.448,Pass,True
,,,,,,,,,,,,,,,0.681386,,,,,,,,,,,,,,,a6c64796-da65-4ac0-9fab-268ca459d956,77,,,"[75.5, 63.7]",3900540,1,,,,-1.929567,,Left Foot,,,"[71.0, 51.7]",,Ground Pass,,12.816006,,,Blaise Matuidi,4375.0,,,,,,1,Regular Play,Benjamin Stambouli,8515.0,Right Center Midfield,8,Paris Saint-Germain,131,['13712589-5285-4d94-b20c-d2e929a463f3'],33,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:33.154,Pass,
,,,,,,,,,,,,,,,1.835126,,,,,,,,,,,,,,,31d5b6a7-3778-4ce2-a84f-aa55798960e8,81,,,"[69.0, 54.8]",3900540,1,,,,2.92127,,Left Foot,,,"[49.8, 59.1]",,Ground Pass,,19.67562,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Blaise Matuidi,4375.0,Left Center Midfield,8,Paris Saint-Germain,131,['489734cb-c2d5-4f19-a707-5153987762bc'],34,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:34.825,Pass,
,,,,,,,,,,,,,,,1.670607,,,,,,,,,,,,,,,43e73a99-0bd4-4ad4-be72-c1b71521e648,84,,,"[43.3, 56.3]",3900540,1,,,,-1.3873614,,Left Foot,,,"[47.4, 34.2]",,Ground Pass,,22.4771,,,Thiago Emiliano da Silva,3295.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Right Center Back,8,Paris Saint-Germain,131,['f96180ff-0dba-4efe-a635-a3deb0e54e2b'],38,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:38.353,Pass,
,,,,,,,,,,,,,,,1.175151,,,,,,,,,,,,,,,ea6e16b4-b9c3-4939-b577-aa4f95c6c980,87,,,"[47.0, 34.2]",3900540,1,,,,0.57058275,,Left Foot,,,"[53.7, 38.5]",,Ground Pass,,7.961156,,,Blaise Matuidi,4375.0,,,,,,1,Regular Play,Thiago Emiliano da Silva,3295.0,Left Center Back,8,Paris Saint-Germain,131,['44a2542f-cbf3-428e-bb51-fd8dfedda323'],40,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:40.747,Pass,
,,,,,,,,,,,,,,,1.177481,,,,,,,,,,,,,,,31983f6d-0d17-4ecb-89aa-9456da7220a8,90,,,"[53.7, 38.5]",3900540,1,,,,1.1293672,,Left Foot,,,"[58.0, 47.6]",,Ground Pass,,10.06479,,,Thiago Motta,4325.0,,,,,,1,Regular Play,Blaise Matuidi,4375.0,Left Center Midfield,8,Paris Saint-Germain,131,['c2bf1672-2c44-4a21-95f9-bad6a7e343ff'],43,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:43.101,Pass,
,,,,,,,,,,,,,,,1.717424,,,,,,,,,,,,,,,385d435b-38cc-4585-b8f3-622f44885b4f,93,,,"[58.0, 47.6]",3900540,1,,,,1.1931041,,Left Foot,,,"[65.3, 66.0]",,Ground Pass,,19.795202,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,Regular Play,Thiago Motta,4325.0,Center Defensive Midfield,8,Paris Saint-Germain,131,['413f8e86-90a8-4a43-a803-1c406ed19b85'],46,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:46.303,Pass,
,,,,,,,,,,,,,,,2.080862,,,,,,,,,,,,,,,1107f386-7d73-4e5c-9944-c493a5c57964,97,,,"[65.0, 68.2]",3900540,1,,,,-2.5829933,,Left Foot,,,"[47.4, 57.2]",,Ground Pass,,20.754759,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Ángel Fabián Di María Hernández,2995.0,Right Wing,8,Paris Saint-Germain,131,['62dc8bef-0d52-4e85-8314-502b441e15a6'],50,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:50.473,Pass,
,,,,,,,,,,,,,,,2.513059,,,,,,,,,,,,,,,6c56480e-0616-4d7f-ae54-8e27f8d0eb59,100,,,"[51.5, 52.3]",3900540,1,,,,-1.5541312,,Right Foot,,,"[51.9, 28.3]",,Ground Pass,,24.003334,,,Thiago Emiliano da Silva,3295.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Right Center Back,8,Paris Saint-Germain,131,['a1d9fa7e-3683-46c6-93ba-72a184cf591c'],54,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:54.035,Pass,
,,,,,,,,,,,,,,,0.954035,,,,,,,,,,,,,,,7014856c-243c-4c6f-ac73-03f9c89fd5e2,103,,,"[57.0, 31.3]",3900540,2,,,,1.7175596,,Right Foot,,,"[55.3, 42.8]",,Ground Pass,,11.624973,,,Thiago Motta,4325.0,,,,,,1,Regular Play,Thiago Emiliano da Silva,3295.0,Left Center Back,8,Paris Saint-Germain,131,['6c864931-9e46-419d-ab3f-5e40a6fbcf5f'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:02:00.606,Pass,
,,,,,,,,,,,,,,,1.800504,,,,,,,,,,,,,,,8c179e31-3111-44c5-ae19-c9346ae469a4,106,,,"[52.8, 42.8]",3900540,2,,,,1.4464413,,Left Foot,,,"[55.7, 66.0]",,Ground Pass,,23.380547,,,Marcos Aoás Corrêa,4372.0,,,,,,1,Regular Play,Thiago Motta,4325.0,Center Defensive Midfield,8,Paris Saint-Germain,131,['6a3b4a9e-d863-4fb5-bb0f-942592fa8f23'],4,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:02:04.463,Pass,
,,,,,,,,,,,,,,,1.177637,,,,,,,,,,,,,,,e28b5e20-885f-4f49-a349-2f996729deae,109,,,"[55.7, 66.0]",3900540,2,,,,0.97689986,,Right Foot,,,"[63.6, 77.7]",,Ground Pass,,14.117365,,,Serge Aurier,3481.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Right Center Back,8,Paris Saint-Germain,131,['6d67ad7a-266b-44ac-b5c6-1809fd9ea26a'],6,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:02:06.686,Pass,
,,,,,,,,,,,,,,,0.792432,,,,,,,,,,,,,,,2beeecf5-e976-4f14-a820-ef07024bb88d,113,,,"[63.1, 77.3]",3900540,2,,,,-0.8908875,,Left Foot,,,"[66.9, 72.6]",,Ground Pass,,6.0440054,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,Regular Play,Serge Aurier,3481.0,Right Back,8,Paris Saint-Germain,131,"['422fe074-ba22-49f4-83a2-d3a905b019b3', 'b1f64c2a-f5bc-44cd-946b-d0648267f3ca']",8,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:02:08.645,Pass,True
,,,,,,,,,,,,,,,1.098956,,,,,,,,,,,,,,,c92ab1c0-ba60-4e32-862c-1e67c39c45f9,116,,,"[65.0, 71.6]",3900540,2,,,,-1.59936,,Left Foot,,,"[64.3, 47.1]",,Ground Pass,,24.509998,,,Benjamin Stambouli,8515.0,,,,,,1,Regular Play,Ángel Fabián Di María Hernández,2995.0,Right Wing,8,Paris Saint-Germain,131,['e8535924-0a1d-4a77-aee6-010a5009733f'],11,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:02:11.022,Pass,
,,,,,,,,,,,,,,,1.234289,,,,,,,,,,,,,,,f1acc188-cd0a-49e7-8633-6ec4223d09b6,118,,,"[64.3, 47.2]",3900540,2,,,,2.896614,,Left Foot,,,"[51.9, 50.3]",,Ground Pass,,12.781628,,,Thiago Motta,4325.0,,,,,,1,Regular Play,Benjamin Stambouli,8515.0,Right Center Midfield,8,Paris Saint-Germain,131,['9bd500b1-c6b5-4703-9451-ff88036d80e2'],12,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:02:12.121,Pass,
