50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.599993,,,,,,,,,,,,,,,9c466e04-b359-48de-88e6-a31bb64f8386,208,,"[56.4, 23.1]",3900580,4,,,,2.9967802,,Right Foot,,,"[42.0, 25.2]",,Ground Pass,,14.55232,,,Paul Baysse,4443.0,,,,,,1,Regular Play,Vincent Koziello,4264.0,Right Center Midfield,13,OGC Nice,136,"['53b14dac-4934-4191-aec3-5e3511ab591e', '5c37983e-2cf1-44b0-9a2a-4d529cbc78bc']",27,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:27.940,Pass,True
,,,,,,,,,,,,,,,,,,2.345313,,,,,,,,,,,,,,,47899f04-2b8c-4725-a6c7-60b8db91bc3c,211,,"[42.6, 25.2]",3900580,4,,,,1.5940479,,Right Foot,,,"[42.0, 51.0]",,Ground Pass,,25.806976,,,Romain Genevois,2971.0,,,,,,1,Regular Play,Paul Baysse,4443.0,Left Center Back,13,OGC Nice,136,['6d20aecf-db20-4ab5-9a03-95ee422e8793'],29,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:29.718,Pass,
,,,,,,,,,,,,,,,,,,1.164819,,,,,,,,,,,,,,,b6a587f0-6b5b-43c7-aeee-d55900e8e5cd,214,,"[55.4, 59.9]",3900580,4,,,,1.1232764,,Right Foot,,,"[62.6, 74.9]",,Ground Pass,,16.63851,,,Jérémy Pied,4270.0,,,,,,1,Regular Play,Romain Genevois,2971.0,Right Center Back,13,OGC Nice,136,['ca778d2d-01bf-430c-b8d9-b8a2380ff732'],35,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:35.694,Pass,
,,,,,,,,,,,,,,,,,,1.140158,,,,,,,,,,,,,,,9d81d6cc-f26c-41f0-8ce5-b2c96e9bd9f7,218,,"[58.1, 73.0]",3900580,4,,,,-2.6224465,,Right Foot,,,"[50.4, 68.6]",,Ground Pass,,8.868484,,,Romain Genevois,2971.0,,,,,,1,Regular Play,Jérémy Pied,4270.0,Right Back,13,OGC Nice,136,"['3ef445e9-095f-41ee-a0a1-d5cf5507e4d1', '5ef4cdf5-1dcf-4092-a8ea-0d7e10468e9b']",38,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:38.084,Pass,True
,,,,,,,,,,,,,,,,,,1.619849,,,,,,,,,,,,,,,947852be-5239-46e5-a279-4931da44f414,221,,"[50.0, 68.3]",3900580,4,,,,-1.5108682,,Right Foot,,,"[51.8, 38.3]",,Ground Pass,,30.053951,,,Jean Michaël Seri,3359.0,,,,,,1,Regular Play,Romain Genevois,2971.0,Right Center Back,13,OGC Nice,136,['e394a926-f782-4a4e-ac0c-3b6551cc42ce'],40,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:40.645,Pass,
,,,,,,,,,,,,,,,,,,2.462249,,,,,,,,,,,,,,,c601a8e8-2c2c-4c7e-93f6-d731d64c3891,224,,"[52.9, 37.2]",3900580,4,,,,-0.84358484,,Right Foot,,,"[82.0, 4.5]",,Low Pass,,43.77328,,,Niklas Hult,16056.0,,,,,,1,Regular Play,Jean Michaël Seri,3359.0,Left Center Midfield,13,OGC Nice,136,['ba4e8beb-2734-4e75-ba1f-fd3e43aad4d4'],43,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:43.564,Pass,
,,,,,,,,,,,,,,,,,,1.517953,,,,,,,,,,,,,,,30438fea-cbed-49c2-8437-538076f01970,227,,"[84.3, 3.1]",3900580,4,,,,0.15218829,,Left Foot,,,"[100.6, 5.6]",,Ground Pass,,16.490602,,,Alexandre Mendy,3403.0,,,,,,1,Regular Play,Niklas Hult,16056.0,Left Back,13,OGC Nice,136,['3c8ed7f2-0e08-4609-9e9d-20f46103a7f5'],47,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:47.321,Pass,
,,,,,,,,,,,,,,,,,,1.544332,,,,,,,,,,,,,,,00342157-72f0-46ff-bc93-737d1029a2e4,231,,"[97.6, 4.4]",3900580,4,,,,2.6509247,,Right Foot,,,"[75.7, 16.1]",,Ground Pass,,24.829418,,,Jean Michaël Seri,3359.0,,,,,,1,Regular Play,Alexandre Mendy,3403.0,Left Center Forward,13,OGC Nice,136,['e9d6bcac-8de1-405c-900e-1ee8c25d9f13'],50,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:50.419,Pass,
,,,,,,,,,,,,,,,,,,1.223709,,,,,,,,,,,,,,,d6acd92f-eb20-42a6-96cc-0e0b71e8e75c,235,,"[72.2, 15.6]",3900580,4,,,,0.8960554,,Right Foot,,,"[89.0, 36.6]",,Low Pass,,26.893122,,Incomplete,Valère Germain,3210.0,,,,,,1,Regular Play,Jean Michaël Seri,3359.0,Left Center Midfield,13,OGC Nice,136,"['245a728b-ed97-4fa3-b22e-9ea51d0d9a1d', 'a3f8db29-12db-4c95-bb93-2a6b21cb53be', 'ac604ee5-beef-40a2-b005-2ec7ae25d84d']",53,,,,,,,,,,,,,,,,,OGC Nice,136,00:04:53.802,Pass,True
,,,,,,,,,,,,,,,,,,0.959406,,,,,,,,,,,,,,,28e9a5c0-cd4e-4ed7-be6b-ff3bf986e838,239,,"[34.5, 46.8]",3900580,4,,,,0.6175022,,Left Foot,,,"[48.3, 56.6]",,Ground Pass,,16.92572,,,Cheikh N''Doye,5676.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Center Defensive Midfield,14,Angers,145,['096ca12c-f9c3-434f-8000-59c29cd8c9d3'],56,,,,,,,,,,,,,,,,,Angers,145,00:04:56.224,Pass,
