50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.958872,,,,,,,,,,,,69137141-1cfb-4669-b3a1-477aa3094035,1661,,"[63.1, 57.7]",3901145,38,,,,True,-0.055498507,,,,,,"[75.7, 57.0]",,High Pass,,12.61943,,Incomplete,,,,,,,,Recovery,1,From Goal Kick,Bryan Dabo,3421.0,Right Defensive Midfield,81,Angers,145,"['50a35b97-9230-410c-9090-885774458886', '654b617f-d4ae-4cc5-94e7-ee715109f2e9', 'ef7a76d9-28b5-4e05-903e-a772bb0be805']",6,,,,,,,,,,,,,,,,Montpellier,139,00:38:06.017,Pass,True
,,,,,,,,,,,,,,,,0.561217,,,,,,,,,,,,486a8926-e817-487a-93ac-5df9187e4029,1665,,"[42.4, 21.6]",3901145,38,,,,,-0.32480866,,Right Foot,,,,"[52.2, 18.3]",,Low Pass,,10.340696,,Incomplete,,Arnold Bouka Moutou,4906.0,,,,,,1,From Goal Kick,Vincent Manceau,3431.0,Left Back,81,Angers,145,"['0e568eb9-ae7c-4ddf-b183-cb27f6e3ad5d', '45092f38-eaa6-4f89-9e76-5e45deb18d11', '58841ff9-389f-4646-aec5-3538b5f915f5']",7,,,,,,,,,,,,,,,,Angers,145,00:38:07.764,Pass,True
,,,,,,,,,,,,,,,,1.629676,,,,,,,,,,,,3c8dd6a2-447b-4546-b18c-981218c75626,1670,,"[65.1, 58.8]",3901145,38,,,,,-1.0148609,,Left Foot,,,,"[75.6, 41.9]",,Low Pass,,19.89623,,,,Ryad Boudebouz,6661.0,,,,,,1,From Goal Kick,Souleymane Camara,3679.0,Right Wing,81,Angers,145,['78fd242f-4fca-4781-9a04-94b3fd5188f1'],9,,,,,,,,,,,,,,,,Montpellier,139,00:38:09.285,Pass,
,,,,,,,,,,,,,,,,2.756607,,,,,,,,,,,,ee36158f-00d3-4b13-b046-4453f5404fad,1679,,"[12.9, 40.2]",3901145,38,,,,,0.32928112,,Left Foot,,,,"[88.4, 66.0]",,High Pass,,79.78653,,Incomplete,,Billy Ketkeophomphone,4441.0,,,,,Free Kick,1,From Free Kick,Denis Petrić,34953.0,Goalkeeper,82,Angers,145,"['157a0b94-4151-40cd-9d0d-4a83f27e704d', '30c1d5f7-aeea-4ee9-8795-cfbd48f3e7a9']",29,,,,,,,,,,,,,,,,Angers,145,00:38:29.544,Pass,
,,,,,,,,,,,,,,,,0.959823,,,,,,,,,,,,73dd55a7-8957-491d-bcaa-da355c131509,1682,,"[86.7, 80.0]",3901145,38,,,,,-0.46648046,,,,,,"[100.8, 72.9]",,Low Pass,,15.786703,,,,Charles Diers,401484.0,,,,,Throw-in,1,From Throw In,Gaël Angoula,401482.0,Right Back,83,Angers,145,['a41123e0-f3ed-4ae5-b6c2-d2b8e0a268e1'],44,,,,,,,,,,,,,,,,Angers,145,00:38:44.408,Pass,
,,,,,,,,,,,,,,,,0.546814,,,,,,,,,,,,db96073e-44c3-4f5c-8386-cd87e73f88c5,1684,,"[100.4, 74.8]",3901145,38,,,,,-2.378413,,Left Foot,,,,"[93.5, 68.2]",,Ground Pass,,9.548298,,,,Billy Ketkeophomphone,4441.0,,,,,,1,From Throw In,Charles Diers,401484.0,Right Center Midfield,83,Angers,145,['bf1886e7-7084-4ab2-a317-1cb8225d8d98'],45,,,,,,,,,,,,,,,,Angers,145,00:38:45.368,Pass,
,,,,,,,,,,,,,,,,1.327602,,,,,,,,,,,,824f03a4-7e30-48af-99a2-d7052ceff929,1690,,"[90.5, 68.8]",3901145,39,,,,,-0.84064144,5456b096-c3a4-49d0-8ea5-c2f5c27425aa,Left Foot,True,,,"[111.0, 45.9]",,High Pass,,30.735321,,,,Romain Thomas,3549.0,True,,,,Free Kick,1,From Free Kick,Pierrick Capelle,3071.0,Left Center Midfield,84,Angers,145,['4068e331-0580-43b2-94f2-74e263b74eab'],52,,,,,,,,,,,,,,,,Angers,145,00:39:52.441,Pass,
,,,,,,,,,,,,,,,,2.137867,,,,,,,,,,,,49d54e86-a97d-495a-980f-75fcfea1d0be,1695,,"[6.0, 44.0]",3901145,40,,,,,-1.2787936,,Right Foot,,,,"[16.1, 10.4]",,Ground Pass,,35.085182,,,,Daniel Congré,3011.0,,,,,Goal Kick,1,From Goal Kick,Jonathan Ligali,42428.0,Goalkeeper,85,Montpellier,139,['c45d5d9e-32ff-4a47-b1cb-5baff570d807'],19,,,,,,,,,,,,,,,,Montpellier,139,00:40:19.400,Pass,
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,44c75c40-b824-495e-bd8b-ae8fffcb9e80,1698,,"[21.5, 19.6]",3901145,40,,,,,1.536911,,Right Foot,,,,"[22.5, 49.1]",,Ground Pass,,29.516945,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Goal Kick,Daniel Congré,3011.0,Left Center Back,85,Montpellier,139,['2df8f01a-6742-430f-8758-17b61e450059'],26,,,,,,,,,,,,,,,,Montpellier,139,00:40:26.395,Pass,
,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,5b09ad33-bf03-49c8-8d8f-3badc4becbaf,1701,,"[22.5, 49.1]",3901145,40,,,,,-1.4254011,,Right Foot,,,,"[26.6, 21.1]",,Ground Pass,,28.298586,,,,Daniel Congré,3011.0,,,,,,1,From Goal Kick,Vitorino Hilton da Silva,3674.0,Right Center Back,85,Montpellier,139,['fa595d2d-ae9f-4d3f-8db4-f0040ca75a84'],28,,,,,,,,,,,,,,,,Montpellier,139,00:40:28.623,Pass,
