50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.137298,,,,,,,,,,,,,bf3e6409-737e-40b4-87d0-d92fe9fa86b4,967,,,"[38.3, 76.1]",3901164,23,,,,,-2.3561945,,Right Foot,,,,"[34.5, 72.3]",Ground Pass,,5.3740115,Incomplete,,Kévin Théophile-Catherine,3413.0,,,,,,1,Regular Play,Ronaël Pierre-Gabriel,4258.0,Right Back,54,Saint-Étienne,135,"['4ad7137e-4c7c-4ce8-8eb4-ddb1e2f0cd0c', '53f21c9e-5ccf-4323-9aa8-10c3d59f1499']",59,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:23:59.705,Pass,
,,,,,,,,,,,,,,,,,,1.518831,,,,,,,,,,,,,2c5d285c-54c9-48a7-aace-42fc790e6656,973,,,"[29.3, 76.1]",3901164,24,,,,,0.0,,Right Foot,,,,"[53.4, 76.1]",Ground Pass,,24.1,,,Fabien Lemoine,7200.0,,,,,,1,Regular Play,Ronaël Pierre-Gabriel,4258.0,Right Back,54,Saint-Étienne,135,"['14fd3514-1b33-41cc-9c8e-2ae6fea5317d', '703fbfd8-aa37-4e24-923e-60f6fe20f606']",3,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:24:03.302,Pass,True
,,,,,,,,,,,,,,,,,,2.783481,,,,,,,,,,,,,8924f19f-1f14-4441-a63a-cab303b228c0,979,,,"[46.5, 56.2]",3901164,24,,True,,,-1.5961074,,Right Foot,,,,"[45.7, 24.6]",Ground Pass,,31.610125,,,Moustapha Bayal Sall,401468.0,,,,,Free Kick,1,From Free Kick,Kévin Théophile-Catherine,3413.0,Right Center Back,55,Saint-Étienne,135,['640b3599-8b96-4278-afc7-523baa7167f8'],21,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:24:21.808,Pass,
,,,,,,,,,,,,,,,,,,1.504294,,,,,,,,,,,,,ec29abfd-593a-478f-bb0c-c66e53706380,981,,,"[60.2, 40.2]",3901164,24,,,,,0.8417487,,Right Foot,,,,"[69.4, 50.5]",Ground Pass,,13.810503,,,Fabien Lemoine,7200.0,,,,,,1,From Free Kick,Moustapha Bayal Sall,401468.0,Left Center Back,55,Saint-Étienne,135,['21c95bfb-8d1e-4770-992d-975b1ee038bd'],28,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:24:28.835,Pass,
,,,,,,,,,,,,,,,,,,4.170605,,,,,,,,,,,,,ec02979f-e29b-426c-b379-71c1545f7ebb,988,,,"[77.8, 51.4]",3901164,24,,,,,-1.0790509,,Right Foot,,,,"[101.1, 7.9]",High Pass,,49.347137,Incomplete,,Neal Maupay,4766.0,,True,,,,1,From Free Kick,Fabien Lemoine,7200.0,Right Center Midfield,55,Saint-Étienne,135,"['0821a8af-d72d-403e-a350-425614e71dca', 'e3b62552-eb79-4912-83d1-efe96ebd0797']",31,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:24:31.970,Pass,
,,,,,,,,,,,,,,,,,,1.962247,,,,,,,,,,,,,075888f9-bf50-407e-a0c8-02707a9e3913,999,,,"[89.5, 4.4]",3901164,25,,,,,0.9063009,,Right Foot,True,,,"[117.7, 40.4]",High Pass,,45.730076,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Valentin Eysseric,4254.0,Left Wing,56,Saint-Étienne,135,['dd2ce96b-5cd9-4917-a600-3c32b5d40a2e'],42,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:25:42.896,Pass,
,,,,,,,,,,,,,,,,,,3.399793,,,,,,,,,,,,,8e694d4c-3720-4f85-b782-21adeb0ec583,1009,,,"[6.0, 36.0]",3901164,26,,,,,-0.27001196,,Right Foot,,,,"[66.7, 19.2]",High Pass,,62.981983,Incomplete,,Billy Ketkeophomphone,4441.0,,,,,Goal Kick,1,From Goal Kick,Alexandre Letellier,3432.0,Goalkeeper,57,Angers,145,"['a2cbb5e5-657d-4e26-8bca-d4000197163a', 'e51e8823-81f3-43d1-b04a-11f190ed8377']",16,,,,,,,,,,,,,,,,,,Angers,145,00:26:16.989,Pass,
,,,,,,,,,,,,,,,,,,1.429305,,,,,,,,,,,,,e51e8823-81f3-43d1-b04a-11f190ed8377,1012,,,"[53.4, 60.9]",3901164,26,,,,True,-0.52030957,,,,,,"[71.9, 50.3]",Low Pass,,21.321585,,,Neal Maupay,4766.0,,,,,Recovery,1,Regular Play,Kévin Théophile-Catherine,3413.0,Right Center Back,58,Saint-Étienne,135,"['8331aa5c-12ed-4148-9511-fd74c96770b6', '8e694d4c-3720-4f85-b782-21adeb0ec583', 'e07cd5c4-7e58-4315-88de-c4a5efceee9f']",20,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:26:20.389,Pass,True
,,,,,,,,,,,,,,,,,,1.027813,,,,,,,,,,,,,0cec9c40-dd76-4b29-bef6-53385de57731,1016,,,"[73.7, 51.2]",3901164,26,,,,,1.7443869,,Right Foot,,,,"[70.0, 72.3]",Ground Pass,,21.421951,,,Kévin Monnet-Paquet,4431.0,,,,,,1,Regular Play,Neal Maupay,4766.0,Center Forward,58,Saint-Étienne,135,"['6df2006a-6501-479a-a1ab-f09bfef7c372', 'e2101bca-525c-4255-b8b4-812dd4615b44']",23,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:26:23.769,Pass,True
,,,,,,,,,,,,,,,,,,0.725461,,,,,,,,,,,,,0e77ba78-45fe-4bbe-aa9f-6bd444187f77,1019,,,"[71.7, 72.1]",3901164,26,,,,,-1.1296169,,Right Foot,,,,"[76.8, 61.3]",Ground Pass,,11.943618,,,Renaud Cohade,3200.0,,,,,,1,Regular Play,Kévin Monnet-Paquet,4431.0,Right Wing,58,Saint-Étienne,135,['c4343d19-6101-4452-9090-452657db4e62'],24,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:26:24.877,Pass,
