bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.647754,,,,,,,,,,,,,,d5ae9ecf-ab63-42f2-9dc1-79f7664e8ac3,2689,,,"[27.1, 24.0]",3900567,63,,,,,-1.3839762,,Right Foot,,,"[30.2, 7.6]",,Low Pass,,16.690416,,,Diego Armando Valentin Contento,4628.0,,,,,,2,Regular Play,Henri Saivet,5110.0,Center Defensive Midfield,152,Bordeaux,146,"['5bbebe0e-b02d-472a-b04f-8e33c646db82', 'b2f07679-d422-4af2-811e-d615168a292a']",49,,,,,,,,,,,,,,,,,Bordeaux,146,00:18:49.167,Pass,True
,,,,,,,,,,,,,,,,,3.073595,,,,,,,,,,,,,,7d422b74-c538-4013-b2c3-412c6902b93b,2692,,,"[31.3, 5.9]",3900567,63,,,,,0.50917965,,Left Foot,,,"[80.2, 33.2]",,High Pass,,56.004463,Incomplete,,Enzo Crivelli,3184.0,,,,,,2,Regular Play,Diego Armando Valentin Contento,4628.0,Left Back,152,Bordeaux,146,"['1a1d5975-7ac8-4c14-b766-6e94dfad6c6f', 'db102703-6c6d-4cd7-89c6-bbb30baa09cd']",52,,,,,,,,,,,,,,,,,Bordeaux,146,00:18:52.421,Pass,
,,,,,,,,,,,,,,,,,3.568526,,,,,,,,,,,,,,fe560e7b-6044-43c5-8a6f-7c15348bb8cd,2696,,,"[49.0, 47.5]",3900567,63,,,,,0.073510714,,Left Foot,,,"[100.6, 51.3]",,High Pass,,51.739735,,,Rémy Cabella,3420.0,,,Through Ball,True,,2,From Counter,Rolando Jorge Pires da Fonseca,19813.0,Left Center Back,153,Marseille,147,['2222bf77-1209-4d8a-bc2f-42536960eb37'],58,,,,,,,,,,,,,,,,,Marseille,147,00:18:58.893,Pass,
,,,,,,,,,,,,,,,,,2.147287,,,,,,,,,,,,,,c1d1f188-a09c-4173-b53b-2bb47d10bf56,2707,,,"[10.3, 23.7]",3900567,64,,True,,,-0.30111557,,Right Foot,,,"[42.5, 13.7]",,High Pass,,33.717056,,,Wahbi Khazri,3196.0,,,,,,2,From Keeper,Cédric Carrasso,40533.0,Goalkeeper,155,Bordeaux,146,['673e416f-68e7-49f0-98e2-885b10f4dd6a'],27,,,,,,,,,,,,,,,,,Bordeaux,146,00:19:27.803,Pass,
,,,,,,,,,,,,,,,,,2.047007,,,,,,,,,,,,,,18e05f47-eb17-4b52-85d6-6efd401ebbc1,2709,,,"[54.6, 17.6]",3900567,64,,,,,1.999311,,Right Foot,,,"[38.2, 53.5]",,High Pass,,39.468594,,,Frédéric Guilbert,2946.0,,,,,,2,From Keeper,Wahbi Khazri,3196.0,Right Wing,155,Bordeaux,146,['6ef52ff0-8da5-44ed-b7ae-0baaad00fc68'],35,,,,,,,,,,,,,,,,,Bordeaux,146,00:19:35.549,Pass,
,,,,,,,,,,,,,,,,,1.92583,,,,,,,,,,,,,,1924729f-f189-4b68-bea2-d51a85d6bd1a,2712,,,"[39.0, 52.4]",3900567,64,,,,,1.5584513,,Right Foot,,,"[39.2, 68.6]",,Ground Pass,,16.201235,,,André Biyogo Poko,30338.0,,,,,,2,From Keeper,Frédéric Guilbert,2946.0,Right Center Back,155,Bordeaux,146,['5e59f1e3-2915-4315-9b17-b93e741933f1'],40,,,,,,,,,,,,,,,,,Bordeaux,146,00:19:40.397,Pass,
,,,,,,,,,,,,,,,,,1.347649,,,,,,,,,,,,,,49ab7a10-a3e6-4fe3-be7f-e8270fde206a,2715,,,"[48.4, 69.1]",3900567,64,,,,,-1.4487296,,Right Foot,,,"[51.7, 42.2]",,Ground Pass,,27.10166,,,Jaroslav Plašil,3150.0,,,,,,2,From Keeper,André Biyogo Poko,30338.0,Right Back,155,Bordeaux,146,['e780aa46-f2c0-4875-b55b-2524d100d917'],45,,,,,,,,,,,,,,,,,Bordeaux,146,00:19:45.170,Pass,
,,,,,,,,,,,,,,,,,1.772282,,,,,,,,,,,,,,ca15d7bf-07ab-4c81-81dd-3f716573cc95,2718,,,"[54.0, 41.5]",3900567,64,,,,,-2.2005138,,Left Foot,,,"[44.6, 28.6]",,Ground Pass,,15.961516,,,Cédric Yambéré,3779.0,,,,,,2,From Keeper,Jaroslav Plašil,3150.0,Right Center Midfield,155,Bordeaux,146,['68b90202-190b-4c07-a7ee-cc0883d6d372'],48,,,,,,,,,,,,,,,,,Bordeaux,146,00:19:48.836,Pass,
,,,,,,,,,,,,,,,,,1.677405,,,,,,,,,,,,,,fba9b706-8066-4330-a3c3-0e197fa9ad5b,2721,,,"[47.4, 27.6]",3900567,64,,,,,-1.0902331,,Right Foot,,,"[58.4, 6.5]",,Ground Pass,,23.795168,,,Diego Armando Valentin Contento,4628.0,,,,,,2,From Keeper,Cédric Yambéré,3779.0,Left Center Back,155,Bordeaux,146,['64ea687e-a168-45f2-b359-2ba4e981d0bb'],50,,,,,,,,,,,,,,,,,Bordeaux,146,00:19:50.678,Pass,
,,,,,,,,,,,,,,,,,1.287115,,,,,,,,,,,,,,408fefa4-6bbb-47e5-9767-f28d298fd404,2724,,,"[61.2, 7.4]",3900567,64,,,,,1.4352686,,Left Foot,,,"[62.7, 18.4]",,Ground Pass,,11.101802,,,Diego Alejandro Rolan Silva,6739.0,,,,,,2,From Keeper,Diego Armando Valentin Contento,4628.0,Left Back,155,Bordeaux,146,['1e0f33a3-4140-4ac4-9607-a29b0f8ad86c'],53,,,,,,,,,,,,,,,,,Bordeaux,146,00:19:53.260,Pass,
