50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,5.129051,,,,,,,,,,,,ff81cd05-7473-4354-adcc-2d3217f38feb,58,,"[97.3, 70.2]",3901223,1,,,,,-1.1881518,,Right Foot,True,,,"[120.0, 13.8]",,High Pass,,60.79679,Out,,Hélder Wander Sousa Azevedo Costa,9931.0,,True,,,,1,From Throw In,Fábio Henrique Tavares,3247.0,Right Back,4,Marseille,147,['72699566-6c30-483b-a542-34c081a33a07'],10,,,,,,,,,,,,,,,,,AS Monaco,129,00:01:10.621,Pass,
,,,,,,,,,,,,,,,,,,,2.575641,,,,,,,,,,,,79ff8fd9-4273-40f2-9fa3-cd1556f447f8,60,,"[6.0, 44.0]",3901223,1,,,,,-0.043985695,,Right Foot,,,,"[62.8, 41.5]",,High Pass,,56.854992,Incomplete,,Michy Batshuayi Tunga,3457.0,,,,,Goal Kick,1,From Goal Kick,Steve Mandanda,3543.0,Goalkeeper,5,Marseille,147,"['2d1312ce-21cb-442d-b8be-58420ddf64d7', '34dde427-4355-40d9-9910-c90b8e3e54f9']",34,,,,,,,,,,,,,,,,,Marseille,147,00:01:34.949,Pass,
,,,,,,,,,,,,,,,,,,,1.570531,,,,,,,,,,,,2d1312ce-21cb-442d-b8be-58420ddf64d7,62,,"[57.3, 38.6]",3901223,1,,,,True,-1.6207547,,,,,,"[56.6, 24.6]",,Low Pass,,14.017489,Incomplete,,,,,,,,Recovery,1,From Goal Kick,Tiemoué Bakayoko,3955.0,Left Defensive Midfield,5,Marseille,147,"['0d12363b-8f2a-4d42-a23d-98472a3508d0', '79ff8fd9-4273-40f2-9fa3-cd1556f447f8', 'd99efd80-ed96-43d3-adb3-a9e3008e8a49']",37,,,,,,,,,,,,,,,,,AS Monaco,129,00:01:37.524,Pass,True
,,,,,,,,,,,,,,,,,,,0.769718,,,,,,,,,,,,0d12363b-8f2a-4d42-a23d-98472a3508d0,64,,"[63.5, 55.5]",3901223,1,,,,,-2.2073045,,Right Foot,,,,"[56.7, 46.3]",,Ground Pass,,11.44028,,,Jacques-Alaixys Romao,10036.0,,,,,Recovery,1,From Goal Kick,Bouna Sarr,4351.0,Right Wing,5,Marseille,147,"['2d1312ce-21cb-442d-b8be-58420ddf64d7', '7f180c9f-3ea4-4ba7-a6fb-4256f993e08e']",39,,,,,,,,,,,,,,,,,Marseille,147,00:01:39.095,Pass,
,,,,,,,,,,,,,,,,,,,1.567812,,,,,,,,,,,,19ecdd78-0d5e-4819-adae-5c30cfd8d800,68,,"[56.7, 46.8]",3901223,1,,,,,1.6513668,,Right Foot,,,,"[55.4, 62.9]",,Ground Pass,,16.1524,,,Javier Manquillo Gaitán,3075.0,,,,,,1,From Goal Kick,Jacques-Alaixys Romao,10036.0,Right Defensive Midfield,5,Marseille,147,['b7863099-14a3-4a46-9d1f-1ebb51f515b6'],39,,,,,,,,,,,,,,,,,Marseille,147,00:01:39.924,Pass,
,,,,,,,,,,,,,,,,,,,4.960637,,,,,,,,,,,,cf160e16-f655-479c-bb5f-07cbe8fee80b,71,,"[56.7, 67.5]",3901223,1,,,,,0.21457137,,Right Foot,,,,"[113.6, 79.9]",,Low Pass,,58.23547,Out,,Michy Batshuayi Tunga,3457.0,,,,,,1,From Goal Kick,Javier Manquillo Gaitán,3075.0,Right Back,5,Marseille,147,['6d9f0226-c4d6-4355-9a3f-8e211eec8f50'],42,,,,,,,,,,,,,,,,,Marseille,147,00:01:42.776,Pass,
,,,,,,,,,,,,,,,,,,,2.100407,,,,,,,,,,,,6589b8c9-ba3b-4dd3-80ea-913f4c2ef29c,73,,"[12.0, 0.1]",3901223,2,,,,,0.83598787,,,,,,"[27.0, 16.7]",,High Pass,,22.373198,,,Jérémy Toulalan,3406.0,,,,,Throw-in,1,From Throw In,Andrea Raggi,3374.0,Left Back,6,AS Monaco,129,['a1324d62-646d-43cb-8d84-bfbaec48c213'],2,,,,,,,,,,,,,,,,,AS Monaco,129,00:02:02.837,Pass,
,,,,,,,,,,,,,,,,,,,1.857202,,,,,,,,,,,,47c896cd-4b00-4253-9562-964af6a06f3f,75,,"[28.1, 19.4]",3901223,2,,,,,-1.483301,,Head,,,,"[29.1, 8.0]",,High Pass,,11.443775,,,Tiemoué Bakayoko,3955.0,,,,,,1,From Throw In,Jérémy Toulalan,3406.0,Right Defensive Midfield,6,AS Monaco,129,['9917c57e-8392-49e2-9186-4e270634a383'],4,,,,,,,,,,,,,,,,,AS Monaco,129,00:02:04.937,Pass,
,,,,,,,,,,,,,,,,,,,0.891067,,,,,,,,,,,,e5e72873-6b72-42df-8410-ba70a409bbbf,78,,"[29.6, 7.8]",3901223,2,,,,True,0.29849893,,,,,,"[36.1, 9.8]",,Low Pass,,6.8007355,,,Hélder Wander Sousa Azevedo Costa,9931.0,,,,,,1,From Throw In,Tiemoué Bakayoko,3955.0,Left Defensive Midfield,6,AS Monaco,129,"['7c85134e-884b-458c-a335-0e4573d9edcd', 'c7fca679-17fb-465a-bcf7-c9df48476863']",6,,,,,,,,,,,,,,,,,AS Monaco,129,00:02:06.852,Pass,True
,,,,,,,,,,,,,,,,,,,0.908632,,,,,,,,,,,,a876b537-1c55-437a-814c-3ac512f360c8,86,,"[84.2, 0.1]",3901223,2,,,,,0.4024428,,,,,,"[99.0, 6.4]",,Low Pass,,16.085087,Incomplete,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,Throw-in,1,From Throw In,Hélder Wander Sousa Azevedo Costa,9931.0,Left Wing,7,AS Monaco,129,"['a7883600-a8cb-4591-b54a-0e7e63219908', 'e6aa2402-daac-4806-a195-92b67ee38bea']",18,,,,,,,,,,,,,,,,,AS Monaco,129,00:02:18.285,Pass,
