50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.351277,,,,,,,,,,,,,8dd46a50-98c3-41c2-8f62-ba852337e8f3,16,,,"[24.9, 48.9]",3901222,0,,,,,-1.2336624,,Right Foot,,,"[35.1, 19.8]",,Ground Pass,,30.835855,,,,Ermir Lenjani,10746.0,,,,,,1,Regular Play,Lévy Koffi Djidji,3174.0,Right Center Back,3,Nantes,144,['cd7bf60c-dcb5-42d9-9e3b-a6f6fd872e8f'],11,,,,,,,,,,,,,,,,,Nantes,144,00:00:11.277,Pass,
,,,,,,,,,,,,,,,,,,4.535643,,,,,,,,,,,,,709ab84b-0d70-4608-a8eb-9f20c27630fc,19,,,"[40.6, 11.5]",3901222,0,,,,,-0.19274133,,Left Foot,,,"[98.5, 0.2]",,High Pass,,58.99237,,Out,,Adryan Oliveira Tavares,31687.0,,,,,,1,Regular Play,Ermir Lenjani,10746.0,Left Back,3,Nantes,144,['8a2345ba-fdeb-42d4-8d00-552eab36be0d'],15,,,,,,,,,,,,,,,,,Nantes,144,00:00:15.349,Pass,
,,,,,,,,,,,,,,,,,,1.213,,,,,,,,,,,,,daae29dd-c2c3-4ecf-a508-cd83e677fe79,21,,,"[23.3, 80.0]",3901222,0,,,,,-0.323847,,,,,"[37.6, 75.2]",,High Pass,,15.084098,,,,Bryan Dabo,3421.0,,,,,Throw-in,1,From Throw In,William Jean Rémy,4669.0,Right Back,4,Montpellier,139,['b995b0ef-f3c8-43ea-80ee-b657f6753811'],34,,,,,,,,,,,,,,,,,Montpellier,139,00:00:34.601,Pass,
,,,,,,,,,,,,,,,,,,3.186498,,,,,,,,,,,,,dee4a881-989d-4429-a159-42c7c2d1a7fb,25,,,"[39.5, 56.5]",3901222,0,,,,,-1.9004903,,Right Foot,,,"[27.9, 22.6]",,Ground Pass,,35.829735,,,,Jérôme Roussillon,3676.0,,,,,,1,From Throw In,Bryan Dabo,3421.0,Right Center Midfield,4,Montpellier,139,"['7984f7fb-cfa9-441f-abc9-c45dcd9352d3', 'a7a9d5d5-62f8-4e8b-bc1a-5112d273cbf2']",38,,,,,,,,,,,,,,,,,Montpellier,139,00:00:38.258,Pass,True
,,,,,,,,,,,,,,,,,,1.340799,,,,,,,,,,,,,b1a7b0c9-3792-43d0-9b09-cbdea63efbda,28,,,"[27.9, 22.6]",3901222,0,,,,,-0.84761286,,Left Foot,,,"[42.2, 6.4]",,Ground Pass,,21.608562,,,,Jonas Martin,2950.0,,,,,,1,From Throw In,Jérôme Roussillon,3676.0,Left Back,4,Montpellier,139,['58263019-ade3-4ff4-b95f-1cb8da11482c'],42,,,,,,,,,,,,,,,,,Montpellier,139,00:00:42.966,Pass,
,,,,,,,,,,,,,,,,,,1.141,,,,,,,,,,,,,82a50ee6-4636-4978-9cc6-a8405431d180,31,,,"[40.9, 3.9]",3901222,0,,,,,1.6727147,,Right Foot,,,"[40.0, 12.7]",,Ground Pass,,8.845903,,,,Ellyes Joris Skhiri,3767.0,,,,,,1,From Throw In,Jonas Martin,2950.0,Left Center Midfield,4,Montpellier,139,['b6ef10e9-d0f4-4a04-a7db-d4105ebb2d75'],45,,,,,,,,,,,,,,,,,Montpellier,139,00:00:45.401,Pass,
,,,,,,,,,,,,,,,,,,2.887498,,,,,,,,,,,,,792c1ee5-2bb1-4bd8-8e2e-237168f801ee,33,,,"[38.7, 13.5]",3901222,0,,,,,2.4959033,,Right Foot,,,"[9.5, 35.5]",,Low Pass,,36.56009,,,,Geoffrey Jourdren,7509.0,,,,,,1,From Throw In,Ellyes Joris Skhiri,3767.0,Center Defensive Midfield,4,Montpellier,139,['d006190a-e714-4301-ade6-7091935a1478'],46,,,,,,,,,,,,,,,,,Montpellier,139,00:00:46.542,Pass,
,,,,,,,,,,,,,,,,,,3.280948,,,,,,,,,,,,,2f27218f-f864-4ab1-8986-5ea8dddcf93e,36,,,"[13.4, 47.2]",3901222,0,,,,,-0.16282009,,Right Foot,,,"[76.1, 36.9]",,High Pass,,63.540382,,Incomplete,,Souleymane Camara,3679.0,,,,,,1,From Throw In,Geoffrey Jourdren,7509.0,Goalkeeper,4,Montpellier,139,"['024281d9-2756-43d3-bb7b-06584e2b2a6c', '0d2e8e55-3de7-4ad6-86c1-d9bd7810e6e3']",51,,,,,,,,,,,,,,,,,Montpellier,139,00:00:51.605,Pass,
,,,,,,,,,,,,,,,,,,1.65105,,,,,,,,,,,,,0d2e8e55-3de7-4ad6-86c1-d9bd7810e6e3,38,,,"[44.0, 43.2]",3901222,0,,,,True,-0.3755706,,,,,"[61.5, 36.3]",,High Pass,,18.811167,,Incomplete,,Guillaume Gillet,4380.0,,,,,Recovery,1,From Throw In,Oswaldo Augusto Vizcarrondo Araújo,3004.0,Left Center Back,4,Montpellier,139,"['2f27218f-f864-4ab1-8986-5ea8dddcf93e', '718645c5-c64b-4c36-95dd-6ac4545bf6b3', '9b25c6b8-fb2d-4ba8-bd70-3a133a356700', 'b5ccb2ce-d1f7-4c07-8e17-648db18fd151']",54,,,,,,,,,,,,,,,,,Nantes,144,00:00:54.886,Pass,True
,,,,,,,,,,,,,,,,,,1.7437,,,,,,,,,,,,,9b25c6b8-fb2d-4ba8-bd70-3a133a356700,41,,,"[58.6, 43.8]",3901222,0,,,,,-0.3659207,,Right Foot,,,"[80.0, 35.6]",,High Pass,,22.917242,,,,Rodrigue Casimir Ninga,3020.0,,,,,Recovery,1,From Throw In,Ellyes Joris Skhiri,3767.0,Center Defensive Midfield,4,Montpellier,139,"['0d2e8e55-3de7-4ad6-86c1-d9bd7810e6e3', '823b96b1-2fbf-4582-baca-f3ed92f2c9a8']",56,,,,,,,,,,,,,,,,,Montpellier,139,00:00:56.537,Pass,
,,,,,,,,,,,,,,,,,,1.888788,,,,,,,,,,,,,11f3931b-323a-4bf2-b533-21ad9e447143,50,,,"[42.5, 40.2]",3901222,1,,,,,-0.8196527,,Right Foot,,,"[58.0, 23.6]",,Low Pass,,22.71145,,Incomplete,,Guillaume Gillet,4380.0,,,,,,1,From Throw In,Lévy Koffi Djidji,3174.0,Right Center Back,4,Montpellier,139,"['31e4202a-f58d-4bc7-b7fe-9b9b4bdb7727', '33e5ac50-39f1-44a2-9fe4-4e4a1f058957', 'f421da97-6219-4862-bc3a-fba75513d447']",1,,,,,,,,,,,,,,,,,Nantes,144,00:01:01.744,Pass,True
,,,,,,,,,,,,,,,,,,4.2192,,,,,,,,,,,,,5254acbf-46cd-449e-9965-ffe6eb754f30,54,,,"[53.0, 59.2]",3901222,1,,,,,-3.0609004,,Left Foot,,,"[2.3, 55.1]",,High Pass,,50.86551,,,,Geoffrey Jourdren,7509.0,,,,,,1,From Throw In,William Jean Rémy,4669.0,Right Back,4,Montpellier,139,"['b5f6cb56-ea6d-4a34-a75a-06e54e8d7aef', 'f84d72cb-3261-4ca3-b552-4e0e91a67c4f']",5,,,,,,,,,,,,,,,,,Montpellier,139,00:01:05.437,Pass,True
,,,,,,,,,,,,,,,,,,3.115159,,,,,,,,,,,,,241fb316-a6a5-45ec-b9ba-3688c4eb89bc,57,,,"[2.6, 55.3]",3901222,1,,,,,-0.024111083,,Right Foot,,,"[64.8, 53.8]",,High Pass,,62.218082,,Incomplete,,Ryad Boudebouz,6661.0,,,,,,1,From Throw In,Geoffrey Jourdren,7509.0,Goalkeeper,4,Montpellier,139,"['535bd527-5d8c-4184-ba98-8e7b465e111c', 'cb024775-e560-4f1e-921a-c49ba2ca0c06']",11,,,,,,,,,,,,,,,,,Montpellier,139,00:01:11.908,Pass,
,,,,,,,,,,,,,,,,,,1.138732,,,,,,,,,,,,,535bd527-5d8c-4184-ba98-8e7b465e111c,60,,,"[55.3, 26.3]",3901222,1,,,,True,0.036680788,,,,,"[66.2, 26.7]",,High Pass,,10.907337,,,,Guillaume Gillet,4380.0,,,,,Recovery,1,Regular Play,Birama Touré,7350.0,Left Defensive Midfield,5,Nantes,144,"['0f910cd8-5f1c-429f-8798-1354330fd5bc', '241fb316-a6a5-45ec-b9ba-3688c4eb89bc', 'aaaee3d8-2d8f-4355-a8b2-3941e9e9c3e5']",15,,,,,,,,,,,,,,,,,Nantes,144,00:01:15.023,Pass,True
,,,,,,,,,,,,,,,,,,1.5752,,,,,,,,,,,,,8ea735cd-bd93-490f-8895-28ae9e18f8f3,64,,,"[66.2, 26.7]",3901222,1,,,,,1.3054123,,Right Foot,,,"[71.5, 46.2]",,High Pass,,20.207424,,,,Alejandro Bedoya,12351.0,,,,,,1,Regular Play,Guillaume Gillet,4380.0,Center Attacking Midfield,5,Nantes,144,"['6e81a1f1-4ed8-40bd-afbf-af03bfc04a34', 'b9a96b46-f53b-4009-88a4-88498ff9eff2']",16,,,,,,,,,,,,,,,,,Nantes,144,00:01:16.347,Pass,True
,,,,,,,,,,,,,,,,,,3.237759,,,,,,,,,,,,,3635d3f1-b45b-475b-9af8-da84bef3d361,71,,,"[41.7, 29.0]",3901222,1,,,,,0.07663843,,Right Foot,,,"[99.0, 33.4]",,High Pass,,57.46869,,Incomplete,,Rodrigue Casimir Ninga,3020.0,,,Through Ball,True,,1,Regular Play,Daniel Congré,3011.0,Left Center Back,5,Nantes,144,"['1c21cec9-cd62-49ce-93e2-52aa5f8031c8', '88774665-906f-4f55-bd23-408113e54ed0']",22,,,,,,,,,,,,,,,,,Montpellier,139,00:01:22.653,Pass,
,,,,,,,,,,,,,,,,,,2.627818,,,,,,,,,,,,,01af00b6-4e6d-4de3-a935-b699e7f87a61,76,,,"[27.1, 76.9]",3901222,1,,,,,-2.3697438,,Left Foot,,,"[8.4, 58.7]",,Ground Pass,,26.094635,,,,Maxime Dupé,4377.0,,,,,Recovery,1,Regular Play,Léo Dubois,3144.0,Right Back,5,Nantes,144,"['1c77bc61-8931-4305-9016-aeb316e4896f', 'e3682b3b-ffe2-4774-a202-a90b826a9975']",29,,,,,,,,,,,,,,,,,Nantes,144,00:01:29.358,Pass,True
,,,,,,,,,,,,,,,,,,2.199916,,,,,,,,,,,,,91e42bc0-fe8f-4e1e-a787-3fdbcdd61fa8,78,,,"[8.9, 57.8]",3901222,1,,True,,,-1.1374862,,Right Foot,,,"[21.9, 29.7]",,Ground Pass,,30.961428,,,,Oswaldo Augusto Vizcarrondo Araújo,3004.0,,,,,,1,Regular Play,Maxime Dupé,4377.0,Goalkeeper,5,Nantes,144,['3f8c8d96-1d0e-4d76-95a5-035ecf1f53aa'],33,,,,,,,,,,,,,,,,,Nantes,144,00:01:33.230,Pass,
,,,,,,,,,,,,,,,,,,1.925131,,,,,,,,,,,,,9c925bee-0fc8-4749-a9a0-3224e9b3afa1,80,,,"[21.9, 29.7]",3901222,1,,,,,-0.7704739,,Right Foot,,,"[45.7, 6.6]",,Ground Pass,,33.167,,,,Ermir Lenjani,10746.0,,,,,,1,Regular Play,Oswaldo Augusto Vizcarrondo Araújo,3004.0,Left Center Back,5,Nantes,144,['dbce55c5-8c59-4088-98bb-f3df1344dc52'],36,,,,,,,,,,,,,,,,,Nantes,144,00:01:36.167,Pass,
,,,,,,,,,,,,,,,,,,1.749315,,,,,,,,,,,,,cbf02494-d4cb-403c-b52f-dcab6a193918,83,,,"[44.0, 7.1]",3901222,1,,,,,2.3961732,,Left Foot,,,"[20.6, 28.7]",,Ground Pass,,31.845251,,,,Oswaldo Augusto Vizcarrondo Araújo,3004.0,,,,,,1,Regular Play,Ermir Lenjani,10746.0,Left Back,5,Nantes,144,['a03eb24f-63f4-4e0c-be05-681811a52362'],38,,,,,,,,,,,,,,,,,Nantes,144,00:01:38.784,Pass,
,,,,,,,,,,,,,,,,,,1.729302,,,,,,,,,,,,,da81d143-f81a-4d51-89c2-22b6d2c28b29,86,,,"[20.6, 28.7]",3901222,1,,,,,1.5280416,,Right Foot,,,"[21.4, 47.4]",,Ground Pass,,18.717104,,,,Lévy Koffi Djidji,3174.0,,,,,,1,Regular Play,Oswaldo Augusto Vizcarrondo Araújo,3004.0,Left Center Back,5,Nantes,144,['04f9043a-e493-404a-aebb-376abb67a894'],41,,,,,,,,,,,,,,,,,Nantes,144,00:01:41.641,Pass,
,,,,,,,,,,,,,,,,,,1.853444,,,,,,,,,,,,,3416d08c-945d-4ff6-9933-4d59deebe7e2,89,,,"[21.4, 47.4]",3901222,1,,,,,1.1583859,,Right Foot,,,"[34.0, 76.2]",,Ground Pass,,31.435648,,,,Léo Dubois,3144.0,,,,,,1,Regular Play,Lévy Koffi Djidji,3174.0,Right Center Back,5,Nantes,144,['cb4fb0a4-dedf-4ae1-81be-4aa1a16550c1'],44,,,,,,,,,,,,,,,,,Nantes,144,00:01:44.547,Pass,
,,,,,,,,,,,,,,,,,,0.747518,,,,,,,,,,,,,d644df86-8386-43c6-b8f5-e309f9c8e1a8,92,,,"[44.7, 77.6]",3901222,1,,,,,0.07751428,,Right Foot,,,"[55.0, 78.4]",,Ground Pass,,10.331021,,,,Alejandro Bedoya,12351.0,,,,,,1,Regular Play,Léo Dubois,3144.0,Right Back,5,Nantes,144,['89338df0-f7b4-4741-970d-ed864914db9e'],49,,,,,,,,,,,,,,,,,Nantes,144,00:01:49.088,Pass,
,,,,,,,,,,,,,,,,,,1.085644,,,,,,,,,,,,,9f3f63b6-508c-483f-a86a-566fd7cc00f6,95,,,"[56.0, 77.6]",3901222,1,,,,,-1.7053943,,Left Foot,,,"[54.7, 68.0]",,Ground Pass,,9.687621,,Incomplete,,Rémi Gomis,401478.0,,,,,,1,Regular Play,Alejandro Bedoya,12351.0,Right Wing,5,Nantes,144,"['071ed5e3-7d19-483d-ad25-6d02418d2498', '38c62a8a-16db-497f-823c-36fe97af1314', 'cfa5075f-8aa0-4d27-9501-e061be1abfda']",49,,,,,,,,,,,,,,,,,Nantes,144,00:01:49.835,Pass,True
,,,,,,,,,,,True,,,,,,,0.7527,,,,,,,,,,,,,071ed5e3-7d19-483d-ad25-6d02418d2498,98,,,"[65.4, 12.1]",3901222,1,,,,,-1.6872878,,Left Foot,,,"[64.3, 2.7]",,Ground Pass,,9.464143,,,,Jonas Martin,2950.0,,,,,Interception,1,Regular Play,Ryad Boudebouz,6661.0,Center Attacking Midfield,6,Montpellier,139,"['5416c06b-0c50-484a-a313-6f4d8ccd0257', '9f3f63b6-508c-483f-a86a-566fd7cc00f6', 'c2315d90-6818-4902-b2a7-b4c4806f38da']",50,,,,,,,,,,,,,,,,,Montpellier,139,00:01:50.921,Pass,True
,,,,,,,,,,,,,,,,,,0.6006,,,,,,,,,,,,,f25cb1a8-5402-4c04-873e-c48e12ae333b,101,,,"[64.6, 3.0]",3901222,1,,,,,2.3747108,,Right Foot,,,"[59.1, 8.3]",,Ground Pass,,7.6380625,,,,Ryad Boudebouz,6661.0,,,,,,1,Regular Play,Jonas Martin,2950.0,Left Center Midfield,6,Montpellier,139,['b703556c-d673-4b79-ac04-9432b923b748'],52,,,,,,,,,,,,,,,,,Montpellier,139,00:01:52.451,Pass,
,,,,,,,,,,,,,,,,,,0.7345,,,,,,,,,,,,,bc0b08c9-9ad6-4e00-8266-c8b7de17eaac,103,,,"[59.1, 8.3]",3901222,1,,,,,-0.689539,,Right Foot,,,"[64.8, 3.6]",,Ground Pass,,7.387828,,,,Jonas Martin,2950.0,,,,,,1,Regular Play,Ryad Boudebouz,6661.0,Center Attacking Midfield,6,Montpellier,139,['45cd4fa7-f8e4-42b0-8321-33191103d976'],53,,,,,,,,,,,,,,,,,Montpellier,139,00:01:53.052,Pass,
,,,,,,,,,,,,,,,,,,0.9278,,,,,,,,,,,,,90c39d45-8f47-4f18-8f37-7979ca667cce,107,,,"[74.8, 1.2]",3901222,1,,,,,2.9836278,,Right Foot,,,"[63.5, 3.0]",,Ground Pass,,11.442465,,,,Ryad Boudebouz,6661.0,,,,,,1,Regular Play,Jonas Martin,2950.0,Left Center Midfield,6,Montpellier,139,['7b088d13-293e-4309-849e-0d355df7d7e2'],56,,,,,,,,,,,,,,,,,Montpellier,139,00:01:56.901,Pass,
,,,,,,,,,,,,,,,,,,1.9939,,,,,,,,,,,,,69b0d7e6-552c-49d3-9372-0c73f6d4a8bc,111,,,"[57.7, 3.6]",3901222,2,,,,,2.9408693,,Left Foot,,,"[34.6, 8.3]",,Ground Pass,,23.57329,,,,Daniel Congré,3011.0,,,,,,1,Regular Play,Ryad Boudebouz,6661.0,Center Attacking Midfield,6,Montpellier,139,"['6dda4646-8d48-493a-aa53-7a5608559ab3', 'fe070f58-af3c-4d23-8a78-9f52c2a903cc']",0,,,,,,,,,,,,,,,,,Montpellier,139,00:02:00.549,Pass,True
,,,,,,,,,,,,,,,,,,2.2396,,,,,,,,,,,,,20fcd5cd-954f-411c-af18-0817e330c199,114,,,"[27.9, 13.8]",3901222,2,,,,,1.3307256,,Right Foot,,,"[32.6, 33.0]",,Ground Pass,,19.766891,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,Regular Play,Daniel Congré,3011.0,Left Center Back,6,Montpellier,139,['9cde91f8-e8db-4d05-be64-a5e3b41b63c9'],3,,,,,,,,,,,,,,,,,Montpellier,139,00:02:03.342,Pass,
,,,,,,,,,,,,,,,,,,2.604,,,,,,,,,,,,,7f56cc9b-e564-4754-8277-0584b950ece7,117,,,"[45.6, 50.1]",3901222,2,,,,,-0.07331469,,Right Foot,,,"[98.7, 46.2]",,High Pass,,53.243027,,,,Rodrigue Casimir Ninga,3020.0,,,,,,1,Regular Play,Vitorino Hilton da Silva,3674.0,Right Center Back,6,Montpellier,139,['f10bdadd-6adc-48c7-b051-494e8f3d9756'],9,,,,,,,,,,,,,,,,,Montpellier,139,00:02:09.036,Pass,
