50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.891284,,,,,,,,,,,,429cfb85-caee-4b87-bd52-eca4a4ab6545,69,,"[39.6, 1.6]",3901233,1,,,,,-0.017239671,,Left Foot,,,,"[51.2, 1.4]",,Ground Pass,,11.601724,,,,,Ludovic Baal,2985.0,,,,,,1,Regular Play,Giovanni-Guy Yann Sio,3018.0,Center Forward,4,Rennes,134,['7401915e-0797-438d-9623-2a0341776e9f'],2,,,,,,,,,,,,,,,,Rennes,134,00:01:02.377,Pass,
,,,,,,,,,,,,,,,,1.050019,,,,,,,,,,,,0aa68de5-17aa-4210-81b5-c640a77b09be,73,,"[52.0, 1.2]",3901233,1,,,,,1.5284488,,Left Foot,,,,"[52.5, 13.0]",,Ground Pass,,11.810589,,,,,Gélson da Conceição Tavares Fernandes,8672.0,,,,,,1,Regular Play,Ludovic Baal,2985.0,Left Wing Back,4,Rennes,134,"['2d61b16e-d554-4b8e-97b1-b62cd71596d9', 'ea1d3515-fa83-4116-9ddc-e0905e0e4cbb']",4,,,,,,,,,,,,,,,,Rennes,134,00:01:04.449,Pass,True
,,,,,,,,,,,,,,,,1.1056,,,,,,,,,,,,76172f61-9829-42af-83b2-78c7d99d6282,77,,"[50.5, 13.0]",3901233,1,,,,,1.886412,,Left Foot,,,,"[47.3, 22.8]",,Ground Pass,,10.309219,,,,,Yacouba Sylla,29714.0,,,,,,1,Regular Play,Gélson da Conceição Tavares Fernandes,8672.0,Left Defensive Midfield,4,Rennes,134,"['411df898-e816-4804-9000-8b531c60e55a', 'c7545b01-e416-4eb7-9b8d-908e789ea351']",6,,,,,,,,,,,,,,,,Rennes,134,00:01:06.391,Pass,True
,,,,,,,,,,,,,,,,1.28308,,,,,,,,,,,,cacd82ba-4a06-4f7f-b26e-6ecdfc1bdb26,80,,"[52.9, 27.7]",3901233,1,,,,,0.58959246,,Right Foot,,,,"[67.4, 37.4]",,Ground Pass,,17.445343,,,,,Ousmane Dembélé,5477.0,,,,,,1,Regular Play,Yacouba Sylla,29714.0,Right Defensive Midfield,4,Rennes,134,['fc59c87f-7e08-4a3a-af8e-7d14a7e6efb4'],8,,,,,,,,,,,,,,,,Rennes,134,00:01:08.347,Pass,
,,,,,,,,,,,,,,,,0.471805,,,,,,,,,,,,d7a2e699-8527-45e7-ba63-83a7a9e957a7,83,,"[81.1, 22.6]",3901233,1,,,,,0.07393904,,Left Foot,,,,"[86.5, 23.0]",,Ground Pass,,5.4147944,,,Incomplete,,Pedro Henrique Konzen Medina da Silva,16503.0,,,Through Ball,True,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,4,Rennes,134,"['046cca87-c9c0-4182-9a1f-044c606c304f', '72ae376f-1077-484a-89be-671897852071']",12,,,,,,,,,,,,,,,,Rennes,134,00:01:12.130,Pass,
,,,,,,,,,,,,,,,,0.737782,,,,,,,,,,,,4626cb19-e766-4c30-80e2-ce4191865162,87,,"[45.0, 60.1]",3901233,1,,,,,-1.4559197,,Right Foot,,,,"[45.6, 54.9]",,Ground Pass,,5.234501,,,,,Benjamin Stambouli,8515.0,,,,,,1,Regular Play,Marcos Aoás Corrêa,4372.0,Right Center Back,5,Paris Saint-Germain,131,['25785a4e-40d7-4668-9131-edd5cb3a5761'],15,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:15.002,Pass,
,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,f2790216-f8f0-434d-a108-d37df0e2bc31,91,,"[46.0, 55.1]",3901233,1,,,,,-2.0601892,,Left Foot,,,,"[41.1, 45.9]",,Ground Pass,,10.423532,,,,,Thiago Motta,4325.0,,,,,,1,Regular Play,Benjamin Stambouli,8515.0,Right Center Midfield,5,Paris Saint-Germain,131,"['87b39d0b-a1e3-4baa-89fa-f81a36cbb223', 'b1be98b5-48d3-4515-ba74-6e30b9068d74']",16,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:16.099,Pass,True
,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,91cd61b9-d7b6-41ae-83dc-bf441a39aecd,94,,"[45.2, 45.7]",3901233,1,,,,,-0.7853982,,Left Foot,,,,"[56.9, 34.0]",,Ground Pass,,16.546299,,,,,Edinson Roberto Cavani Gómez,4319.0,,,,,,1,Regular Play,Thiago Motta,4325.0,Center Defensive Midfield,5,Paris Saint-Germain,131,['f7022b5b-19db-4563-ba96-27aed083664e'],17,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:17.859,Pass,
,,,,,,,,,,,,,,,,0.331939,,,,,,,,,,,,55b395ec-aa5b-42bb-a8d5-e6041cdee105,96,,"[56.9, 34.0]",3901233,1,,,,,2.8535373,,Right Foot,,,,"[54.2, 34.8]",,Low Pass,,2.8160255,,,Incomplete,,Javier Matías Pastore,4370.0,,,,,,1,Regular Play,Edinson Roberto Cavani Gómez,4319.0,Left Wing,5,Paris Saint-Germain,131,"['26ae4632-6a5d-4b2e-a852-00b64f8f9893', 'debdd57d-8a4c-4dae-a234-5604d24911e7']",18,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:01:18.659,Pass,
,,,,,,,,,,,,,,,,1.93922,,,,,,,,,,,,dc2ffa2c-b8e5-419c-8130-dfebb41cedb1,99,,"[63.8, 25.8]",3901233,1,,,,,-1.0849712,,Right Foot,,,,"[75.1, 4.4]",,Ground Pass,,24.200207,,,,,Ludovic Baal,2985.0,,,,,Recovery,1,Regular Play,Yacouba Sylla,29714.0,Right Defensive Midfield,6,Rennes,134,['4add2bd2-36a9-4965-af9f-2e79fa771b39'],21,,,,,,,,,,,,,,,,Rennes,134,00:01:21.398,Pass,
,,,,,,,,,,,,,,,,2.640154,,,,,,,,,,,,c0eb6d2a-1ffe-4e59-b9e6-5761c0891516,102,,"[75.1, 4.4]",3901233,1,,,,,-0.08515939,,Left Foot,,,,"[99.7, 2.3]",,Ground Pass,,24.689472,,,,,Pedro Henrique Konzen Medina da Silva,16503.0,,,,,,1,Regular Play,Ludovic Baal,2985.0,Left Wing Back,6,Rennes,134,['49f3db48-e878-473a-826c-953a33c4d6fd'],23,,,,,,,,,,,,,,,,Rennes,134,00:01:23.382,Pass,
,,,,,,,,,,,,,,,,1.845065,,,,,,,,,,,,f84423ac-75e8-49a9-b0f9-2f8bfd6d668c,106,,"[114.7, 14.7]",3901233,1,,,,,1.2046306,,Left Foot,,,,"[119.8, 28.0]",,High Pass,,14.244297,,,Out,,,,,,,,,1,Regular Play,Pedro Henrique Konzen Medina da Silva,16503.0,Left Wing,6,Rennes,134,['1f7dcb93-f6c8-44f2-8374-02a592822ab7'],28,,,,,,,,,,,,,,,,Rennes,134,00:01:28.718,Pass,True
