50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.021605,,,,,,,,,,,,,3d8945ff-6ceb-44e9-8172-1adad6e3a777,18,,,"[42.9, 80.0]",3901198,0,,,,,-2.2001696,,,,"[35.4, 69.7]",Low Pass,,12.741272,,,,Benjamin Nivet,3002.0,,,,,Throw-in,1,From Throw In,Aloïs Confais,4413.0,Right Back,3,Troyes,133,['672babdf-b2bf-4054-9ae0-c5b24a069ca6'],11,,,,,,,,,,,,,,,,,,Troyes,133,00:00:11.247,Pass,
,,,,,,,,,,,,,,,,,1.159991,,,,,,,,,,,,,3dd4280c-75ba-42ff-b8b8-89ab34a62e9a,22,,,"[32.2, 67.8]",3901198,0,,,,,-3.1210828,,Right Foot,,"[12.7, 67.4]",Ground Pass,,19.504103,,,,Carlos Eduardo de Castro Lourenço,401472.0,,,,,,1,From Throw In,Benjamin Nivet,3002.0,Right Defensive Midfield,3,Troyes,133,['d0d0b1de-cae5-4e5e-b222-8a7da0fa133a'],13,,,,,,,,,,,,,,,,,,Troyes,133,00:00:13.348,Pass,
,,,,,,,,,,,,,,,,,2.017162,,,,,,,,,,,,,2f713640-bd5d-48dd-9975-3513e3142b44,26,,,"[12.7, 72.6]",3901198,0,,,,,-0.11404049,,Right Foot,,"[58.1, 67.4]",High Pass,,45.696827,,,,Deniz Hümmet,27014.0,,,,,,1,From Throw In,Carlos Eduardo de Castro Lourenço,401472.0,Right Center Back,3,Troyes,133,['6c9d8c5f-9f2b-4a83-9f79-efa66e13179a'],15,,,,,,,,,,,,,,,,,,Troyes,133,00:00:15.994,Pass,
,,,,,,,,,,,,,,,,,2.138916,,,,,,,,,,,,,468f665b-aa34-42b6-bdba-ed494fadaa51,30,,,"[59.1, 64.7]",3901198,0,,,,,2.389739,,Right Foot,,"[43.7, 79.1]",Ground Pass,,21.083643,,Out,,Fabien Camus,401470.0,,,,,,1,From Throw In,Deniz Hümmet,27014.0,Center Forward,3,Troyes,133,['1bacabf6-34c1-4a5b-88c8-4e973f2667c3'],18,,,,,,,,,,,,,,,,,,Troyes,133,00:00:18.944,Pass,
,,,,,,,,,,,,,,,,,0.849537,,,,,,,,,,,,,258aa6a3-ae83-4fac-8b0e-9bc912c20970,32,,,"[79.5, 0.1]",3901198,0,,,,,2.3255293,,,,"[71.6, 8.5]",Low Pass,,11.531261,,,,Romain Saïss,5219.0,,,,,Throw-in,1,From Throw In,Arnold Bouka Moutou,4906.0,Left Back,4,Angers,145,['e3621a45-47ef-449e-866e-cde72e822966'],34,,,,,,,,,,,,,,,,,,Angers,145,00:00:34.621,Pass,
,,,,,,,,,,,,,,,,,0.721545,,,,,,,,,,,,,3ae7c06d-cc09-42d5-91ee-f1646709c047,35,,,"[71.8, 9.2]",3901198,0,,,,,-0.7224185,,Left Foot,,"[77.7, 4.0]",Low Pass,,7.864477,,,,Arnold Bouka Moutou,4906.0,,,,,,1,From Throw In,Romain Saïss,5219.0,Center Defensive Midfield,4,Angers,145,"['0cc4ba67-7773-4cd3-a044-3c30c9f09c70', 'fa723e3e-2f60-408d-821c-3d286547ac14']",35,,,,,,,,,,,,,,,,,,Angers,145,00:00:35.471,Pass,True
,,,,,,,,,,,,,,,,,0.572658,,,,,,,,,,,,,962ef128-94fc-463e-879e-43036e314112,39,,,"[83.9, 4.8]",3901198,0,,,,,1.069532,,Left Foot,,"[87.9, 12.1]",Ground Pass,,8.324061,,,,Mohamed Lamine Yattara,7337.0,,,,,,1,From Throw In,Arnold Bouka Moutou,4906.0,Left Back,4,Angers,145,"['ee2abaa8-ac93-43d9-9378-c93a8e4d4a51', 'f0ef7972-0351-443a-90a2-e47efbdfe311']",38,,,,,,,,,,,,,,,,,,Angers,145,00:00:38.115,Pass,True
,,,,,,,,,,,,,,,,,0.509331,,,,,,,,,,,,,c86cf87c-b7e2-47dd-a6a3-237a09baaeea,41,,,"[87.9, 12.1]",3901198,0,,,,,-0.67474097,,Left Foot,,"[92.9, 8.1]",Ground Pass,,6.4031243,,Incomplete,,Arnold Bouka Moutou,4906.0,,,,,,1,From Throw In,Mohamed Lamine Yattara,7337.0,Left Wing,4,Angers,145,"['dee89321-a4d6-47cc-8933-6ac5a2ce60d7', 'eb8e49d7-e260-4780-b269-70782b1193a7']",38,,,,,,,,,,,,,,,,,,Angers,145,00:00:38.688,Pass,
,,,,,,,,,,,,,,,,,0.491167,,,,,,,,,,,,,4dc84911-9db3-4541-8cae-68b34e64a63d,45,,,"[26.4, 73.4]",3901198,0,,,,,0.3287927,,Right Foot,,"[34.9, 76.3]",Ground Pass,,8.9810915,,,,Chaouki Ben Saada,3161.0,,,,,,1,Regular Play,Aloïs Confais,4413.0,Right Back,5,Troyes,133,['5c6c998b-82cf-4c34-8e60-8fa8e09163bc'],40,,,,,,,,,,,,,,,,,,Troyes,133,00:00:40.334,Pass,
,,,,,,,,,,,,,,,,,0.599995,,,,,,,,,,,,,6456ec1b-5221-4c97-b394-272e01fbdb44,48,,,"[35.1, 76.3]",3901198,0,,,,,3.021484,,Left Foot,,"[29.3, 77.0]",Ground Pass,,5.8420887,,,,Aloïs Confais,4413.0,,,,,,1,Regular Play,Chaouki Ben Saada,3161.0,Center Attacking Midfield,5,Troyes,133,['2b9fa1a7-ede5-4e7c-bae1-922b39cb08c6'],40,,,,,,,,,,,,,,,,,,Troyes,133,00:00:40.906,Pass,
,,,,,,,,,,,,,,,,,1.061667,,,,,,,,,,,,,29a0f5dc-2f70-49a0-b8cc-4cf34c91eab6,51,,,"[29.3, 77.0]",3901198,0,,,,,-1.1556282,,Right Foot,,"[36.0, 61.8]",Low Pass,,16.611141,,,,Benjamin Nivet,3002.0,,,,,,1,Regular Play,Aloïs Confais,4413.0,Right Back,5,Troyes,133,['09d47383-ef62-448b-aad2-3d6ff6147ca4'],41,,,,,,,,,,,,,,,,,,Troyes,133,00:00:41.546,Pass,
,,,,,,,,,,,,,,,,,3.958333,,,,,,,,,,,,,d612ffa5-030b-4599-b0e3-02648789ce32,54,,,"[36.0, 61.8]",3901198,0,,,,,2.888609,,Right Foot,,"[0.8, 70.9]",Ground Pass,,36.357254,,,,Carlos Eduardo de Castro Lourenço,401472.0,,,,,,1,Regular Play,Benjamin Nivet,3002.0,Right Defensive Midfield,5,Troyes,133,['c34696ad-5863-4b1d-96eb-181d1b7f068c'],42,,,,,,,,,,,,,,,,,,Troyes,133,00:00:42.784,Pass,
,,,,,,,,,,,,,,,,,0.033601,,,,,,,,,,,,,dd9c757a-e6a8-4db5-9193-529d99adc90b,58,,,"[1.0, 70.5]",3901198,0,,,,,-0.094951704,,Right Foot,,"[3.1, 70.3]",Low Pass,,2.1095023,,Incomplete,,Fabien Camus,401470.0,,,,,,1,Regular Play,Carlos Eduardo de Castro Lourenço,401472.0,Right Center Back,5,Troyes,133,"['337d5f6b-13f2-49a1-b0fa-8eb1d33aabf0', 'bca0e5f2-1b50-410a-9e22-85d0446159e2', 'e3a2499e-b035-4c6b-990e-7c3c8d620f87']",46,,,,,,,,,,,,,,,,,,Troyes,133,00:00:46.983,Pass,True
,,,,,,,,,,,,,,,,,0.947469,,,,,,,,,,,,,49f73719-4c9f-41a2-baad-fa3fcbe44cd1,61,,,"[3.3, 80.0]",3901198,0,,,,,-1.0648459,,,,"[7.4, 72.6]",Low Pass,,8.459906,,,,Benjamin Nivet,3002.0,,,,,Throw-in,1,From Throw In,Aloïs Confais,4413.0,Right Back,6,Troyes,133,['e210902c-87fb-4aa4-98f5-a96120ab8212'],54,,,,,,,,,,,,,,,,,,Troyes,133,00:00:54.152,Pass,
,,,,,,,,,,,,,,,,,1.50539,,,,,,,,,,,,,7f646869-0759-401f-b621-8cc07ef4fb65,65,,,"[8.3, 72.0]",3901198,0,,,,,0.13209344,,Right Foot,,"[22.6, 73.9]",High Pass,,14.425672,,,,Fabien Camus,401470.0,,,,,,1,From Throw In,Benjamin Nivet,3002.0,Right Defensive Midfield,6,Troyes,133,['8f644428-75af-4c36-95ea-ef5cb6150f5b'],55,,,,,,,,,,,,,,,,,,Troyes,133,00:00:55.180,Pass,
,,,,,,,,,,,,,,,,,0.980536,,,,,,,,,,,,,a2c88afa-22f5-4706-8e39-61bc9783c97b,70,,,"[93.7, 0.1]",3901198,1,,,,,2.2665477,,,,"[85.6, 9.8]",Low Pass,,12.637246,,,,Romain Thomas,3549.0,,,,,Throw-in,1,From Throw In,Arnold Bouka Moutou,4906.0,Left Back,7,Angers,145,['6191fc00-c6db-430a-9452-4d9458ac845a'],3,,,,,,,,,,,,,,,,,,Angers,145,00:01:03.128,Pass,
,,,,,,,,,,,,,,,,,2.825905,,,,,,,,,,,,,ad30afb3-cf8b-4008-9228-8eec932a3535,74,,,"[87.4, 6.3]",3901198,1,,,,,1.3237548,,Left Foot,,"[98.9, 51.9]",High Pass,,47.02776,,Incomplete,,Gilles Sunu,3111.0,,True,,,,1,From Throw In,Romain Thomas,3549.0,Left Center Back,7,Angers,145,"['2e289336-b950-4684-8824-470be1d22629', '519974ef-5f3f-4d2d-909f-9f5cefad7cc8', 'a258be50-022a-4282-bbdc-85168fb7331a']",5,,,,,,,,,,,,,,,,,,Angers,145,00:01:05.344,Pass,True
,,,,,,,,,,,,,,,,,0.846295,,,,,,,,,,,,,a258be50-022a-4282-bbdc-85168fb7331a,77,,,"[21.2, 28.2]",3901198,1,,,,,-0.0422284,,Left Foot,,"[35.4, 27.6]",Low Pass,,14.21267,,,,Corentin Jean,3010.0,,,,,Recovery,1,From Counter,Quentin Othon,148132.0,Left Back,8,Troyes,133,"['69519a16-48ab-488f-8759-319cc02bdcd5', 'ad30afb3-cf8b-4008-9228-8eec932a3535', 'ff47504b-c401-4b8c-8654-073fbfd274cc']",8,,,,,,,,,,,,,,,,,,Troyes,133,00:01:08.170,Pass,True
,,,,,,,,,,,,,,,,,1.359065,,,,,,,,,,,,,bfa0c551-9662-47ab-b68f-2aa2797d811f,83,,,"[52.8, 31.4]",3901198,1,,,,,2.4127378,,Right Foot,,"[47.2, 36.4]",Ground Pass,,7.50733,,,,Carlos Eduardo de Castro Lourenço,401472.0,,,,,Free Kick,1,From Free Kick,Jessy Pi,7415.0,Left Defensive Midfield,9,Troyes,133,['8eda1b56-0686-48ed-bcdd-b774fa21a7dc'],20,,,,,,,,,,,,,,,,,,Troyes,133,00:01:20.710,Pass,
,,,,,,,,,,,,,,,,,1.866754,,,,,,,,,,,,,4cb4b993-6fc6-459b-bb30-c33c35c12789,86,,,"[47.2, 36.4]",3901198,1,,,,,-1.5518413,,Right Foot,,"[47.6, 15.3]",Ground Pass,,21.10379,,,,Matthieu Saunier,13730.0,,,,,,1,From Free Kick,Carlos Eduardo de Castro Lourenço,401472.0,Right Center Back,9,Troyes,133,['2a4bd099-99de-4388-885b-29a726dcaaf3'],22,,,,,,,,,,,,,,,,,,Troyes,133,00:01:22.148,Pass,
,,,,,,,,,,,,,,,,,1.107651,,,,,,,,,,,,,814a87f6-a21d-4030-9b1e-5c5a96a85f34,89,,,"[47.6, 15.3]",3901198,1,,,,,-1.0272089,,Right Foot,,"[56.0, 1.4]",Ground Pass,,16.240997,,,,Quentin Othon,148132.0,,,,,,1,From Free Kick,Matthieu Saunier,13730.0,Left Center Back,9,Troyes,133,['277e9ad4-b092-4fbb-89a8-95c6fcb4a54a'],24,,,,,,,,,,,,,,,,,,Troyes,133,00:01:24.047,Pass,
,,,,,,,,,,,,,,,,,1.782064,,,,,,,,,,,,,9bc0b636-67b1-487c-8a3c-18a2456555d1,93,,,"[56.4, 3.0]",3901198,1,,,,,0.011277718,,Left Foot,,"[83.0, 3.3]",Low Pass,,26.601692,,Incomplete,,Corentin Jean,3010.0,,,,,,1,From Free Kick,Quentin Othon,148132.0,Left Back,9,Troyes,133,"['9ee218a7-3b4e-452e-ba94-74dda3a785e4', 'bb078f98-7b15-4a32-9852-d6050f00c244']",26,,,,,,,,,,,,,,,,,,Troyes,133,00:01:26.147,Pass,
,,,,,,,,,,,,,,,,,1.11802,,,,,,,,,,,,,f53e99d6-a286-4f30-a1f8-af77999dca26,97,,,"[35.8, 76.9]",3901198,1,,,,,-0.43779132,,Right Foot,,"[45.2, 72.5]",Ground Pass,,10.378824,,,,Pierrick Capelle,3071.0,,,,,,1,From Free Kick,Aïssa Bilal Laïdouni,44955.0,Right Back,9,Troyes,133,['2679a20d-97a4-4132-aefb-1daec5d455a5'],28,,,,,,,,,,,,,,,,,,Angers,145,00:01:28.959,Pass,
,,,,,,,,,,,,,,,,,0.662899,,,,,,,,,,,,,2f87eb86-6744-40ac-a7a1-f80bdc35ed6f,101,,,"[47.6, 77.6]",3901198,1,,,,,-0.013697773,,Right Foot,,"[62.2, 77.4]",Low Pass,,14.60137,,Incomplete,,Billy Ketkeophomphone,4441.0,,,,,,1,From Free Kick,Pierrick Capelle,3071.0,Right Center Midfield,9,Troyes,133,"['02323c96-cdd4-4740-8911-b07f4cd3831c', 'd9517c01-ac2b-4d2b-9912-c7949cf9b292', 'e07a5881-8568-4ac0-9da0-ac82cdb93ee3']",32,,,,,,,,,,,,,,,,,,Angers,145,00:01:32.285,Pass,True
,,,,,,,,,,,,,,,,,0.982913,,,,,,,,,,,,,5a4cc3ba-028f-4589-9b24-afc51616638d,105,,,"[62.0, 7.6]",3901198,1,,,,,0.7693995,,Left Foot,,"[74.7, 19.9]",Ground Pass,,17.679932,,,,Chaouki Ben Saada,3161.0,,,,,,1,From Free Kick,Quentin Othon,148132.0,Left Back,9,Troyes,133,['6391d720-8354-4687-a04f-b8e4379227d1'],34,,,,,,,,,,,,,,,,,,Troyes,133,00:01:34.354,Pass,
,,,,,,,,,,,,,,,,,1.916384,,,,,,,,,,,,,d92c6c2d-94ed-4699-8cba-170c8d1988df,112,,,"[32.1, 63.1]",3901198,1,,,,,1.720119,,Right Foot,,"[30.4, 74.4]",Ground Pass,,11.42716,,Incomplete,,Billy Ketkeophomphone,4441.0,,,,,Recovery,1,From Free Kick,Thomas Mangani,3185.0,Left Center Midfield,9,Troyes,133,"['a046b784-8e8d-4190-90ff-291d61f89b69', 'a4b8216e-0215-4a99-98c1-100456866da7']",37,,,,,,,,,,,,,,,,,,Angers,145,00:01:37.913,Pass,
,,,,,,,,,,,,,,,,,2.143184,,,,,,,,,,,,,a046b784-8e8d-4190-90ff-291d61f89b69,114,,,"[89.7, 5.7]",3901198,1,,,,,-0.11779532,,Right Foot,,"[106.6, 3.7]",Ground Pass,,17.017931,,,,Chaouki Ben Saada,3161.0,,,,,Recovery,1,From Free Kick,Corentin Jean,3010.0,Left Wing,9,Troyes,133,"['c65186f1-28ab-4d08-8352-0db54f61d9aa', 'd92c6c2d-94ed-4699-8cba-170c8d1988df']",39,,,,,,,,,,,,,,,,,,Troyes,133,00:01:39.829,Pass,
,,,,,,,,,,,,,,,,,0.923959,,,,,,,,,,,,,429c4abe-631e-4edc-a6a8-a6afa5437a67,120,,,"[22.5, 75.4]",3901198,1,,,,,-2.9029834,,Left Foot,,"[11.4, 72.7]",Low Pass,,11.423659,,,,Romain Saïss,5219.0,,,,,Recovery,1,Regular Play,Pierrick Capelle,3071.0,Right Center Midfield,10,Angers,145,['a7a1e3a1-df10-4cb0-8acc-99a1908d2ee9'],46,,,,,,,,,,,,,,,,,,Angers,145,00:01:46.164,Pass,
,,,,,,,,,,,,,,,,,1.991559,,,,,,,,,,,,,806922a8-d5fb-4854-a99d-9ae7987a38e2,122,,,"[11.4, 72.7]",3901198,1,,,,,-0.056240894,,Right Foot,,"[48.7, 70.6]",High Pass,,37.35907,,,,Billy Ketkeophomphone,4441.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Center Defensive Midfield,10,Angers,145,['792d7038-7cd1-4edb-ac4c-b08a69065c4e'],47,,,,,,,,,,,,,,,,,,Angers,145,00:01:47.088,Pass,
,,,,,,,,,,,,,,,,,2.09379,,,,,,,,,,,,,c6bc2afd-315e-4fa2-bf71-927ae016fdb2,124,,,"[48.7, 70.6]",3901198,1,,,,,2.3486757,,Head,,"[42.1, 77.3]",High Pass,,9.404786,,,,Thomas Mangani,3185.0,,,,,,1,Regular Play,Billy Ketkeophomphone,4441.0,Center Forward,10,Angers,145,['f813f2cc-f6c2-4ad4-b309-9d287d77b5c0'],49,,,,,,,,,,,,,,,,,,Angers,145,00:01:49.080,Pass,
,,,,,,,,,,,,,,,,,0.723819,,,,,,,,,,,,,39df3a53-b957-4bfb-85aa-dce305ade3c3,132,,,"[68.5, 72.5]",3901198,1,,,,,0.47783107,,Right Foot,,"[79.7, 78.3]",Ground Pass,,12.612692,,,,Gilles Sunu,3111.0,,,,,,1,Regular Play,Thomas Mangani,3185.0,Left Center Midfield,10,Angers,145,['7afc3548-bf09-4b78-9694-c88892b822ec'],55,,,,,,,,,,,,,,,,,,Angers,145,00:01:55.644,Pass,
,,,,,,,,,,,,,,,,,1.464529,,,,,,,,,,,,,32d9eff9-9a5f-431c-a50e-0dd8b184ce2e,136,,,"[71.2, 75.4]",3901198,1,,,,,-1.6364297,,Right Foot,,"[69.8, 54.1]",Ground Pass,,21.34596,,,,Pierrick Capelle,3071.0,,,,,,1,Regular Play,Gilles Sunu,3111.0,Right Wing,10,Angers,145,['aa441dfe-34f4-47f9-a3f9-7c57299a54c3'],58,,,,,,,,,,,,,,,,,,Angers,145,00:01:58.687,Pass,
,,,,,,,,,,,,,,,,,0.748689,,,,,,,,,,,,,72b6a86d-9082-4746-a2ef-fcad0ff97818,139,,,"[71.6, 53.7]",3901198,2,,,,,2.3191743,,Left Foot,,"[67.7, 57.9]",Ground Pass,,5.731492,,,,Romain Saïss,5219.0,,,,,,1,Regular Play,Pierrick Capelle,3071.0,Right Center Midfield,10,Angers,145,['df806160-40c1-45dd-be35-2ab4203a296b'],0,,,,,,,,,,,,,,,,,,Angers,145,00:02:00.152,Pass,
