50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.005211,,,,,,,,,,,,,,a82313ed-0255-4a25-9f16-66f9135e4e90,1157,,,"[91.8, 73.0]",3900518,23,,,,0.6455758,,Left Foot,,,"[99.5, 78.8]",Ground Pass,,9.64002,,,Gilles Sunu,3111.0,,,,,,1,From Goal Kick,Vincent Manceau,3431.0,Right Back,43,Angers,145,['14a321aa-b92f-4d0f-9961-5d4167f8ce31'],45,,,,,,,,,,,,,,,,,,Angers,145,00:23:45.902,Pass,
,,,,,,,,,,,,,,,,,0.984216,,,,,,,,,,,,,,bc884615-7d2e-47f0-a25f-acdf9d7d1b40,1161,,,"[110.2, 76.8]",3900518,23,,,,-2.108081,,Left Foot,,,"[104.6, 67.4]",Ground Pass,,10.941664,,,Vincent Manceau,3431.0,,,,,,1,From Goal Kick,Gilles Sunu,3111.0,Right Wing,43,Angers,145,['e93e77cf-679e-4e42-9b49-ac428c6042b2'],51,,,,,,,,,,,,,,,,,,Angers,145,00:23:51.034,Pass,
,,,,,,,,,,,,,,,,,1.039503,,,,,,,,,,,,,,ea9a04d7-eb00-497d-9925-33ee92b691db,1165,,,"[105.8, 69.6]",3900518,23,,,,1.2803944,,Right Foot,,,"[108.4, 78.3]",Ground Pass,,9.080198,,,Gilles Sunu,3111.0,,,,,,1,From Goal Kick,Vincent Manceau,3431.0,Right Back,43,Angers,145,"['7eb7592e-8102-4dbf-bdfc-5de3fe257974', 'f944a39a-0067-4a49-85fb-2a1e558a83df']",52,,,,,,,,,,,,,,,,,,Angers,145,00:23:52.827,Pass,True
,,,,,,,,,,,,,,,,,3.517811,,,,,,,,,,,,,,dbeb9946-b0b6-426e-99f8-54980ae1ae95,1168,,,"[108.4, 78.3]",3900518,23,,,,-0.5978837,,Right Foot,,,"[120.0, 70.4]",Ground Pass,,14.0346,Out,,Vincent Manceau,3431.0,,,,,,1,From Goal Kick,Gilles Sunu,3111.0,Right Wing,43,Angers,145,['04d25e18-3475-4439-9cd4-36d33e01ebbb'],54,,,,,,,,,,,,,,,,,,Angers,145,00:23:54.896,Pass,
,,,,,,,,,,,,,,,,,0.722657,,,,,,,,,,,,,,2eda615a-2718-46a6-969b-62e4f6e6ef06,1172,,,"[6.0, 44.0]",3900518,24,True,,,0.7602778,,Right Foot,,,"[36.6, 73.1]",Ground Pass,,42.227596,,,Dennis Appiah,22111.0,,,,,Goal Kick,1,From Goal Kick,Rémy Vercoutre,2963.0,Goalkeeper,44,Caen,140,['3a76741e-0ebd-4b97-9f55-1ef8fb8ae1e9'],19,,,,,,,,,,,,,,,,,,Caen,140,00:24:19.996,Pass,
,,,,,,,,,,,,,,,,,1.426127,,,,,,,,,,,,,,0fb7ce60-a1ca-40c5-8bc3-4243184f388a,1174,,,"[31.9, 68.0]",3900518,24,,,,-2.0679042,,Right Foot,,,"[26.8, 58.6]",Ground Pass,,10.694391,,,Alaeddine Yahia,7444.0,,,,,,1,From Goal Kick,Dennis Appiah,22111.0,Right Back,44,Caen,140,['4e0cd85f-c3d4-48c4-892b-a08164e99d63'],21,,,,,,,,,,,,,,,,,,Caen,140,00:24:21.546,Pass,
,,,,,,,,,,,,,,,,,2.127477,,,,,,,,,,,,,,8b869714-8dd4-47b7-bdb6-2523cb268932,1177,,,"[27.3, 54.5]",3900518,24,,,,-1.3857857,,Right Foot,,,"[34.0, 18.7]",Ground Pass,,36.42156,,,Damien Da Silva,4386.0,,,,,,1,From Goal Kick,Alaeddine Yahia,7444.0,Right Center Back,44,Caen,140,['8767bf29-af2f-499b-beb2-6ec90bcb37bc'],24,,,,,,,,,,,,,,,,,,Caen,140,00:24:24.606,Pass,
,,,,,,,,,,,,,,,,,1.257405,,,,,,,,,,,,,,beb12849-8f84-4024-a465-784d8af1c95c,1180,,,"[48.7, 21.6]",3900518,24,,,,0.09347678,,Right Foot,,,"[58.3, 22.5]",Ground Pass,,9.642096,,,Vincent Bessat,2992.0,,,,,,1,From Goal Kick,Damien Da Silva,4386.0,Left Center Back,44,Caen,140,['bf4fea97-0fda-4167-ad9f-a60162700d53'],28,,,,,,,,,,,,,,,,,,Caen,140,00:24:28.928,Pass,
,,,,,,,,,,,,,,,,,1.79933,,,,,,,,,,,,,,171fe07d-d090-41d4-9ab5-f6c44096dc65,1184,,,"[55.9, 23.9]",3900518,24,,,,1.891427,,Right Foot,,,"[47.0, 50.7]",Ground Pass,,28.239157,,,Alaeddine Yahia,7444.0,,,,,,1,From Goal Kick,Vincent Bessat,2992.0,Left Midfield,44,Caen,140,"['6bb08828-c3a6-400d-91a3-9d07d73356e6', 'a96c1cd2-b784-4ee9-8953-c340dc9765ad']",30,,,,,,,,,,,,,,,,,,Caen,140,00:24:30.845,Pass,True
,,,,,,,,,,,,,,,,,2.0234,,,,,,,,,,,,,,6f4b0cfb-9b34-401c-a301-33598aedbcbc,1187,,,"[46.5, 45.4]",3900518,24,,,,-1.3660389,,Right Foot,,,"[53.0, 14.1]",Ground Pass,,31.967796,,,Damien Da Silva,4386.0,,,,,,1,From Goal Kick,Alaeddine Yahia,7444.0,Right Center Back,44,Caen,140,['2757aefc-d37d-4dae-ba64-0cf3d63717eb'],35,,,,,,,,,,,,,,,,,,Caen,140,00:24:35.253,Pass,
