50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.05717,,,,,,,,,,,,e5bd4a65-fab9-4482-b429-27f998ca7758,56,,"[94.1, 78.0]",3901190,1,,,,,-0.1798535,,Right Foot,,,"[95.2, 77.8]",,Ground Pass,,1.118034,Incomplete,,Hervé Bazile,2991.0,,,,,,1,From Throw In,Dennis Appiah,22111.0,Right Back,5,Caen,140,"['0077ba4b-de41-4427-90a1-abda3684f95e', '2a7753aa-7a31-413d-9dba-28c5fc5fb5db', 'ee463265-df70-48dd-bd2a-605c892c97c8']",2,,,,,,,,,,,,,,,,,Caen,140,00:01:02.144,Pass,True
,,,,,,,,,,,,,,,0.751207,,,,,,,,,,,,1d350fc3-8d90-4cb4-bdbc-172c536a67a9,63,,"[108.0, 59.2]",3901190,1,,,,,-1.6133238,,Right Foot,True,,"[107.4, 45.1]",,Ground Pass,,14.112761,Incomplete,,Julien Féret,2959.0,,,,,,1,From Throw In,Dennis Appiah,22111.0,Right Back,5,Caen,140,"['30ac7625-18b0-47e1-8a14-89b264cacaa4', '80460ad9-c779-43aa-8860-d1b17e693bce']",6,,,,,,,,,,,,,,,,,Caen,140,00:01:06.521,Pass,
,,,,,,,,,,,,,,,0.355313,,,,,,,,,,,,f4fc6841-fa80-416c-8949-90cc91f5c111,75,,"[82.4, 62.6]",3901190,1,,,,,-1.6860725,,Right Foot,,,"[81.3, 53.1]",,Ground Pass,,9.563472,Incomplete,,,,,,,,,1,From Throw In,Corentin Jean,3010.0,Center Forward,5,Caen,140,['914c2c9c-8a1b-46e3-9637-772652e7a942'],17,,,,,,,,,,,,,,,,,Troyes,133,00:01:17.390,Pass,
,,,,,,,,,,,,,,,2.932774,,,,,,,,,,,,92a258a6-11ad-4d5b-9699-4836fb9fe9ea,79,,"[16.6, 30.2]",3901190,1,,,,,2.2880273,,Right Foot,,,"[5.0, 43.5]",,Ground Pass,,17.647945,,,Rémy Vercoutre,2963.0,,,,,Recovery,1,From Throw In,Damien Da Silva,4386.0,Left Center Back,5,Caen,140,"['6397e288-430b-4483-8c53-b2d9821c42e6', 'aeaeaf57-c579-40d9-83a4-02eb7810a431']",20,,,,,,,,,,,,,,,,,Caen,140,00:01:20.216,Pass,True
,,,,,,,,,,,,,,,2.892578,,,,,,,,,,,,10c9b34c-8527-465f-8501-cf58d465eb4c,82,,"[2.9, 49.7]",3901190,1,,,,,0.17765811,,Right Foot,,,"[43.0, 56.9]",,High Pass,,40.741257,,,Dennis Appiah,22111.0,,,,,,1,From Throw In,Rémy Vercoutre,2963.0,Goalkeeper,5,Caen,140,"['024d1c3f-2ba6-499f-935b-b2c7f88c5a1a', '2c92d64d-87e3-4a4b-a354-b937bd19039d']",23,,,,,,,,,,,,,,,,,Caen,140,00:01:23.149,Pass,True
,,,,,,,,,,,,,,,2.009559,,,,,,,,,,,,894bdced-a9fe-4c86-9905-194d6a824ff5,84,,"[43.0, 57.5]",3901190,1,,,,,-1.017115,,Head,,,"[49.8, 46.5]",,High Pass,,12.932131,Incomplete,,Alexandre Raineau,13592.0,,,,,,1,From Throw In,Dennis Appiah,22111.0,Right Back,5,Caen,140,"['10646939-4872-4781-8e0f-761973b1d550', '9a1e1a14-035a-4372-b155-82520fcf0a04']",26,,,,,,,,,,,,,,,,,Caen,140,00:01:26.103,Pass,
,,,,,,,,,,,,,,,1.166059,,,,,,,,,,,,9a1e1a14-035a-4372-b155-82520fcf0a04,86,,"[70.3, 33.6]",3901190,1,,,,,-1.7884469,,Head,,,"[68.0, 23.2]",,High Pass,,10.651291,Incomplete,,Yoann Court,7376.0,,,,,Recovery,1,From Throw In,Thiago Xavier Rodrigues Corrêa,7283.0,Center Defensive Midfield,5,Caen,140,"['894bdced-a9fe-4c86-9905-194d6a824ff5', '94975c9e-854b-4fff-a773-e085215c28f4', 'bd621826-3ba6-46db-b72c-793830b69253']",28,,,,,,,,,,,,,,,,,Troyes,133,00:01:28.113,Pass,
,,,,,,,,,,,,,,,1.972843,,,,,,,,,,,,98785ceb-fe90-4393-b80e-f0132d285d0f,90,,"[54.2, 57.5]",3901190,1,,,,,-0.68270725,,Right Foot,,,"[83.1, 34.0]",,High Pass,,37.248623,Incomplete,,Andy Delort,3038.0,,,,,,1,From Throw In,Ronny Rodelin,2955.0,Right Midfield,5,Caen,140,"['03beee06-5fb3-4c29-9b5f-a3ea222a2fad', '52c70de6-43a5-4f70-b22c-e336cab54e15']",30,,,,,,,,,,,,,,,,,Caen,140,00:01:30.178,Pass,
,,,,,,,,,,,,,,,2.566752,,,,,,,,,,,,03beee06-5fb3-4c29-9b5f-a3ea222a2fad,92,,"[37.0, 46.1]",3901190,1,,,,,1.9345642,,Head,,,"[29.5, 65.8]",,Low Pass,,21.079374,,,Aloïs Confais,4413.0,,,,,Recovery,1,Regular Play,Carlos Eduardo de Castro Lourenço,401472.0,Right Center Back,6,Troyes,133,"['61acf69f-cfca-4cf8-b3eb-7eea66c46eb7', '98785ceb-fe90-4393-b80e-f0132d285d0f']",32,,,,,,,,,,,,,,,,,Troyes,133,00:01:32.151,Pass,
,,,,,,,,,,,,,,,1.7404,,,,,,,,,,,,d410b8c8-7bf5-4ff9-b160-e01d24aa1196,95,,"[29.4, 66.3]",3901190,1,,,,,0.42887902,,Right Foot,,,"[52.8, 77.0]",,High Pass,,25.730331,,,Stéphane Darbion,2993.0,,,,,,1,Regular Play,Aloïs Confais,4413.0,Right Back,6,Troyes,133,['2fb3c6f2-992c-45cc-bb4d-8eaa076ff580'],34,,,,,,,,,,,,,,,,,Troyes,133,00:01:34.937,Pass,
