50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.995238,,,,,,,,,,,,,ea650e58-3621-400c-b3a5-46725532393d,53,,,"[55.2, 79.3]",3901167,0,,,,-0.012986283,,Right Foot,,,"[86.0, 78.9]",High Pass,,30.802597,Incomplete,,Abdul Majeed Waris,7615.0,,,,,,,1,From Throw In,Lamine Gassama,6335.0,Right Back,5,Lorient,165,"['28f7a49d-ec72-46c9-a3d7-8bc8f011fa31', 'cebed6ca-32ba-49f8-aecf-ba8a4d465efd']",58,,,,,,,,,,,,,,,,Lorient,165,00:00:58.528,Pass,
,,,,,,,,,,,,,,,,,0.96922,,,,,,,,,,,,,aa75b737-62c7-4d6c-a582-a71b623888bc,57,,,"[74.3, 79.5]",3901167,1,,,,-0.13504264,,Right Foot,,,"[92.7, 77.0]",High Pass,,18.56906,Incomplete,,Abdul Majeed Waris,7615.0,,,,,,Recovery,1,From Throw In,Romain Philippoteaux,7338.0,Right Midfield,5,Lorient,165,"['90028e6a-fab2-4c67-8fa3-2aa237073dab', 'e3b4824a-a2ad-43e1-aa51-c627b179344c']",1,,,,,,,,,,,,,,,,Lorient,165,00:01:01.464,Pass,
,,,,,,,,,,,,,,,,,1.551366,,,,,,,,,,,,,90028e6a-fab2-4c67-8fa3-2aa237073dab,59,,,"[27.4, 3.1]",3901167,1,,,True,0.54161423,,,,,"[52.0, 17.9]",High Pass,,28.708883,Incomplete,,Floyd Ayité,15689.0,,,,,,Recovery,1,From Throw In,Mathieu Peybernes,23850.0,Left Center Back,5,Lorient,165,"['5202ef8f-3a0b-4944-a3e2-373f756eed2f', '5c275727-5150-453f-b3fc-45a09906bd55', 'aa75b737-62c7-4d6c-a582-a71b623888bc', 'bf645ec7-03fb-4c01-b654-43b370175c41']",2,,,,,,,,,,,,,,,,Bastia,2736,00:01:02.434,Pass,True
,,,,,,,,,,,,,,,,,0.480615,,,,,,,,,,,,,e5154b32-5262-4ff8-8895-e7ede2107f9f,65,,,"[75.1, 63.9]",3901167,1,,,,0.42976227,,Right Foot,,,"[77.5, 65.0]",Ground Pass,,2.6400757,,,Rafidine Abdullah,24646.0,,,,,,,1,From Throw In,François Bellugou,3140.0,Center Defensive Midfield,5,Lorient,165,"['68812edb-d864-4797-92f9-bcaf1467b91b', '7c1dd785-c83a-4ecf-877f-998c7e60fe6f']",5,,,,,,,,,,,,,,,,Lorient,165,00:01:05.446,Pass,True
,,,,,,,,,,,,,,,,,0.602652,,,,,,,,,,,,,c9ed1d43-2715-4387-883b-68d405a009fe,69,,,"[74.1, 66.0]",3901167,1,,,,2.4049363,,Left Foot,,,"[69.8, 69.9]",Low Pass,,5.80517,Incomplete,,Lamine Gassama,6335.0,,,,,,,1,From Throw In,Rafidine Abdullah,24646.0,Right Center Midfield,5,Lorient,165,"['1dd2ab9e-1767-48d9-9109-270a64005a1c', '7ff7c751-15a7-456d-bd2b-c12ac8d59912', '96ede52b-121c-44ba-a4ef-48c28c84ea2d']",7,,,,,,,,,,,,,,,,Lorient,165,00:01:07.054,Pass,True
,,,,,,,,,,,,,,,,,1.258392,,,,,,,,,,,,,d862801c-b11b-4b2e-80ca-74caa82a907a,72,,,"[46.9, 10.2]",3901167,1,,,,-2.6711884,,Right Foot,,,"[35.1, 4.2]",Ground Pass,,13.237824,,,Julian Palmieri,4508.0,,,,,,Recovery,1,From Throw In,Mehdi Mostefa Sbaa,10522.0,Left Defensive Midfield,5,Lorient,165,['69b22295-7d63-46b3-b62a-b98c52bc2e33'],8,,,,,,,,,,,,,,,,Bastia,2736,00:01:08.763,Pass,
,,,,,,,,,,,,,,,,,1.524973,,,,,,,,,,,,,08b4f30c-739c-4675-9142-e3cf4d7d59dc,76,,,"[37.3, 1.2]",3901167,1,,,,0.029280333,,Left Foot,,,"[61.2, 1.9]",Low Pass,,23.91025,Incomplete,,Evaeverson Lemos da Silva Brandão,401541.0,,,,,,,1,From Throw In,Julian Palmieri,4508.0,Left Back,5,Lorient,165,"['26c178eb-69bf-4a13-b26d-5f8b765df09e', '4cf2d4b0-6b21-4f05-a506-d0969333c88f', '731c5dab-f20f-4575-b7a9-837c37aa581a']",11,,,,,,,,,,,,,,,,Bastia,2736,00:01:11.120,Pass,True
,,,,,,,,,,,,,,,,,0.392733,,,,,,,,,,,,,330e7078-7c07-4a82-baec-a1305dd85eda,81,,,"[57.8, 79.3]",3901167,1,,,,-0.681017,,Right Foot,,,"[63.6, 74.6]",Low Pass,,7.465253,,,François Bellugou,3140.0,,,,,,,1,From Throw In,Lamine Gassama,6335.0,Right Back,5,Lorient,165,"['ae5b4a6c-82ea-4334-a16a-741fbc1f7c85', 'c7450901-c672-45d4-9fea-35600a5c5470']",14,,,,,,,,,,,,,,,,Lorient,165,00:01:14.044,Pass,True
,,,,,,,,,,,,,,,,,0.393324,,,,,,,,,,,,,04a6f70f-9296-475c-ada0-7001787b4efe,85,,,"[65.1, 77.0]",3901167,1,,,,0.7853982,,Right Foot,,,"[67.4, 79.3]",Ground Pass,,3.2526913,,,Romain Philippoteaux,7338.0,,,,,,,1,From Throw In,François Bellugou,3140.0,Center Defensive Midfield,5,Lorient,165,"['3f3f4061-d904-41a8-b268-012fe25a021c', '58078f0c-d7e7-400f-b66c-ced0ada7f645']",16,,,,,,,,,,,,,,,,Lorient,165,00:01:16.230,Pass,True
,,,,,,,,,,,,,,,,,1.007666,,,,,,,,,,,,,28bd9b70-faa1-425b-8bb3-39c2f70fb5ba,88,,,"[68.1, 80.0]",3901167,1,,,,-2.9523935,,Right Foot,,,"[58.7, 78.2]",Ground Pass,,9.570789,,,Lamine Gassama,6335.0,,,,,,,1,From Throw In,Romain Philippoteaux,7338.0,Right Midfield,5,Lorient,165,"['3f3f4061-d904-41a8-b268-012fe25a021c', '8c5a4d1f-663c-452c-b57d-3f6d317220a8']",16,,,,,,,,,,,,,,,,Lorient,165,00:01:16.825,Pass,True
