50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[47.7, 20.4]",,,,,,,,,,,,0.08,,,,,,,,,,,,,c769f416-5af7-4fbf-a702-5e0c8a040e8f,937,,"[49.2, 19.3]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,34,Paris Saint-Germain,131,"['66d57398-9233-4190-b8be-8fc5eb83b2ea', 'dd88a202-472f-4016-97ee-8aa6aa88249e']",4,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:04.620,Carry,
,,,,,,"[51.1, 25.0]",,,,,,,,,,,,1.122478,,,,,,,,,,,,,768ed5d3-487d-47a4-92af-ce5c187185bf,940,,"[53.6, 25.5]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Ángel Fabián Di María Hernández,2995.0,Right Wing,34,Paris Saint-Germain,131,"['5e5c0b94-4617-4453-bd00-d9e2fa6e119c', 'b352fff1-2ce8-4d18-b921-38dfd68b5d1c', 'fa914041-6bf9-4196-bd7b-9b422b362e71']",6,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:06.722,Carry,True
,,,,,,"[34.4, 29.0]",,,,,,,,,,,,0.325609,,,,,,,,,,,,,5d758f04-f123-4f0f-ba19-b0bcb3681afe,944,,"[37.0, 27.4]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,David Luiz Moreira Marinho,3956.0,Left Center Back,34,Paris Saint-Germain,131,"['2c2f757a-f0ac-48b7-9291-15bdd1265831', '9876f305-f8e2-4ace-b0ad-a00beca6094a']",9,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:09.867,Carry,
,,,,,,"[27.0, 57.3]",,,,,,,,,,,,1.851005,,,,,,,,,,,,,97ac020d-f90a-4027-9fcc-7e19473f725a,947,,"[27.0, 53.8]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Thiago Emiliano da Silva,3295.0,Right Center Back,34,Paris Saint-Germain,131,"['a9e44ad8-f743-43b9-bf58-aca75245e929', 'e64671ed-ff8a-4319-9c2d-c626c2ef5a75']",12,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:12.992,Carry,
,,,,,,"[32.4, 25.0]",,,,,,,,,,,,0.526586,,,,,,,,,,,,,b924e989-f991-4c8d-b1c7-ef9421b06b23,950,,"[29.8, 26.2]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,David Luiz Moreira Marinho,3956.0,Left Center Back,34,Paris Saint-Germain,131,"['225d7702-996c-4e83-a22e-999edc426e80', '304dba02-460f-4678-95ae-f6ff7434e84d']",17,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:17.243,Carry,
,,,,,,"[49.2, 28.1]",,,,,,,,,,,,0.390187,,,,,,,,,,,,,8d555efb-fc59-4bfb-8d81-506205ed637c,954,,"[48.8, 28.8]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Ángel Fabián Di María Hernández,2995.0,Right Wing,34,Paris Saint-Germain,131,"['6d264ff1-49a3-440f-bd46-86c3f1fd8f5a', '84b5e1b0-172a-4c5a-9117-0fed6bf2c468', '9d6c602b-ebfd-4e5b-9348-12f10d76097f']",18,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:18.565,Carry,True
,,,,,,"[35.6, 28.8]",,,,,,,,,,,,1.051738,,,,,,,,,,,,,b91fad37-e93b-40b4-9c3f-49f79f67b2f8,957,,"[37.2, 28.5]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,David Luiz Moreira Marinho,3956.0,Left Center Back,34,Paris Saint-Germain,131,"['5aaed99f-6b86-4d04-97f4-863d8a775f57', 'c0a2f42c-bd23-4cf8-9a9b-82c5b9ca6d7c', 'e46c6584-25eb-47d1-a00b-e2e3d36bdc11']",19,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:19.657,Carry,True
,,,,,,"[26.6, 57.2]",,,,,,,,,,,,0.079999,,,,,,,,,,,,,c59079b8-1d05-40c6-ae37-cfb92ca4b517,961,,"[28.0, 56.5]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Thiago Emiliano da Silva,3295.0,Right Center Back,34,Paris Saint-Germain,131,"['36d1e126-433b-4d3c-a3e5-a9f4215e6eaf', 'f590bc4a-9765-4fe4-840c-ec25111c961f']",23,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:23.109,Carry,
,,,,,,"[30.8, 42.9]",,,,,,,,,,,,0.079999,,,,,,,,,,,,,ed38b16e-2398-4aa3-9061-c4a8a58616d3,964,,"[30.0, 42.9]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Thiago Motta,4325.0,Center Defensive Midfield,34,Paris Saint-Germain,131,"['9127761a-042a-49f0-ac46-8a105779bc5e', 'b25570de-169c-4b38-946d-606a3cc27857']",24,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:24.789,Carry,
,,,,,,"[43.9, 54.9]",,,,,,,,,,,,1.279924,,,,,,,,,,,,,8baf62d1-3cef-4b14-9991-c6ccc3c24faa,967,,"[44.4, 51.9]",3900629,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Adrien Rabiot,3026.0,Right Center Midfield,34,Paris Saint-Germain,131,"['7c4624cd-52c6-4c3f-b4c0-6a20e1b140c7', 'a257e71a-4eea-41fe-9455-8d8e3be8d1d7']",26,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:16:26.031,Carry,
