50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[30.0, 57.5]",,,,,,,,,,,,1.308436,,,,,,,,,,,,348648dd-255a-4718-b31f-f04cd1a3cd71,471,,"[30.0, 57.4]",3900536,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roderic Filippi,7808.0,Right Center Back,27,Gazélec Ajaccio,160,"['f7004886-bc3f-40f0-98c8-e5e6f684b7da', 'f9cdb3d2-142a-473c-96b2-44ef1b28a56b']",53,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:09:53.112,Carry,
,,,,"[40.7, 74.6]",,,,,,,,,,,,1.198216,,,,,,,,,,,,60b46bd1-a503-4ab4-8c22-cd4e6093b3e6,474,,"[39.4, 71.4]",3900536,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Amos Youga,7389.0,Left Center Midfield,27,Gazélec Ajaccio,160,"['8a353d02-324c-4b11-a375-74fd45020a1b', 'ef039948-7932-4518-9583-435615896d54']",55,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:09:55.696,Carry,
,,,,"[12.8, 30.2]",,,,,,,,,,,,2.645839,,,,,,,,,,,,22aa93bb-bee2-48e3-a3d5-d221c36bcb18,478,,"[11.4, 32.4]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Laurent Pionnier,40645.0,Goalkeeper,28,Montpellier,139,"['68dacdb2-71d0-49a8-91eb-2d4d0216a9ca', 'ba25ace8-9879-441c-bfda-2fc69ebdfbd2']",1,,,,,,,,,,,,,,,,,Montpellier,139,00:10:01.323,Carry,
,,,,"[54.1, 70.6]",,,,,,,,,,,,11.024187,,,,,,,,,,,,88f6d8fd-592a-4ba1-abce-61682fb4fb93,481,,"[28.8, 70.3]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Bryan Dabo,3421.0,Right Back,28,Montpellier,139,"['544563d8-7103-470d-b38a-f1cc0c4a53d8', '8acc3e68-05a0-4809-96bd-a9ef47c7a5c6']",7,,,,,,,,,,,,,,,,,Montpellier,139,00:10:07.474,Carry,
,,,,"[37.3, 58.8]",,,,,,,,,,,,0.612101,,,,,,,,,,,,eb0c2be7-4e1c-442b-9702-a226511d39a3,484,,"[37.3, 58.8]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Vitorino Hilton da Silva,3674.0,Right Center Back,28,Montpellier,139,"['15c1f03a-fe3d-4520-9ff0-8c40ce899de0', 'f82c8cbb-7fb2-4128-8d45-dfff813bedd1']",20,,,,,,,,,,,,,,,,,Montpellier,139,00:10:20.478,Carry,
,,,,"[58.1, 3.1]",,,,,,,,,,,,2.012862,,,,,,,,,,,,20f6e2b7-1f95-4372-9348-91bb9ccca5b0,491,,"[58.1, 3.1]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Jérôme Roussillon,3676.0,Left Back,28,Montpellier,139,"['1c1ca886-7ea0-4385-8a9a-b838aff83dc2', '6513ac9d-fedb-486d-a672-52b4eb849295']",26,,,,,,,,,,,,,,,,,Montpellier,139,00:10:26.965,Carry,
,,,,"[35.3, 19.4]",,,,,,,,,,,,1.711475,,,,,,,,,,,,be8a2703-b640-438a-8398-0a188f6b6d45,494,,"[39.7, 13.2]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Daniel Congré,3011.0,Left Center Back,28,Montpellier,139,"['723cd86c-cb37-4baf-9eb6-599d7b8e6f64', 'da278791-12a0-4c76-8611-f5195a27619e']",30,,,,,,,,,,,,,,,,,Montpellier,139,00:10:30.169,Carry,
,,,,"[51.4, 69.6]",,,,,,,,,,,,5.710354,,,,,,,,,,,,6eb00186-858d-4d06-b94c-733e7792bb53,497,,"[45.9, 70.1]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Bryan Dabo,3421.0,Right Back,28,Montpellier,139,"['5f2013df-4139-4935-9a87-0ce997022255', 'ce03fb3f-b187-41ab-bd13-ddebc3773407']",34,,,,,,,,,,,,,,,,,Montpellier,139,00:10:34.840,Carry,
,,,,"[58.9, 64.8]",,,,,,,,,,,,0.25223202,,,,,,,,,,,,5d8df8b1-bcc7-4b17-bc1b-80d9886e7a8f,500,,"[58.9, 64.8]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Morgan Sanson,3546.0,Right Center Midfield,28,Montpellier,139,"['2e273ae9-1d90-4c2b-8982-aeeccb297f88', '417c76a6-e65f-4c34-acfa-18ca39f10fe3']",40,,,,,,,,,,,,,,,,,Montpellier,139,00:10:40.966,Carry,
,,,,"[54.5, 17.7]",,,,,,,,,,,,1.914164,,,,,,,,,,,,a3fc9980-7b51-4ffd-81ca-d09d0ca028af,507,,"[56.7, 18.7]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mohamed Larbi,10616.0,Center Attacking Midfield,29,Gazélec Ajaccio,160,"['42c3c74e-cf3b-496e-af40-783fb82ad658', '49dab8f2-8789-4281-abc4-22e8b71bea74', 'bb5abb37-65ba-4960-abae-0c6549228980']",51,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:10:51.364,Carry,True
,,,,"[67.1, 57.4]",,,,,,,,,,,,1.705674,,,,,,,,,,,,0b67e174-817d-4798-adc8-3a5cefc97c83,511,,"[65.6, 62.4]",3900536,10,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Morgan Sanson,3546.0,Right Center Midfield,30,Montpellier,139,"['3086627b-3449-4e32-9ade-85d82ac72315', 'bc6e8450-fdc5-4508-8e9f-56b7f0a21763']",53,,,,,,,,,,,,,,,,,Montpellier,139,00:10:53.278,Carry,
