50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,befeff03-390f-4ca8-afed-e91272454001,1557,,"[89.9, 17.3]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Valentin Rongier,3365.0,Left Center Midfield,95,Nantes,144,"['579a4c0c-840d-4aff-8ba2-3666da79a624', '6543320a-7244-4cca-b96a-b6679d139a11']",14,,,,,,,,,,,,,,,,,Nantes,144,00:40:14.842,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,72cb72d6-1eeb-455f-afcd-405ae4f1be9c,1560,,"[81.3, 38.9]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adrien Thomasson,3375.0,Right Center Midfield,95,Nantes,144,['78e7d5a6-aaa7-4305-af17-66fae130b194'],16,,,,,,,,,,,,,,,,,Nantes,144,00:40:16.256,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,6118d54c-0b95-4e35-bb01-61d435b9434a,1563,,"[94.4, 37.8]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kolbeinn Sigþórsson,6284.0,Right Center Forward,95,Nantes,144,['6ea25a30-c09b-47da-873a-057e5a33f147'],19,,,,,,,,,,,,,,,,,Nantes,144,00:40:19.638,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc4d64eb-a073-4dbf-b49d-65d413972c42,1568,,"[33.2, 35.2]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Benjamin André,2990.0,Left Defensive Midfield,96,Rennes,134,"['64407a57-c234-40bc-b882-744b4cabd386', '74c63430-8058-4df4-afb3-5ebc13a6949c']",22,,,,,,,,,,,,,,,,,Rennes,134,00:40:22.379,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd19de30-3cec-46a8-a051-eeb1f3ee861f,1570,,"[21.2, 28.6]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sylvain Armand,40699.0,Left Center Back,96,Rennes,134,['3d535803-5e4f-4d19-8c1a-279bbbed655c'],23,,,,,,,,,,,,,,,,,Rennes,134,00:40:23.779,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,c44a1625-d7af-4ecf-8558-241c4217adbe,1573,,"[44.3, 18.5]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Benjamin André,2990.0,Left Defensive Midfield,96,Rennes,134,['8a632690-dcf8-4128-bd9e-866cf5e0336b'],29,,,,,,,,,,,,,,,,,Rennes,134,00:40:29.870,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,9b3ea7af-9579-4f97-aa60-f2c3edc69c03,1576,,"[85.6, 72.0]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adrien Thomasson,3375.0,Right Center Midfield,96,Rennes,134,['e310ea40-0b4a-4dc8-ae17-7cae9d2ba35a'],32,,,,,,,,,,,,,,,,,Nantes,144,00:40:32.185,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,444a3a4a-3a3a-456e-a1dc-bd5c720b02f6,1582,,"[26.6, 9.6]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Benjamin André,2990.0,Left Defensive Midfield,96,Rennes,134,"['221453ed-a6ef-45a0-96c0-6ec5a864d916', 'b4251929-63ed-436c-b15b-b80de704b988']",35,,,,,,,,,,,,,,,,,Rennes,134,00:40:35.270,Ball Receipt*,True
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,dde0600a-62ea-4efe-bcdd-fd52413e56f2,1585,,"[37.7, 17.3]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abdoulaye Doucouré,3292.0,Center Attacking Midfield,96,Rennes,134,['3b2cc255-1c80-4e8f-96bb-31018302e118'],37,,,,,,,,,,,,,,,,,Rennes,134,00:40:37.962,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba35c01a-7e5f-4881-a817-0754ab736d00,1588,,"[80.3, 55.4]",3829460,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Valentin Rongier,3365.0,Left Center Midfield,97,Nantes,144,['d96e3a71-48a6-4717-9b63-b969907ae682'],39,,,,,,,,,,,,,,,,,Nantes,144,00:40:39.040,Ball Receipt*,
