50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.476718,,,,,,,,,,9822a47a-42e1-4337-8468-228ceb8b34a1,520,,,"[33.8, 71.2]",3893824,12,,,,,0.30092025,,Head,,,,"[45.4, 74.8]",Low Pass,,12.1457815,,,,Rasheedat Busayo Ajibade,26156.0,,,,,Recovery,1,Regular Play,Michelle Alozie,106836.0,Right Back,28,Republic of Ireland Women's,16768,"['c0f69c33-85ac-47bf-b4e1-c4acb762f30b', 'ec1ff708-73db-4043-9500-5b6779fd5571']",55,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:12:55.374,Pass,
,,,,,,,,,,,,,,,,,,1.679564,,,,,,,,,,d569ceeb-10f7-4997-800f-d4b5e92d8f3f,528,,,"[71.5, 5.3]",3893824,13,,,,,3.1049118,,Right Foot,,,,"[49.7, 6.1]",Ground Pass,,21.814674,,,,Megan Connolly,23413.0,,,,,,1,Regular Play,Sinead Farrelly,389494.0,Left Wing,28,Republic of Ireland Women's,16768,['c07cb158-2098-416c-b54d-084278212497'],2,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:13:02.124,Pass,
,,,,,,,,,,,,,,,,,,1.811669,,,,,,,,,,c2a4185b-f757-47f8-9388-f307d9daff0b,531,,,"[53.2, 17.3]",3893824,13,,,,,2.0056057,,Right Foot,,,,"[43.4, 38.4]",Ground Pass,,23.26478,,,,Louise Quinn,15621.0,,,,,,1,Regular Play,Megan Connolly,23413.0,Left Center Back,28,Republic of Ireland Women's,16768,['c8e9e97f-4873-4be2-b8fb-11cb41d99edd'],6,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:13:06.897,Pass,
,,,,,,,,,,,,,,,,,,0.870402,,,,,,,,,,7c917173-55c3-4926-9e0c-ee30c1fb9fdc,534,,,"[43.7, 44.1]",3893824,13,,,,,0.8778491,,Right Foot,,,,"[57.4, 60.6]",Ground Pass,,21.44621,,Incomplete,,Denise O'Sullivan,5084.0,,,,,,1,Regular Play,Louise Quinn,15621.0,Center Back,28,Republic of Ireland Women's,16768,"['27917acf-9058-4ec7-bfc1-92d65b670da9', '7c1024f2-4cf4-48fa-86c8-1b9b5cc79f81']",10,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:13:10.911,Pass,
,,,,,,,,,,,,,,,,,,1.167487,,,,,,,,,,1f5a7922-9439-4ead-9be4-b709bf6912ff,538,,,"[74.6, 27.8]",3893824,13,,,,,0.9661977,0022e025-33e3-44f4-810f-ca03ba0da07f,Right Foot,,,,"[89.8, 49.8]",Ground Pass,,26.740232,,,,Asisat Lamina Oshoala,24881.0,True,,,,,1,From Counter,Uchenna Kanu,25461.0,Left Wing,29,Nigeria Women's,1213,['19c34e0d-a4a4-4c3c-a337-cda54b1d4a73'],13,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:13:13.788,Pass,
,,,,,,,,,,,,,,,,,,2.302415,,,,,,,,,,e1a063b4-81b8-4af7-be8a-8f0bb247c670,544,,,"[6.0, 44.0]",3893824,13,,True,,,-0.069539435,,Right Foot,,,,"[46.2, 41.2]",Low Pass,,40.297394,,,,Lily Agg,327715.0,,,,,Goal Kick,1,From Goal Kick,Courtney Brosnan,31555.0,Goalkeeper,30,Republic of Ireland Women's,16768,['32d0968b-42c2-43d3-9c71-a2f363222b29'],54,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:13:54.749,Pass,
,,,,,,,,,,,,,,,,,,1.554119,,,,,,,,,,f6e5e554-0d52-41f8-b0a1-e6368580ff72,547,,,"[60.5, 43.0]",3893824,13,,,,,1.7661343,,Right Foot,,,,"[56.8, 61.7]",Ground Pass,,19.062529,,,,Niamh Fahey,19777.0,,,,,,1,From Goal Kick,Lily Agg,327715.0,Right Defensive Midfield,30,Republic of Ireland Women's,16768,['fa914b2d-6942-455f-a5c9-b011a5b9b794'],58,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:13:58.709,Pass,
,,,,,,,,,,,,,,,,,,0.950976,,,,,,,,,,3358a315-fb0f-4a16-a179-cb8202f93020,549,,,"[56.8, 61.4]",3893824,14,,,,,-0.17539422,,Left Foot,,,,"[72.6, 58.6]",Ground Pass,,16.046183,,,,Denise O'Sullivan,5084.0,,,,,,1,From Goal Kick,Niamh Fahey,19777.0,Right Center Back,30,Republic of Ireland Women's,16768,['0bae7a48-b861-41eb-ba59-22ce87daacd7'],0,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:14:00.263,Pass,
,,,,,,,,,,,,,,,,,,1.444797,,,,,,,,,,7942366f-0911-4928-934f-e6fd7398ba5d,553,,,"[69.4, 75.3]",3893824,14,,,,,-2.8731248,,Right Foot,,,,"[46.5, 69.0]",Ground Pass,,23.75079,,,,Niamh Fahey,19777.0,,,,,,1,From Goal Kick,Denise O'Sullivan,5084.0,Right Wing,30,Republic of Ireland Women's,16768,"['a4511056-8b1f-487c-bae3-94d5e2a19c34', 'd148536f-fbea-4bc1-80e3-66c433d31877']",4,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:14:04.633,Pass,True
,,,,,,,,,,,,,,,,,,1.348328,,,,,,,,,,be656267-df63-4e03-9113-e1dc66430373,556,,,"[43.4, 64.8]",3893824,14,,,,,-1.816776,,Left Foot,,,,"[37.5, 41.3]",Ground Pass,,24.22932,,,,Louise Quinn,15621.0,,,,,,1,From Goal Kick,Niamh Fahey,19777.0,Right Center Back,30,Republic of Ireland Women's,16768,['ce6ccde1-1dad-469f-918a-e6434628b3e7'],7,,,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:14:07.622,Pass,
