50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.964666,,,,,,,,,,,,,,,0b6897a4-ae38-4a2d-bbdd-844aea66b284,63,,"[31.6, 57.4]",3893823,0,,,,,-3.0890095,,Left Foot,,"[20.2, 56.8]",,Ground Pass,,11.415778,,,Agness Musase,131623.0,,,,,,1,From Throw In,Susan Banda,401939.0,Center Defensive Midfield,3,Zambia Women's,6045,"['1a33327a-5887-4093-abb5-b4ca28b5ef23', 'fb5ed388-5635-445f-a7c9-6657dc69d7b1']",50,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:50.257,Pass,True
,,,,,,,,,,,,,,,,,2.336334,,,,,,,,,,,,,,,f22c5cc8-a711-433c-8335-9f15b992a062,66,,"[19.8, 52.2]",3893823,0,,,,,-2.4042344,,Right Foot,,"[8.9, 42.3]",,Ground Pass,,14.724809,,,Catherine Musonda,131629.0,,,,,,1,From Throw In,Agness Musase,131623.0,Right Center Back,3,Zambia Women's,6045,['8c7bbd12-a628-4184-af49-309b31f93f42'],52,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:52.544,Pass,
,,,,,,,,,,,,,,,,,1.091488,,,,,,,,,,,,,,,f8d08167-b5ad-461f-8f75-034a7fac8ca4,69,,"[10.0, 40.4]",3893823,0,,,,,-0.9272952,,Right Foot,,"[20.2, 26.8]",,Ground Pass,,17.0,,,Lushomo Mweemba,131624.0,,,,,,1,From Throw In,Catherine Musonda,131629.0,Goalkeeper,3,Zambia Women's,6045,['a02cb80b-ef6e-4d4f-b77a-24506e0cb757'],56,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:56.798,Pass,
,,,,,,,,,,,,,,,,,1.252637,,,,,,,,,,,,,,,14d7eb1c-112a-4e64-953f-86b9fadff2f8,72,,"[20.2, 25.4]",3893823,0,,,,,-0.9167136,,Right Foot,,"[34.0, 7.4]",,Ground Pass,,22.68127,,,Martha Tembo,131694.0,,,,,,1,From Throw In,Lushomo Mweemba,131624.0,Left Center Back,3,Zambia Women's,6045,['d0afbc2b-87e6-4b90-b449-186989d346f0'],59,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:00:59.132,Pass,
,,,,,,,,,,,,,,,,,1.143957,,,,,,,,,,,,,,,a37fdd56-168f-451b-8a91-0f2b46fd2c89,75,,"[34.1, 22.1]",3893823,1,,,,,1.060308,,Right Foot,,"[43.9, 39.6]",,Ground Pass,,20.057169,,,Evarine Susan Katongo,131631.0,,,,,,1,From Throw In,Martha Tembo,131694.0,Left Back,3,Zambia Women's,6045,['eac49e10-22b6-4c70-8d00-c36183751c07'],3,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:03.171,Pass,
,,,,,,,,,,,,,,,,,0.156714,,,,,,,,,,,,,,,b8992ea2-a351-4bf8-b433-d9efed195578,79,,"[43.9, 39.6]",3893823,1,,,,,0.68052125,,Right Foot,,"[48.1, 43.0]",,Low Pass,,5.4037023,Incomplete,,,,,,,,,1,From Throw In,Evarine Susan Katongo,131631.0,Left Center Midfield,3,Zambia Women's,6045,"['157d23ab-6df8-45b4-87d8-4133782e80e8', '28aee0c7-1f4f-4569-ada4-c31d9f55eccd']",4,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:04.392,Pass,True
,,,,,,,,,,,,,,,,,1.627456,,,,,,,,,,,,,,,5da18976-1b2b-4dc7-b17e-423e6a89ea13,87,,"[49.3, 23.2]",3893823,1,,,,,-2.2001696,,Head,,"[41.8, 12.9]",,Low Pass,,12.741272,,,Martha Tembo,131694.0,,,,,Recovery,1,From Throw In,Racheal Kundananji,32854.0,Left Midfield,3,Zambia Women's,6045,['9b562209-55db-40fe-b6fe-519d7dfb55d5'],10,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:10.301,Pass,
,,,,,,,,,,,,,,,,,1.563009,,,,,,,,,,,,,,,59d18df8-768e-4daf-972d-0ffb428edf6c,93,,"[44.8, 8.2]",3893823,1,,,,,2.0586329,,Left Foot,,"[37.0, 22.9]",,Ground Pass,,16.641214,,,Lushomo Mweemba,131624.0,,,,,Free Kick,1,From Free Kick,Martha Tembo,131694.0,Left Back,4,Zambia Women's,6045,['765405b1-8832-462c-a094-e70456dce0e0'],26,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:26.409,Pass,
,,,,,,,,,,,,,,,,,2.185668,,,,,,,,,,,,,,,a4c89fda-bd03-4823-ad42-1d766cdcaf82,96,,"[37.4, 20.7]",3893823,1,,,,,1.4361984,,Right Foot,,"[42.6, 59.1]",,Ground Pass,,38.750484,,,Margaret Belemu,131616.0,,,,,,1,From Free Kick,Lushomo Mweemba,131624.0,Left Center Back,4,Zambia Women's,6045,['a67670c6-6465-42e3-9f9e-8be3976373ea'],29,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:29.212,Pass,
,,,,,,,,,,,,,,,,,1.702347,,,,,,,,,,,,,,,a758ce2b-2906-47c3-92f1-e176848744f4,99,,"[42.6, 59.1]",3893823,1,,,,,0.6104108,,Right Foot,,"[63.9, 74.0]",,Ground Pass,,25.99423,,,Avell Chitundu,131625.0,,,,,,1,From Free Kick,Margaret Belemu,131616.0,Right Back,4,Zambia Women's,6045,['e5c30f3d-59f8-4c8d-8b96-6b6024542542'],32,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:32.122,Pass,
,,,,,,,,,,,,,,,,,0.118006,,,,,,,,,,,,,,,3e95c1b4-1750-4754-8420-3f7e782287cb,103,,"[63.9, 74.0]",3893823,1,,,,,0.35877067,,Left Foot,,"[66.3, 74.9]",,Low Pass,,2.5632012,Incomplete,,,,,,,,,1,From Free Kick,Avell Chitundu,131625.0,Right Midfield,4,Zambia Women's,6045,"['11d730d7-cd7d-480f-a751-d60d941d371d', 'a2b0f588-eb95-42fb-9f90-3ae3fe234af1']",34,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:34.604,Pass,True
,,,,,,,,,,,,,,,,,1.283196,,,,,,,,,,,,,,,99b3e2c8-acec-49bb-b11e-893d04c18bc5,105,,"[67.5, 80.0]",3893823,1,,True,,,-0.48592806,,,,"[95.9, 65.0]",,High Pass,,32.11791,,,Barbra Banda,131619.0,,,,,Throw-in,1,From Throw In,Margaret Belemu,131616.0,Right Back,5,Zambia Women's,6045,['bc47b716-683e-446a-8a75-7a061f273038'],43,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:43.610,Pass,
,,,,,,,,,,,,,,,,,1.536531,,,,,,,,,,,,,,,e9a36ef3-16fd-48f0-8339-efe7673543f5,107,,"[96.1, 65.8]",3893823,1,,True,,,1.6770612,,Right Foot,,"[95.3, 73.3]",,Low Pass,,7.542546,,,Avell Chitundu,131625.0,,,,,,1,From Throw In,Barbra Banda,131619.0,Center Forward,5,Zambia Women's,6045,['d041b8b7-3bf5-486e-8a14-cefdb9c007cb'],44,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:01:44.937,Pass,
,,,,,,,,,,,,,,,,,1.594022,,,,,,,,,,,,,,,a3844553-6b2a-4f69-abd6-4474ffda5764,113,,"[120.0, 80.0]",3893823,2,,,,,-1.8326539,9eb6114a-2eb7-4d4f-911a-6c498fed0a48,Right Foot,,"[110.7, 45.3]",True,High Pass,,35.924644,,True,Lushomo Mweemba,131624.0,,,Outswinging,,Corner,1,From Corner,Avell Chitundu,131625.0,Right Midfield,6,Zambia Women's,6045,['e770270a-8dd2-4fed-ba7d-59cb7d0e2d63'],10,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:02:10.881,Pass,
,,,,,,,,,,,,,,,,,2.460778,,,,,,,,,,,,,,,fccfafae-f925-47dc-8756-15d3c0fb8f52,118,,"[60.0, 40.0]",3893823,2,,True,,,3.1415927,,Right Foot,,"[35.7, 40.0]",,Ground Pass,,24.3,,,Gloriana Jesus Villalobos Vega,34486.0,,,,,Kick Off,1,From Kick Off,Sheika Daleicha Scott Richardson,401801.0,Center Forward,7,Costa Rica Women's,1832,['0244f471-be7e-4e75-956f-9613e74aa0e3'],55,,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:02:55.682,Pass,
,,,,,,,,,,,,,,,,,0.071349,,,,,,,,,,,,,,,de934d92-0145-4134-b8ca-94b7b9d470f5,120,,"[36.0, 40.2]",3893823,3,,True,,,-0.0028168939,,Right Foot,,"[107.0, 40.0]",,High Pass,,71.00028,Incomplete,,Sheika Daleicha Scott Richardson,401801.0,,,,,,1,From Kick Off,Gloriana Jesus Villalobos Vega,34486.0,Center Attacking Midfield,7,Costa Rica Women's,1832,"['36550781-9f5d-47f7-8c60-ff5980721478', '3ed9495b-78d1-4291-892c-e96470b52d9d']",4,,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:03:04.142,Pass,
,,,,,,,,,,,,,,,,,1.815349,,,,,,,,,,,,,,,b03b4856-7b1b-427b-a33e-46e1ad310ce6,123,,"[14.9, 39.1]",3893823,3,,,,,-1.5051972,,Keeper Arm,,"[15.8, 25.4]",,Ground Pass,,13.72953,,,Lushomo Mweemba,131624.0,,,,,,1,Regular Play,Catherine Musonda,131629.0,Goalkeeper,8,Zambia Women's,6045,['595e0465-3dad-494d-896f-7f4bf6e00273'],12,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:03:12.153,Pass,
,,,,,,,,,,,,,,,,,1.833379,,,,,,,,,,,,,,,8869faad-5ce6-48bf-9698-f54c33a57030,127,,"[23.4, 18.6]",3893823,3,,,,,-0.010988569,,Left Foot,,"[50.7, 18.3]",,Ground Pass,,27.30165,Incomplete,,Evarine Susan Katongo,131631.0,,,,,,1,Regular Play,Lushomo Mweemba,131624.0,Left Center Back,8,Zambia Women's,6045,"['448c8d92-632d-4590-b7ac-9e001151cf54', 'e3e778da-00f0-48e2-aded-20249adbc1f4', 'e969064f-b0cb-4bc8-9b35-9a0adfbf829c']",16,,,,,,,,,,,,,,,,,,Zambia Women's,6045,00:03:16.054,Pass,True
,,,,,,,,,,,,,,,,,1.281876,,,,,,,,,,,,,,,0c3d3b59-4c97-4c8b-af53-b095ead808b1,132,,"[83.5, 65.1]",3893823,3,,,,,0.697542,,Left Foot,,"[94.0, 73.9]",,Ground Pass,,13.7,,,Melissa Herrera Monge,30958.0,,,,,,1,Regular Play,Katherine Maria Alvarado Aguilar,34480.0,Right Defensive Midfield,8,Zambia Women's,6045,['a2e6d363-c581-4282-ad30-65b65dd404e0'],20,,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:03:20.205,Pass,
