50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.463953,,,,,,,,,,,0b0d10ec-373d-495d-94ec-2a4942d7925c,38,,"[74.7, 25.4]",3893832,0,,,,,2.951814,,Right Foot,,,,"[57.0, 28.8]",Ground Pass,,18.023596,,,Rafaelle Leone Carvalho Souza,131570.0,,,,,,1,Regular Play,Adriana Leal da Silva,389489.0,Left Midfield,4,Brazil Women's,1203,['6119556e-129b-410d-bd92-6c92925a0953'],39,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:39.463,Pass,
,,,,,,,,,,,,,,,,,,1.049632,,,,,,,,,,,434cadbb-2515-4564-94c5-cf99c80292ec,41,,"[59.5, 27.5]",3893832,0,,,,,-0.4726294,,Right Foot,,,,"[72.8, 20.7]",Ground Pass,,14.937536,,,Adriana Leal da Silva,389489.0,,,,,,1,Regular Play,Rafaelle Leone Carvalho Souza,131570.0,Left Center Back,4,Brazil Women's,1203,['454bacbc-c91e-4df9-b9f1-7968ef995492'],42,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:42.137,Pass,
,,,,,,,,,,,,,,,,,,1.508454,,,,,,,,,,,d55a66fc-1573-4c1b-9063-a1c0262ff9e5,45,,"[69.8, 21.1]",3893832,0,,,,,3.0882082,,Right Foot,,,,"[56.7, 21.8]",Ground Pass,,13.118689,,,Rafaelle Leone Carvalho Souza,131570.0,,,,,,1,Regular Play,Adriana Leal da Silva,389489.0,Left Midfield,4,Brazil Women's,1203,"['93832e96-3ba1-44f7-84d8-635792c3613a', 'dc70ad2e-4fee-4100-b1ea-fd6d38993f76']",43,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:43.714,Pass,True
,,,,,,,,,,,,,,,,,,2.014467,,,,,,,,,,,0910d84a-58d1-4643-bad0-f3169387be44,48,,"[58.7, 19.8]",3893832,0,,,,,-0.6924029,,Left Foot,,,,"[79.8, 2.3]",Ground Pass,,27.412771,,,Tamires Cássia Dias de Britto,25559.0,,,,,,1,Regular Play,Rafaelle Leone Carvalho Souza,131570.0,Left Center Back,4,Brazil Women's,1203,['1fd50caa-8b19-4153-b5e3-9a79982ed811'],46,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:46.337,Pass,
,,,,,,,,,,,,,,,,,,0.941512,,,,,,,,,,,ae57f0bc-e01f-4f5b-b768-803703978be7,52,,"[78.1, 1.6]",3893832,0,,,,,0.9449145,,Left Foot,,,,"[91.4, 20.0]",Ground Pass,,22.703524,,Incomplete,Adriana Leal da Silva,389489.0,,,,,,1,Regular Play,Tamires Cássia Dias de Britto,25559.0,Left Back,4,Brazil Women's,1203,"['7db7ad81-e96f-449b-af7e-9bab33725481', '8f3469c0-32ae-481b-9f72-3222520de40a', 'a11aab48-9f1a-4261-9088-3ba2820d1792']",49,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:49.609,Pass,True
,,,,,,,,,,,,,,,,,,2.504019,,,,,,,,,,,7db7ad81-e96f-449b-af7e-9bab33725481,54,,"[28.7, 60.1]",3893832,0,,,,,-2.4558632,,Right Foot,,,,"[12.2, 46.6]",High Pass,,21.319006,,,Deneisha Selena Blackwood,25557.0,,,,,Recovery,1,Regular Play,Vyan Sampson,21014.0,Right Defensive Midfield,5,Jamaica Women's,1212,"['81fcf735-6752-4099-bc3a-cbb37f5e943f', 'ae57f0bc-e01f-4f5b-b768-803703978be7']",50,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:50.551,Pass,
,,,,,,,,,,,,,,,,,,0.496717,,,,,,,,,,,204377ed-a8a8-44cf-977e-cb0ec8c43311,57,,"[12.2, 46.6]",3893832,0,,,,,0.6556956,,Right Foot,,,,"[16.1, 49.6]",Low Pass,,4.920366,,,Chantelle Swaby,25558.0,,,,,,1,Regular Play,Deneisha Selena Blackwood,25557.0,Left Back,5,Jamaica Women's,1212,['26e3a06d-5cd6-4d21-bb39-150e6da5e0c2'],53,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:53.090,Pass,
,,,,,,,,,,,,,,,,,,0.059452,,,,,,,,,,,9cc3b5d8-31d6-4fdc-ba77-339bd12589df,60,,"[16.1, 49.6]",3893832,0,,,,,-0.4048918,,Right Foot,,,,"[18.2, 48.7]",Ground Pass,,2.2847319,,Incomplete,Drew Spence,4638.0,,,,,,1,Regular Play,Chantelle Swaby,25558.0,Left Center Back,5,Jamaica Women's,1212,"['e981fd19-12fc-4f9b-a6d5-1a7a3cc4de59', 'f049aaf6-63d7-4fcd-9d12-7bcd130006e6']",53,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:53.627,Pass,
,,,,,,,,,,,,,,,,,,0.626777,,,,,,,,,,,46ea7a42-df68-483b-bd2b-89aaa099f996,66,,"[104.2, 26.9]",3893832,0,,,,,-1.8209969,,Left Foot,,,,"[101.9, 17.9]",Ground Pass,,9.289241,,,Marta Vieira da Silva Veiga,5082.0,,,,,,1,Regular Play,Débora Cristiane de Oliveira,5044.0,Left Center Forward,6,Brazil Women's,1203,"['140ad592-1d98-4684-a08c-e2baa5771d71', '422ef61d-990b-4e7b-acf3-18e70771aa5d']",56,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:56.152,Pass,True
,,,,,,,,,,,,,,,,,,1.711903,,,,,,,,,,,f3db5c10-9249-4470-b986-a5cba0afa05d,69,,"[101.4, 13.8]",3893832,0,,,,,-0.5505494,,Left Foot,,,,"[111.5, 7.6]",Ground Pass,,11.85116,,,Tamires Cássia Dias de Britto,25559.0,,,,,,1,Regular Play,Marta Vieira da Silva Veiga,5082.0,Right Center Forward,6,Brazil Women's,1203,['e4f0530a-ba7c-4532-b295-bffe4af2f572'],58,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:58.605,Pass,
,,,,,,,,,,,,,,,,,,0.621657,,,,,,,,,,,e1822589-e262-4467-9c82-ea564dc207ac,73,,"[110.9, 7.4]",3893832,1,,,,,1.6654494,,Left Foot,,,,"[109.4, 23.2]",High Pass,,15.871043,,Incomplete,,,,,,,,1,Regular Play,Tamires Cássia Dias de Britto,25559.0,Left Back,6,Brazil Women's,1203,['f4a7803d-dcfe-4792-b0e7-c831cf31e6b7'],0,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:01:00.393,Pass,
,,,,,,,,,,,,,,,,,,0.754505,,,,,,,,,,,521c2ab9-426d-4914-842a-37ee94162b94,75,,"[92.9, 0.1]",3893832,1,,True,,,2.5588531,,,,,,"[84.1, 5.9]",Low Pass,,10.53945,,,Marta Vieira da Silva Veiga,5082.0,,,,,Throw-in,1,From Throw In,Adriana Leal da Silva,389489.0,Left Midfield,7,Brazil Women's,1203,['b8bc7a0f-2126-4396-a2e8-a765bc5b0ec4'],8,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:01:08.684,Pass,
