50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.209885,,,,,,,,,,,,66fdaab4-0591-423d-9e99-03c50f0e5ba2,61,,"[116.8, 53.3]",3901734,1,,,,,-2.0552742,,Right Foot,,,"[115.8, 51.4]",,Ground Pass,,2.1470912,,,Incomplete,Hinata Miyazawa,401932.0,,,,,,1,From Corner,Mina Tanaka,85500.0,Center Forward,4,Japan Women's,1210,"['140b3a3d-b57d-4964-9731-e5fe95629fc0', 'a719d761-d23e-43e0-a665-be487e24d24d', 'bb3b7904-fcfd-4a32-813f-a0d79aefe766']",33,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:01:33.210,Pass,True
,,,,,,,,,,,,,,3.851131,,,,,,,,,,,,c6603b8d-44c0-4750-a189-e9315cd9f5c9,67,,"[12.5, 21.5]",3901734,2,,,,,0.15254334,,Left Foot,,,"[83.4, 32.4]",,High Pass,,71.73298,,,Incomplete,Sophie Roman Haug,24706.0,,,,,Free Kick,1,From Free Kick,Aurora Watten Mikalsen,36800.0,Goalkeeper,5,Norway Women's,852,"['0307eca7-d158-4c9e-8f76-7822be0dbf3a', '44eac74e-16d9-400f-849a-c70ce98ce14a']",2,,,,,,,,,,,,,,,,,,Norway Women's,852,00:02:02.479,Pass,
,,,,,,,,,,,,,,1.861491,,,,,,,,,,,,0307eca7-d158-4c9e-8f76-7822be0dbf3a,69,,"[36.7, 47.7]",3901734,2,,,,,-0.87605804,,Head,,,"[47.2, 35.1]",,High Pass,,16.401524,,,,Fuka Nagano,299860.0,,,,,Recovery,1,From Free Kick,Moeka Minami,25638.0,Left Center Back,5,Norway Women's,852,"['5fe50d6e-1faf-4436-bbd4-2bd29a4af740', 'c6603b8d-44c0-4750-a189-e9315cd9f5c9']",6,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:02:06.330,Pass,
,,,,,,,,,,,,,,1.003845,,,,,,,,,,,,b17c1adf-b67c-412a-a9c9-d0035c327f63,71,,"[46.1, 34.2]",3901734,2,,,,True,-0.293589,,,,,"[50.4, 32.9]",,High Pass,,4.4922156,,,Incomplete,Hinata Miyazawa,401932.0,,,,,,1,From Free Kick,Fuka Nagano,299860.0,Left Defensive Midfield,5,Norway Women's,852,"['1ae74e0a-b0e6-4f34-ad14-2f9d00f82913', '30dd8b7a-ca0f-4cf6-b77d-4276d60290eb', 'bf2e8dcc-22da-44b8-bcda-e00dc405558f']",8,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:02:08.232,Pass,True
,,,,,,,,,,True,,,,2.075631,,,,,,,,,,,,bf2e8dcc-22da-44b8-bcda-e00dc405558f,74,,"[69.7, 47.2]",3901734,2,,,,,-0.6316906,,Right Foot,,,"[77.9, 41.2]",,High Pass,,10.160708,,,,Sophie Roman Haug,24706.0,,,,,Interception,1,From Free Kick,Vilde Bøe Risa,25466.0,Right Center Midfield,5,Norway Women's,852,"['07188353-4482-496c-bf7b-eacfb730d762', 'b17c1adf-b67c-412a-a9c9-d0035c327f63']",9,,,,,,,,,,,,,,,,,,Norway Women's,852,00:02:09.235,Pass,
,,,,,,,,,,,,,,1.420592,,,,,,,,,,,,9b1423eb-02a0-4c9c-acc0-3f95eef0a527,76,,"[78.5, 40.5]",3901734,2,,,,,0.7235303,,Head,,,"[90.5, 51.1]",,High Pass,,16.011246,,,Incomplete,Guro Reiten,10514.0,,,,,,1,From Free Kick,Sophie Roman Haug,24706.0,Center Forward,5,Norway Women's,852,"['c4c3e4bb-4bd5-4955-afcf-5166d99703d4', 'f96b5571-421e-4739-bf69-2f9db68497e3']",11,,,,,,,,,,,,,,,,,,Norway Women's,852,00:02:11.329,Pass,
,,,,,,,,,,,,,,0.948048,,,,,,,,,,,,c4c3e4bb-4bd5-4955-afcf-5166d99703d4,78,,"[29.6, 29.0]",3901734,2,,,,,0.079378314,,Head,,,"[38.4, 29.7]",,Low Pass,,8.827797,,,,Fuka Nagano,299860.0,,,,,Recovery,1,Regular Play,Moeka Minami,25638.0,Left Center Back,6,Japan Women's,1210,"['9b1423eb-02a0-4c9c-acc0-3f95eef0a527', 'ae7edeca-e364-4532-8f0f-d9f7d0129d31']",12,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:02:12.750,Pass,
,,,,,,,,,,,,,,1.385152,,,,,,,,,,,,910cecd2-5237-4df7-9235-6b7c7da2e499,82,,"[38.2, 28.2]",3901734,2,,,,,-1.9732958,,Right Foot,,,"[29.6, 8.0]",,Ground Pass,,21.954498,,,,Jun Endo,25608.0,,,,,,1,Regular Play,Fuka Nagano,299860.0,Left Defensive Midfield,6,Japan Women's,1210,"['53e3a181-604c-4643-9e93-30f81caea5bc', '643fa867-e256-4ff2-bd75-eb8e1cb4a29b']",14,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:02:14.409,Pass,True
,,,,,,,,,,,,,,4.478159,,,,,,,,,,,,f4f8e4db-c04e-4fbd-8729-9b0d00d371e7,85,,"[29.4, 7.4]",3901734,2,,,,,-0.10666816,,Left Foot,,,"[81.7, 1.8]",,High Pass,,52.598953,,,Incomplete,Hinata Miyazawa,401932.0,,,,,,1,Regular Play,Jun Endo,25608.0,Left Wing Back,6,Japan Women's,1210,"['1a1b186d-7e38-455c-a16d-5fcb3296cc77', 'ce0a93a5-b879-49ab-bb71-16370ad6b4a8']",17,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:02:17.738,Pass,
,,,,,,,,,,,,,,1.780718,,,,,,,,,,,,db9dfa6f-caa1-45f6-81c7-7a776ae58d77,89,,"[85.5, 0.1]",3901734,2,,,,,3.042503,,,,,"[68.4, 1.8]",,Low Pass,,17.184296,,,,Jun Endo,25608.0,,,,,Throw-in,1,From Throw In,Hinata Miyazawa,401932.0,Left Attacking Midfield,7,Japan Women's,1210,['bdac8e30-601d-4309-b246-1db5305d3eba'],29,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:02:29.024,Pass,
