player_id,player_name,team,performance_score,P_score,S_score,C_score,D_score,L_score
5209.0,Raphaël Adelino José Guerreiro,Bayern Munich,41.13709677419355,46.29032258064515,38.06451612903226,32.25806451612903,33.306451612903224,69.35483870967742
5460.0,Andrej Kramarić,Hoffenheim,48.30710784313725,29.703431372549016,67.71323529411764,41.34803921568628,42.93872549019608,70.95588235294117
5536.0,Yussuf Yurary Poulsen,RB Leipzig,47.05602639296188,24.14633431085044,60.93431085043988,58.059824046920816,33.12023460410557,75.49853372434019
5555.0,Julian Brandt,Borussia Dortmund,53.92828282828282,49.5625,53.13636363636363,56.091540404040394,46.549400252525245,77.25378787878788
5557.0,Timo Werner,RB Leipzig,38.024193548387096,35.96774193548387,49.03225806451613,37.096774193548384,32.25806451612903,29.032258064516125
5559.0,Marco Reus,Borussia Dortmund,36.55868055555556,24.67361111111111,40.166666666666664,31.94444444444444,53.6875,32.22222222222222
5562.0,Thomas Müller,Bayern Munich,56.8320038569425,65.23579943899017,59.55995792426368,51.823281907433376,57.17128330995793,38.34151472650772
5570.0,Manuel Neuer,Bayern Munich,42.520161290322584,42.338709677419345,38.06451612903226,32.25806451612903,45.16129032258064,69.35483870967742
5572.0,Mats Hummels,Borussia Dortmund,47.88018031189084,54.25155945419103,40.949707602339174,32.446393762183234,56.4490253411306,63.007797270955166
5579.0,Joshua Kimmich,Bayern Munich,49.55846774193549,71.02822580645162,54.29435483870967,32.25806451612903,39.828629032258064,38.10483870967742
5602.0,Cristian Gamboa Luna,Bochum,44.78125,37.5,40.0,45.3125,60.625,42.1875
5623.0,Jae-Sung Lee,FSV Mainz 05,52.04450628153911,42.713053248528176,53.170698854079056,58.68008830950379,60.290767583052975,42.79397077375947
