50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.459212,,,,,,,,,,,55fe1bc3-560a-41ea-90e7-43700f0f2280,38,,"[61.9, 72.7]",3879543,0,,,,,-0.48387605,,Head,,,"[75.6, 65.5]",,High Pass,,15.476757,,,Daniel Ciofani,13613.0,,,,,Recovery,1,Regular Play,Matteo Ciofani,31721.0,Right Back,6,Frosinone,291,"['e874b943-0074-4ef3-b8ae-2792aeecf1b2', 'f6b77f4d-9717-4d34-9290-451fc7a26b0a']",47,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:47.564,Pass,
,,,,,,,,,,,,,,,,,,,1.152952,,,,,,,,,,,8cd29f90-77e9-4e87-bdde-eddf88ee601b,41,,"[75.6, 65.6]",3879543,0,,,,,1.2008903,,Other,,,"[77.5, 70.5]",,High Pass,,5.255473,,,Nicolás Ignacio Castillo Mora,20970.0,,,,,,1,Regular Play,Daniel Ciofani,13613.0,Right Center Forward,6,Frosinone,291,"['4053c89c-4c4f-496f-830a-fa9d99fc5d52', 'd4c000b3-fc50-45ec-8ee3-7ae0f691a886']",49,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:49.023,Pass,True
,,,,,,,,,,,,,,,,,,,0.990349,,,,,,,,,,,64a584d3-f574-4085-9587-6309ef5df336,45,,"[75.8, 70.1]",3879543,0,,,,,0.5052902,,Right Foot,,,"[80.5, 72.7]",,High Pass,,5.3712196,,,Alessandro Frara,386512.0,,,,,,1,Regular Play,Nicolás Ignacio Castillo Mora,20970.0,Left Center Forward,6,Frosinone,291,['4dfcd916-7cc9-495c-99aa-147d10128707'],50,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:50.885,Pass,
,,,,,,,,,,,,,,,,,,,0.925339,,,,,,,,,,,a9ce9c03-fc1f-4c15-818a-f35277685d9e,47,,"[80.5, 72.7]",3879543,0,,,,,-1.5395565,,Head,,,"[80.8, 63.1]",,High Pass,,9.604687,,,Nicolás Ignacio Castillo Mora,20970.0,,,,,,1,Regular Play,Alessandro Frara,386512.0,Right Midfield,6,Frosinone,291,['471d2ad1-70c0-47d5-a4b4-bb3f6c41bb6d'],52,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:52.021,Pass,
,,,,,,,,,,,,,,,,,,,3.675825,,,,,,,,,,,26a01563-37dc-4070-8fbb-6126a6f38d02,51,,"[78.6, 62.1]",3879543,0,,,,,0.4935788,,Right Foot,,,"[111.5, 79.8]",,Ground Pass,,37.35907,Out,,Alessandro Frara,386512.0,,,,,,1,Regular Play,Nicolás Ignacio Castillo Mora,20970.0,Left Center Forward,6,Frosinone,291,['1b3b7a6b-cbf3-485f-8a86-06bc1701781e'],53,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:53.112,Pass,
,,,,,,,,,,,,,,,,,,,1.857774,,,,,,,,,,,e7a10853-78e1-4fcd-b160-d05a9810bdc6,53,,"[18.3, 0.1]",3879543,1,,,,,0.17440054,,,,,"[39.3, 3.8]",,High Pass,,21.323462,,,Paul Pogba,20004.0,,,,,Throw-in,1,From Throw In,Alex Sandro Lobo Silva,6945.0,Left Back,7,Juventus,224,['037d80db-2e06-4137-b699-b2c38188f0b0'],8,,,,,,,,,,,,,,,,,,Juventus,224,00:01:08.288,Pass,
,,,,,,,,,,,,,,,,,,,0.078768,,,,,,,,,,,168b0a9b-6496-49e3-8a85-73d2eb972ffb,55,,"[39.3, 3.8]",3879543,1,,,,True,0.39852244,,,,,"[43.1, 5.4]",,High Pass,,4.1231055,Incomplete,,,,,,,,,1,From Throw In,Paul Pogba,20004.0,Left Center Midfield,7,Juventus,224,"['415dd798-62fd-486b-b1dc-2a2ad25db109', '74b9419b-712f-4a40-a2a5-db01702b2a29']",10,,,,,,,,,,,,,,,,,,Juventus,224,00:01:10.180,Pass,True
,,,,,,,,,,,,,,,,,,,1.070118,,,,,,,,,,,e32ae94a-6b0c-4581-968a-687cd9371ad6,58,,"[61.2, 0.1]",3879543,1,,,,,0.26377988,,,,,"[74.9, 3.8]",,Low Pass,,14.190842,,,Roberto Maximiliano Pereyra,3579.0,,,,,Throw-in,1,From Throw In,Alex Sandro Lobo Silva,6945.0,Left Back,8,Juventus,224,['4de60d70-e8a8-4476-809e-42ab6268fc4b'],26,,,,,,,,,,,,,,,,,,Juventus,224,00:01:26.546,Pass,
,,,,,,,,,,,,,,,,,,,2.14746,,,,,,,,,,,60727dd7-e8dd-4749-becb-421bd2ab7ccc,63,,"[49.2, 80.0]",3879543,1,,,,,-2.8958273,,,,,"[19.3, 72.5]",,Low Pass,,30.826288,,,Modibo Diakité,174418.0,,,,,Throw-in,1,From Throw In,Matteo Ciofani,31721.0,Right Back,9,Frosinone,291,['5e281606-036b-4703-a8fe-71af4ffcd8be'],32,,,,,,,,,,,,,,,,,,Frosinone,291,00:01:32.342,Pass,
,,,,,,,,,,,,,,,,,,,1.630771,,,,,,,,,,,bfc61590-4b5f-44f5-a02c-78332408c235,66,,"[22.5, 64.8]",3879543,1,,,,,-1.5333499,,Right Foot,,,"[23.8, 30.1]",,Ground Pass,,34.724342,,,Leonardo Blanchard,387847.0,,,,,,1,From Throw In,Modibo Diakité,174418.0,Right Center Back,9,Frosinone,291,['1df2e59c-5f8c-4a7c-b109-9fcbaa5eadf3'],35,,,,,,,,,,,,,,,,,,Frosinone,291,00:01:35.968,Pass,
