50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.827642,,,,,,,,,,25d03f66-1eeb-4cfb-bca1-5fe2e5823900,70,,"[35.5, 14.1]",3879557,2,,True,,,1.5707964,,Right Foot,,"[35.5, 29.6]",,Ground Pass,,15.5,,,,,Boštjan Cesar,8877.0,,,,,Free Kick,1,From Free Kick,Alessandro Gamberini,7052.0,Right Center Back,7,Chievo,231,['a8379db1-5f22-496e-8e44-0a1704e69dbc'],14,,,,,,,,,,,,,,,,,,,Chievo,231,00:02:14.406,Pass,
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,839f654c-2203-44ae-827b-77e6be27d1de,72,,"[42.0, 25.8]",3879557,2,,,,,-1.2292744,,Right Foot,,"[49.5, 4.7]",,Ground Pass,,22.393303,,,,,Massimo Gobbi,8645.0,,,,,,1,From Free Kick,Boštjan Cesar,8877.0,Left Center Back,7,Chievo,231,['00d86142-216f-40f4-bd69-4594a778d974'],17,,,,,,,,,,,,,,,,,,,Chievo,231,00:02:17.845,Pass,
,,,,,,,,,,,,,,,,2.204184,,,,,,,,,,b614799f-d8a3-460c-b833-94d3d5f26770,75,,"[56.4, 5.0]",3879557,2,,,,,0.35186192,,Left Foot,,"[105.7, 23.1]",,High Pass,,52.517616,,,Incomplete,,Riccardo Meggiorini,11643.0,,,,,,1,From Free Kick,Massimo Gobbi,8645.0,Left Back,7,Chievo,231,"['31de737e-56d3-4b17-98b1-9156d79e4812', 'e9b8b441-4a6e-42ab-bcd8-b4f4388c5333']",21,,,,,,,,,,,,,,,,,,,Chievo,231,00:02:21.686,Pass,
,,,,,,,,,,,,,,,,2.762447,,,,,,,,,,e9b8b441-4a6e-42ab-bcd8-b4f4388c5333,78,,"[14.4, 57.0]",3879557,2,,,,True,1.8472216,,,,"[10.4, 71.1]",,Low Pass,,14.656398,,,,,Eros Pisano,11342.0,,,,,Recovery,1,From Free Kick,Vangelis Moras,31488.0,Center Back,7,Chievo,231,"['2db96bb3-f8d8-4d17-b93b-2ff65b8d2592', 'b614799f-d8a3-460c-b833-94d3d5f26770', 'f4ccef64-2998-4e68-b1ee-d00187862c23']",23,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:02:23.890,Pass,True
,,,,,,,,,,,,,,,,4.803117,,,,,,,,,,58295a47-0358-4614-a022-859aa45e1b12,84,,"[7.0, 36.1]",3879557,2,,,,,-0.4880766,,Left Foot,,"[73.3, 0.9]",,High Pass,,75.06484,,,Out,,Juan Ignacio Gómez Taleb,386651.0,,,,,Goal Kick,1,From Goal Kick,Rafael de Andrade Bittencourt Pinheiro,9887.0,Goalkeeper,8,Hellas Verona,226,['00ce8bb6-4374-4696-9e5b-80dfab7d9cfe'],51,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:02:51.834,Pass,
,,,,,,,,,,,,,,,,0.901151,,,,,,,,,,3ac8f006-2c8a-4904-a067-c1e5a0de7aaf,86,,"[55.1, 80.0]",3879557,3,,,,,-0.5107043,,,,"[69.2, 72.1]",,High Pass,,16.162302,,,,,Alberto Paloschi,6950.0,,,,,Throw-in,1,From Throw In,Nicolas Sebastian Frey,23324.0,Right Back,9,Chievo,231,['be89a586-63e7-4f87-93eb-f57575f2e7f6'],2,,,,,,,,,,,,,,,,,,,Chievo,231,00:03:02.667,Pass,
,,,,,,,,,,,,,,,,0.731804,,,,,,,,,,c1a2674e-41cc-47fe-842a-fa15318b297b,88,,"[69.2, 72.1]",3879557,3,,,,,-0.8055974,,Head,,"[78.9, 62.0]",,Low Pass,,14.003571,,,Incomplete,,Riccardo Meggiorini,11643.0,,,,,,1,From Throw In,Alberto Paloschi,6950.0,Left Center Forward,9,Chievo,231,"['39264d82-0e33-4f5c-b312-de7dee784706', '5c4eeead-c390-447b-ba2b-7ad0a20fa825']",3,,,,,,,,,,,,,,,,,,,Chievo,231,00:03:03.608,Pass,
,,,,,,,,,,,,,,,,4.993321,,,,,,,,,,84f0d2ba-181d-40b2-be20-29bf1f1f0ce9,93,,"[42.5, 11.0]",3879557,3,,,,,0.43363518,,Left Foot,,"[99.3, 37.3]",,High Pass,,62.59337,,,Incomplete,,Juan Ignacio Gómez Taleb,386651.0,,,,,,1,From Throw In,Federico Viviani,7770.0,Right Defensive Midfield,9,Chievo,231,"['19e9cf66-245a-4368-8f3e-a80636b650a2', '4eec8779-f887-4830-bad7-eff752f43a32', 'abf2e927-5702-407f-9a3b-87cc6f032c29']",5,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:03:05.510,Pass,True
,,,,,,,,,,,,,,,,2.017506,,,,,,,,,,a265ddcc-54d9-4a15-8f49-76768df3a363,97,,"[18.8, 43.6]",3879557,3,,,,,1.2204139,,Left Foot,,"[27.9, 68.5]",,Ground Pass,,26.510752,,,,,Alessandro Gamberini,7052.0,,,,,,1,From Keeper,Albano Benjamín Bizzarri,7803.0,Goalkeeper,10,Chievo,231,['2c4aa24d-6197-43aa-a932-1da130c528dc'],10,,,,,,,,,,,,,,,,,,,Chievo,231,00:03:10.623,Pass,
,,,,,,,,,,,,,,,,0.935753,,,,,,,,,,34f0c17b-78bd-43e4-9442-8ddeb0a13887,100,,"[27.9, 68.5]",3879557,3,,,,,0.6267429,,Left Foot,,"[36.6, 74.8]",,Ground Pass,,10.7415085,,,,,Nicolas Sebastian Frey,23324.0,,,,,,1,From Keeper,Alessandro Gamberini,7052.0,Right Center Back,10,Chievo,231,['103474d8-1a08-467b-b010-c79db07d1409'],15,,,,,,,,,,,,,,,,,,,Chievo,231,00:03:15.405,Pass,
