50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.575933,,,,,,,,,,,,,16ef52e8-c242-48e1-bb6a-9b830edb7399,1413,,"[108.7, 73.7]",3879762,43,,,,,-2.3980305,,Right Foot,,,"[97.5, 63.4]",,Ground Pass,,15.21611,,,,Emmanuel Agyemang-Badu,24722.0,,,,,,1,From Throw In,Antonio Di Natale,19846.0,Center Forward,86,Udinese,230,['6002639d-e898-4f67-aa99-070885befb03'],9,,,,,,,,,,,,,,,,,,Udinese,230,00:43:09.131,Pass,
,,,,,,,,,,,,,,,,0.411294,,,,,,,,,,,,,229a7d09-56f2-46d1-b89c-b91cbefd1bae,1416,,"[97.5, 64.1]",3879762,43,,,,,-0.90837,,Right Foot,,,"[101.4, 59.1]",,Ground Pass,,6.3411355,,,,Bruno Miguel Borges Fernandes,5204.0,,,,,,1,From Throw In,Emmanuel Agyemang-Badu,24722.0,Right Center Midfield,86,Udinese,230,['6b9d1bd9-6e40-4f6c-8814-e490b81e190d'],10,,,,,,,,,,,,,,,,,,Udinese,230,00:43:10.824,Pass,
,,,,,,,,,,,,,,,,1.231386,,,,,,,,,,,,,67cf4cfd-4ff8-4ada-b98c-a0423374af0d,1419,,"[101.4, 59.1]",3879762,43,,,,,0.14707835,,Right Foot,,,"[112.2, 60.7]",,Ground Pass,,10.917875,,Incomplete,,Emmanuel Agyemang-Badu,24722.0,,,,,,1,From Throw In,Bruno Miguel Borges Fernandes,5204.0,Right Wing,86,Udinese,230,"['33bfc96a-0f2d-4008-86bb-789c93436220', 'a3379fbe-ceb3-4a63-b821-c13556725007']",11,,,,,,,,,,,,,,,,,,Udinese,230,00:43:11.316,Pass,
,,,,,,,,,,,,,,,,2.87867,,,,,,,,,,,,,fb95e0bc-f724-4a74-a64f-4172726a2988,1423,,"[6.0, 16.7]",3879762,43,,,,,0.13158815,,Left Foot,,,"[46.8, 22.1]",,High Pass,,41.1558,,Incomplete,,Luca Toni,20252.0,,,,,,1,From Throw In,Mohamed Salim Fares,7705.0,Left Back,86,Udinese,230,"['3f2fd319-416c-4a96-a971-70c97a9d63ab', '6c716297-82b5-414e-8adf-6f0dc5b192fb']",15,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:43:15.973,Pass,
,,,,,,,,,,,,,,,,1.917852,,,,,,,,,,,,,2d31f54f-cc2f-4750-95ee-55a2e6ac97be,1428,,"[77.1, 49.7]",3879762,44,,,,,0.020077623,,Right Foot,,,"[102.0, 50.2]",,High Pass,,24.90502,,Incomplete,,Emmanuel Agyemang-Badu,24722.0,,,,,Free Kick,1,From Free Kick,Antonio Di Natale,19846.0,Center Forward,87,Udinese,230,"['4b0378a3-9896-45c3-8b76-6973b21a6d16', '9410bb0a-31fe-4f25-a4d2-7768d9b123a1']",18,,,,,,,,,,,,,,,,,,Udinese,230,00:44:18.134,Pass,
,,,,,,,,,,,,,,,,1.018571,,,,,,,,,,,,,5a899b1d-b69e-4e73-a439-1cf3ef3ab75e,1441,,"[46.1, 20.5]",3879762,44,,True,,,-2.9579704,,Right Foot,,,"[39.1, 19.2]",,Ground Pass,,7.119691,,,,Matteo Bianchetti,8421.0,,,,,Free Kick,1,From Free Kick,Luca Marrone,31572.0,Left Defensive Midfield,89,Hellas Verona,226,['97ffb91e-dce0-4d73-a7a5-de5aeec26c04'],41,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:44:41.125,Pass,
,,,,,,,,,,,,,,,,0.50414,,,,,,,,,,,,,28b83f3f-a0cf-4b82-827e-afa66486648a,1443,,"[41.3, 38.8]",3879762,44,,True,,,-1.3020933,,Right Foot,,,"[43.2, 31.9]",,Ground Pass,,7.156815,,,,Luca Marrone,31572.0,,,,,,1,From Free Kick,Matteo Bianchetti,8421.0,Right Center Back,89,Hellas Verona,226,['41275198-e9c0-4cda-9e3a-2f0686f2ec91'],42,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:44:42.237,Pass,
,,,,,,,,,,,,,,,,1.492405,,,,,,,,,,,,,57cd8d72-5cf0-42d9-b0fb-d0963850f307,1445,,"[51.5, 33.4]",3879762,44,,,,,-1.5707964,,Right Foot,,,"[51.5, 16.1]",,Ground Pass,,17.3,,,,Filip Helander,7966.0,,,,,,1,From Free Kick,Luca Marrone,31572.0,Left Defensive Midfield,89,Hellas Verona,226,['a186c27b-e1e7-498c-be1a-4f06e7173b0e'],46,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:44:46.549,Pass,
,,,,,,,,,,,,,,,,0.993991,,,,,,,,,,,,,41869148-ff7d-44a6-958b-9c565d48bb77,1448,,"[62.4, 10.3]",3879762,44,,,,,0.014850393,,Left Foot,,,"[82.6, 10.6]",,Ground Pass,,20.202229,,,,Luca Toni,20252.0,,,,,,1,From Free Kick,Filip Helander,7966.0,Left Center Back,89,Hellas Verona,226,['9cb2062e-fb3a-4e6b-95d9-4ed6fd5f67f7'],50,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:44:50.089,Pass,
,,,,,,,,,,,,,,,,2.558231,,,,,,,,,,,,,1cee6768-521d-413e-9bfc-558862a4acce,1456,,"[42.9, 76.2]",3879762,45,,,,,-0.3919713,,Right Foot,,,"[90.8, 56.4]",,High Pass,,51.830975,,Incomplete,,Antonio Di Natale,19846.0,,,,,Free Kick,1,From Free Kick,Danilo Larangeira,7799.0,Right Center Back,90,Udinese,230,"['1e9c6e16-ee09-4355-a589-095729fc7e0c', 'f0827e20-bcc8-4704-88e9-ba7a6f8cf06c']",11,,,,,,,,,,,,,,,,,,Udinese,230,00:45:11.913,Pass,
