50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.63685,,,,,,,,,,,,0cebaa1d-c4fe-43ba-9c2b-b08cd66b9382,53,,,"[29.4, 19.9]",3879569,1,,,,,-0.69391114,,Left Foot,,,,"[53.2, 0.1]",,Low Pass,,30.959328,,Out,,Achraf Lazaar,10032.0,,,,,,1,Regular Play,Siniša Anđelković,40350.0,Left Center Back,6,Palermo,2256,['1117fc1d-86e7-4bf3-aef8-111916a9c1b1'],14,,,,,,,,,,,,,,,,,Palermo,2256,00:01:14.031,Pass,
,,,,,,,,,,,,,,,,,1.174173,,,,,,,,,,,,a7e245c3-4f52-47cf-9970-dd365de1beff,55,,,"[69.4, 80.0]",3879569,1,,True,,,-1.2406777,,,,,,"[74.3, 65.7]",,High Pass,,15.116217,,,,Luca Rizzo,11729.0,,,,,Throw-in,1,From Throw In,Alex Ferrari,7704.0,Right Back,7,Bologna,240,['5e9b88ab-218a-4eab-aecc-8672362f1645'],20,,,,,,,,,,,,,,,,,Bologna,240,00:01:20.259,Pass,
,,,,,,,,,,,,,,,,,0.7875,,,,,,,,,,,,203e34b4-889c-4198-b052-3f744658badc,59,,,"[40.9, 12.8]",3879569,1,,,,,-1.0870172,,Left Foot,,,,"[44.0, 6.9]",,Ground Pass,,6.664833,,,,Oscar Hiljemark,5605.0,,,,,Recovery,1,Regular Play,Enzo Maresca,25954.0,Center Defensive Midfield,8,Palermo,2256,"['1eb937ab-b050-4301-b87f-48c3ec8025c6', '6a086f77-a687-496b-9ea6-6b1c8607d0c3']",22,,,,,,,,,,,,,,,,,Palermo,2256,00:01:22.297,Pass,True
,,,,,,,,,,,,,,,,,0.70577,,,,,,,,,,,,51f774a5-f1ad-4939-bfe3-e98353b93ae1,61,,,"[44.0, 6.9]",3879569,1,,,,,0.94779706,,Right Foot,,,,"[51.4, 17.2]",,Ground Pass,,12.682665,,,,Franco Damián Vázquez,6719.0,,,,,,1,Regular Play,Oscar Hiljemark,5605.0,Left Center Midfield,8,Palermo,2256,['308c9300-e664-4dee-8643-ebe779696d68'],23,,,,,,,,,,,,,,,,,Palermo,2256,00:01:23.084,Pass,
,,,,,,,,,,,,,,,,,0.691991,,,,,,,,,,,,9cd55b60-ab10-492c-a482-10ddbf2c3cf8,63,,,"[51.4, 17.2]",3879569,1,,,,,2.9471126,,Left Foot,,,,"[44.8, 18.5]",,Ground Pass,,6.726812,,,,Enzo Maresca,25954.0,,,,,,1,Regular Play,Franco Damián Vázquez,6719.0,Center Attacking Midfield,8,Palermo,2256,['adb27643-0a13-4e38-bc30-2e5994d4625f'],23,,,,,,,,,,,,,,,,,Palermo,2256,00:01:23.790,Pass,
,,,,,,,,,,,,,,,,,0.646166,,,,,,,,,,,,0f352f7d-5996-4ab2-b0b9-52d496448b2a,67,,,"[47.6, 21.2]",3879569,1,,,,,-0.35049662,,Right Foot,,,,"[56.9, 17.8]",,Ground Pass,,9.90202,,,,Franco Damián Vázquez,6719.0,,,,,,1,Regular Play,Enzo Maresca,25954.0,Center Defensive Midfield,8,Palermo,2256,"['4e7749c5-57fd-41bc-ac72-0453550c494a', 'a9193d22-bc91-4af9-9312-fef43cbeaaea']",25,,,,,,,,,,,,,,,,,Palermo,2256,00:01:25.621,Pass,True
,,,,,,,,,,,,,,,,,1.251121,,,,,,,,,,,,8fab84b7-d66c-4790-8833-4d4def8b39ee,70,,,"[63.3, 17.8]",3879569,1,,,,,-1.0987923,,Left Foot,,,,"[70.6, 3.5]",,Ground Pass,,16.055529,,,,Achraf Lazaar,10032.0,,,,,,1,Regular Play,Franco Damián Vázquez,6719.0,Center Attacking Midfield,8,Palermo,2256,['39eb5322-b4dc-4508-85ae-c4d93347fb94'],28,,,,,,,,,,,,,,,,,Palermo,2256,00:01:28.087,Pass,
,,,,,,,,,,,,,,,,,1.170794,,,,,,,,,,,,e3dbd994-1aa8-497e-bdfe-e9b09fc3c13a,77,,,"[83.8, 10.7]",3879569,1,,,,,1.5868378,,Left Foot,,,,"[83.5, 29.4]",,Ground Pass,,18.702406,,,,Luca Rigoni,7461.0,,,,,,1,Regular Play,Achraf Lazaar,10032.0,Left Wing Back,8,Palermo,2256,['59c2c60e-5142-47bb-aaa1-5c4d666469f9'],32,,,,,,,,,,,,,,,,,Palermo,2256,00:01:32.880,Pass,
,,,,,,,,,,,,,,,,,0.167582,,,,,,,,,,,,a8d5cc14-a282-47a6-8d3a-c52d840768a0,80,,,"[83.5, 29.4]",3879569,1,,,,,0.0,,Right Foot,,,,"[85.5, 29.4]",,Low Pass,,2.0,,Incomplete,,Alberto Gilardino,38389.0,,,,,,1,Regular Play,Luca Rigoni,7461.0,Right Center Midfield,8,Palermo,2256,"['e4cd9b42-806a-47fc-9e22-7a47dc00981a', 'e94111c3-8bf1-4426-a2fa-64eb4dd582ce']",34,,,,,,,,,,,,,,,,,Palermo,2256,00:01:34.091,Pass,
,,,,,,,,,,,,,,,,,3.125249,,,,,,,,,,,,df7794d7-fa74-4cfb-bf8c-242b5d5b51b1,85,,,"[14.1, 44.6]",3879569,1,,True,,,-0.9879858,,Keeper Arm,,,,"[28.8, 22.3]",,Ground Pass,,26.709175,,,,Adam Masina,7169.0,,,,,,1,From Keeper,Antonio Mirante,7174.0,Goalkeeper,9,Bologna,240,['cc2a0747-ee85-433b-978f-4f6e4cdb1412'],41,,,,,,,,,,,,,,,,,Bologna,240,00:01:41.707,Pass,
