ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.971827,,,,,,,,,,,,,fbc14eb0-63e9-4589-b793-5a188895ac2f,44,,,"[19.2, 72.3]",3879651,0,,,,,0.08727771,,Head,,,,"[27.2, 73.0]",Low Pass,,8.030566,,,José María Callejón Bueno,7029.0,,,,,Recovery,1,Regular Play,Elseid Hysaj,7031.0,Right Back,6,Napoli,227,"['209c704b-ff06-4449-a845-7824583792bc', 'eb8de3ef-2e08-46e1-8920-9b44f507cfc5']",48,,,,,,,,,,,,,,,,,Napoli,227,00:00:48.557,Pass,
,,,,,,,,,,,,,,0.730508,,,,,,,,,,,,,f3138371-bcd3-4dda-a962-d95190d21123,47,,,"[29.1, 72.7]",3879651,0,,,,True,-2.4255276,,,,,,"[21.4, 66.0]",Low Pass,,10.206861,,,Elseid Hysaj,7031.0,,,,,,1,Regular Play,José María Callejón Bueno,7029.0,Right Wing,6,Napoli,227,"['2e105341-c9be-44ed-8f3a-eb24f7721574', 'bc50c44a-cbfa-40a8-9f42-6e6ae3192a0b']",49,,,,,,,,,,,,,,,,,Napoli,227,00:00:49.529,Pass,True
,,,,,,,,,,,,,,0.323606,,,,,,,,,,,,,e8cdae1b-c581-4249-90fc-2330a8c0dd6e,54,,,"[21.9, 59.8]",3879651,0,,,,,-0.032246884,,Left Foot,,,,"[25.0, 59.7]",Low Pass,,3.1016126,Incomplete,,,,,,,,,1,Regular Play,Allan Marques Loureiro,7035.0,Right Center Midfield,6,Napoli,227,"['24ed8164-3477-4bd4-8bc0-6d0b4d72c789', 'c0e26e86-4bff-46ca-a5d9-c06db752148c']",51,,,,,,,,,,,,,,,,,Napoli,227,00:00:51.406,Pass,True
,,,,,,,,,,,,,,3.288149,,,,,,,,,,,,,72cf4a4d-5e27-447e-9370-9ac332734212,58,,,"[7.2, 70.8]",3879651,0,,,,,0.004065018,,Right Foot,,,,"[56.4, 71.0]",High Pass,,49.200405,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,Regular Play,Elseid Hysaj,7031.0,Right Back,6,Napoli,227,['078ad2ed-c31a-438d-a824-6da48c319054'],55,,,,,,,,,,,,,,,,,Napoli,227,00:00:55.950,Pass,
,,,,,,,,,,,,,,0.845976,,,,,,,,,,,,,6fcabffc-1c21-4de7-9c40-d249538b70d5,63,,,"[60.6, 80.0]",3879651,1,,,,,-1.1948354,,,,,,"[65.1, 68.6]",Low Pass,,12.256019,,,Allan Marques Loureiro,7035.0,,,,,Throw-in,1,From Throw In,Elseid Hysaj,7031.0,Right Back,7,Napoli,227,['0f1519c9-93d2-4399-bd88-75e6748dd402'],12,,,,,,,,,,,,,,,,,Napoli,227,00:01:12.570,Pass,
,,,,,,,,,,,,,,0.494294,,,,,,,,,,,,,779b8504-7387-44bd-83b0-fd6f623fd5ac,67,,,"[63.4, 70.6]",3879651,1,,,,,2.5636907,,Right Foot,,,,"[56.5, 75.1]",Ground Pass,,8.237719,,,Elseid Hysaj,7031.0,,,,,,1,From Throw In,Allan Marques Loureiro,7035.0,Right Center Midfield,7,Napoli,227,"['576cfbeb-ec0a-43fe-9d45-cc20bd1ced9c', '6fb65bd4-9b9f-4281-9751-b4dd634b28ec']",14,,,,,,,,,,,,,,,,,Napoli,227,00:01:14.152,Pass,True
,,,,,,,,,,,,,,1.30001,,,,,,,,,,,,,50d3c3f8-7e5f-46f6-ab34-707d0bc9920d,71,,,"[56.4, 73.9]",3879651,1,,,,,-0.98279375,,Right Foot,,,,"[63.4, 63.4]",Ground Pass,,12.61943,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,From Throw In,Elseid Hysaj,7031.0,Right Back,7,Napoli,227,['1529a4e8-1aed-4858-b7c4-7740fb35d3f8'],16,,,,,,,,,,,,,,,,,Napoli,227,00:01:16.870,Pass,
,,,,,,,,,,,,,,1.007317,,,,,,,,,,,,,d0fb2339-ee37-4a4e-a76e-ba3b8932093b,73,,,"[63.4, 63.4]",3879651,1,,,,,-2.3403227,,Left Foot,,,,"[54.1, 53.8]",Ground Pass,,13.366002,,,Marek Hamšík,7025.0,,,,,,1,From Throw In,Gonzalo Gerardo Higuaín,5497.0,Center Forward,7,Napoli,227,['0e0428ed-2f98-4601-8f15-4cb002d99e0b'],18,,,,,,,,,,,,,,,,,Napoli,227,00:01:18.170,Pass,
,,,,,,,,,,,,,,0.795944,,,,,,,,,,,,,8445c205-975c-4dca-bd6d-5b476304e507,76,,,"[74.0, 21.0]",3879651,1,,,,,-0.5797892,,Left Foot,,,,"[85.3, 13.6]",Ground Pass,,13.507405,,,Lorenzo Insigne,7037.0,,,,,,1,From Throw In,Marek Hamšík,7025.0,Left Center Midfield,7,Napoli,227,['808a8849-ebdd-4d2b-a7f2-21809a4a2800'],24,,,,,,,,,,,,,,,,,Napoli,227,00:01:24.068,Pass,
,,,,,,,,,,,,,,0.894073,,,,,,,,,,,,,ccaf863f-33eb-430b-91a2-e14d93dc1f41,80,,,"[83.6, 14.6]",3879651,1,,,,,-2.913096,,Right Foot,,,,"[75.0, 12.6]",Ground Pass,,8.829496,,,Marek Hamšík,7025.0,,,,,,1,From Throw In,Lorenzo Insigne,7037.0,Left Wing,7,Napoli,227,"['2f742bf1-efc9-448a-a564-fcbebb45e0e9', '431043b2-da2b-447b-b561-297e56e23181']",24,,,,,,,,,,,,,,,,,Napoli,227,00:01:24.928,Pass,True
,,,,,,,,,,,,,,1.044123,,,,,,,,,,,,,7af3ed24-4870-4b56-a62c-d1be09c34c4b,84,,,"[77.1, 12.7]",3879651,1,,,,,2.2022498,,Right Foot,,,,"[67.3, 26.1]",Ground Pass,,16.601204,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,From Throw In,Marek Hamšík,7025.0,Left Center Midfield,7,Napoli,227,['22f18749-03f3-4c7b-9405-be276fd6e995'],26,,,,,,,,,,,,,,,,,Napoli,227,00:01:26.880,Pass,
,,,,,,,,,,,,,,2.688158,,,,,,,,,,,,,b56a279c-ef5e-4b16-85a1-ce6df34d6f6c,87,,,"[67.8, 26.6]",3879651,1,,,,,0.45862252,,Right Foot,,,,"[107.7, 46.3]",High Pass,,44.498314,Incomplete,,José María Callejón Bueno,7029.0,,,,,,1,From Throw In,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,7,Napoli,227,"['c9f86537-9fa5-407d-9651-26dfde102e92', 'cd1e91c8-9f35-42f0-9f56-038664cd8690']",29,,,,,,,,,,,,,,,,,Napoli,227,00:01:29.320,Pass,
,,,,,,,,,,,,,,1.044689,,,,,,,,,,,,,5cffa083-a6df-498d-abfb-be27b853ff69,90,,,"[21.6, 24.5]",3879651,1,,,,,0.8088314,,Left Foot,,,,"[34.1, 37.6]",High Pass,,18.106905,Incomplete,,Radja Nainggolan,6962.0,,,,,Recovery,1,From Throw In,Mohamed Salah,3531.0,Left Wing,7,Napoli,227,"['2ba4defe-0298-4643-b934-351a1a824077', '5aaf3f18-75d8-455d-b0e1-670270c3fd97']",33,,,,,,,,,,,,,,,,,AS Roma,229,00:01:33.699,Pass,
