50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.496762,,,,,,,,,,,,,,e28ab623-5ad4-4d69-88dc-edf4c5228f3a,54,,"[68.7, 13.9]",3879643,0,,,,-0.71654165,,Right Foot,,,,"[74.9, 8.5]",,Ground Pass,,8.221922,,,,Antonio Cassano,19850.0,,,,,,1,Regular Play,Roberto Soriano,6759.0,Center Attacking Midfield,5,Sampdoria,234,['38d1f474-8635-48ea-aeb6-8f61205703bf'],40,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:40.241,Pass,
,,,,,,,,,,,,,,,,0.960111,,,,,,,,,,,,,,68c4aede-b6a4-46ee-8165-a514c62f57b7,61,,"[76.3, 20.3]",3879643,0,,,,0.61377007,,Right Foot,,,,"[89.5, 29.6]",,Ground Pass,,16.147137,,Incomplete,,Eder Citadin Martins,7000.0,,,,,,1,Regular Play,Antonio Cassano,19850.0,Left Center Forward,5,Sampdoria,234,"['a4641131-b379-43da-b2db-f295c74ae1a0', 'ff71595f-e23a-4d62-8935-1f85fe74e482']",42,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:42.999,Pass,
,,,,,,,,,,,,,,,,3.040092,,,,,,,,,,,,,,895ed539-7cc4-418f-bf1a-98bf8173c993,71,,"[11.0, 45.7]",3879643,1,True,,,-0.5130801,,Right Foot,,,,"[59.1, 18.6]",,High Pass,,55.208878,,,,Lorenzo Pellegrini,6963.0,,,,,Free Kick,1,From Free Kick,Andrea Consigli,7132.0,Goalkeeper,6,Sassuolo,232,['45ad0e99-3a8a-49d6-b5dc-535d90d2905e'],14,,,,,,,,,,,,,,,,,,Sassuolo,232,00:01:14.492,Pass,
,,,,,,,,,,,,,,,,3.001022,,,,,,,,,,,,,,74a5f872-567d-4e45-b4f6-d259a0296f9e,74,,"[59.1, 18.6]",3879643,1,,,True,-0.5411436,,,,,,"[79.4, 6.4]",,Low Pass,,23.68396,,Incomplete,,Nicola Sansone,6859.0,,,,,,1,From Free Kick,Lorenzo Pellegrini,6963.0,Left Center Midfield,6,Sassuolo,232,"['3ea3f946-14cd-4241-962d-284d09a75199', '9303b492-23b9-4bc2-8540-972ee6f447bb', 'cc68324d-b9b0-4c22-a403-3a822f67923d']",17,,,,,,,,,,,,,,,,,,Sassuolo,232,00:01:17.532,Pass,True
,,,,,,,,,,,,,,,,1.11207,,,,,,,,,,,,,,9303b492-23b9-4bc2-8540-972ee6f447bb,76,,"[40.7, 73.7]",3879643,1,,,,0.4201967,,Right Foot,,,,"[50.1, 77.9]",,Ground Pass,,10.29563,,,,Lazaros Christodoulopoulos,15318.0,,,,,Recovery,1,Regular Play,Mattia Cassani,387417.0,Right Center Back,7,Sampdoria,234,"['51f02c07-6fe7-47ec-b93c-b09668358409', '74a5f872-567d-4e45-b4f6-d259a0296f9e']",20,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:20.533,Pass,
,,,,,,,,,,,,,,,,0.630252,,,,,,,,,,,,,,77e36377-f11d-4625-8fde-02fbb0624594,81,,"[49.7, 78.1]",3879643,1,,,,-1.996726,,Right Foot,,,,"[44.8, 67.3]",,Ground Pass,,11.859595,,,,Fernando Lucas Martins,16586.0,,,,,,1,Regular Play,Lazaros Christodoulopoulos,15318.0,Right Wing Back,7,Sampdoria,234,['fccb0993-caf9-42e1-9df3-339d7e7cdd5d'],22,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:22.129,Pass,
,,,,,,,,,,,,,,,,0.870815,,,,,,,,,,,,,,2a25cd04-4bc2-4915-a918-ef889b345f54,84,,"[44.3, 69.8]",3879643,1,,,,2.5812328,,Left Foot,,,,"[34.1, 76.2]",,Ground Pass,,12.0415945,,,,Mattia Cassani,387417.0,,,,,,1,Regular Play,Fernando Lucas Martins,16586.0,Right Defensive Midfield,7,Sampdoria,234,['fc489539-607b-497f-9a9e-e3b1800319f8'],23,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:23.767,Pass,
,,,,,,,,,,,,,,,,1.145137,,,,,,,,,,,,,,2dbc9e94-b258-4c85-8959-0f257c1c7a8e,87,,"[32.3, 75.6]",3879643,1,,,,-1.9582196,,Right Foot,,,,"[25.2, 58.2]",,Ground Pass,,18.792818,,,,Matías Agustín Silvestre,7019.0,,,,,,1,Regular Play,Mattia Cassani,387417.0,Right Center Back,7,Sampdoria,234,['2b197172-70a7-4729-a822-a81c69a3f951'],24,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:24.743,Pass,
,,,,,,,,,,,,,,,,2.328289,,,,,,,,,,,,,,9c850ce2-ce30-4207-953e-d424ee45c620,90,,"[20.4, 56.7]",3879643,1,,,,-2.1211026,,Right Foot,,,,"[7.7, 36.0]",,Ground Pass,,24.285387,,,,Emiliano Viviano,7018.0,,,,,,1,Regular Play,Matías Agustín Silvestre,7019.0,Center Back,7,Sampdoria,234,['018de188-43b2-49f9-b64d-f151f2b099d6'],26,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:26.982,Pass,
,,,,,,,,,,,,,,,,3.476375,,,,,,,,,,,,,,3c94e600-3be0-4fd7-8eca-85b93dce11e0,93,,"[13.3, 33.0]",3879643,1,,,,0.4570927,,Left Foot,,,,"[68.4, 60.1]",,High Pass,,61.403748,,Incomplete,,Lazaros Christodoulopoulos,15318.0,,,,,,1,Regular Play,Emiliano Viviano,7018.0,Goalkeeper,7,Sampdoria,234,"['6e00a782-c759-4b76-bf2e-e5358df12d12', 'f5036303-d948-4810-b5a3-26959f24f459']",31,,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:31.977,Pass,
,,,,,,,,,,,,,,,,2.274984,,,,,,,,,,,,,,6e00a782-c759-4b76-bf2e-e5358df12d12,96,,"[51.7, 20.0]",3879643,1,,,True,-0.9619905,,,,,,"[63.9, 2.5]",,Low Pass,,21.332838,,,,Nicola Sansone,6859.0,,,,,Recovery,1,Regular Play,Federico Peluso,7118.0,Left Back,8,Sassuolo,232,"['3c94e600-3be0-4fd7-8eca-85b93dce11e0', '7ada2bf9-a786-4b0c-b07a-98ac5d3c3fb0', 'f8eb2c3b-0d26-4f9f-b82d-b4f1a9c7de29']",35,,,,,,,,,,,,,,,,,,Sassuolo,232,00:01:35.454,Pass,True
,,,,,,,,,,,,,,,,1.103204,,,,,,,,,,,,,,17c51f21-d2a4-42c9-a249-8c1dd9e83630,102,,"[63.0, 13.2]",3879643,1,,,,1.0591376,,Right Foot,,,,"[70.3, 26.2]",,Ground Pass,,14.909393,,,,Karim Laribi,30941.0,,,,,Free Kick,1,From Free Kick,Simone Missiroli,7113.0,Center Defensive Midfield,9,Sassuolo,232,['7afbc69f-dd02-4f3a-9e0b-e2494d84e37c'],51,,,,,,,,,,,,,,,,,,Sassuolo,232,00:01:51.523,Pass,
,,,,,,,,,,,,,,,,0.716756,,,,,,,,,,,,,,d3b91b8c-b53a-441b-8217-0e22de914177,106,,"[68.4, 28.4]",3879643,1,,,,-0.38050637,,Right Foot,,,,"[75.4, 25.6]",,Ground Pass,,7.539231,,Incomplete,,Lorenzo Pellegrini,6963.0,,,,,,1,From Free Kick,Karim Laribi,30941.0,Right Center Midfield,9,Sassuolo,232,"['08397e6d-5c4b-4f4e-8c8d-dcb52b794783', '3ba7e2ae-ea6d-43a8-ae38-b614633f678e', '4cd527eb-4ace-443e-9a6d-f3788d90c255']",53,,,,,,,,,,,,,,,,,,Sassuolo,232,00:01:53.440,Pass,True
,,,,,,,,,,,,,,,,0.749391,,,,,,,,,,,,,,3d99b7c0-0c71-443a-8df5-c9d23f183303,111,,"[78.0, 20.0]",3879643,1,,,,-0.10965017,,Right Foot,,,,"[88.9, 18.8]",,Ground Pass,,10.965857,,,,Nicola Sansone,6859.0,,,,,,1,From Free Kick,Karim Laribi,30941.0,Right Center Midfield,9,Sassuolo,232,['c04bb580-83bd-4d20-be4f-9b4895847b31'],56,,,,,,,,,,,,,,,,,,Sassuolo,232,00:01:56.618,Pass,
,,,,,,,,,,,,,,,,3.568548,,,,,,,,,,,,,,4eb04439-7d35-4548-b17c-4e36f1062c73,115,,"[91.8, 15.2]",3879643,1,,,,0.18707246,,Left Foot,,,,"[119.8, 20.5]",,Ground Pass,,28.497192,,Out,,Karim Laribi,30941.0,,,,,,1,From Free Kick,Nicola Sansone,6859.0,Left Midfield,9,Sassuolo,232,"['4535c35e-c74b-443d-97a3-28f3c8c2c354', 'a15ece3f-e775-44e8-acb8-622eff9ff068']",59,,,,,,,,,,,,,,,,,,Sassuolo,232,00:01:59.224,Pass,True
,,,,,,,,,,,,,,,,2.92024,,,,,,,,,,,,,,31bde55d-970c-45b1-947d-e1c02a488137,117,,"[7.0, 44.1]",3879643,2,,,,-0.71294457,,Left Foot,,,,"[46.9, 9.6]",,High Pass,,52.74713,,,,Vasco Regini,7012.0,,,,,Goal Kick,1,From Goal Kick,Emiliano Viviano,7018.0,Goalkeeper,10,Sampdoria,234,['a248fb60-3da3-41a1-9cd8-d37e255433b3'],16,,,,,,,,,,,,,,,,,,Sampdoria,234,00:02:16.055,Pass,
