50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.81537,,,,,,,,,,,,1e52c2d4-c59a-4c9a-b8e8-f64acbfc1e23,45,,,"[113.3, 71.6]",3878603,0,,,,,-1.6348594,,Right Foot,True,,"[111.6, 45.1]",,Ground Pass,,26.554472,Incomplete,,Antonio Di Natale,19846.0,,,,,,,1,From Throw In,Emmanuel Agyemang-Badu,24722.0,Right Center Midfield,3,Udinese,230,"['71279f4e-e531-42a5-b7be-67afb08a7064', '786e6381-e216-4720-9c1c-39b129ba1315', 'c7026668-6333-4096-ba46-5d7c8ba45afc']",57,,,,,,,,,,,,,,,,,Udinese,230,00:00:57.065,Pass,True
,,,,,,,,,,,,,,,,1.012145,,,,,,,,,,,,d8bc3877-0a96-4939-8484-99567f02b19f,48,,,"[99.4, 80.0]",3878603,1,,,,,-1.1195962,,,,,"[104.1, 70.3]",,Low Pass,,10.778683,,,Duván Esteban Zapata Banguera,7017.0,,,,,,Throw-in,1,From Throw In,Edenílson Andrade dos Santos,25116.0,Right Wing Back,4,Udinese,230,['a0d6d4e4-7428-46bc-8ba0-c976d88ebfec'],11,,,,,,,,,,,,,,,,,Udinese,230,00:01:11.631,Pass,
,,,,,,,,,,,,,,,,1.972839,,,,,,,,,,,,525b59f4-ba62-44b3-9005-9e234b362884,51,,,"[104.8, 69.3]",3878603,1,,,,,0.5880026,,Right Foot,,,"[114.1, 75.5]",,Ground Pass,,11.177209,,,Edenílson Andrade dos Santos,25116.0,,,,,,,1,From Throw In,Duván Esteban Zapata Banguera,7017.0,Left Center Forward,4,Udinese,230,['1a653e49-9830-48e5-9d67-4bee9066f656'],12,,,,,,,,,,,,,,,,,Udinese,230,00:01:12.683,Pass,
,,,,,,,,,,,,,,,,2.212738,,,,,,,,,,,,450ce853-569a-469b-af56-6b99b4a4d431,54,,,"[114.7, 75.5]",3878603,1,,,,,-1.3480587,,Right Foot,,,"[120.0, 52.1]",,High Pass,,23.992706,Out,,,,,,,,,,1,From Throw In,Edenílson Andrade dos Santos,25116.0,Right Wing Back,4,Udinese,230,,14,,,,,,,,,,,,,,,,,Udinese,230,00:01:14.696,Pass,
,,,,,,,,,,,,,,,,4.299006,,,,,,,,,,,,120fccfd-f5e8-4294-9093-b09ea12ceceb,55,,,"[6.0, 44.0]",3878603,1,,,,,-0.3584584,,Right Foot,,,"[76.2, 17.7]",,High Pass,,74.96486,Incomplete,,Massimo Maccarone,40252.0,,,,,,Goal Kick,1,From Goal Kick,Łukasz Skorupski,11508.0,Goalkeeper,5,Empoli,290,"['b583f274-dd9e-4040-90fa-3fb0c4ac8e6b', 'd1648ff1-968a-40d5-b7af-f19d62ee1565']",45,,,,,,,,,,,,,,,,,Empoli,290,00:01:45.746,Pass,
,,,,,,,,,,,,,,,,2.595908,,,,,,,,,,,,d1648ff1-968a-40d5-b7af-f19d62ee1565,57,,,"[43.9, 62.4]",3878603,1,,,,,1.4170887,,Head,,,"[46.1, 76.6]",,Low Pass,,14.369412,,,Edenílson Andrade dos Santos,25116.0,,,,,,Recovery,1,From Goal Kick,Molla Wagué,3577.0,Right Center Back,5,Empoli,290,"['120fccfd-f5e8-4294-9093-b09ea12ceceb', '7d8df235-c83d-4392-801f-81f80ec7960a']",50,,,,,,,,,,,,,,,,,Udinese,230,00:01:50.045,Pass,
,,,,,,,,,,,,,,,,2.82681,,,,,,,,,,,,19e28464-88d6-4c92-adcb-7b181c286b6d,60,,,"[44.4, 75.5]",3878603,1,,,,,-0.5423027,,Right Foot,,,"[75.6, 56.7]",,High Pass,,36.426365,Incomplete,,Duván Esteban Zapata Banguera,7017.0,,,,,,,1,From Goal Kick,Edenílson Andrade dos Santos,25116.0,Right Wing Back,5,Empoli,290,"['14dc31f2-8ca2-4a3a-b433-18e734f257d6', 'fc7a9d84-289f-4e48-aa99-7e2b38238b28']",52,,,,,,,,,,,,,,,,,Udinese,230,00:01:52.923,Pass,
,,,,,,,,,,,,,,,,1.491559,,,,,,,,,,,,fc7a9d84-289f-4e48-aa99-7e2b38238b28,62,,,"[44.5, 23.4]",3878603,1,,,,,-1.3229848,,Head,,,"[46.6, 15.1]",,High Pass,,8.561542,,,Assane Dioussé El Hadji,3412.0,,,,,,Recovery,1,From Goal Kick,Lorenzo Tonelli,7160.0,Right Center Back,5,Empoli,290,"['19e28464-88d6-4c92-adcb-7b181c286b6d', '45f4577b-e6e5-405f-a957-9184484c5b21']",55,,,,,,,,,,,,,,,,,Empoli,290,00:01:55.750,Pass,
,,,,,,,,,,,,,,,,1.284696,,,,,,,,,,,,d69aa121-c529-44c2-b5f5-9017ac71b83e,65,,,"[47.0, 15.1]",3878603,1,,,,,-1.9124118,,Left Foot,,,"[43.8, 6.1]",,Ground Pass,,9.551963,Incomplete,,Mário Rui Silva Duarte,7151.0,,,,,,,1,From Goal Kick,Assane Dioussé El Hadji,3412.0,Center Defensive Midfield,5,Empoli,290,"['b78552e3-ea64-4f7e-94d7-0a8780515abc', 'f334cc2e-c208-4fd1-a3a2-586ba09cdc21']",57,,,,,,,,,,,,,,,,,Empoli,290,00:01:57.458,Pass,
,,,,,,,,,,,,,,,,0.610442,,,,,,,,,,,,f334cc2e-c208-4fd1-a3a2-586ba09cdc21,67,,,"[76.3, 74.0]",3878603,1,,,,,-1.0705159,,Right Foot,,,"[84.5, 59.0]",,Ground Pass,,17.095028,,,Duván Esteban Zapata Banguera,7017.0,,,,,,Recovery,1,Regular Play,Emmanuel Agyemang-Badu,24722.0,Right Center Midfield,6,Udinese,230,"['3e8c61e3-a828-4e31-92f3-8c6c2b0c154b', 'd69aa121-c529-44c2-b5f5-9017ac71b83e']",58,,,,,,,,,,,,,,,,,Udinese,230,00:01:58.742,Pass,
