50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.849412,,,,,,,,,,,,,a2b40004-f276-4578-93b9-4e983b515f41,59,,"[33.8, 12.1]",3878554,1,,,,-0.3685595,,Right Foot,,,"[48.3, 6.5]",,Low Pass,,15.543809,,,,Luca Toni,20252.0,,,,,,1,From Throw In,Samuel Souprayen,7695.0,Left Back,5,Hellas Verona,226,['5218a609-bb72-4d4b-8a23-7a96cc40342b'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:00.908,Pass,
,,,,,,,,,,,,,,,,1.105216,,,,,,,,,,,,,73ecdb37-bd4a-4e80-b88d-a8f10c80a862,63,,"[48.3, 6.8]",3878554,1,,,,-2.9746225,,Other,,,"[39.4, 5.3]",,Low Pass,,9.025519,,,,Juan Ignacio Gómez Taleb,386651.0,,,,,,1,From Throw In,Luca Toni,20252.0,Center Forward,5,Hellas Verona,226,"['3861f5b0-776f-48e7-a2dd-c4c9cd540454', '9618fcd1-a3eb-4045-a765-f849f4ee2314']",1,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:01.776,Pass,True
,,,,,,,,,,,,,,,,0.732264,,,,,,,,,,,,,4fee5f25-b1d9-4aa5-9c74-15b83bcbf2d0,67,,"[41.9, 4.8]",3878554,1,,,,3.0954716,,Right Foot,,,"[35.4, 5.1]",,Ground Pass,,6.5069194,,,,Samuel Souprayen,7695.0,,,,,,1,From Throw In,Juan Ignacio Gómez Taleb,386651.0,Left Wing,5,Hellas Verona,226,['c05c2dc6-4108-4648-8f4f-60d9e5acd028'],5,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:05.656,Pass,
,,,,,,,,,,,,,,,,4.532648,,,,,,,,,,,,,99d3cf53-c074-4c65-9c66-2798a626d4c7,70,,"[44.6, 3.3]",3878554,1,,,,0.6403565,,Left Foot,,,"[105.8, 48.9]",,High Pass,,76.32038,,Incomplete,,Boško Janković,26442.0,,True,,,,1,From Throw In,Samuel Souprayen,7695.0,Left Back,5,Hellas Verona,226,"['3543fb02-fcad-4f51-b700-0115c5602a70', 'b15874c8-03a4-424a-956d-57060fdc3e7c']",9,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:09.792,Pass,
,,,,,,,,,,,,,,,,2.033921,,,,,,,,,,,,,20d21a9c-f36a-4ea8-abf6-cc26566d41f1,74,,"[17.7, 33.2]",3878554,1,,,,-1.0125896,,Keeper Arm,,,"[32.0, 10.3]",,Ground Pass,,26.998148,,,,Diego Sebastián Laxalt Suárez,5717.0,,,,,,1,From Keeper,Eugenio Lamanna,38312.0,Goalkeeper,6,Genoa,233,['67f19180-ea3d-45ed-936a-72749856d89f'],17,,,,,,,,,,,,,,,,,,Genoa,233,00:01:17.659,Pass,
,,,,,,,,,,,,,,,,0.923571,,,,,,,,,,,,,c8f74444-5dd3-41eb-9c07-933eca46658d,77,,"[33.4, 9.6]",3878554,1,,,,2.320811,,Left Foot,,,"[22.5, 21.3]",,Ground Pass,,15.9906225,,,,Armando Izzo,9940.0,,,,,,1,From Keeper,Diego Sebastián Laxalt Suárez,5717.0,Left Wing Back,6,Genoa,233,['e39bb4c2-3b30-45dd-8e79-ad465a518c9c'],21,,,,,,,,,,,,,,,,,,Genoa,233,00:01:21.017,Pass,
,,,,,,,,,,,,,,,,0.830505,,,,,,,,,,,,,76b6903e-d305-433d-be51-03ed748ab6c0,80,,"[23.0, 21.4]",3878554,1,,,,0.56744,,Right Foot,,,"[32.1, 27.2]",,Ground Pass,,10.7912,,,,Alberto Facundo Costa,26728.0,,,,,,1,From Keeper,Armando Izzo,9940.0,Left Center Back,6,Genoa,233,['a9be857d-619b-4755-8287-cf0cbafa9fb5'],23,,,,,,,,,,,,,,,,,,Genoa,233,00:01:23.181,Pass,
,,,,,,,,,,,,,,,,1.193523,,,,,,,,,,,,,8f29c592-c09f-4139-9dd8-4df81b871a3c,83,,"[33.6, 25.9]",3878554,1,,,,-2.3167412,,Left Foot,,,"[26.3, 18.0]",,Ground Pass,,10.756393,,,,Armando Izzo,9940.0,,,,,,1,From Keeper,Alberto Facundo Costa,26728.0,Center Defensive Midfield,6,Genoa,233,['20fa3391-a53b-46a4-8b99-e94645068c7a'],24,,,,,,,,,,,,,,,,,,Genoa,233,00:01:24.195,Pass,
,,,,,,,,,,,,,,,,0.841095,,,,,,,,,,,,,74e2f2b3-1ee1-4637-9ccf-c37179f1458c,86,,"[27.4, 11.8]",3878554,1,,,,-0.8390053,,Right Foot,,,"[37.1, 1.0]",,Ground Pass,,14.516542,,,,Diego Sebastián Laxalt Suárez,5717.0,,,,,,1,From Keeper,Armando Izzo,9940.0,Left Center Back,6,Genoa,233,['6039cbab-a472-4d50-a9df-30e2ba424b05'],26,,,,,,,,,,,,,,,,,,Genoa,233,00:01:26.368,Pass,
,,,,,,,,,,,,,,,,1.324527,,,,,,,,,,,,,498e968b-2dc9-4bdf-a194-ea814f12cc29,89,,"[36.3, 1.0]",3878554,1,,,,0.038869303,,Left Foot,,,"[54.3, 1.7]",,Ground Pass,,18.013605,,,,Goran Pandev,7146.0,,,,,,1,From Keeper,Diego Sebastián Laxalt Suárez,5717.0,Left Wing Back,6,Genoa,233,['1bc2bd58-91ac-49b9-b43f-70b5be791484'],27,,,,,,,,,,,,,,,,,,Genoa,233,00:01:27.948,Pass,
