50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,3.453767,,,,,,,,,,,,,,,54211a2c-5331-40a6-9334-26df08d98ee9,53,,,"[51.4, 19.2]",3879784,0,,,,,-0.3453501,,Right Foot,,,,"[103.1, 0.6]",,Low Pass,,54.94406,,,Out,,Diego Sebastián Laxalt Suárez,5717.0,,,,,,,1,From Keeper,Sebastian De Maio,7176.0,Left Center Back,3,Genoa,233,['ea1193c6-34ab-4fdd-82c5-61a7b039d237'],49,,,,,,,,,,,,,,,Genoa,233,00:00:49.303,Pass,
,,,,,,,,,,,,,,,,,,2.336799,,,,,,,,,,,,,,,71df185a-fda7-443c-b2a6-1c8ef520e5f3,55,,,"[27.6, 80.0]",3879784,1,,,,,-2.8168747,,,,,,"[7.4, 73.2]",,Low Pass,,21.313845,,,,,Nikola Maksimović,16202.0,,,,,,Throw-in,1,From Throw In,Bruno da Silva Peres,6965.0,Right Wing Back,4,Torino,241,['31762ea0-b603-4d3d-ac25-69f1f71db6d2'],3,,,,,,,,,,,,,,,Torino,241,00:01:03.371,Pass,
,,,,,,,,,,,,,,,,,,2.858921,,,,,,,,,,,,,,,7fbc832f-ca59-4ad1-a3bc-3f2df74cfb3d,59,,,"[7.4, 73.4]",3879784,1,,,,,-0.5434384,,Right Foot,,,,"[46.3, 49.9]",,High Pass,,45.44733,,,,,Andrea Belotti,7471.0,,,,,,,1,From Throw In,Nikola Maksimović,16202.0,Right Center Back,4,Torino,241,"['25249a27-c105-44e7-bee7-38d7b9cd46c9', '947d9a45-5dcf-4ae5-9fe2-7a22d5e77e87']",6,,,,,,,,,,,,,,,Torino,241,00:01:06.552,Pass,True
,,,,,,,,,,,,,,,,,,0.658058,,,,,,,,,,,,,,,ad22dda0-cb02-4897-88c8-a059b900e4e1,62,,,"[46.3, 49.9]",3879784,1,,,,True,-1.9100889,,,,,,"[42.7, 39.7]",,Low Pass,,10.816654,,,,,Marco Benassi,7149.0,,,,,,,1,From Throw In,Andrea Belotti,7471.0,Right Center Forward,4,Torino,241,"['8572b37c-f82c-4dda-b2f9-91b9893e921f', 'a79b9320-3b76-4c47-b895-f437599abe10']",9,,,,,,,,,,,,,,,Torino,241,00:01:09.411,Pass,True
,,,,,,,,,,,,,,,,,,3.097142,,,,,,,,,,,,,,,4cd3fcb5-03a2-474b-84a3-254b98273f03,65,,,"[42.7, 39.7]",3879784,1,,,,,2.1279826,,Right Foot,,,,"[30.8, 58.8]",,High Pass,,22.503777,,,Incomplete,,Bruno da Silva Peres,6965.0,,,,,,,1,From Throw In,Marco Benassi,7149.0,Left Center Midfield,4,Torino,241,"['9f44df3e-f197-4caf-a61d-d4c8889485d5', 'e9559527-e75c-438d-8258-3f20fd8a183e']",10,,,,,,,,,,,,,,,Torino,241,00:01:10.109,Pass,
,,,,,,,,,,,,,,,,,,0.466017,,,,,,,,,,,,,,,f8c06e4e-ac8f-42b2-ae84-e8488b802527,70,,,"[89.3, 18.9]",3879784,1,,,,,1.5291537,d9968fc9-7c78-4b67-b49b-6083e8067714,Right Foot,,,,"[89.5, 23.7]",,Ground Pass,,4.804165,,,,,Goran Pandev,7146.0,True,,,,,,1,Regular Play,Diego Sebastián Laxalt Suárez,5717.0,Left Wing,5,Genoa,233,"['33f07a1a-7053-46a1-afe8-c6037d41cf43', 'fb6f8e6d-222a-49fb-a183-f1fde0387ff3']",13,,,,,,,,,,,,,,,Genoa,233,00:01:13.834,Pass,True
,,,,,,,,,,,,,,,,,,1.689713,,,,,,,,,,,,,,,97a7aac8-ac45-40b8-b501-0c053d0a49b4,79,,,"[6.0, 36.0]",3879784,1,,,,,1.5518591,,Left Foot,,,,"[6.5, 62.4]",,Ground Pass,,26.404734,,,,,Nikola Maksimović,16202.0,,,,,,Goal Kick,1,From Goal Kick,Daniele Padelli,34881.0,Goalkeeper,6,Torino,241,['445ac869-c06e-41fe-94e1-a04f92f89b67'],37,,,,,,,,,,,,,,,Torino,241,00:01:37.093,Pass,
,,,,,,,,,,,,,,,,,,3.73868,,,,,,,,,,,,,,,9252863f-4fdc-4f0f-93b4-9a327887be78,82,,,"[7.4, 62.4]",3879784,1,,,,,0.091101125,,Right Foot,,,,"[68.7, 68.0]",,High Pass,,61.55526,,,Incomplete,,Ciro Immobile,7788.0,,,,,,,1,From Goal Kick,Nikola Maksimović,16202.0,Right Center Back,6,Torino,241,"['00eca2f1-c681-4f99-9e40-4f0b90f5cead', '6781c617-9b99-48a5-94dd-be48d41dd782']",41,,,,,,,,,,,,,,,Torino,241,00:01:41.053,Pass,
,,,,,,,,,,,,,,,,,,0.108567,,,,,,,,,,,,,,,00eca2f1-c681-4f99-9e40-4f0b90f5cead,84,,,"[51.4, 12.1]",3879784,1,,,,,-0.23374318,,Left Foot,,,,"[55.6, 11.1]",,Low Pass,,4.3174067,,,Incomplete,,Goran Pandev,7146.0,,,,,,Recovery,1,From Goal Kick,Nicolás Andrés Burdisso,7467.0,Center Back,6,Torino,241,"['13879770-f198-417f-a6bc-c1110d461f63', '9252863f-4fdc-4f0f-93b4-9a327887be78', 'f09b7bb0-7085-469d-b174-6ac6e631539a']",44,,,,,,,,,,,,,,,Genoa,233,00:01:44.792,Pass,
,,,,,,,,,,,,,,,,,,1.859899,,,,,,,,,,,,,,,f6a6baf0-8b31-4568-b92b-1d15c0290fe9,87,,,"[61.2, 0.1]",3879784,2,,,,,0.573919,,,,,,"[82.7, 14.0]",,High Pass,,25.601954,,,Incomplete,,Goran Pandev,7146.0,,,,,,Throw-in,1,From Throw In,Sebastian De Maio,7176.0,Left Center Back,7,Genoa,233,"['c9e57f8f-85f9-4c61-ba13-6b8149df9ab6', 'e09c357e-9c4b-430c-a640-dee103fa0876']",4,,,,,,,,,,,,,,,Genoa,233,00:02:04.391,Pass,
,,,,,,,,,,,,,,,,,,2.20373,,,,,,,,,,,,,,,c9e57f8f-85f9-4c61-ba13-6b8149df9ab6,90,,,"[37.4, 66.1]",3879784,2,,,,True,-1.8313987,,,,,,"[33.0, 49.6]",,Low Pass,,17.076591,,,,,Emiliano Moretti,7476.0,,,,,,Recovery,1,Regular Play,Nikola Maksimović,16202.0,Right Center Back,8,Torino,241,"['11784098-b48c-4a21-a360-90cfb5a3605a', 'ad012a2f-8041-4b6a-bbcb-00537bdce1cf', 'f6a6baf0-8b31-4568-b92b-1d15c0290fe9']",6,,,,,,,,,,,,,,,Torino,241,00:02:06.251,Pass,True
,,,,,,,,,,,,,,,,,,1.801672,,,,,,,,,,,,,,,99e0a6e2-e9c7-4c07-b4df-e8bf3ac1616a,93,,,"[47.6, 28.1]",3879784,2,,,,,-1.1611502,,Left Foot,,,,"[57.5, 5.3]",,Ground Pass,,24.856588,,,,,Cristian Molinaro,7479.0,,,,,,,1,Regular Play,Emiliano Moretti,7476.0,Left Center Back,8,Torino,241,['a2bbace1-2e86-4bc2-9706-f8a028fde9f1'],12,,,,,,,,,,,,,,,Torino,241,00:02:12.217,Pass,
