50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.635916,,,,,,,,,,,,,e9b5aaef-1879-472e-9af2-5f8a692830a2,64,,"[42.9, 45.7]",3879836,1,,,,2.9356012,,Right Foot,,,"[36.2, 47.1]",Ground Pass,,6.844706,,,,Jonathan de Guzmán,8675.0,,,,,1,Regular Play,Jerry Uche Mbakogu,32608.0,Center Forward,4,Carpi,1683,['2d2b0aaf-511a-4b9a-8d63-7338d03b6b62'],1,,,,,,,,,,,,,,,,,,Carpi,1683,00:01:01.996,Pass,
,,,,,,,,,,,,,,,,,,4.266993,,,,,,,,,,,,,54595da5-7cfd-4476-9823-c54847fc8238,70,,"[36.1, 51.3]",3879836,1,True,,,0.29682496,,Right Foot,,,"[90.7, 68.0]",Low Pass,,57.096848,,Incomplete,,Marco Crimi,31273.0,,,,Free Kick,1,From Free Kick,Isaac Cofie,7460.0,Center Defensive Midfield,5,Carpi,1683,"['ce44b6d7-4e69-48b4-8b95-02159166e05b', 'df0d27fd-b6e3-4eff-a03d-cb1582c2a661']",14,,,,,,,,,,,,,,,,,,Carpi,1683,00:01:14.862,Pass,
,,,,,,,,,,,,,,,,,,0.955982,,,,,,,,,,,,,0f243da5-acd9-4e04-900d-bc5c078a3ac5,75,,"[29.8, 7.2]",3879836,1,,,,0.7544802,,Left Foot,,,"[34.8, 11.9]",Ground Pass,,6.8622155,,,,Giacomo Bonaventura,7026.0,,,,,1,Regular Play,Alessio Romagnoli,7458.0,Left Center Back,6,AC Milan,243,"['59bbe5a7-cb9e-47ff-9518-7aaffe14c76c', 'd6222c1b-1ffe-48df-a87c-70d764b72afe']",20,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:20.845,Pass,True
,,,,,,,,,,,,,,,,,,1.136574,,,,,,,,,,,,,26cf9546-d8ee-43a0-abb6-a050b81871b3,78,,"[38.3, 13.1]",3879836,1,,,,1.9924839,,Right Foot,,,"[33.5, 23.8]",Ground Pass,,11.727319,,,,Riccardo Montolivo,7166.0,,,,,1,Regular Play,Giacomo Bonaventura,7026.0,Left Center Midfield,6,AC Milan,243,['bb887a03-b4d2-4b31-8f9a-7ea2c349f91c'],23,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:23.129,Pass,
,,,,,,,,,,,,,,,,,,1.497223,,,,,,,,,,,,,6bd000ce-fb7e-44f5-82a9-d5c880b3e00a,81,,"[33.6, 24.1]",3879836,1,,,,1.3529954,,Left Foot,,,"[39.0, 48.5]",Ground Pass,,24.990398,,,,Andrea Poli,7168.0,,,,,1,Regular Play,Riccardo Montolivo,7166.0,Center Defensive Midfield,6,AC Milan,243,['84c68570-5500-45f5-b979-dc41debebe5e'],24,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:24.788,Pass,
,,,,,,,,,,,,,,,,,,1.568023,,,,,,,,,,,,,edd9a22b-4ab8-479b-bc9b-e35f6c1a8b09,85,,"[38.3, 48.8]",3879836,1,,,,1.1783355,,Right Foot,,,"[48.4, 73.2]",Ground Pass,,26.407764,,,,Ignazio Abate,7463.0,,,,,1,Regular Play,Andrea Poli,7168.0,Right Center Midfield,6,AC Milan,243,"['1782873f-4191-4be1-a377-ec41d22bfb01', '2e4b0462-b0f2-4b22-86fc-063c824f1c15']",27,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:27.238,Pass,True
,,,,,,,,,,,,,,,,,,0.988325,,,,,,,,,,,,,40faa7a2-ddda-49db-b77c-da2b56d957ff,88,,"[88.5, 65.8]",3879836,1,,,,1.1427069,,Right Foot,,,"[93.2, 76.1]",Ground Pass,,11.321661,,,,Kevin-Prince Boateng,8668.0,,,,,1,Regular Play,Ignazio Abate,7463.0,Right Back,6,AC Milan,243,['89da4b4d-553f-48b4-b01f-55f63ec7a818'],35,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:35.534,Pass,
,,,,,,,,,,,,,,,,,,1.567566,,,,,,,,,,,,,db67f43f-873e-4603-a587-385b146a781d,91,,"[89.1, 75.3]",3879836,1,,,,-2.7815332,,Right Foot,,,"[72.1, 68.9]",Ground Pass,,18.1648,,,,Andrea Poli,7168.0,,,,,1,Regular Play,Kevin-Prince Boateng,8668.0,Center Attacking Midfield,6,AC Milan,243,['14d45a4d-c267-44ca-9b3a-27a26d68dd39'],37,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:37.481,Pass,
,,,,,,,,,,,,,,,,,,1.237522,,,,,,,,,,,,,b2d9fb51-b112-4eb4-bc76-db5d0ee224cf,94,,"[72.1, 68.6]",3879836,1,,,,-1.8925469,,Right Foot,,,"[68.1, 56.6]",Ground Pass,,12.649111,,,,Riccardo Montolivo,7166.0,,,,,1,Regular Play,Andrea Poli,7168.0,Right Center Midfield,6,AC Milan,243,['d4e59180-9224-45b5-93c9-2c29cb91df63'],39,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:39.697,Pass,
,,,,,,,,,,,,,,,,,,2.604561,,,,,,,,,,,,,ab271914-f3e1-4d3c-bf97-1ae04413d5bd,97,,"[65.4, 56.6]",3879836,1,,,,3.1240506,,Right Foot,,,"[36.9, 57.1]",Ground Pass,,28.504385,,,,Alessio Romagnoli,7458.0,,,,,1,Regular Play,Riccardo Montolivo,7166.0,Center Defensive Midfield,6,AC Milan,243,['33aad8d6-2dfb-4f8f-8355-a5191984e33a'],41,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:41.942,Pass,
