50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.446282,,,,,,,,,,,,48deac60-dcf0-42ab-990d-9199e1278527,3076,,"[6.6, 0.1]",3879867,78,,True,,,0.5467888,,,,,,"[13.5, 4.3]",,Low Pass,,8.077747,,,Robert Gucher,30911.0,,,,,Throw-in,2,From Throw In,Roberto Crivello,296873.0,Left Back,166,Frosinone,291,['97082539-5df5-4581-b72d-622764ee236a'],48,,,,,,,,,,,,,,,,Frosinone,291,00:33:48.444,Pass,
,,,,,,,,,,,,,,,,,,0.338213,,,,,,,,,,,,05a2aac5-b015-40f0-b360-ee6c1245e88c,3078,,"[19.9, 7.6]",3879867,78,,True,,,-2.3737366,,Right Foot,,,,"[14.1, 2.0]",,Ground Pass,,8.062258,,,Roberto Crivello,296873.0,,,,,,2,From Throw In,Robert Gucher,30911.0,Left Defensive Midfield,166,Frosinone,291,['1f526b37-1ac3-4096-a86e-d732d756e0a8'],49,,,,,,,,,,,,,,,,Frosinone,291,00:33:49.268,Pass,
,,,,,,,,,,,,,,,,,,1.430467,,,,,,,,,,,,6e929aa2-0be7-41fa-9a6f-6739a7996dfc,3080,,"[14.5, 1.4]",3879867,78,,,,,0.453844,,Left Foot,,,,"[26.8, 7.4]",,Ground Pass,,13.685393,Incomplete,,Danilo Soddimo,11608.0,,,,,,2,From Throw In,Roberto Crivello,296873.0,Left Back,166,Frosinone,291,"['29898ace-c5c9-4840-9bad-b846d611017b', '68ad036e-80c6-4fee-9309-098f7ce22c24']",52,,,,,,,,,,,,,,,,Frosinone,291,00:33:52.012,Pass,
,,,,,,,,,,,,True,,,,,,1.282766,,,,,,,,,,,,68ad036e-80c6-4fee-9309-098f7ce22c24,3082,,"[93.3, 72.7]",3879867,78,,,,,-2.3737366,,Right Foot,,,,"[87.5, 67.1]",,Ground Pass,,8.062258,,,Jorge Luiz Frello Filho,7024.0,,,,,Interception,2,Regular Play,Lorenzo Insigne,7037.0,Right Wing,167,Napoli,227,"['14d1c6a1-9fee-458b-a8b6-4f1605cfcc27', '6e929aa2-0be7-41fa-9a6f-6739a7996dfc']",53,,,,,,,,,,,,,,,,Napoli,227,00:33:53.442,Pass,
,,,,,,,,,,,,,,,,,,1.024524,,,,,,,,,,,,9d264752-3371-465a-8ff7-c5a30bb61332,3085,,"[87.5, 67.1]",3879867,78,,,,,-1.2615229,,Right Foot,,,,"[92.9, 50.2]",,Ground Pass,,17.741758,,,Dries Mertens,5630.0,,,,,,2,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,167,Napoli,227,['9e8e3e4d-968f-418d-94e8-43a001c51c6f'],55,,,,,,,,,,,,,,,,Napoli,227,00:33:55.239,Pass,
,,,,,,,,,,,,,,,,,,1.735338,,,,,,,,,,,,3281695f-a464-49c2-ba70-85037e080df7,3087,,"[92.7, 50.2]",3879867,78,,,,,2.7468016,,Right Foot,,,,"[84.3, 53.7]",,Ground Pass,,9.1,,,Marek Hamšík,7025.0,,,,,,2,Regular Play,Dries Mertens,5630.0,Left Wing,167,Napoli,227,['ffb68297-1745-47a9-8e18-f5d946b081c4'],56,,,,,,,,,,,,,,,,Napoli,227,00:33:56.263,Pass,
,,,,,,,,,,,,,,,,,,0.770496,,,,,,,,,,,,5dbdf3c9-5d1a-4f83-9baf-5157c87fb5c9,3090,,"[84.3, 53.7]",3879867,78,,,,,1.1830262,,Right Foot,,,,"[87.2, 60.8]",,Ground Pass,,7.66942,,,Lorenzo Insigne,7037.0,,,,,,2,Regular Play,Marek Hamšík,7025.0,Left Center Midfield,167,Napoli,227,['b8f89607-898e-4317-bb0d-e125843e1596'],58,,,,,,,,,,,,,,,,Napoli,227,00:33:58.204,Pass,
,,,,,,,,,,,,,,,,,,0.698389,,,,,,,,,,,,0aa70cce-c642-408f-b0e2-17041de5a7a3,3092,,"[87.2, 60.8]",3879867,78,,,,,2.508844,,Right Foot,,,,"[82.7, 64.1]",,Ground Pass,,5.5803227,,,Jorge Luiz Frello Filho,7024.0,,,,,,2,Regular Play,Lorenzo Insigne,7037.0,Right Wing,167,Napoli,227,['fbb475f9-520a-4673-9f9b-3183d1519051'],58,,,,,,,,,,,,,,,,Napoli,227,00:33:58.974,Pass,
,,,,,,,,,,,,,,,,,,1.63899,,,,,,,,,,,,433833ab-6a95-436d-9303-50734941cad2,3095,,"[82.7, 64.1]",3879867,79,,,,,0.38970858,,Right Foot,,,,"[105.1, 73.3]",,High Pass,,24.215698,,,Allan Marques Loureiro,7035.0,,,,,,2,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,167,Napoli,227,['1cca35e8-3858-42f0-8d5c-237aee393fcb'],0,,,,,,,,,,,,,,,,Napoli,227,00:34:00.987,Pass,
,,,,,,,,,,,,,,,,,,0.053914,,,,,,,,,,,,73358b78-cd4f-4b77-a8ba-bf92850486b3,3098,,"[111.4, 70.2]",3879867,79,,,,,-1.5707964,,Right Foot,,,,"[111.4, 64.4]",,Low Pass,,5.8,Incomplete,,Dries Mertens,5630.0,,,,,,2,Regular Play,Allan Marques Loureiro,7035.0,Right Center Midfield,167,Napoli,227,"['0d46c43f-e9c9-4b03-a539-a4693852a46b', 'ffeedac2-fe06-4157-a994-b5ab1a9cceac']",4,,,,,,,,,,,,,,,,Napoli,227,00:34:04.958,Pass,
