50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.363856,,,,,,,,,,,,,,,,,b20d8d4f-260d-4cb7-9cdc-fde42eb664ad,1474,,,"[55.4, 80.0]",3879782,45,,,,,-2.4683974,,,,,"[47.5, 73.7]",,Low Pass,,10.104454,,,,Vasyl Pryyma,398941.0,,,,,Throw-in,1,From Throw In,Mirko Gori,20636.0,Center Defensive Midfield,99,Frosinone,291,['7eff8fb2-50f5-480a-a025-9de87fb40bab'],13,,,,,,,,,,,,,,,,,,Frosinone,291,00:45:13.419,Pass,
,,,,,,,,,,,,,,,,,,0.802392,,,,,,,,,,,,,,,,,0741511a-6d1a-45f7-901c-13177efdd158,1477,,,"[49.0, 73.5]",3879782,45,,,,,0.45799795,,Right Foot,,,"[56.1, 77.0]",,Ground Pass,,7.915807,,,,Mirko Gori,20636.0,,,,,,1,From Throw In,Vasyl Pryyma,398941.0,Left Center Back,99,Frosinone,291,['9cc89ecb-9330-4b5e-94d9-09d62271b581'],15,,,,,,,,,,,,,,,,,,Frosinone,291,00:45:15.956,Pass,
,,,,,,,,,,,,,,,,,,1.816151,,,,,,,,,,,,,,,,,0adf159c-a55c-4a39-8f0a-f5212ad5f1b0,1481,,,"[57.6, 77.8]",3879782,45,,,,,-0.5633163,,Right Foot,,,"[91.8, 56.2]",,High Pass,,40.44997,,,,Daniel Ciofani,13613.0,,,,,,1,From Throw In,Mirko Gori,20636.0,Center Defensive Midfield,99,Frosinone,291,['37167f3b-c36e-45b3-a957-7b1a017a35b1'],18,,,,,,,,,,,,,,,,,,Frosinone,291,00:45:18.322,Pass,
,,,,,,,,,,,,,,,,,,4.74376,,,,,,,,,,,,,,,,,5b636d88-526f-4bf9-87cb-bf13f74e1cac,1484,,,"[88.6, 57.7]",3879782,45,,,,,0.60626906,,Right Foot,,,"[117.3, 77.6]",,High Pass,,34.924202,,,,Oliver Kragl,8793.0,,,,,,1,From Throw In,Daniel Ciofani,13613.0,Center Forward,99,Frosinone,291,"['35708cf8-7059-4fe1-8d7b-22da0f14ee81', 'bc111ece-fb9e-4d5a-832c-26315488b473']",20,,,,,,,,,,,,,,,,,,Frosinone,291,00:45:20.138,Pass,True
,,,,,,,,,,,,,,,,,,1.897488,,,,,,,,,,,,,,,,,a34293bb-603c-4f24-823d-a6dea5ba92b9,1491,,,"[6.9, 6.4]",3879782,45,,,,,0.57049465,,Right Foot,,,"[30.9, 21.8]",,Low Pass,,28.51596,,,,Raffaele Bianco,352172.0,,,,,,1,Regular Play,Gaetano Letizia,7114.0,Left Back,100,Carpi,1683,['bfa9748b-5f0b-4ae1-b9b0-197b68b0ce8d'],28,,,,,,,,,,,,,,,,,,Carpi,1683,00:45:28.454,Pass,
,,,,,,,,,,,,,,,,,,1.929046,,,,,,,,,,,,,,,,,3143b9d4-c048-45d3-a972-1e577705b549,1494,,,"[33.6, 24.3]",3879782,45,,,,,1.4469883,,Right Foot,,,"[36.4, 46.8]",,Ground Pass,,22.673553,,,,Lorenzo Pasciuti,387472.0,,,,,,1,Regular Play,Raffaele Bianco,352172.0,Left Defensive Midfield,100,Carpi,1683,['6ca0d6d1-3a91-4f22-8f3c-d6811950d159'],31,,,,,,,,,,,,,,,,,,Carpi,1683,00:45:31.422,Pass,
,,,,,,,,,,,,,,,,,,2.60735,,,,,,,,,,,,,,,,,2817547a-c657-42f7-828e-be04e4cfcbd1,1497,,,"[46.7, 55.8]",3879782,45,,,,,-0.13927926,,Right Foot,,,"[89.5, 49.8]",,High Pass,,43.218513,,Incomplete,,Matteo Mancosu,15415.0,,,,,,1,Regular Play,Lorenzo Pasciuti,387472.0,Right Midfield,100,Carpi,1683,"['339291f4-4971-4c9c-814b-1c0adb422d04', '7dc4c795-1160-4bff-b580-f5b3dd567e6e']",34,,,,,,,,,,,,,,,,,,Carpi,1683,00:45:34.947,Pass,
,,,,,,,,,,,,,,,,,,1.352924,,,,,,,,,,,,,,,,,7dc4c795-1160-4bff-b580-f5b3dd567e6e,1499,,,"[30.6, 30.3]",3879782,45,,,,,-0.1308274,,Head,,,"[42.0, 28.8]",,High Pass,,11.4982605,,,,Daniel Pavlovic,8661.0,,,,,Recovery,1,Regular Play,Vasyl Pryyma,398941.0,Left Center Back,101,Frosinone,291,"['2817547a-c657-42f7-828e-be04e4cfcbd1', '901b7e63-0a91-4b7b-9616-168bd0684362']",37,,,,,,,,,,,,,,,,,,Frosinone,291,00:45:37.554,Pass,
,,,,,,,,,,,,,,,,,,2.451444,,,,,,,,,,,,,,,,,095f1382-b4a2-47c7-9554-4f96d4bd64da,1501,,,"[42.0, 27.5]",3879782,45,,,,,3.1225836,,Head,,,"[15.7, 28.0]",,High Pass,,26.304752,,,,Arlind Afrim Ajeti,8291.0,,,,,,1,Regular Play,Daniel Pavlovic,8661.0,Left Back,101,Frosinone,291,['4c03e700-e9dc-45b1-a3d8-8f79952f9a94'],38,,,,,,,,,,,,,,,,,,Frosinone,291,00:45:38.907,Pass,
,,,,,,,,,,,,,,,,,,3.317186,,,,,,,,,,,,,,,,,867c1275-896e-414c-a01e-d6e1d7883b5f,1504,,,"[16.9, 26.9]",3879782,45,,,,,0.07297722,,Left Foot,,,"[55.2, 29.7]",,High Pass,,38.402214,,Incomplete,,Daniel Ciofani,13613.0,,,,,,1,Regular Play,Arlind Afrim Ajeti,8291.0,Right Center Back,101,Frosinone,291,"['1ac990ad-2aba-424c-a83e-95d6c3cee77e', '7f28ac6a-a02e-455c-a8da-b1e96d9289dd']",41,,,,,,,,,,,,,,,,,,Frosinone,291,00:45:41.399,Pass,
