50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.087597,,,,,,,,,,,,fb56bcb4-c1f4-4bb1-a954-b38f4b89d5a9,53,,"[28.0, 80.0]",3879776,0,,,,-0.2918056,,,,,,"[54.3, 72.1]",High Pass,,27.460882,,Incomplete,,Anthony Mounier,34565.0,,,,,,Throw-in,1,From Throw In,Ibrahima Mbaye,7164.0,Right Back,4,Bologna,240,"['7fefc41a-1132-4ef9-978a-160d2c3b0ada', 'a3eca0a5-96e1-4cbb-a7f7-22ff1f1c7afb']",54,,,,,,,,,,,,,,,,Bologna,240,00:00:54.507,Pass,
,,,,,,,,,,,,,,,,,0.94803,,,,,,,,,,,,a3eca0a5-96e1-4cbb-a7f7-22ff1f1c7afb,56,,"[65.8, 8.0]",3879776,0,,,True,-0.43069252,,,,,,"[69.5, 6.3]",Low Pass,,4.0718546,,,,Fabrizio Poli,32525.0,,,,,,Recovery,1,From Throw In,Riccardo Gagliolo,11499.0,Left Center Back,4,Bologna,240,"['81b47d59-4051-4670-a542-c20632afdfdc', 'df9ea89f-1c08-4f7d-bd67-c15932618a67', 'fb56bcb4-c1f4-4bb1-a954-b38f4b89d5a9']",56,,,,,,,,,,,,,,,,Carpi,1683,00:00:56.595,Pass,True
,,,,,,,,,,,,,,,,,1.852397,,,,,,,,,,,,39b4afc9-7424-4843-85d5-f747360a2d66,58,,"[69.5, 6.3]",3879776,0,,,,0.7578822,,Right Foot,,,,"[91.9, 27.5]",High Pass,,30.84153,,Incomplete,,Matteo Mancosu,15415.0,,,,,,,1,From Throw In,Fabrizio Poli,32525.0,Left Wing Back,4,Bologna,240,"['0c70cc44-f71b-4f1d-894f-ac83ce17559d', '8710a066-2166-43d6-b682-be51850db6a9']",57,,,,,,,,,,,,,,,,Carpi,1683,00:00:57.543,Pass,
,,,,,,,,,,,,,,,,,2.613667,,,,,,,,,,,,7401a62b-b49f-41fb-bd7a-794006d1d1f4,64,,"[63.5, 41.9]",3879776,1,,,,-1.5844567,,Right Foot,,,,"[63.0, 5.3]",Low Pass,,36.603416,,,,Saphir Sliti Taïder,8851.0,,,,,,Recovery,1,From Throw In,Emanuele Giaccherini,7775.0,Left Wing,4,Bologna,240,"['64bbaf71-591d-4f76-9fa5-fafeb0585442', 'b5d56564-012d-4b08-a9cc-a4ffe8e14d79']",5,,,,,,,,,,,,,,,,Bologna,240,00:01:05.005,Pass,True
,,,,,,,,,,,,,,,,,0.415746,,,,,,,,,,,,0b8a08f3-062b-4019-a9d3-574c16f50df5,70,,"[71.9, 7.4]",3879776,1,True,,,1.6894418,,Right Foot,,,,"[70.1, 22.5]",Ground Pass,,15.206906,,,,Amadou Diawara,8284.0,,,,,,Free Kick,1,From Free Kick,Saphir Sliti Taïder,8851.0,Left Center Midfield,5,Bologna,240,['6306710d-8eec-4816-84a2-dddd6cafdb01'],23,,,,,,,,,,,,,,,,Bologna,240,00:01:23.193,Pass,
,,,,,,,,,,,,,,,,,0.556991,,,,,,,,,,,,e5e18d5e-8b22-4efa-aee7-befb44a84438,72,,"[77.2, 17.7]",3879776,1,,,,-1.056345,,Right Foot,,,,"[78.5, 15.4]",Ground Pass,,2.641969,,,,Saphir Sliti Taïder,8851.0,,,,,,,1,From Free Kick,Amadou Diawara,8284.0,Center Defensive Midfield,5,Bologna,240,['1b7161d6-b649-49c7-9dfd-ef87d1a2c60c'],25,,,,,,,,,,,,,,,,Bologna,240,00:01:25.652,Pass,
,,,,,,,,,,,,,,,,,1.073759,,,,,,,,,,,,ba79551a-b88e-48cd-a3fa-e6b5273d6dff,75,,"[73.7, 10.4]",3879776,1,,,,-1.3258177,,Left Foot,,,,"[75.8, 2.0]",Ground Pass,,8.658522,,,,Kévin Constant,399299.0,,,,,,,1,From Free Kick,Saphir Sliti Taïder,8851.0,Left Center Midfield,5,Bologna,240,['518ece5a-b3c4-4fea-a891-6c1c529f247a'],27,,,,,,,,,,,,,,,,Bologna,240,00:01:27.440,Pass,
,,,,,,,,,,,,,,,,,0.918546,,,,,,,,,,,,f8b673eb-7ef5-439f-b303-f07fedb37b04,77,,"[75.8, 2.0]",3879776,1,,,,2.6395025,,Left Foot,,,,"[70.7, 4.8]",Ground Pass,,5.818075,,,,Saphir Sliti Taïder,8851.0,,,,,,,1,From Free Kick,Kévin Constant,399299.0,Left Back,5,Bologna,240,['d4517a83-e7c8-495a-b919-e46eecd542a5'],28,,,,,,,,,,,,,,,,Bologna,240,00:01:28.514,Pass,
,,,,,,,,,,,,,,,,,0.869652,,,,,,,,,,,,b4be15ec-0e46-4d13-8f39-41edcbcb46eb,80,,"[70.7, 4.8]",3879776,1,,,,0.484921,,Right Foot,,,,"[80.0, 9.7]",Ground Pass,,10.511898,,,,Emanuele Giaccherini,7775.0,,,,,,,1,From Free Kick,Saphir Sliti Taïder,8851.0,Left Center Midfield,5,Bologna,240,['eed3338d-e5d2-4e00-9ee1-1f50dd811526'],30,,,,,,,,,,,,,,,,Bologna,240,00:01:30.443,Pass,
,,,,,,,,,,,,,,,,,0.767795,,,,,,,,,,,,1f76369e-5eae-4e21-a257-5b20866f903d,83,,"[77.2, 9.7]",3879776,1,,,,2.3634937,,Right Foot,,,,"[70.3, 16.5]",Ground Pass,,9.687621,,,,Amadou Diawara,8284.0,,,,,,,1,From Free Kick,Emanuele Giaccherini,7775.0,Left Wing,5,Bologna,240,['cde4f67b-d282-46dd-9f83-b35f04c0f044'],32,,,,,,,,,,,,,,,,Bologna,240,00:01:32.011,Pass,
