50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.777202,,,,,,,,,,,,,7843b610-97bd-4ec6-8c54-f1399b4b09d6,1520,,,"[92.8, 67.7]",3879652,42,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Artur Ioniţă,7949.0,Center Attacking Midfield,95,Hellas Verona,226,"['12254beb-1c36-4a1d-badf-3ba584ef9343', '3efb97f0-20cd-4633-8d10-83c984ed69ea', 'ee85868f-7940-4844-9e64-d829a7772f3b']",10,,,,,,,,,,,,,,,,,Hellas Verona,226,00:42:10.005,Pressure,
,,,,,,,,,,,,,,,,,,0.967717,,,,,,,,,,,,,8b469f8f-b22f-4f04-88c8-01e43ecfa943,1536,,,"[99.2, 4.9]",3879652,42,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luca Siligardi,11494.0,Left Midfield,97,AC Milan,243,"['3053643d-d5b1-4a17-baa8-f28a716dcc38', '827f9d08-43ff-405e-874a-0643c2fe937d', '93384640-e777-4cf7-b617-ea10ba593a34']",27,,,,,,,,,,,,,,,,,Hellas Verona,226,00:42:27.395,Pressure,
,,,,,,,,,,,,,,,,,,2.622054,,,,,,,,,,,,,d18dcebc-f10e-41ac-8a7e-dbbbfa55c337,1540,,,"[72.5, 9.4]",3879652,42,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Eros Pisano,11342.0,Left Back,97,AC Milan,243,"['14f17c75-12d5-46e3-82f4-d730e01aa3a9', '977efadb-14bf-40ad-8a6a-854beb1093bd']",29,,,,,,,,,,,,,,,,,Hellas Verona,226,00:42:29.956,Pressure,
,,,,,,,,,,,,True,,,,,,0.736185,,,,,,,,,,,,,acc7dd5a-13ee-4053-943c-ea5fcf2f7bdc,1549,,,"[68.2, 46.5]",3879652,42,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carlos Arturo Bacca Ahumada,5688.0,Left Center Forward,98,Hellas Verona,226,"['1c1abcd5-0c02-4ba6-bc99-e29f79d57b21', 'e6273412-cdc7-4d2f-b706-9b2d5a8da7c1']",40,,,,,,,,,,,,,,,,,AC Milan,243,00:42:40.518,Pressure,
,,,,,,,,,,,,,,,,,,0.86932,,,,,,,,,,,,,d0a0ec17-4df8-4380-8c45-3f354d7b1c04,1556,,,"[85.8, 37.5]",3879652,42,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luiz Adriano de Souza da Silva,21272.0,Right Center Forward,98,Hellas Verona,226,"['29714d8c-4ce4-4586-a6ab-9c5c497eab8a', '50c5eedb-9632-4cbe-8229-e7287482eaa7']",47,,,,,,,,,,,,,,,,,AC Milan,243,00:42:47.425,Pressure,
,,,,,,,,,,,,True,,,,,,0.288311,,,,,,,,,,,,,d358964e-eccd-4a11-b6da-b1b06ae6bb1c,1561,,,"[57.4, 62.1]",3879652,42,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Artur Ioniţă,7949.0,Center Attacking Midfield,99,AC Milan,243,"['480d4afd-8abf-40cd-a75e-ffa6d8ba7364', 'a33d6909-bfaf-493c-a2df-789c7e4de857', 'a341fa8f-4398-47b4-8d6e-a0afc46f5f50']",51,,,,,,,,,,,,,,,,,Hellas Verona,226,00:42:51.350,Pressure,
,,,,,,,,,,,,True,,,,,,0.73854,,,,,,,,,,,,,101d412c-1089-49c0-b032-ccaab29f6621,1567,,,"[58.2, 68.0]",3879652,42,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Artur Ioniţă,7949.0,Center Attacking Midfield,99,AC Milan,243,"['3cb6fa4c-e908-4968-aec7-ed87d22692ea', 'c27acaa1-ea8a-4339-b871-0578ea90ca16']",53,,,,,,,,,,,,,,,,,Hellas Verona,226,00:42:53.810,Pressure,
,,,,,,,,,,,,,,,,,,0.660131,,,,,,,,,,,,,0e389042-f78b-4625-8546-094d56ebae2c,1594,,,"[15.1, 56.9]",3879652,43,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Paweł Wszołek,11339.0,Right Midfield,100,AC Milan,243,"['5f462ead-7611-4712-ab79-19defbb31898', 'e9969fe0-bd31-4d69-b29f-014244fbbafc']",25,,,,,,,,,,,,,,,,,Hellas Verona,226,00:43:25.168,Pressure,
,,,,,,,,,,,,,,,,,,3.155331,,,,,,,,,,,,,5c2f4dcc-8065-4954-a649-fa2d0b06c235,1598,,,"[95.3, 53.9]",3879652,43,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nigel de Jong,20057.0,Right Defensive Midfield,100,AC Milan,243,"['46fe09c8-1ac7-4e39-9513-c0ef6e37e5bf', 'e778e21e-1fa8-4bf2-8ec6-0e92ff9baaff']",28,,,,,,,,,,,,,,,,,AC Milan,243,00:43:28.124,Pressure,
,,,,,,,,,,,,,,,,,,0.578772,,,,,,,,,,,,,3f1678a0-65ec-456d-bbe5-95a613bad5e7,1605,,,"[55.3, 4.0]",3879652,43,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luca Siligardi,11494.0,Left Midfield,101,Hellas Verona,226,['5d87c5b5-aedb-41de-871d-9b93e6314e1f'],36,,,,,,,,,,,,,,,,,Hellas Verona,226,00:43:36.034,Pressure,
