50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.27082,,,,,,,,,,,,,,bc0c4349-cc24-428c-9a53-d1ad0d6824b3,47,,"[74.3, 66.6]",3879566,1,,,,True,-0.6177557,,,,"[81.9, 61.2]",,High Pass,,9.32309,,,Incomplete,,Antonio Di Natale,19846.0,,,,,,1,From Throw In,Cyril Théréau,8272.0,Left Center Forward,5,Udinese,230,"['53fa815c-b24c-4fc5-8a2f-8274a19b7b3b', '82890767-246a-4cbd-8b63-e56a677456b4', 'a515e32f-e9de-4f34-87cc-3180a3900dd3']",1,,,,,,,,,,,,,,,,,Udinese,230,00:01:01.341,Pass,True
,,,,,,,,,,,,,,,1.004483,,,,,,,,,,,,,,82890767-246a-4cbd-8b63-e56a677456b4,50,,"[38.2, 18.9]",3879566,1,,,,,0.13706617,,Head,,"[49.8, 20.5]",,Low Pass,,11.709825,,,,,Blerim Džemaili,5554.0,,,,,Recovery,1,From Throw In,Nicolás Andrés Burdisso,7467.0,Center Back,5,Udinese,230,"['bc0c4349-cc24-428c-9a53-d1ad0d6824b3', 'd11c1510-3c92-4c37-9a08-43b26a2e0650']",2,,,,,,,,,,,,,,,,,Genoa,233,00:01:02.612,Pass,
,,,,,,,,,,,,,,,2.959675,,,,,,,,,,,,,,060aaa7c-4407-4d36-a3a1-be3944309904,54,,"[50.8, 29.6]",3879566,1,,,,,0.99143547,,Right Foot,,"[63.1, 48.4]",,Low Pass,,22.466196,,,Incomplete,,Diego Ángel Capel Trinidad,24683.0,,,,,,1,From Throw In,Blerim Džemaili,5554.0,Left Defensive Midfield,5,Udinese,230,"['11e644a6-91a8-4778-885b-df284e9ff0f0', 'b303aa85-18ef-4112-8156-93abd66450b9']",5,,,,,,,,,,,,,,,,,Genoa,233,00:01:05.158,Pass,
,,,,,,,,,,,,,,,1.526395,,,,,,,,,,,,,,11e644a6-91a8-4778-885b-df284e9ff0f0,57,,"[57.0, 31.7]",3879566,1,,,,,-1.8342913,,Left Foot,,"[51.2, 10.2]",,Ground Pass,,22.268587,,,,,Ali Adnan Kadhim Al Tameemi,8191.0,,,,,Recovery,1,From Throw In,Marco Antônio De Mattos Filho,27044.0,Left Center Midfield,5,Udinese,230,"['060aaa7c-4407-4d36-a3a1-be3944309904', '7048076e-84e5-49a0-8bfa-7705f396d38e']",8,,,,,,,,,,,,,,,,,Udinese,230,00:01:08.117,Pass,
,,,,,,,,,,,,,,,1.533517,,,,,,,,,,,,,,5cda550b-e780-4c95-9f88-c89eccd251c9,60,,"[51.6, 9.2]",3879566,1,,,,,2.56159,,Left Foot,,"[40.0, 16.8]",,Ground Pass,,13.867949,,,,,Felipe Dias da Silva dal Belo,6938.0,,,,,,1,From Throw In,Ali Adnan Kadhim Al Tameemi,8191.0,Left Wing Back,5,Udinese,230,['19da5eba-9be0-4c6c-b3ac-2532285acd7d'],9,,,,,,,,,,,,,,,,,Udinese,230,00:01:09.894,Pass,
,,,,,,,,,,,,,,,2.331099,,,,,,,,,,,,,,b2d8592a-9f02-4c3c-9205-4f9964fec0ad,63,,"[36.7, 10.4]",3879566,1,,,,,0.37649032,,Left Foot,,"[71.1, 24.0]",,High Pass,,36.99081,,,Incomplete,,Cyril Théréau,8272.0,,,,,,1,From Throw In,Felipe Dias da Silva dal Belo,6938.0,Left Center Back,5,Udinese,230,"['4b49a749-c8d2-4b7e-8d9d-824afc687ef1', 'bcfa444a-ec91-4a90-8a4a-db232a887aa6']",13,,,,,,,,,,,,,,,,,Udinese,230,00:01:13.754,Pass,
,,,,,,,,,,,,,,,2.343844,,,,,,,,,,,,,,4b49a749-c8d2-4b7e-8d9d-824afc687ef1,66,,"[49.0, 56.1]",3879566,1,,,,True,-2.0794373,,,,"[39.8, 39.6]",,Low Pass,,18.891533,,,,,Armando Izzo,9940.0,,,,,Recovery,1,From Throw In,Sebastian De Maio,7176.0,Right Center Back,5,Udinese,230,"['5fcc8e0b-88a7-4857-b487-00e57c2fa14a', 'b2d8592a-9f02-4c3c-9205-4f9964fec0ad', 'f1243ab4-6475-435f-a00d-2e5343c1d79d']",16,,,,,,,,,,,,,,,,,Genoa,233,00:01:16.085,Pass,True
,,,,,,,,,,,,,,,4.439787,,,,,,,,,,,,,,786579c9-f684-47fe-a07b-4546deeeb686,69,,"[39.6, 37.4]",3879566,1,,,,,-0.694299,,Left Foot,,"[84.4, 0.1]",,High Pass,,58.295197,,,Out,,Diego Perotti,7456.0,,,,,,1,From Throw In,Armando Izzo,9940.0,Left Center Back,5,Udinese,230,"['33c49813-52b1-456c-b0ae-683c337de880', '6a81db8c-414e-4110-ad4a-7d32f976a261']",18,,,,,,,,,,,,,,,,,Genoa,233,00:01:18.429,Pass,True
,,,,,,,,,,,,,,,1.947812,,,,,,,,,,,,,,16aada34-141e-4ec5-997d-74b0014c930c,71,,"[40.2, 80.0]",3879566,1,,,,,-0.865685,,,,"[56.2, 61.2]",,Low Pass,,24.686838,,,,,Cyril Théréau,8272.0,,,,,Throw-in,1,From Throw In,Edenílson Andrade dos Santos,25116.0,Right Wing Back,6,Udinese,230,['b12b5ccb-5c7e-4595-8d8d-2f4dde1711b7'],34,,,,,,,,,,,,,,,,,Udinese,230,00:01:34.165,Pass,
,,,,,,,,,,,,,,,1.042013,,,,,,,,,,,,,,f33a8f20-0cee-440d-9dde-cf27bad06116,78,,"[54.8, 80.0]",3879566,1,,,,,-0.5935427,,,,"[63.1, 74.4]",,Low Pass,,10.012492,,,,,Emmanuel Agyemang-Badu,24722.0,,,,,Throw-in,1,From Throw In,Edenílson Andrade dos Santos,25116.0,Right Wing Back,7,Udinese,230,['b0e8ea97-4110-4899-83f6-096c8d7a24da'],44,,,,,,,,,,,,,,,,,Udinese,230,00:01:44.207,Pass,
