50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,4.656979,,,,,,,,,,,,,57031a14-cb27-4244-90c1-c46aaa484dbc,46,,,"[6.0, 44.0]",3879830,1,,,,,0.28783143,,Right Foot,,,,"[66.8, 62.0]",,High Pass,,63.408516,,,,,Diego Sebastián Laxalt Suárez,5717.0,,,,,Goal Kick,1,From Goal Kick,Eugenio Lamanna,38312.0,Goalkeeper,6,Genoa,233,['329ad6c0-bf5d-4778-8134-290c9d22327b'],49,,,,,,,,,,,,,,,,,,Genoa,233,00:01:49.764,Pass,
,,,,,,,,,,,,,,,,,,,1.459284,,,,,,,,,,,,,74ef53f4-094f-434c-b458-adaf05bba1f7,53,,,"[94.3, 80.0]",3879830,2,,True,,,-0.9157411,,,,,,"[105.9, 64.9]",,Low Pass,,19.041271,,,,,Luca Rigoni,7461.0,,,,,Throw-in,1,From Throw In,Cristian Daniel Ansaldi,7464.0,Right Wing Back,7,Genoa,233,['e57ebb44-6883-4c01-a070-5ccd9f26466b'],6,,,,,,,,,,,,,,,,,,Genoa,233,00:02:06.335,Pass,
,,,,,,,,,,,,,,,,,,,0.740377,,,,,,,,,,,,,9c699f2d-4616-4e4b-93b3-d8f177e8cf80,60,,,"[109.7, 59.9]",3879830,2,,,,,-1.8736812,,Left Foot,,,,"[106.7, 50.3]",,High Pass,,10.057833,,,Incomplete,,,,,,,,,1,From Throw In,Luca Rigoni,7461.0,Right Defensive Midfield,7,Genoa,233,['2664d1a1-b57d-41e0-88f0-ae5a54bb44a4'],10,,,,,,,,,,,,,,,,,,Genoa,233,00:02:10.265,Pass,
,,,,,,,,,,,,,,,,,,,0.524761,,,,,,,,,,,,,7ad1f810-7bf0-4078-9f06-c03107aac67e,65,,,"[102.9, 55.2]",3879830,2,,,,,-1.5707964,,Left Foot,,,,"[102.9, 41.6]",,Low Pass,,13.6,,,,,Leonardo Pavoletti,8180.0,,,,,,1,From Throw In,Diego Sebastián Laxalt Suárez,5717.0,Right Wing,7,Genoa,233,"['8ca2de2f-6dcb-4440-b14e-97d4c47e4fe8', '9614b14d-6667-440a-b0b0-2771b3c31ba2']",12,,,,,,,,,,,,,,,,,,Genoa,233,00:02:12.740,Pass,True
,,,,,,,,,,,,,,,,,,,1.24965,,,,,,,,,,,,,b679ca90-efba-4c3f-ab8e-b70a24a3c612,68,,,"[102.9, 41.6]",3879830,2,,,,,2.4489508,edecbbef-6f9c-4312-992b-b68598c568c8,Right Foot,,,,"[98.2, 45.5]",,Low Pass,,6.1073728,,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,True,,,,,1,From Throw In,Leonardo Pavoletti,8180.0,Center Forward,7,Genoa,233,['bef461d6-6a7b-4c36-830d-321ab1cf6958'],13,,,,,,,,,,,,,,,,,,Genoa,233,00:02:13.312,Pass,
,,,,,,,,,,,,,,,,,,,0.32953,,,,,,,,,,,,,fb7f54e1-8fe3-4d9d-9574-052554b90377,73,,,"[7.0, 36.1]",3879830,2,,True,,,-1.8090411,,Right Foot,,,,"[3.6, 22.1]",,Ground Pass,,14.406942,,,,,Jeison Fabián Murillo Cerón,6585.0,,,,,Goal Kick,1,From Goal Kick,Samir Handanovič,7001.0,Goalkeeper,8,Inter Milan,238,['36985e6e-fc61-46ca-b4c6-6d21e0ba1b24'],31,,,,,,,,,,,,,,,,,,Inter Milan,238,00:02:31.936,Pass,
,,,,,,,,,,,,,,,,,,,1.846282,,,,,,,,,,,,,d1a54cfb-d659-4e7a-aa05-28b299171312,75,,,"[5.8, 14.9]",3879830,2,,True,,,-0.1801,,Right Foot,,,,"[41.5, 8.4]",,Ground Pass,,36.28691,,,,,Rodrigo Sebastián Palacio,7165.0,,,,,,1,From Goal Kick,Jeison Fabián Murillo Cerón,6585.0,Left Center Back,8,Inter Milan,238,['f5833d91-b94a-4f45-878d-cf7f434eb3cf'],33,,,,,,,,,,,,,,,,,,Inter Milan,238,00:02:33.739,Pass,
,,,,,,,,,,,,,,,,,,,1.772605,,,,,,,,,,,,,9964d3c5-a29a-496d-a67a-4644a5bff76a,78,,,"[43.1, 8.7]",3879830,2,,,,,1.8320149,,Right Foot,,,,"[40.4, 18.8]",,Ground Pass,,10.454664,,,,,Gary Alexis Medel Soto,16453.0,,,,,,1,From Goal Kick,Rodrigo Sebastián Palacio,7165.0,Center Attacking Midfield,8,Inter Milan,238,"['3d4c9f57-36f4-4370-92aa-62d207089898', '7535f83e-b6e2-4841-a302-7f1556279820']",35,,,,,,,,,,,,,,,,,,Inter Milan,238,00:02:35.585,Pass,True
,,,,,,,,,,,,,,,,,,,1.984152,,,,,,,,,,,,,5b533984-5012-45c6-8a72-c92d0ea5e335,81,,,"[40.4, 18.8]",3879830,2,,,,,-0.10194713,,Right Foot,,,,"[79.5, 14.8]",,High Pass,,39.30407,,,,,Mauro Emanuel Icardi Rivero,6987.0,,,,,,1,From Goal Kick,Gary Alexis Medel Soto,16453.0,Left Defensive Midfield,8,Inter Milan,238,['85ea1e1e-2696-4d9b-b1ab-111f80e6d116'],37,,,,,,,,,,,,,,,,,,Inter Milan,238,00:02:37.414,Pass,
,,,,,,,,,,,,,,,,,,,3.210082,,,,,,,,,,,,,67100e5b-0345-42c1-ba27-83fc1507c463,85,,,"[87.5, 21.0]",3879830,2,,,,,1.6668117,,Right Foot,,,,"[82.8, 69.8]",,High Pass,,49.02581,,,,,Danilo D''Ambrosio,6984.0,,True,,,,1,From Goal Kick,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,8,Inter Milan,238,['d80bc5ba-6ba1-4ff6-a9ba-f7a04336f466'],41,,,,,,,,,,,,,,,,,,Inter Milan,238,00:02:41.401,Pass,
