50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.698276,,,,,,,,,,,,,,,6a2e5cd3-8ff2-4042-bb2d-05cf40b243aa,52,,,"[70.9, 63.2]",3879786,0,,,,0.9272952,,Head,,,,"[76.9, 71.2]",Low Pass,,10.0,,,,,Robin Quaison,8552.0,,,,,,1,Regular Play,Alberto Gilardino,38389.0,Center Forward,6,Palermo,2256,['07c5f6ee-bccc-4a0a-86b2-b8a02f8da157'],45,,,,,,,,,,,,,,,,,Palermo,2256,00:00:45.040,Pass,
,,,,,,,,,,,,,,,,,,3.097795,,,,,,,,,,,,,,,6be6c66a-5b51-440f-a524-f3fe22f6251c,60,,,"[40.9, 72.7]",3879786,0,,,,-2.5766883,,Left Foot,,,,"[12.5, 54.7]",Ground Pass,,33.623802,,,,,Stefano Sorrentino,7055.0,,,,,Recovery,1,Regular Play,Aljaž Struna,24061.0,Right Back,6,Palermo,2256,"['c18ba96a-8d6a-40e3-b694-cc2e26d73068', 'e56d10bd-abe8-44cd-af8f-2b21274a9008']",51,,,,,,,,,,,,,,,,,Palermo,2256,00:00:51.092,Pass,True
,,,,,,,,,,,,,,,,,,3.452879,,,,,,,,,,,,,,,01275ed9-d003-4717-b500-70604cb8685c,63,,,"[12.5, 53.8]",3879786,0,,,,0.018070322,,Right Foot,,,,"[62.3, 54.7]",High Pass,,49.808132,,,Incomplete,,Alberto Gilardino,38389.0,,,,,,1,Regular Play,Stefano Sorrentino,7055.0,Goalkeeper,6,Palermo,2256,"['5c75f0e9-542f-4e50-84e0-825e69347ccc', 'edc70bcf-9fb5-4f87-a38d-c9c6c1b6d24c', 'fb0a2ff3-4484-4c31-a7e7-a8723604f7a4']",54,,,,,,,,,,,,,,,,,Palermo,2256,00:00:54.190,Pass,True
,,,,,,,,,,,,,,,,,,2.934281,,,,,,,,,,,,,,,b73739c1-aa3c-48fd-a2b9-79618d704ff9,72,,,"[43.7, 25.6]",3879786,1,,,,2.9575868,,Right Foot,,,,"[7.7, 32.3]",Ground Pass,,36.618164,,,,,José Manuel Reina Páez,7028.0,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Left Center Back,7,Napoli,227,['6efefb3d-6ed7-4be2-a579-b798140a1f81'],2,,,,,,,,,,,,,,,,,Napoli,227,00:01:02.314,Pass,
,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,,,,,ce0d6051-1e51-4725-a925-aa9415169974,75,,,"[9.2, 35.7]",3879786,1,,,,-1.2580545,,Right Foot,,,,"[14.6, 19.0]",Ground Pass,,17.551353,,,,,Kalidou Koulibaly,5675.0,,,,,,1,Regular Play,José Manuel Reina Páez,7028.0,Goalkeeper,7,Napoli,227,['63fb7f2e-0970-43c5-9363-1e01b467a865'],8,,,,,,,,,,,,,,,,,Napoli,227,00:01:08.448,Pass,
,,,,,,,,,,,,,,,,,,1.244795,,,,,,,,,,,,,,,31cd4b45-94d6-4f7a-96dc-15353e2fc701,78,,,"[31.3, 21.1]",3879786,1,,,,0.19901107,,Left Foot,,,,"[43.2, 23.5]",Ground Pass,,12.139605,,,,,Marek Hamšík,7025.0,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Left Center Back,7,Napoli,227,['23991833-c249-4d6c-84b4-c3af6bed76dc'],13,,,,,,,,,,,,,,,,,Napoli,227,00:01:13.728,Pass,
,,,,,,,,,,,,,,,,,,1.312108,,,,,,,,,,,,,,,15fedaa4-3326-464a-8021-86cf416ecd5a,81,,,"[43.0, 23.5]",3879786,1,,,,2.500022,,Left Foot,,,,"[34.7, 29.7]",Ground Pass,,10.36002,,,,,Kalidou Koulibaly,5675.0,,,,,,1,Regular Play,Marek Hamšík,7025.0,Left Center Midfield,7,Napoli,227,['40aa2926-1959-4efe-b5d9-cfc37046ad01'],15,,,,,,,,,,,,,,,,,Napoli,227,00:01:15.133,Pass,
,,,,,,,,,,,,,,,,,,1.508203,,,,,,,,,,,,,,,b3ec4e1d-f57f-4a49-bd60-6c2cb29d071a,84,,,"[41.5, 32.5]",3879786,1,,,,1.553457,,Left Foot,,,,"[41.8, 49.8]",Ground Pass,,17.3026,,,,,Raúl Albiol i Tortajada,7030.0,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Left Center Back,7,Napoli,227,['197f959f-bdb8-4893-b5db-5767fbc0c505'],18,,,,,,,,,,,,,,,,,Napoli,227,00:01:18.742,Pass,
,,,,,,,,,,,,,,,,,,0.810648,,,,,,,,,,,,,,,9035c002-f819-4778-a22d-88d8a2767948,87,,,"[43.9, 50.9]",3879786,1,,,,-0.37239844,,Right Foot,,,,"[56.7, 45.9]",Ground Pass,,13.741907,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,Regular Play,Raúl Albiol i Tortajada,7030.0,Right Center Back,7,Napoli,227,['409168fe-c488-4441-8fe6-946d786be6a5'],20,,,,,,,,,,,,,,,,,Napoli,227,00:01:20.805,Pass,
,,,,,,,,,,,,,,,,,,2.80882,,,,,,,,,,,,,,,9bd2f073-504e-434b-9289-d5f2583b4c50,91,,,"[57.4, 46.2]",3879786,1,,,,-2.5346868,,Right Foot,,,,"[34.5, 30.3]",Ground Pass,,27.878666,,,,,Kalidou Koulibaly,5675.0,,,,,,1,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,7,Napoli,227,"['5d554134-c611-45e5-95d4-4d67edf4e2a3', 'a8e2b1cb-e629-4076-aa4f-7b724561a1f6']",22,,,,,,,,,,,,,,,,,Napoli,227,00:01:22.024,Pass,True
