50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.747482,,,,,,,,,,,,ef58aed8-b93f-48a0-a715-19b124824226,259,,"[104.5, 70.4]",3879673,6,,,,,2.913096,,Right Foot,,,,"[91.6, 73.4]",,Ground Pass,,13.244244,,Unknown,,Andrea Conti,8657.0,,,,,1,From Throw In,Marco D''Alessandro,8184.0,Right Wing,17,Atalanta,228,"['0c847625-24a6-4b4c-be7d-9aebc9d98eae', '1ce8a286-1644-496c-b22d-5369ddf29ad6']",19,,,,,,,,,,,,,,,,,,Atalanta,228,00:06:19.197,Pass,True
,,,,,,,,,,,,,,,,,,,4.394512,,,,,,,,,,,,8039206c-7a26-431f-8b03-303caed11ab1,266,,"[39.0, 7.6]",3879673,6,,,,,0.21961412,,Left Foot,,,,"[106.2, 22.6]",,High Pass,,68.85376,,Incomplete,,Stipe Perica,7805.0,,,,Free Kick,1,From Free Kick,Felipe Dias da Silva dal Belo,6938.0,Left Center Back,18,Udinese,230,"['4e62ed90-550f-4683-91a5-1227bdccb4a4', 'bbc6980f-1fcf-49ca-9b37-781b9139ea23']",28,,,,,,,,,,,,,,,,,,Udinese,230,00:06:28.382,Pass,
,,,,,,,,,,,,,,,,,,,2.584587,,,,,,,,,,,,e5df75db-c251-4a0f-8e57-0a6c812902e0,270,,"[14.3, 56.1]",3879673,6,,,,,-1.2551273,,Keeper Arm,,,,"[25.6, 21.5]",,Low Pass,,36.398487,,,,Boukary Dramé,11722.0,,,,,1,From Keeper,Marco Sportiello,7157.0,Goalkeeper,19,Atalanta,228,['36290fb8-9449-472e-a301-e8e26ef68d13'],34,,,,,,,,,,,,,,,,,,Atalanta,228,00:06:34.801,Pass,
,,,,,,,,,,,,,,,,,,,1.590723,,,,,,,,,,,,84dc40b5-d72d-4f8a-a4b4-9a5968c06fa2,274,,"[26.0, 21.7]",3879673,6,,,,,2.5331326,,Left Foot,,,,"[17.1, 27.9]",,Ground Pass,,10.846659,,,,Nicolò Cherubin,45590.0,,,,,1,From Keeper,Boukary Dramé,11722.0,Left Back,19,Atalanta,228,['dc318db5-5cf2-43c2-b75a-10fcff6b8f0c'],41,,,,,,,,,,,,,,,,,,Atalanta,228,00:06:41.351,Pass,
,,,,,,,,,,,,,,,,,,,2.580463,,,,,,,,,,,,4b19b52f-b2b3-403d-95be-de351b13db86,277,,"[19.1, 31.5]",3879673,6,,,,,1.228478,,Left Foot,,,,"[35.1, 76.4]",,High Pass,,47.665607,,,,Andrea Conti,8657.0,,True,,,1,From Keeper,Nicolò Cherubin,45590.0,Left Center Back,19,Atalanta,228,['16646ebc-2e24-4066-a8b5-1fa58e5f250a'],43,,,,,,,,,,,,,,,,,,Atalanta,228,00:06:43.857,Pass,
,,,,,,,,,,,,,,,,,,,1.797335,,,,,,,,,,,,ecfe5c8b-5e9b-4308-9ff0-a48c3748273a,280,,"[35.1, 76.4]",3879673,6,,,,,-0.2570424,,Right Foot,,,,"[52.6, 71.8]",,High Pass,,18.094475,,,,Marco D''Alessandro,8184.0,,,,,1,From Keeper,Andrea Conti,8657.0,Right Back,19,Atalanta,228,['5f7ad7a9-8df2-4270-87eb-36e76d18f9ef'],47,,,,,,,,,,,,,,,,,,Atalanta,228,00:06:47.485,Pass,
,,,,,,,,,,,,,,,,,,,0.455383,,,,,,,,,,,,bf1bd8bd-033f-4b3b-ad61-76a05baa0656,283,,"[52.9, 71.4]",3879673,6,,,,,-2.782822,,Other,,,,"[48.1, 69.6]",,Low Pass,,5.1264024,,,,Alberto Grassi,6952.0,,,,,1,From Keeper,Marco D''Alessandro,8184.0,Right Wing,19,Atalanta,228,"['5f1ca4ff-2488-41be-a450-a52cfee7fb34', 'bed32ba7-cb5b-420f-b441-e24e206eb6d2']",49,,,,,,,,,,,,,,,,,,Atalanta,228,00:06:49.282,Pass,True
,,,,,,,,,,,,,,,,,,,1.004381,,,,,,,,,,,,7d0913fb-010f-4528-a068-77599c248882,287,,"[91.2, 70.5]",3879673,6,,,,,-1.445823,,Right Foot,,,,"[93.7, 50.6]",,Ground Pass,,20.056421,,Incomplete,,Germán Gustavo Denis,49439.0,,,,,1,From Keeper,Alberto Grassi,6952.0,Right Center Midfield,19,Atalanta,228,"['14be271f-57be-481d-9e9e-57fb76bca857', '6be0e468-84ee-439c-a149-32eab63e1bf5']",56,,,,,,,,,,,,,,,,,,Atalanta,228,00:06:56.112,Pass,
,,,,,,,,,,,,,,,,,,,1.386995,,,,,,,,,,,,70cc7ce0-4bc5-4217-9884-8eabc819e9d5,292,,"[46.6, 27.8]",3879673,7,,,,,1.0939916,,Left Foot,,,,"[54.4, 42.9]",,Ground Pass,,16.995588,,,,Cyril Théréau,8272.0,,,,Recovery,1,From Keeper,Francesco Lodi,40367.0,Center Defensive Midfield,19,Atalanta,228,"['4332e0f6-a866-4f2f-9ccb-8e5d19694986', 'ff3e7b69-821b-4f89-add4-24d783ba6fb5']",0,,,,,,,,,,,,,,,,,,Udinese,230,00:07:00.006,Pass,True
,,,,,,,,,,,,,,,,,,,1.473,,,,,,,,,,,,db964f75-545b-4733-93df-e924497aaf34,300,,"[62.2, 35.2]",3879673,7,,,,,-1.8824462,,Left Foot,,,,"[57.4, 20.3]",,Ground Pass,,15.654073,,,,Boukary Dramé,11722.0,,,,,1,From Keeper,Luca Cigarini,8420.0,Left Center Midfield,19,Atalanta,228,['a973871a-60bb-4111-83ae-a0f81e6e80db'],5,,,,,,,,,,,,,,,,,,Atalanta,228,00:07:05.067,Pass,
,,,,,,,,,,,,,,,,,,,1.365604,,,,,,,,,,,,b051ac8c-e52f-40eb-8265-7a4a32107d8a,307,,"[62.0, 16.0]",3879673,7,,,,,2.8134727,,Left Foot,,,,"[52.6, 19.2]",,Ground Pass,,9.929753,,,,Marten de Roon,6994.0,,,,,1,From Keeper,Boukary Dramé,11722.0,Left Back,19,Atalanta,228,['a74754b3-d2cc-4988-81ed-d90d3164c4e4'],10,,,,,,,,,,,,,,,,,,Atalanta,228,00:07:10.112,Pass,
,,,,,,,,,,,,,,,,,,,1.081185,,,,,,,,,,,,b1d600ad-593e-4888-95b8-66937b3954e6,310,,"[52.3, 21.5]",3879673,7,,,,,0.62548506,,Right Foot,,,,"[72.1, 35.8]",,Ground Pass,,24.423964,,,,Alejandro Darío Gómez,7006.0,,,,,1,From Keeper,Marten de Roon,6994.0,Center Defensive Midfield,19,Atalanta,228,['30f32b03-5e41-4686-bf7e-b7a269313c61'],13,,,,,,,,,,,,,,,,,,Atalanta,228,00:07:13.588,Pass,
,,,,,,,,,,,,,,,,,,,0.720786,,,,,,,,,,,,4f50e636-e848-496d-a216-11d4b2e8d902,319,,"[57.1, 43.5]",3879673,7,,,,,-2.0831857,,Right Foot,,,,"[52.6, 35.5]",,Ground Pass,,9.17878,,,,Bruno Miguel Borges Fernandes,5204.0,,,,,1,Regular Play,Emmanuel Agyemang-Badu,24722.0,Right Center Midfield,20,Udinese,230,['0a936347-33b3-4d16-a233-518df4f88fde'],18,,,,,,,,,,,,,,,,,,Udinese,230,00:07:18.341,Pass,
,,,,,,,,,,,,,,,,,,,1.558294,,,,,,,,,,,,801d9147-4b7b-4be2-85ad-4a934185012c,322,,"[53.6, 31.3]",3879673,7,,,,,-1.3205957,,Right Foot,,,,"[58.2, 13.3]",,Ground Pass,,18.578482,,,,Edenílson Andrade dos Santos,25116.0,,,,,1,Regular Play,Bruno Miguel Borges Fernandes,5204.0,Left Center Midfield,20,Udinese,230,['fee1981f-483c-421a-b90a-c590ef2db9c8'],19,,,,,,,,,,,,,,,,,,Udinese,230,00:07:19.889,Pass,
