50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.370385,,,,,,,,,,,,,4bc3bedd-e0f8-469b-8a0f-99653cc7981e,58,,,"[16.2, 19.7]",3879597,1,,,,,-1.6266822,,Right Foot,,,,"[15.4, 5.4]",,Ground Pass,,14.32236,,,,Emiliano Moretti,7476.0,,,,,1,From Free Kick,Kamil Glik,3034.0,Center Back,4,Torino,241,['5fc48fa5-66ae-47ed-b812-1e2e207e81d6'],9,,,,,,,,,,,,,,,,,Torino,241,00:01:09.521,Pass,
,,,,,,,,,,,,,,,,,,,,2.185268,,,,,,,,,,,,,9209d802-5eea-45ca-9e94-4b1a441832f4,61,,,"[16.2, 4.0]",3879597,1,,,,,0.3391024,,Left Foot,,,,"[43.7, 13.7]",,High Pass,,29.16059,,Incomplete,,Daniele Baselli,7465.0,,,,,1,From Free Kick,Emiliano Moretti,7476.0,Left Center Back,4,Torino,241,"['021fb40c-0ed4-40c6-bff6-b0445862c7a4', 'a896a337-0763-4e98-90c9-78bf8004a0bf']",11,,,,,,,,,,,,,,,,,Torino,241,00:01:11.814,Pass,
,,,,,,,,,,,,,,,,,,,,1.828243,,,,,,,,,,,,,021fb40c-0ed4-40c6-bff6-b0445862c7a4,64,,,"[76.4, 66.4]",3879597,1,,,,,-0.35012358,,Head,,,,"[94.2, 59.9]",,High Pass,,18.94967,,,,Anderson Hernanes de Carvalho Andrade,25345.0,,,,Recovery,1,From Free Kick,Simone Padoin,7952.0,Right Back,4,Torino,241,"['579b7c97-83a5-4693-8a9a-15d66f65fdad', '9209d802-5eea-45ca-9e94-4b1a441832f4', 'b3d36c4f-5760-4e0e-a203-5d54714c2384']",13,,,,,,,,,,,,,,,,,Juventus,224,00:01:13.999,Pass,True
,,,,,,,,,,,,,,,,,,,,1.508138,,,,,,,,,,,,,d21a1df5-0df1-4c8c-86b5-af01398728e2,70,,,"[96.5, 65.7]",3879597,1,,,,True,2.3561945,,,,,,"[92.8, 69.4]",,Low Pass,,5.23259,,Incomplete,,Simone Padoin,7952.0,,,,Recovery,1,From Free Kick,Anderson Hernanes de Carvalho Andrade,25345.0,Center Attacking Midfield,4,Torino,241,"['5cc7f7e7-cb39-4896-8cb5-bc90a2496ea0', '97de66b2-2978-4d8a-a554-62c716858b53', 'cb6b05d2-2d64-4be2-af01-063cac6e3c7a']",18,,,,,,,,,,,,,,,,,Juventus,224,00:01:18.200,Pass,True
,,,,,,,,,,,,,,,,,,,,2.359081,,,,,,,,,,,,,baa3584f-b5e0-4e50-84d6-98b7c61a9c9c,81,,,"[52.3, 2.6]",3879597,1,,,,,0.6131094,,Left Foot,,,,"[77.6, 20.4]",,High Pass,,30.934286,,Incomplete,,Maximiliano Gastón López,8193.0,,,,,1,From Free Kick,Cristian Molinaro,7479.0,Left Wing Back,4,Torino,241,"['2742a266-57bc-420e-a7d3-f0d675580e7d', '75451817-01ec-4f2a-b4c0-f334eb4b64a1']",23,,,,,,,,,,,,,,,,,Torino,241,00:01:23.371,Pass,
,,,,,,,,,,,,,,,,,,,,1.300154,,,,,,,,,,,,,fe309428-1292-45e3-9186-8613e0f41ec1,84,,,"[80.3, 0.1]",3879597,1,,,,,2.2396085,,,,,,"[75.4, 6.3]",,Low Pass,,7.902531,,,,Daniele Baselli,7465.0,,,,Throw-in,1,From Throw In,Cristian Molinaro,7479.0,Left Wing Back,5,Torino,241,['1459c269-3af8-4c94-9704-522654fc254b'],29,,,,,,,,,,,,,,,,,Torino,241,00:01:29.852,Pass,
,,,,,,,,,,,,,,,,,,,,1.308891,,,,,,,,,,,,,dbcb020d-3ebb-4aa4-a354-484834268f18,87,,,"[83.2, 3.6]",3879597,1,,,,,-0.052930646,,Right Foot,,,,"[98.3, 2.8]",,Ground Pass,,15.121178,,,,Cristian Molinaro,7479.0,,,,,1,From Throw In,Daniele Baselli,7465.0,Left Center Midfield,5,Torino,241,['449a8447-8931-4d4e-82e4-402944696b8c'],33,,,,,,,,,,,,,,,,,Torino,241,00:01:33.297,Pass,
,,,,,,,,,,,,,,,,,,,,0.159707,,,,,,,,,,,,,6a93dca0-54f8-472c-8301-fbeb8f4104b2,92,,,"[117.3, 22.5]",3879597,1,,,,,1.3825748,,Left Foot,,,,"[117.7, 24.6]",,Ground Pass,,2.1377559,,Incomplete,,,,,,,,1,From Throw In,Cristian Molinaro,7479.0,Left Wing Back,5,Torino,241,['774b535f-c09f-4a8a-b845-97c0c3c41071'],39,,,,,,,,,,,,,,,,,Torino,241,00:01:39.692,Pass,
,,,,,,,,,,,,,,,,,,,,2.849906,,,,,,,,,,,,,4dbb8c6e-f173-48db-9eee-0cd2992511cc,103,,,"[90.7, 0.1]",3879597,2,,,,,2.9425588,,,,,,"[55.5, 7.2]",,High Pass,,35.908913,,,,Emiliano Moretti,7476.0,,,,Throw-in,1,From Throw In,Cristian Molinaro,7479.0,Left Wing Back,6,Torino,241,['5f6615e6-d55a-4c56-b6dd-8b2cfc90aceb'],3,,,,,,,,,,,,,,,,,Torino,241,00:02:03.175,Pass,
,,,,,,,,,,,,,,,,,,,,3.533436,,,,,,,,,,,,,4a7f69d9-8a41-4540-9c67-a198f001bb4c,106,,,"[52.2, 11.2]",3879597,2,,,,,1.9629369,,Right Foot,,,,"[40.0, 40.7]",,Ground Pass,,31.92319,,,,Kamil Glik,3034.0,,,,,1,From Throw In,Emiliano Moretti,7476.0,Left Center Back,6,Torino,241,['1aade6b6-d1cd-4344-a601-e91d491ce3cd'],7,,,,,,,,,,,,,,,,,Torino,241,00:02:07.069,Pass,
,,,,,,,,,,,,,,,,,,,,2.540513,,,,,,,,,,,,,d09a9ea8-3ddc-4003-90b4-6f757894b7d0,109,,,"[46.0, 42.6]",3879597,2,,,,,-1.0300074,,Right Foot,,,,"[69.9, 2.8]",,High Pass,,46.42467,,,,Cristian Molinaro,7479.0,,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,6,Torino,241,['2315abca-1bfe-47a4-aa60-6f6e1ea55b49'],13,,,,,,,,,,,,,,,,,Torino,241,00:02:13.296,Pass,
,,,,,,,,,,,,,,,,,,,,1.745576,,,,,,,,,,,,,26abc730-a087-4b41-a9ee-97175dd5b00a,112,,,"[69.8, 3.2]",3879597,2,,,,,2.8093529,,Left Foot,,,,"[52.7, 9.1]",,Ground Pass,,18.089224,,,,Emiliano Moretti,7476.0,,,,,1,From Throw In,Cristian Molinaro,7479.0,Left Wing Back,6,Torino,241,['af97cafe-8b78-4140-a7e2-9d769e793b57'],19,,,,,,,,,,,,,,,,,Torino,241,00:02:19.167,Pass,
,,,,,,,,,,,,,,,,,,,,1.725959,,,,,,,,,,,,,31bdd071-b394-4d36-8a4b-ef3e84a3c9cc,115,,,"[51.5, 10.7]",3879597,2,,,,,2.5251372,,Left Foot,,,,"[34.0, 23.1]",,Ground Pass,,21.447844,,,,Kamil Glik,3034.0,,,,,1,From Throw In,Emiliano Moretti,7476.0,Left Center Back,6,Torino,241,['27c2b014-c9df-4b7e-bdd0-e01a48c024dd'],21,,,,,,,,,,,,,,,,,Torino,241,00:02:21.603,Pass,
