50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.599384,,,,,,,,,,,,,210ac7ae-977d-4e3e-92a6-4240f5f25ffa,60,,"[77.1, 11.3]",3879807,1,,,,,-0.5062575,,Left Foot,,,"[87.2, 5.7]",,Low Pass,,11.548593,,Incomplete,,Perparim Hetemaj,7046.0,,,,,1,From Throw In,Riccardo Meggiorini,11643.0,Left Center Forward,5,Chievo,231,"['a2c5ab46-f10a-4d51-8ceb-a5de7c5b5b4d', 'c5d894f0-73a6-4736-9ff5-b5ef328ce1fa']",1,,,,,,,,,,,,,,,,,Chievo,231,00:01:01.245,Pass,
,,,,,,,,,,,,,,,,,1.511215,,,,,,,,,,,,,c5d894f0-73a6-4736-9ff5-b5ef328ce1fa,62,,"[32.9, 74.4]",3879807,1,,,,,0.071307465,,Left Foot,,,"[49.7, 75.6]",,High Pass,,16.842802,,,,Lorenzo Pasciuti,387472.0,,,,Recovery,1,From Throw In,Cristian Zaccardo,387300.0,Right Back,5,Chievo,231,"['0e3e034b-415b-485d-bc85-ebaa35f38923', '210ac7ae-977d-4e3e-92a6-4240f5f25ffa']",1,,,,,,,,,,,,,,,,,Carpi,1683,00:01:01.845,Pass,
,,,,,,,,,,,,,,,,,1.8772,,,,,,,,,,,,,ead979ab-446c-45ad-9fc9-4457a0606c8b,64,,"[49.6, 75.8]",3879807,1,,,,,0.03634762,,Right Foot,,,"[71.6, 76.6]",,High Pass,,22.01454,,Incomplete,,Jerry Uche Mbakogu,32608.0,,,,,1,From Throw In,Lorenzo Pasciuti,387472.0,Right Midfield,5,Chievo,231,"['6cd1ee32-95be-45b9-b35e-fb8c2eac381e', 'e83c08bb-8818-4e14-9ce5-13dd38711274']",3,,,,,,,,,,,,,,,,,Carpi,1683,00:01:03.356,Pass,
,,,,,,,,,,,,,,,,,2.235721,,,,,,,,,,,,,e83c08bb-8818-4e14-9ce5-13dd38711274,66,,"[48.5, 3.5]",3879807,1,,,,,0.33257446,,Left Foot,,,"[84.4, 15.9]",,High Pass,,37.98118,,,,Antonio Floro Flores,27110.0,,,,Recovery,1,From Throw In,Boštjan Cesar,8877.0,Left Center Back,5,Chievo,231,"['ead979ab-446c-45ad-9fc9-4457a0606c8b', 'f8f6ed5b-a878-4688-932b-4735eb147b7c']",5,,,,,,,,,,,,,,,,,Chievo,231,00:01:05.233,Pass,
,,,,,,,,,,,,,,,,,1.827994,,,,,,,,,,,,,71ebedcf-ce95-492b-88f6-44b3788cb9e5,72,,"[38.1, 55.3]",3879807,1,,,,,-1.9288213,,Right Foot,,,"[32.6, 40.6]",,Ground Pass,,15.695222,,,,Riccardo Gagliolo,11499.0,,,,,1,Regular Play,Raffaele Bianco,352172.0,Left Defensive Midfield,6,Carpi,1683,['c7cb363d-1c8a-4c52-a8da-f1ce55ae6f37'],9,,,,,,,,,,,,,,,,,Carpi,1683,00:01:09.737,Pass,
,,,,,,,,,,,,,,,,,1.706865,,,,,,,,,,,,,e5d7dd35-8cd7-4fc7-be7b-ccece922a348,75,,"[34.8, 37.1]",3879807,1,,,,,-0.54411864,,Left Foot,,,"[70.5, 15.5]",,High Pass,,41.72589,,,,Antonio Di Gaudio,11502.0,,,,,1,Regular Play,Riccardo Gagliolo,11499.0,Left Back,6,Carpi,1683,['b85510af-3ad0-4ea0-9ba2-36a48a28e4d1'],14,,,,,,,,,,,,,,,,,Carpi,1683,00:01:14.775,Pass,
,,,,,,,,,,,,,,,,,1.331962,,,,,,,,,,,,,5e7f6e54-2d6a-4b80-93cf-e62248e41439,77,,"[69.8, 13.6]",3879807,1,,,,,2.5708795,,Other,,,"[61.7, 18.8]",,Low Pass,,9.625487,,,,Raffaele Bianco,352172.0,,,,,1,Regular Play,Antonio Di Gaudio,11502.0,Left Midfield,6,Carpi,1683,['facbcfc5-dab9-4275-bd02-1b65e26381ec'],16,,,,,,,,,,,,,,,,,Carpi,1683,00:01:16.482,Pass,
,,,,,,,,,,,,,,,,,1.428558,,,,,,,,,,,,,588fcd57-501d-4f9d-9430-d8a1d8aa6f84,81,,"[62.6, 14.6]",3879807,1,,,,,-3.0448086,,Right Foot,,,"[52.3, 13.6]",,Ground Pass,,10.34843,,,,Riccardo Gagliolo,11499.0,,,,,1,Regular Play,Raffaele Bianco,352172.0,Left Defensive Midfield,6,Carpi,1683,"['cf400d74-99ba-4c16-a012-1cad0a6cc0a2', 'eb6e7fae-7647-4bfb-aa57-b302ee181b04']",19,,,,,,,,,,,,,,,,,Carpi,1683,00:01:19.570,Pass,True
,,,,,,,,,,,,,,,,,2.650704,,,,,,,,,,,,,3fee87ad-c6bf-4d3a-94e8-0e42c8da8947,84,,"[49.6, 14.3]",3879807,1,,,,,0.17834236,,Left Foot,,,"[96.2, 22.7]",,High Pass,,47.35103,,Incomplete,,Lorenzo Lollo,30829.0,,,,,1,Regular Play,Riccardo Gagliolo,11499.0,Left Back,6,Carpi,1683,"['8fe8290f-c320-422f-af89-6dd092c98ea2', 'e785b063-7208-4c60-8680-212f3ffa48dc']",22,,,,,,,,,,,,,,,,,Carpi,1683,00:01:22.519,Pass,
,,,,,,,,,,,,,,,,,1.986641,,,,,,,,,,,,,8fe8290f-c320-422f-af89-6dd092c98ea2,86,,"[23.9, 57.4]",3879807,1,,,,,1.2471116,,Head,,,"[29.1, 72.9]",,High Pass,,16.349007,,,,Fabrizio Cacciatore,7050.0,,,,Recovery,1,Regular Play,Alessandro Gamberini,7052.0,Right Center Back,7,Chievo,231,"['3fee87ad-c6bf-4d3a-94e8-0e42c8da8947', 'fb0d4642-22f0-4a81-9c00-500e4ef9ef3f']",25,,,,,,,,,,,,,,,,,Chievo,231,00:01:25.169,Pass,
