50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.128943,,,,,,,,,,,,,1e1314d6-576e-4206-9efd-eac4985e41bf,53,,,"[56.8, 66.3]",3878610,0,,,,,-1.9699268,,Right Foot,,,,"[50.6, 51.6]",,Ground Pass,,15.953997,,,,,Leandro Greco,32119.0,,,,,,1,From Kick Off,Jacopo Sala,7020.0,Right Center Midfield,2,Hellas Verona,226,['6807c693-77fe-4046-9f91-554a503ab2b6'],45,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:45.535,Pass,
,,,,,,,,,,,,,,,,,1.674659,,,,,,,,,,,,,1e6a954b-003d-476b-9ca7-186da1d6b52b,57,,,"[52.4, 55.8]",3878610,0,,,,,2.7694118,,Left Foot,,,,"[33.7, 63.1]",,Ground Pass,,20.074362,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Leandro Greco,32119.0,Left Center Midfield,2,Hellas Verona,226,"['652a2112-c712-4913-b1e6-2b923752e1c0', 'ad77ad77-a389-4dbc-9a14-7bab683eb22a']",47,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:47.201,Pass,True
,,,,,,,,,,,,,,,,,3.853154,,,,,,,,,,,,,7f967085-3cb9-44ad-acbd-a7541df2caee,60,,,"[37.5, 60.5]",3878610,0,,,,,-0.76154584,,Right Foot,,,,"[89.0, 11.4]",,High Pass,,71.15518,,,Incomplete,,Juan Ignacio Gómez Taleb,386651.0,,True,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Hellas Verona,226,"['098d0566-4405-457b-8238-ed8cb47a62d0', '5dd3eef2-01a4-4e9c-92f8-6f84a3183db7']",51,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:51.150,Pass,
,,,,,,,,,,,,,,,,,1.584244,,,,,,,,,,,,,8e08e37a-dbec-4535-8a35-47ca28fab3a7,63,,,"[78.7, 0.1]",3878610,1,,,,,0.8406923,,,,,,"[91.5, 14.4]",,Low Pass,,19.191925,,,,,Luca Toni,20252.0,,,,,Throw-in,1,From Throw In,Samuel Souprayen,7695.0,Left Back,3,Hellas Verona,226,['7a9f3509-d7cf-4526-8048-8ce1cc239a2d'],2,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:02.903,Pass,
,,,,,,,,,,,,,,,,,1.260765,,,,,,,,,,,,,8494144a-9a0f-4791-881d-1a0320fea778,66,,,"[91.5, 14.6]",3878610,1,,,,,-1.6767807,,Left Foot,,,,"[90.5, 5.2]",,Low Pass,,9.453042,,,,,Juan Ignacio Gómez Taleb,386651.0,,,,,,1,From Throw In,Luca Toni,20252.0,Center Forward,3,Hellas Verona,226,['acfa428e-42c2-4326-8a6b-0003c3c6996e'],4,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:04.521,Pass,
,,,,,,,,,,,,,,,,,1.100087,,,,,,,,,,,,,65ca2b39-ea5f-4a92-ac88-cbfd497b15b9,69,,,"[90.3, 5.3]",3878610,1,,,,,2.2757235,,Right Foot,,,,"[84.6, 12.0]",,Ground Pass,,8.79659,,,Incomplete,,Leandro Greco,32119.0,,,,,,1,From Throw In,Juan Ignacio Gómez Taleb,386651.0,Left Wing,3,Hellas Verona,226,"['cb952555-d3e0-48c8-85a8-b85305192b0c', 'ef4d1dd6-d461-42ce-82e1-ad68fb33d5a4']",6,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:06.312,Pass,
,,,,,,,,,,,,,,,,,1.410973,,,,,,,,,,,,,dcb69bc1-f5e4-4c93-bb18-e032e2552f2d,74,,,"[33.0, 56.3]",3878610,1,,,,,-2.1511185,,Right Foot,,,,"[23.1, 41.2]",,Ground Pass,,18.056025,,,,,Gabriel Alejandro Paletta,38237.0,,,,,,1,Regular Play,Marten de Roon,6994.0,Center Defensive Midfield,4,Atalanta,228,['84048ca3-5ff2-4472-8119-84e794d5f96f'],9,,,,,,,,,,,,,,,,,,Atalanta,228,00:01:09.778,Pass,
,,,,,,,,,,,,,,,,,1.9501,,,,,,,,,,,,,d629b21f-03a1-43de-b936-665065ba00fd,77,,,"[20.7, 38.0]",3878610,1,,,,,-3.0648208,,Right Foot,,,,"[7.7, 37.0]",,Ground Pass,,13.038404,,,,,Marco Sportiello,7157.0,,,,,,1,Regular Play,Gabriel Alejandro Paletta,38237.0,Left Center Back,4,Atalanta,228,['68341d4b-565b-4e4c-a21a-7a07a2042057'],12,,,,,,,,,,,,,,,,,,Atalanta,228,00:01:12.970,Pass,
,,,,,,,,,,,,,,,,,3.058522,,,,,,,,,,,,,ff4278fd-c472-4bd2-8232-876ad3729c5a,81,,,"[9.6, 38.3]",3878610,1,,,,,-0.85531205,,Right Foot,,,,"[42.8, 0.1]",,High Pass,,50.611065,,,Out,,Alejandro Darío Gómez,7006.0,,,,,,1,Regular Play,Marco Sportiello,7157.0,Goalkeeper,4,Atalanta,228,"['35ed68e6-ef77-4ee5-8d8e-921e29277d61', 'b9b260ed-cb3c-451c-b359-b1fa1af78d01']",15,,,,,,,,,,,,,,,,,,Atalanta,228,00:01:15.180,Pass,True
,,,,,,,,,,,,,,,,,1.76679,,,,,,,,,,,,,ecf89c9d-9867-4319-9281-8c468fabb5d6,83,,,"[72.5, 80.0]",3878610,1,,,,,-2.2882364,,,,,,"[63.6, 69.8]",,Low Pass,,13.536986,,,,,Federico Viviani,7770.0,,,,,Throw-in,1,From Throw In,Eros Pisano,11342.0,Right Back,5,Hellas Verona,226,['4a059688-92c3-40c9-a33f-8879ec9f064b'],22,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:22.608,Pass,
