50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.353329,,,,,,,,,,,,,,,db4c53b6-8789-4438-8763-65a5553eec8f,1898,,"[23.0, 67.3]",3879718,46,,,,,-1.4200499,,Right Foot,,,,"[24.2, 59.4]",,Ground Pass,,7.9906197,,,,,Lorenzo Tonelli,7160.0,,,,,,2,Regular Play,Vincent Laurini,7155.0,Right Back,102,Empoli,290,['d2618404-eb84-46ac-8398-2390b212b51d'],29,,,,,,,,,,,,,,,,,Empoli,290,00:01:29.819,Pass,
,,,,,,,,,,,,,,,,,,1.147268,,,,,,,,,,,,,,,56d7a006-711b-4555-afb9-fc4c67890b7d,1901,,"[24.2, 59.4]",3879718,46,,,,,-0.18575314,,Right Foot,,,,"[39.1, 56.6]",,Ground Pass,,15.160805,,,,,Leandro Daniel Paredes,16308.0,,,,,,2,Regular Play,Lorenzo Tonelli,7160.0,Right Center Back,102,Empoli,290,['8d9f42ae-c3f2-4563-969b-a5f327de2b0c'],31,,,,,,,,,,,,,,,,,Empoli,290,00:01:31.686,Pass,
,,,,,,,,,,,,,,,,,,3.29777,,,,,,,,,,,,,,,31b1dc2c-bbe9-44d2-8e7b-0739d5b13511,1904,,"[38.4, 56.8]",3879718,46,,,,,0.4947731,,Right Foot,,,,"[81.4, 80.0]",,High Pass,,48.85939,,,Out,,,,,,,,,2,Regular Play,Leandro Daniel Paredes,16308.0,Center Defensive Midfield,102,Empoli,290,,34,,,,,,,,,,,,,,,,,Empoli,290,00:01:34.957,Pass,
,,,,,,,,,,,,,,,,,,1.10678,,,,,,,,,,,,,,,c0891e91-8b37-406e-9f62-cd49378c16a8,1905,,"[51.0, 0.1]",3879718,46,,,,,0.8610113,,,,,,"[57.1, 7.2]",,Low Pass,,9.360556,,,,,Emil Hallfreðsson,5512.0,,,,,Throw-in,2,From Throw In,Ali Adnan Kadhim Al Tameemi,8191.0,Left Wing Back,103,Udinese,230,['433421b2-872d-420f-b7f0-f37477e7582c'],47,,,,,,,,,,,,,,,,,Udinese,230,00:01:47.863,Pass,
,,,,,,,,,,,,,,,,,,0.737938,,,,,,,,,,,,,,,fd52db13-bb10-47b6-8be1-71d89d0e61c6,1907,,"[57.8, 7.9]",3879718,46,,,,,-2.573488,,Left Foot,,,,"[53.1, 4.9]",,Low Pass,,5.575841,,,,,Ali Adnan Kadhim Al Tameemi,8191.0,,,,,,2,From Throw In,Emil Hallfreðsson,5512.0,Left Center Midfield,103,Udinese,230,['e305d36d-e871-48c6-844a-9ebddf02dfd3'],48,,,,,,,,,,,,,,,,,Udinese,230,00:01:48.970,Pass,
,,,,,,,,,,,,,,,,,,3.910554,,,,,,,,,,,,,,,95abb568-6290-49ae-9f2c-971c1ae742a0,1911,,"[53.1, 4.9]",3879718,46,,,,,0.29833397,264e2204-b8c7-419a-99fa-f356b56928de,Left Foot,,,,"[95.7, 18.0]",,High Pass,,44.56871,,,,,Duván Esteban Zapata Banguera,7017.0,True,,,,,2,From Throw In,Ali Adnan Kadhim Al Tameemi,8191.0,Left Wing Back,103,Udinese,230,['7a45668b-a30e-418f-b650-7ab3cbafa7c5'],49,,,,,,,,,,,,,,,,,Udinese,230,00:01:49.748,Pass,
,,,,,,,,,,,,,,,,,,0.800094,,,,,,,,,,,,,,,033c7729-a9a7-4a65-bc53-f723d9136609,1917,,"[7.0, 44.1]",3879718,47,,True,,,-1.4355327,,Right Foot,,,,"[11.6, 10.3]",,Ground Pass,,34.11158,,,,,Mário Rui Silva Duarte,7151.0,,,,,Goal Kick,2,From Goal Kick,Łukasz Skorupski,11508.0,Goalkeeper,104,Empoli,290,['ab35ba76-2c72-49b7-9e0c-066ef2e9dfce'],10,,,,,,,,,,,,,,,,,Empoli,290,00:02:10.118,Pass,
,,,,,,,,,,,,,,,,,,3.006663,,,,,,,,,,,,,,,de50331f-e03b-49da-b09f-9e3ef217b498,1919,,"[11.1, 8.6]",3879718,47,,,,,-0.0150203295,,Left Foot,,,,"[57.7, 7.9]",,High Pass,,46.60526,,,Incomplete,,Manuel Pucciarelli,7054.0,,,,,,2,From Goal Kick,Mário Rui Silva Duarte,7151.0,Left Back,104,Empoli,290,"['a81e7e6b-52a0-43cb-a0f5-ded82d9b6aab', 'e726256c-a452-45e0-b66b-52025724afbf']",11,,,,,,,,,,,,,,,,,Empoli,290,00:02:11.691,Pass,
,,,,,,,,,,,,,,,,,,0.987547,,,,,,,,,,,,,,,7c0cce94-6b33-4d23-89ea-b25c4e0b6b1a,1924,,"[65.4, 74.3]",3879718,47,,,,,-0.6889244,,Right Foot,,,,"[72.2, 68.7]",,Ground Pass,,8.809086,,,,,Francesco Lodi,40367.0,,,,,,2,From Goal Kick,Thomas Heurtaux,8852.0,Right Center Back,104,Empoli,290,['1fe5c45a-1291-4826-948a-80dc764f1454'],16,,,,,,,,,,,,,,,,,Udinese,230,00:02:16.161,Pass,
,,,,,,,,,,,,,,,,,,1.488073,,,,,,,,,,,,,,,eb44d7f4-cfbd-4068-91db-8be650417582,1927,,"[72.2, 68.7]",3879718,47,,,,,0.21151227,,Right Foot,,,,"[88.5, 72.2]",,Ground Pass,,16.671532,,,Incomplete,,,,,,,,,2,From Goal Kick,Francesco Lodi,40367.0,Center Defensive Midfield,104,Empoli,290,['1e8a2fa7-7475-4e21-99fb-93931dc50449'],17,,,,,,,,,,,,,,,,,Udinese,230,00:02:17.148,Pass,
